Sample ID,Barcode,Primer Scheme,sample_name,Sequence date,collection_date
Mixture01,barcode01,V4.1,Mixture01,2023-05-16,2023-04-18
Mixture02,barcode02,V4.1,Mixture02,2023-05-16,2023-04-18
Mixture03,barcode03,V4.1,Mixture03,2023-05-16,2023-04-18
Mixture04,barcode04,V4.1,Mixture04,2023-05-16,2023-04-18
Mixture05,barcode05,V4.1,Mixture05,2023-05-16,2023-04-18
Mixture06,barcode06,V4.1,Mixture06,2023-05-16,2023-04-18
Mixture07,barcode07,V4.1,Mixture07,2023-05-16,2023-04-18
Mixture08,barcode08,V4.1,Mixture08,2023-05-16,2023-04-18
Mixture09,barcode09,V4.1,Mixture09,2023-05-16,2023-04-18
Mixture10,barcode10,V4.1,Mixture10,2023-05-16,2023-04-18
Mixture11,barcode11,V4.1,Mixture11,2023-05-16,2023-04-18
Mixture12,barcode12,V4.1,Mixture12,2023-05-16,2023-04-18
Mixture13,barcode13,V4.1,Mixture13,2023-05-16,2023-04-18
Mixture14,barcode14,V4.1,Mixture14,2023-05-16,2023-04-18
Mixture15,barcode15,V4.1,Mixture15,2023-05-16,2023-04-18
Mixture16,barcode16,V4.1,Mixture16,2023-05-16,2023-04-18
Mixture17,barcode17,V4.1,Mixture17,2023-05-16,2023-04-18
Mixture18,barcode18,V4.1,Mixture18,2023-05-16,2023-04-18
Mixture19,barcode19,V4.1,Mixture19,2023-05-16,2023-04-18
Mixture20,barcode20,V4.1,Mixture20,2023-05-16,2023-04-18
Mixture21,barcode21,V4.1,Mixture21,2023-05-16,2023-04-18
Mixture22,barcode22,V4.1,Mixture22,2023-05-16,2023-04-18
Mixture23,barcode23,V4.1,Mixture23,2023-05-16,2023-04-18
Mixture24,barcode24,V4.1,Mixture24,2023-05-16,2023-04-20
Mixture25,barcode25,V4.1,Mixture25,2023-05-16,2023-04-20
Mixture26,barcode26,V4.1,Mixture26,2023-05-16,2023-04-20
Mixture27,barcode27,V4.1,Mixture27,2023-05-16,2023-04-20
Mixture28,barcode28,V4.1,Mixture28,2023-05-16,2023-04-20
Mixture29,barcode29,V4.1,Mixture29,2023-05-16,2023-04-20
Mixture30,barcode30,V4.1,Mixture30,2023-05-16,2023-04-20
Mixture31,barcode31,V4.1,Mixture31,2023-05-16,2023-04-20
Mixture32,barcode32,V4.1,Mixture32,2023-05-16,2023-04-20
Mixture33,barcode33,V4.1,Mixture33,2023-05-16,2023-04-20
Mixture34,barcode34,V4.1,Mixture34,2023-05-16,2023-04-20
Mixture35,barcode35,V4.1,Mixture35,2023-05-16,2023-04-20
Mixture36,barcode36,V4.1,Mixture36,2023-05-16,2023-04-20
Mixture37,barcode37,V4.1,Mixture37,2023-05-16,2023-04-20
Mixture38,barcode38,V4.1,Mixture38,2023-05-16,2023-04-20
Mixture39,barcode39,V4.1,Mixture39,2023-05-16,2023-04-20
Mixture40,barcode40,V4.1,Mixture40,2023-05-16,2023-04-20
Mixture41,barcode41,V4.1,Mixture41,2023-05-16,2023-04-20
Mixture42,barcode42,V4.1,Mixture42,2023-05-16,2023-04-20
