Sample ID,Barcode,Primer Scheme,sample_name,Sequence date,collection_date
Mixture01,barcode01,vss2a,Mixture01,2023-06-16,2023-04-10
Mixture02,barcode02,vss2a,Mixture02,2023-06-16,2023-04-10
Mixture03,barcode03,vss2a,Mixture03,2023-06-16,2023-04-10
Mixture04,barcode04,vss2a,Mixture04,2023-06-16,2023-04-10
Mixture05,barcode05,vss2a,Mixture05,2023-06-16,2023-04-10
Mixture06,barcode06,vss2a,Mixture06,2023-06-16,2023-04-10
Mixture07,barcode07,vss2a,Mixture07,2023-06-16,2023-04-10
Mixture08,barcode08,vss2a,Mixture08,2023-06-16,2023-04-10
Mixture09,barcode09,vss2a,Mixture09,2023-06-16,2023-04-10
Mixture10,barcode10,vss2a,Mixture10,2023-06-16,2023-04-10
Mixture11,barcode11,vss2a,Mixture11,2023-06-16,2023-04-10
Mixture12,barcode12,vss2a,Mixture12,2023-06-16,2023-04-10
Mixture13,barcode13,vss2a,Mixture13,2023-06-16,2023-04-10
Mixture14,barcode14,vss2a,Mixture14,2023-06-16,2023-04-10
Mixture15,barcode15,vss2a,Mixture15,2023-06-16,2023-04-10
Mixture16,barcode16,vss2a,Mixture16,2023-06-16,2023-04-10
Mixture17,barcode17,vss2a,Mixture17,2023-06-16,2023-04-10
Mixture18,barcode18,vss2a,Mixture18,2023-06-16,2023-04-10
Mixture19,barcode19,vss2a,Mixture19,2023-06-16,2023-04-10
Mixture20,barcode20,vss2a,Mixture20,2023-06-16,2023-04-10
Mixture21,barcode21,vss2a,Mixture21,2023-06-16,2023-04-10
Mixture22,barcode22,vss2a,Mixture22,2023-06-16,2023-04-10
Mixture23,barcode23,vss2a,Mixture23,2023-06-16,2023-04-10
Mixture24,barcode24,vss2a,Mixture24,2023-06-16,2023-04-10
Mixture25,barcode25,vss2a,Mixture25,2023-06-16,2023-04-10
Mixture26,barcode26,vss2a,Mixture26,2023-06-16,2023-04-10
Mixture27,barcode27,vss2a,Mixture27,2023-06-16,2023-04-10
Mixture28,barcode28,vss2a,Mixture28,2023-06-16,2023-04-10
Mixture29,barcode29,vss2a,Mixture29,2023-06-16,2023-04-10
Mixture30,barcode30,vss2a,Mixture30,2023-06-16,2023-04-10
Mixture31,barcode31,vss2a,Mixture31,2023-06-16,2023-04-10
Mixture32,barcode32,vss2a,Mixture32,2023-06-16,2023-04-10
Mixture33,barcode33,vss2a,Mixture33,2023-06-16,2023-04-10
Mixture34,barcode34,vss2a,Mixture34,2023-06-16,2023-04-10
Mixture35,barcode35,vss2a,Mixture35,2023-06-16,2023-04-10
Mixture36,barcode36,vss2a,Mixture36,2023-06-16,2023-04-10
Mixture37,barcode37,vss2a,Mixture37,2023-06-16,2023-04-10
Mixture38,barcode38,vss2a,Mixture38,2023-06-16,2023-04-10
Mixture39,barcode39,vss2a,Mixture39,2023-06-16,2023-04-10
Mixture40,barcode40,vss2a,Mixture40,2023-06-16,2023-04-10
Mixture41,barcode41,vss2a,Mixture41,2023-06-16,2023-04-10
Mixture42,barcode42,vss2a,Mixture42,2023-06-16,2023-04-10
