Sample ID,Barcode,Primer Scheme,sample_name,Sequence date,collection_date
Mixture01,barcode49,vss2a,Mixture01,2023-07-12,2023-04-10
Mixture02,barcode50,vss2a,Mixture02,2023-07-12,2023-04-10
Mixture03,barcode51,vss2a,Mixture03,2023-07-12,2023-04-10
Mixture04,barcode52,vss2a,Mixture04,2023-07-12,2023-04-10
Mixture05,barcode53,vss2a,Mixture05,2023-07-12,2023-04-10
Mixture06,barcode54,vss2a,Mixture06,2023-07-12,2023-04-10
Mixture07,barcode55,vss2a,Mixture07,2023-07-12,2023-04-10
Mixture08,barcode56,vss2a,Mixture08,2023-07-12,2023-04-10
Mixture09,barcode57,vss2a,Mixture09,2023-07-12,2023-04-10
Mixture10,barcode58,vss2a,Mixture10,2023-07-12,2023-04-10
Mixture11,barcode59,vss2a,Mixture11,2023-07-12,2023-04-10
Mixture12,barcode60,vss2a,Mixture12,2023-07-12,2023-04-10
Mixture13,barcode61,vss2a,Mixture13,2023-07-12,2023-04-10
Mixture14,barcode62,vss2a,Mixture14,2023-07-12,2023-04-10
Mixture15,barcode63,vss2a,Mixture15,2023-07-12,2023-04-10
Mixture16,barcode64,vss2a,Mixture16,2023-07-12,2023-04-10
Mixture17,barcode65,vss2a,Mixture17,2023-07-12,2023-04-10
Mixture18,barcode66,vss2a,Mixture18,2023-07-12,2023-04-10
Mixture19,barcode67,vss2a,Mixture19,2023-07-12,2023-04-10
Mixture20,barcode68,vss2a,Mixture20,2023-07-12,2023-04-10
Mixture21,barcode69,vss2a,Mixture21,2023-07-12,2023-04-10
Mixture22,barcode70,vss2a,Mixture22,2023-07-12,2023-04-10
Mixture23,barcode71,vss2a,Mixture23,2023-07-12,2023-04-10
Mixture24,barcode72,vss2a,Mixture24,2023-07-12,2023-04-10
Mixture25,barcode73,vss2a,Mixture25,2023-07-12,2023-04-10
Mixture26,barcode74,vss2a,Mixture26,2023-07-12,2023-04-10
Mixture27,barcode75,vss2a,Mixture27,2023-07-12,2023-04-10
Mixture28,barcode76,vss2a,Mixture28,2023-07-12,2023-04-10
Mixture29,barcode77,vss2a,Mixture29,2023-07-12,2023-04-10
Mixture30,barcode78,vss2a,Mixture30,2023-07-12,2023-04-10
Mixture31,barcode79,vss2a,Mixture31,2023-07-12,2023-04-10
Mixture32,barcode80,vss2a,Mixture32,2023-07-12,2023-04-10
Mixture33,barcode81,vss2a,Mixture33,2023-07-12,2023-04-10
Mixture34,barcode82,vss2a,Mixture34,2023-07-12,2023-04-10
Mixture35,barcode83,vss2a,Mixture35,2023-07-12,2023-04-10
Mixture36,barcode84,vss2a,Mixture36,2023-07-12,2023-04-10
Mixture37,barcode85,vss2a,Mixture37,2023-07-12,2023-04-10
Mixture38,barcode86,vss2a,Mixture38,2023-07-12,2023-04-10
Mixture39,barcode87,vss2a,Mixture39,2023-07-12,2023-04-10
Mixture40,barcode88,vss2a,Mixture40,2023-07-12,2023-04-10
Mixture41,barcode89,vss2a,Mixture41,2023-07-12,2023-04-10
Mixture42,barcode90,vss2a,Mixture42,2023-07-12,2023-04-10
