,batch,mixture,read_counts,coverage,normalized_read_counts
0,WB: Artic,0adgio1o2o3o4o5,769584,99.4649,7773.575757575758
0,WB: Artic,0adgio1,728720,98.9065,7360.80808080808
0,WB: Artic,o2o3o4o5,754486,98.5486,7621.070707070707
0,WB: Artic,0agio1o2,797075,98.8262,8051.262626262626
0,WB: Artic,0o5o3o4,1028126,99.6154,10385.111111111111
0,WB: Artic,adgio1o2o3,922213,99.2543,9315.282828282829
0,WB: Artic,agio3o4o5,887443,98.8295,8964.070707070707
0,WB: Artic,o1o2o3o4o5,873485,98.8195,8823.080808080807
0,WB: Artic,0,867937,97.9868,8767.040404040405
0,WB: Artic,o1o2,695130,98.4884,7021.515151515152
0,WB: Artic,o3,689510,98.5553,6964.747474747474
0,WB: Artic,o5,585836,97.9668,5917.535353535353
0,WB: Artic,o4,796961,98.9901,8050.111111111111
0,WB: Artic,0-2,1026932,97.8263,10373.050505050505
0,WB: Artic,a,760242,97.7795,7679.212121212121
0,WB: Artic,g,896553,97.5421,9056.09090909091
0,WB: Artic,i,840492,97.2979,8489.818181818182
0,WB: Artic,d,922326,98.338,9316.424242424242
0,WB: Artic,o1,782470,97.4952,7903.737373737374
0,WB: Artic,o2,834541,96.9535,8429.70707070707
0,WB: Artic,0-3,1061646,97.4484,10723.69696969697
0,WB: Artic,o3-2,924908,96.7361,9342.505050505051
0,WB: Artic,o3-3,781520,97.231,7894.141414141414
0,WB: Artic,o5-2,886426,97.6658,8953.79797979798
0,WB: Artic,o5-3,706648,97.1709,7137.858585858586
0,WB: Artic,o4-2,734534,98.4918,7419.535353535353
0,WB: Artic,o4-3,921579,98.0637,9308.878787878788
0,WB: Artic,o2-2,1131313,98.027,11427.40404040404
0,WB: Artic,o2o3o4o5-2,706062,97.9534,7131.939393939394
0,WB: Artic,o2o3o4o5-3,963614,98.1708,9733.474747474747
0,WB: Artic,0adgio1-2,699547,98.6757,7066.131313131313
0,WB: Artic,0aio1o2o3o4o5,986990,98.9232,9969.59595959596
0,WB: Artic,0-4,883708,99.1105,8926.343434343435
0,WB: Artic,a-2,672294,97.7594,6790.848484848485
0,WB: Artic,g-2,763618,98.3647,7713.313131313132
0,WB: Artic,i-2,915900,96.686,9251.515151515152
0,WB: Artic,d-2,764377,96.813,7720.979797979798
0,WB: Artic,o1-2,781035,98.3079,7889.242424242424
0,WB: Artic,o2-3,654682,96.2144,6612.949494949495
0,WB: Artic,o3-4,761874,96.298,7695.69696969697
