batch,mixture,read_counts,coverage,mean_depth,quality
Control,Mixture01,769584,99.4649,10102.5,
Control,Mixture02,728720,98.9065,9569.54,
Control,Mixture03,754486,98.5486,9894.21,
Control,Mixture04,797075,98.8262,10456.9,
Control,Mixture05,1028126,99.6154,13505.8,
Control,Mixture06,922213,99.2543,12120.6,
Control,Mixture07,887443,98.8295,11669.1,
Control,Mixture08,873485,98.8195,11472.7,
Control,Mixture09,867937,97.9868,11430.3,
Control,Mixture10,695130,98.4884,9120.5,
Control,Mixture11,689510,98.5553,9036.92,
Control,Mixture12,585836,97.9668,7675.57,
Control,Mixture13,796961,98.9901,10457.8,
Control,Mixture14,1026932,97.8263,13506,
Control,Mixture15,760242,97.7795,9988.08,
Control,Mixture16,896553,97.5421,11787.6,
Control,Mixture17,840492,97.2979,11056,
Control,Mixture18,922326,98.338,12126.8,
Control,Mixture19,782470,97.4952,10257,
Control,Mixture20,834541,96.9535,10960.6,
Control,Mixture21,1061646,97.4484,13968.3,
Control,Mixture22,924908,96.7361,12148.6,
Control,Mixture23,781520,97.231,10255.4,
Control,Mixture24,886426,97.6658,11640,
Control,Mixture25,706648,97.1709,9269.11,
Control,Mixture26,734534,98.4918,9641.07,
Control,Mixture27,921579,98.0637,12095.8,
Control,Mixture28,1131313,98.027,14801.7,
Control,Mixture29,706062,97.9534,9256.64,
Control,Mixture30,963614,98.1708,12656.3,
Control,Mixture31,699547,98.6757,9185.44,
Control,Mixture32,986990,98.9232,12967.3,
Control,Mixture33,883708,99.1105,11623.9,
Control,Mixture34,672294,97.7594,8815.58,
Control,Mixture35,763618,98.3647,10051.3,
Control,Mixture36,915900,96.686,12039.5,
Control,Mixture37,764377,96.813,10023.2,
Control,Mixture38,781035,98.3079,10244.5,
Control,Mixture39,654682,96.2144,8590.83,
Control,Mixture40,761874,96.298,9977.24,
Control,Mixture41,878561,98.1708,11536.2,
Control,Mixture42,650657,97.3983,8541.96,
Neg Spike-in,Mixture01,402121,97.1408,5245.76,
Neg Spike-in,Mixture02,395480,96.8933,5168.43,
Neg Spike-in,Mixture03,368647,96.4786,4790.06,
Neg Spike-in,Mixture04,497125,97.4986,6493.28,
Neg Spike-in,Mixture05,516960,98.134,6741.23,
Neg Spike-in,Mixture06,546834,97.1374,7145.79,
Neg Spike-in,Mixture07,423866,97.5855,5521.4,
Neg Spike-in,Mixture08,468162,97.0438,6108.2,
Neg Spike-in,Mixture09,454517,98.3012,5933.51,
Neg Spike-in,Mixture10,434707,97.3581,5656.5,
Neg Spike-in,Mixture11,430361,95.763,5593.21,
Neg Spike-in,Mixture12,404669,96.4753,5238.7,
Neg Spike-in,Mixture13,482326,98.7259,6293.61,
Neg Spike-in,Mixture14,438960,97.0638,5741.15,
Neg Spike-in,Mixture15,413049,95.5389,5382.87,
Neg Spike-in,Mixture16,353555,95.4653,4625.03,
Neg Spike-in,Mixture17,440910,95.763,5755.94,
Neg Spike-in,Mixture18,433157,95.783,5659.45,
Neg Spike-in,Mixture19,423397,95.4352,5525.37,
Neg Spike-in,Mixture20,442461,96.298,5762.73,
Neg Spike-in,Mixture21,486182,96.0472,6369.44,
Neg Spike-in,Mixture22,449808,96.8833,5873.77,
Neg Spike-in,Mixture23,493017,95.5523,6449.74,
Neg Spike-in,Mixture24,415861,94.5189,5419.1,
