Sample name	summarized	lineages	abundances	resid	coverage	plate	plate_date	collection_site_id	collection_date	sample_title
4419	[('Omicron', 0.977595356848379)]	XBB.1.5.28 XBB.1.22 XBB.1.29 XBB.1.5 XBB.1.5.12 XBB.1.5.69 XBB.1.5.51 XBB.1.5.16 XBB.1.5.36 XBB.1.5.86 XBB.1.5.11 XBB.1.5.2 XBB.1.5.30 XBB.1.5.14 XBB.1.5.40 XBB.1.4.1 XBB.1.16.5 XBB.1.5.34 XBB.1.10 XBB.1.5.8 XBB.1.5.62 XBB.1.5.66 XBB.1.5.73 FY.2 XAC XBB.1.5.1	0.24326137 0.18955915 0.07826084 0.04010272 0.04010272 0.04010272 0.04010272 0.04010272 0.04010272 0.04010272 0.04010272 0.04010272 0.04010272 0.04010272 0.00392034 0.00287026 0.00253184 0.00252845 0.00234663 0.00222196 0.00212552 0.00202952 0.00147017 0.00126458 0.00106694 0.00100788	10.814032402899691	54.39922415811122	08-25-23-A4-1	2023-08-25	4419	2023-03-24	charlotte 3
4457	[('Omicron', 0.9840828209341017)]	XBB.1.5.57 XBB.2.9 XBB.2.4 XBB.2.8 XBB.2 XBB.1 XBB XBB.1.5.8 XBB.1.10 XBB.1.13 XBB.1.5.34 XBB.1.5.72 XBB.1.5.67 XBB.1.5.44	0.62620003 0.12932341 0.12932341 0.02049705 0.02049705 0.02049705 0.02049705 0.00664894 0.00251762 0.00230415 0.00173160 0.00162911 0.00136426 0.00105208	8.208734409226167	29.515433234123662	08-25-23-A4-1	2023-08-25	4457	2023-03-31	charlotte 1
4451	[('Omicron', 0.9815583849992043)]	XBB.1.5.79 XBB.2.5 XBB.1.5.40 XBB.1.5.28 XBB.1.5.61 XBB.1.5.86 XBB.1.5.55 XBB.1.5.49 XBB.1.5.77 XBB.1.5.36 XBB.1.5.2 XBB.1.5.30 XBB.1.5.32 XBB.1.5.19 XBB.1.5.14 XBB.1.5 XBB.1.5.76 XBB.1.5.12 XBB.1.5.25 XBB.1.5.29 XBB.1.5.51 XBB.1.5.73 XBB.1.5.57 XBB.1.13 XBB.1.5.8 XBB.1.5.42 XBB.1.5.62	0.33199900 0.06546808 0.05744970 0.05658433 0.02989759 0.02989759 0.02989759 0.02989759 0.02989759 0.02989759 0.02989759 0.02989759 0.02989759 0.02989759 0.02989759 0.02989759 0.02989759 0.02989759 0.02989759 0.00420168 0.00355240 0.00348827 0.00319647 0.00264550 0.00165641 0.00142635 0.00142635	9.673190219625878	54.39588001203892	08-25-23-A4-1	2023-08-25	4451	2023-03-31	charlotte 4
4430	[('Omicron', 0.9814971239762617), ('Other', 0.0011098800000407412)]	XBB.1.5.77 XBB.1.5.49 XBB.1.5.48 XBB.1.5.6 XBB.1.5.61 XBB.1.5.32 XBB.1.5.51 XBB.1.13 XBB.1.38 XBB.1.44 XBB.1.39 XBB.1.9 XBB.1.9.3 XBB.1.5.44 XBB.2.6 XCG	0.15664877 0.15664877 0.15664877 0.15664877 0.15664877 0.15664877 0.01012150 0.00934579 0.00705519 0.00507614 0.00267380 0.00230641 0.00230641 0.00143885 0.00128041 0.00110988	7.45886097569492	41.77841688124937	08-25-23-A4-1	2023-08-25	4430	2023-03-27	charlotte 2
4429	[('Omicron', 0.9882970509821675)]	XBB.1.5.27 XBB.1.5.81 XBB.1.31 FP.3 GB.2	0.45715767 0.45715767 0.06547600 0.00726654 0.00123916	6.897935169440098	41.86536467912919	08-25-23-A4-1	2023-08-25	4429	2023-03-24	charlotte 2
4420	[('Omicron', 0.9743268277795507)]	XBB.1.5.79 XBB.1.28 XBB.1.28.1 XBB.1.5 XBB.1.7 FW.2 XBB.1.5.14 XBB.1.5.7 XBB.1.5.31 XBB.1.5.3 XBB.1.5.18 XBB.1.5.2 XBB.1.5.30 XBB.1.5.1 XBB.1.5.22 XBB.1.5.12 XBB.1.5.28 XBB.1.5.86 XBB.1.5.36 XBB.1.5.40 XBB.1.5.11 XBB.1.13 XBB.1.5.59 XBB.1.5.16 XBB.1.5.69 EM.1 FG.3 FG.2 XBB.1.5.24 XBB.1.5.51 XBB.1.15 XBB.1.10 BA.3 XY XBB.1.5.66 XBB.1.5.67 XBB.1.5.41	0.33333300 0.02223009 0.02223009 0.02223009 0.02223009 0.02223009 0.02223009 0.02223009 0.02223009 0.02223009 0.02223009 0.02223009 0.02223009 0.02223009 0.02223009 0.02223009 0.02223009 0.02223009 0.02223009 0.02223009 0.02223009 0.02223009 0.02223009 0.02223009 0.02223009 0.02223009 0.02223009 0.02223009 0.02223009 0.00686813 0.00240749 0.00223945 0.00170300 0.00157300 0.00135227 0.00130166 0.00110619	4.265238973281815	25.298465036952813	08-25-23-A4-1	2023-08-25	4420	2023-03-27	charlotte 3
060123_14	[('Omicron', 0.9927091128931762)]	XBB.2.5 XBB.1.22 XBB.1.22.1 FY.3 FY.1 XBB.1.16.5 XBB.1.16.3 GV.1 XBB.1.5.3 XBB.1.5.12 XBB.1.5.30 XBB.1.5.18 XBB.1.5.31 XBB.1.5.36 XBB.1.5.7 XBB.1.5.14 XBB.1.5 XBB.1.5.86 XBB.1.5.2 XBB.1.5.11 FG.2 XBB.1.5.52 XBB.1.5.59 XBB.1.5.16 XBB.1.5.67 XBB.1.5.69 EM.1 XBB.1.5.34 XBB.1.5.71 XBB.1.25 XBB.1.22.2 XBB XBB.1 XBB.2.7 XBB.2 XBB.2.8 XBB.1.10 GK.1 BA.2.76.1 XBB.1.19 EK.2 XN BA.2.23 XBB.1.5.63 BA.2.3.5	0.19947766 0.07218062 0.07218062 0.07218062 0.07218062 0.04545455 0.04545455 0.02631580 0.01502388 0.01502388 0.01502388 0.01502388 0.01502388 0.01502388 0.01502388 0.01502388 0.01502388 0.01502388 0.01502388 0.01502388 0.01502388 0.01502388 0.01502388 0.01502388 0.01502388 0.01502388 0.01502388 0.01502388 0.01502388 0.01130430 0.00798358 0.00756482 0.00756482 0.00756482 0.00756482 0.00756482 0.00350374 0.00202840 0.00154696 0.00148093 0.00147239 0.00128120 0.00128120 0.00104585 0.00102987	2.2390906320986503	13.115740895562318	08-25-23-A4-3	2023-08-25	060123_14	2023-06-02	winston salem - salem
4418	[('Omicron', 0.9780717582938165)]	XBB.1.22 XBB.1.22.1 XBB.1.5.60 XBB.1.5.7 XBB.1.5.18 XBB.1.5.2 XBB.1.5.30 XBB.1.5.12 XBB.1.5 XBB.1.5.86 XBB.1.5.36 XBB.1.5.59 XBB.1.5.4 EM.1 XBB.1.5.32 XBB.1.5.6 XBB.1.5.84 XBB.1.5.49 XBB.1.5.3 XBB.1.5.51 XBB.1.44 XBB.1.5.47 XBB.1.10 XBB.1.5.73 XBB.1.5.66 FY.4.1 BA.5.11 XBB.1.5.79 XBB.1.5.44 XBB.1.37 XBB.1.15	0.38681649 0.38681649 0.01047133 0.01047133 0.01047133 0.01047133 0.01047133 0.01047133 0.01047133 0.01047133 0.01047133 0.01047133 0.01047133 0.01047133 0.01047133 0.01047133 0.01047133 0.01047133 0.01047133 0.00803639 0.00407609 0.00229128 0.00227790 0.00162643 0.00134348 0.00131234 0.00124567 0.00108932 0.00108637 0.00102776 0.00101317	3.894740036384935	51.27913587265492	08-25-23-A4-1	2023-08-25	4418	2023-03-27	charlotte 1
4417	[('Omicron', 0.9729143081426989), ('Other', 0.005181349998244741)]	XBB.1.22 XBB.1.5.66 XBB.1.5 XBB.1.11.1 XBB.1.5.14 XBB.1.5.31 XBB.1.5.55 XBB.1.5.18 XBB.1.5.2 XBB.1.5.12 XBB.1.5.30 FP.4 XBB.1.5.69 XBB.1.5.61 XBB.1.5.6 XBB.1.5.25 XBB.1.5.19 XBB.1.5.49 XBB.1.5.24 XBB.1.5.36 XBB.1.6 XBB.1.11 XBB.1.38 XBB.1.37 XBN FP.3 GR.1 XBB.1.5.72 XBB.1.13 BA.5.9 XBB.1.5.79 XBB.1.10 XBB.1.44	0.17544401 0.03879979 0.03879979 0.03879979 0.03879979 0.03879979 0.03879979 0.03879979 0.03879979 0.03879979 0.03879979 0.03879979 0.03879979 0.03879979 0.03879979 0.03879979 0.03879979 0.03879979 0.03879979 0.03879979 0.01180676 0.01180676 0.01180676 0.01180676 0.00518135 0.00280300 0.00186594 0.00166223 0.00164474 0.00150717 0.00131984 0.00122318 0.00102110	8.466840198756246	35.28074106276962	08-25-23-A4-1	2023-08-25	4417	2023-03-24	charlotte 1
4412	[('Omicron', 0.9797284419435323)]	XBB.1.5.59 XBB.1.5.64 XBB.2.5 XBB.1.10 XBB.2.3.10 XBB.1.5.8 XBB.1.5.1 XBB.1.5.66 XBB.1.5.63	0.70299478 0.26252700 0.00585361 0.00220426 0.00145494 0.00126206 0.00125439 0.00114728 0.00103013	6.506241933055308	40.57118014914892	08-25-23-A4-1	2023-08-25	4412	2023-03-27	charlotte 4
