	summarized	lineages	abundances	resid	coverage
Mixture01	[('Omicron', 0.6280000000000001), ('Other', 0.18499999999999983), ('Alpha', 0.064), ('Gamma', 0.04300000000000001), ('Delta', 0.03800000000000001), ('Iota', 0.036), ('A', 0.004), ('Beta', 0.001), ('Eta', 0.001)]	BA.4.1 Other BA.2.12.1 BA.5.5 B.1.1.7 XAP B.1.526 BA.2.12 XAR BF.1 BA.2.23 P.1 XAJ AY.30 BA.1.18 P.1.16 B.1.1.220 BA.1.20 BA.2.40.1 AY.13 DE.1 AY.8 B.1.1.416 BA.1.7 BA.5.2.9 BA.5.5.2 BE.1.1.1 BF.10 BF.20 BF.36 P.1.13 Q.1 Q.4 A.27 A.28 AY.17 AY.49 AY.54 AY.57 B.1.1.434 B.1.3 B.1.356 B.23 B.3 BA.1.1.1 BA.1.10 BA.1.12 BA.1.15.1 BA.1.16.1 BA.1.24 BA.2.2 BA.2.32 BA.4.1.1 BA.5.1.18 BA.5.3.2 BF.16 BF.40 P.1.4 Q.7 XB AD.2 AY.11 AY.124.1 AY.132 AY.4.10 AY.52 AY.56 AY.98.1 B.1.1.198 B.1.1.216 B.1.1.284 B.1.1.294 B.1.1.523 B.1.1.70 B.1.177.87 B.1.221 B.1.260 B.1.351 B.1.367 B.1.433 B.1.509 B.1.525 B.1.544 B.1.567 B.1.568 B.1.620 B.1.626 B.1.634 B.6 BA.1.1.11 BA.1.1.15 BA.2.18 BA.2.3.15 BA.2.3.17 BA.2.3.7 BA.2.44 BA.2.9.7 BA.5.1.1 BA.5.2.59 BA.5.3.4 BA.5.5.3 BD.1 BE.1.1.2 BE.1.3 BF.15 BF.3.1 BF.7.13.2 BF.9 BG.5 BW.1.1 BW.1.1.2 CP.8 CQ.1.1 D.2 EB.1 L.3 P.1.15 P.1.17 P.1.17.1	0.21 0.1419999999999998 0.071 0.06 0.056 0.043 0.036 0.036 0.034 0.031 0.027 0.025 0.019 0.016 0.011 0.01 0.006 0.005 0.005 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture02	[('Other', 0.3909999999999998), ('Alpha', 0.264), ('Delta', 0.10900000000000004), ('Iota', 0.095), ('Omicron', 0.08900000000000002), ('Gamma', 0.04800000000000001), ('Eta', 0.002), ('A', 0.002)]	Other B.1.1.7 B.1.526 AY.16 BA.1 P.1 AY.30 BA.1.14.1 AY.13 AY.17 P.1.14 P.1.7 B.4 BA.1.18 AY.56 AY.8 B.1.1.161 B.6 BA.1.10 BA.1.20 P.1.15 AY.35 AY.49 AY.51 B.1.36.39 B.1.525 B.1.530 B.1.567 B.1.620 B.3 BA.1.1.1 BA.1.15.2 BA.1.15.3 BA.1.16 BA.1.16.1 BA.1.5 P.1.10.1 P.1.17.1 P.1.6 Q.7 A.1 A.27 AY.101 AY.125 AY.16.1 AY.2 AY.24 AY.41 AY.42.1 AY.47 AY.52 AY.53 AY.54 AY.57 AY.9.2.2 AZ.2 B.1.1.284 B.1.1.416 B.1.1.519 B.1.1.521 B.1.160.16 B.1.214.2 B.1.375 B.1.509 B.1.570 B.1.625 B.1.634 B.55 BA.1.1.3 BA.1.1.4 BA.1.12 BA.1.19 BD.1 BF.40 C.23 Q.1	0.35699999999999976 0.261 0.095 0.055 0.051 0.029 0.016 0.01 0.008 0.005 0.005 0.005 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture03	[('Omicron', 0.9800000000000002), ('Other', 0.0159999999999999), ('A', 0.003), ('Delta', 0.001)]	BA.4.1 BA.5.5 BA.2.12.1 BA.2 BA.2.23 BF.1 BA.2.29 BA.2.3.5 BA.2.8 BA.5.3.2 Other BA.2.37 BA.2.68 BA.4 DE.1 BA.2.18 BA.2.2 BA.2.3.2 BA.2.39 BA.2.41 BA.2.45 BA.2.46 BA.2.5 BA.2.9.7 BA.4.1.6 BA.4.2 BA.5.1.26 BF.10 B.6 BA.2.19 BA.2.26 BA.2.3.17 BA.2.3.4 BA.2.32 BA.2.35 BA.2.55 BA.2.9.1 BA.4.1.1 BA.4.4 BA.5.2.9 BA.5.8 BE.1.1.1 BF.11.4 BF.24 BF.36 BF.7.5.1 BG.5 CQ.1.1 DF.1.1 XAD A.1 A.2.5.2 A.28 AY.122.3 B.1.1.284 B.1.258.17 B.1.36.39 B.1.620 B.1.625 B.1.634 B.55 BA.2.20 BA.2.21 BA.2.3.11 BA.2.3.12 BA.2.42 BA.2.53 BA.2.63 BA.2.64 BA.2.67 BA.2.9.4 BA.5.1.18 BA.5.1.30 BA.5.1.6 BA.5.1.7 BA.5.3.4 BA.5.5.1 BE.12 BE.3 BF.1.1 BF.11.5 BF.15 BF.20 BF.32 BF.5.5 BF.7.4.2 BG.4 BN.1.4.2 BT.2 BW.1.1.2 CN.2 XAK XAY.1.1.1 XBG XS	0.253 0.247 0.192 0.062 0.043 0.034 0.005 0.005 0.005 0.005 0.004999999999999893 0.004 0.004 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture04	[('Omicron', 0.4570000000000002), ('Other', 0.22299999999999975), ('Gamma', 0.14800000000000002), ('Iota', 0.108), ('Alpha', 0.059000000000000004), ('A', 0.002), ('Delta', 0.002), ('Eta', 0.001)]	Other BA.2 P.1 B.1.526 BA.1 B.1.1.7 XAP BA.2.23 XZ P.1.4 P.1.16 XAJ B.1.1.161 BA.1.12 BA.1.18 BA.2.40.1 XAR BA.2.29 B.1.1.220 BA.1.7 BA.1.5 B.1.567 B.23 B.3 BA.2.18 BA.2.19 BA.2.2 BA.2.3.6 BC.1 BD.1 C.23 P.1.13 P.1.6 Q.1 B.1.1.420 B.1.1.434 B.1.356 B.1.596.1 BA.1.10 BA.1.16.1 BA.2.26 BA.2.32 BA.2.41 BA.2.44 BA.2.54 BA.2.63 BA.2.70 BA.2.9.7 BA.4.1.6 P.1.14 P.1.17.1 P.1.7 XAL XAZ A.27 A.28 AY.4.2.1 AY.90 B.1.1.186 B.1.1.198 B.1.1.284 B.1.1.294 B.1.1.486 B.1.1.51 B.1.177.86 B.1.221 B.1.236 B.1.240 B.1.311 B.1.36.39 B.1.367 B.1.375 B.1.525 B.1.619 B.1.620 B.1.631 B.1.634 BA.1.1.15 BA.1.1.4 BA.1.14.1 BA.1.15.1 BA.1.15.3 BA.1.9 BA.2.1 BA.2.11 BA.2.20 BA.2.3.11 BA.2.3.17 BA.2.3.7 BA.2.39 BA.2.45 BA.2.46 BA.2.47 BA.2.50 BA.2.62 BA.2.67 BA.2.8 BA.2.9.4 BF.11.3 BF.7.4.1 BN.1.4.2 CM.2 CQ.1.1 DF.1.1 EW.2 P.1.10 P.1.15 Q.4	0.1709999999999997 0.166 0.11 0.108 0.078 0.055 0.034 0.033 0.015 0.013 0.011 0.011 0.008 0.008 0.008 0.008 0.008 0.007 0.006 0.005 0.004 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture05	[('Omicron', 0.6070000000000001), ('Other', 0.38599999999999995), ('Delta', 0.003), ('A', 0.002), ('Eta', 0.001), ('Alpha', 0.001)]	Other BA.4.1 BA.2.12.1 BF.1 XAP BA.5.5 B.1.1.161 XAJ BF.15 BA.2.12 B.1.1.416 B.1.1.464 B.3 BA.4.3 BA.4.4 BA.5.2.9 BE.1.3 BE.12 BF.3.1 BF.40 BF.5.5 BG.5 B.1.530 B.23 B.6 BA.2.3.15 BA.4.1.1 BA.5.3.2 BE.1.1.1 BF.20 BF.27 BF.36 C.35 DE.1 XB A.1 A.27 AY.121.1 AY.38 AY.43.6 B.1.1.207 B.1.1.241 B.1.1.434 B.1.1.51 B.1.1.523 B.1.214.2 B.1.258.17 B.1.36.39 B.1.525 B.1.565 B.1.620 B.1.630 BA.2.3.7 BA.2.9.7 BA.4.1.6 BA.4.2 BA.5.6.4 BF.1.1 BF.10 BF.24 BF.29 BF.5 C.36.3 CC.1 CQ.1.1 DN.1.1.3 Q.1 R.1 XAZ XBD XBG XW	0.31099999999999994 0.202 0.089 0.075 0.063 0.062 0.043 0.035 0.013 0.008 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture06	[('Omicron', 0.6380000000000001), ('Delta', 0.12900000000000003), ('Alpha', 0.084), ('Gamma', 0.06000000000000001), ('Iota', 0.05), ('Other', 0.0339999999999998), ('A', 0.003), ('Beta', 0.001), ('Eta', 0.001)]	BA.2.12.1 BA.1 AY.8 B.1.1.7 BA.2 B.1.526 P.1.4 XAJ XAP BA.2.23 BA.1.9 AY.30 XAR P.1.6 AY.13 BA.2.3.15 BA.2.18 BA.2.63 Other AY.17 BA.1.7 BA.2.40.1 BA.1.5 BA.2.29 P.1.7 AY.54 B.1.1.294 BA.1.19 BA.2.2 BA.2.3.2 BA.2.32 BA.2.41 BA.2.50 BA.2.9.7 BC.1 AY.16 AY.24 AY.49 AY.52 AY.9.2 B.1.1.434 B.1.1.521 BA.1.12 BA.1.14.1 BA.1.15.3 BA.1.17.2 BA.2.19 BA.2.26 BA.2.35 BA.2.39 BA.2.46 BA.2.8 DE.1 P.1.1 Q.4 A.1 A.2.5.2 A.27 AD.2 AY.124.1 AY.14 AY.4.10 AY.53 AY.72 B.1.1.198 B.1.1.284 B.1.1.326 B.1.221 B.1.3 B.1.351.5 B.1.525 B.1.530 B.1.567 B.1.568 B.1.575 B.1.577 B.1.619 B.1.620 B.1.625 B.1.630 B.4 B.6 BA.1.1.4 BA.1.10 BA.1.16 BA.1.24 BA.2.1 BA.2.20 BA.2.3.12 BA.2.3.4 BA.2.3.6 BA.2.42 BA.2.44 BA.2.53 BA.2.67 BA.2.9.4 BA.4.1.1 BA.4.1.6 BA.4.3 BA.5.2.39 BA.5.5.1 BA.5.5.3 BE.1.4.1 BF.11.5 BQ.1.10.3 BQ.1.8.2 BZ.2 C.36.3.1 CM.8.1 CR.1.1 L.3 P.1.10 P.1.14 P.1.17.1 XAL XAY.1.1.1 XB XBD XBG	0.209 0.096 0.082 0.082 0.071 0.05 0.041 0.041 0.036 0.035 0.02 0.017 0.017 0.01 0.007 0.007 0.006 0.006 0.005999999999999783 0.005 0.005 0.005 0.004 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture07	[('Omicron', 0.5760000000000002), ('Alpha', 0.159), ('Iota', 0.117), ('Gamma', 0.07900000000000001), ('Other', 0.05899999999999981), ('A', 0.005), ('Eta', 0.002), ('Delta', 0.001), ('Beta', 0.001), ('Zeta', 0.001)]	BA.4.1 B.1.1.7 B.1.526 BF.1 BA.2.12.1 BA.5.5 P.1.4 XAP BA.2.23 P.1.16 XAJ P.1 BA.2.12 B.1.1.161 BF.15 P.1.7 BA.2.9.4 BE.3 B.1.1.329 B.1.1.519 B.3 B.6 BA.4.4 BA.5.3.2 BF.40 P.1.15 P.1.17 A.1 A.2.5 B.1.1.326 B.1.1.434 B.1.1.47 B.1.1.67 B.1.525 B.1.530 B.1.620 BA.2.3.15 BA.2.48 BA.5.8 BF.10 BF.11.4 BF.36 CG.1 D.2 P.1.1 P.1.10.1 Q.7 XL A.28 AD.2 AY.85 AZ.2 B.1.1.170 B.1.1.284 B.1.1.297 B.1.1.305 B.1.1.416 B.1.1.51 B.1.1.63 B.1.1.70 B.1.177.81 B.1.351.3 B.1.36.31 B.1.375 B.1.517 B.1.568 B.1.619 B.1.625 B.1.626 B.1.634 BA.1.16.1 BA.1.5 BA.2.3.17 BA.2.3.6 BA.2.46 BA.4.1.1 BA.5.1.11 BA.5.1.26 BA.5.1.33 BA.5.1.4 BA.5.5.1 BA.5.5.2 BA.5.9 BE.1.1.2 BE.1.3 BE.12 BF.1.1 BF.11.5 BF.14 BF.2 BF.20 BF.3.1 BQ.1.1.28 BQ.1.2.1 BQ.1.28 CP.8 CQ.2 DF.1.1 DL.1 L.3 P.1.13 P.1.14 P.1.6 P.2 R.1 XB XBB.2.3.1 XBG Other	0.226 0.157 0.117 0.095 0.084 0.027 0.027 0.024 0.021 0.02 0.016 0.014 0.013 0.01 0.006 0.005 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.0009999999999997788		
Mixture08	[('Omicron', 0.9780000000000001), ('Other', 0.01699999999999979), ('A', 0.002), ('Delta', 0.001), ('Eta', 0.001), ('Mu', 0.001)]	BA.5.5 BA.4.1 BA.2 BA.1 BA.2.12.1 BA.2.23 XAP BA.1.9 BA.1.6 BA.2.5 Other BA.2.35 BA.2.31.1 BA.2.32 BA.2.34 BA.2.51 BA.2.52 BA.4.4 BA.5.1.7 BA.5.11 XQ B.1.1.529 B.3 BA.1.13 BA.1.5 BA.1.7 BA.2.3.15 BA.2.41 BA.2.44 BA.2.67 BA.2.70 BA.4.1.6 BA.5.1.33 BA.5.3.2 BC.1 BG.2 DE.1 A.28 A.3 AY.4.6 B.1.1.153 B.1.1.486 B.1.1.521 B.1.1.70 B.1.36.31 B.1.416.1 B.1.525 B.23 B.55 B.6 BA.1.1.4 BA.1.10 BA.1.12 BA.1.14.1 BA.1.15.2 BA.1.19 BA.1.20 BA.1.8 BA.2.1 BA.2.13.1 BA.2.3.7 BA.2.46 BA.2.47 BA.2.48 BA.2.49 BA.2.53 BA.2.63 BA.2.64 BA.2.65 BA.2.71 BA.2.9.4 BA.4.1.1 BA.4.2 BA.5.1.30 BA.5.1.6 BA.5.5.2 BB.2 BD.1 BF.7.13.2 BF.7.4.2 BQ.1.25.1 BQ.1.4 BT.2 CK.2.1.1 CQ.1.1 CR.1.1 D.2	0.267 0.177 0.153 0.116 0.097 0.02 0.02 0.018 0.008 0.006 0.004999999999999782 0.004 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture09	[('Other', 0.997), ('A', 0.002), ('Delta', 0.001)]	Other B.3 B.23 B.4 A.2.5.2 A.28 AY.91.1 B.1.1.519 B.1.160.16 B.1.177.82 B.1.36.31 B.1.409 B.1.619 B.1.620 B.6 C.35 R.1	0.98 0.003 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture10	[('Omicron', 0.9740000000000002), ('Other', 0.021999999999999787), ('A', 0.003), ('Alpha', 0.001)]	BA.2 BA.1 BA.2.29 BA.2.23 XAP B.1.1.529 XS BA.2.19 BA.2.3.2 BA.1.8 BA.2.39 Other B.6 BA.1.10 BA.1.14.1 BA.2.2 BA.2.3.11 BA.2.3.15 BA.2.32 BA.2.4 BA.2.41 BA.2.56 BA.2.62 BA.2.9.4 B.23 BA.1.12 BA.1.5 BA.2.40.1 BA.2.44 BA.2.50 BA.2.53 BA.2.9.3 BF.30 XAJ XQ A.23.1 A.27 A.28 B.1.1.153 B.1.1.284 B.1.258.17 B.1.530 B.1.623 B.1.634 B.55 BA.1.1.4 BA.1.16 BA.1.19 BA.1.6 BA.1.9 BA.2.10.1 BA.2.12.1 BA.2.18 BA.2.3.1 BA.2.42 BA.2.63 BA.2.65 BA.2.8 BA.2.9.7 BA.4.4 BF.7.4.1 BN.1.4.2 BQ.1.1.71 BW.1.1.2 CD.2 Q.7 XBB.2.3.1 XBG XL	0.539 0.25 0.045 0.027 0.013 0.006 0.006 0.005 0.005 0.004 0.004 0.0039999999999997815 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
