	summarized	lineages	abundances	resid	coverage
Mixture01	[('Omicron', 0.6090000000000002), ('Other', 0.21699999999999958), ('Gamma', 0.048), ('Iota', 0.047), ('Alpha', 0.042), ('Delta', 0.03500000000000001), ('A', 0.002)]	BA.4.1 Other BA.2.12 B.1.1.161 BA.5.5 XAJ B.1.526 B.1.1.7 XAP P.1.4 BF.1 BA.2.23 BA.5.1.17 BF.9 BF.15 BA.1.18 AY.13 BA.2.38 BA.1.1.1 BA.2.9.4 P.1.7 AY.30 BA.1.9 P.1.16 AY.52 B.1.1.416 BA.2.50 P.1.6 AY.8 B.1.1.434 BA.1.19 BA.1.7 BA.2.12.1 BA.2.3.7 BA.2.40.1 BA.4.1.1 BV.1 P.1.13 AY.53 AY.54 AY.9.2 B.1.1.420 B.1.260 B.1.426 B.1.620 B.23 B.3 B.4 BA.1.17 BA.1.24 BA.2.19 BA.2.22 BA.2.3.15 BA.2.39 BA.2.53 BA.2.70 BE.1.1.1 BF.1.1 BF.2 DE.1 L.3 Q.4 Q.7 A.2.5 A.21 AY.113 AY.122.3 AY.124 AY.16 AY.17 AY.24 AY.3.1 AY.4.2.1 AY.43.1 AY.58 AZ.2 B.1.1.228 B.1.1.284 B.1.1.374 B.1.1.47 B.1.1.51 B.1.1.63 B.1.160 B.1.177.73 B.1.177.87 B.1.2 B.1.221 B.1.3 B.1.311 B.1.36.39 B.1.544 B.1.570 B.1.575 B.1.619 B.1.626 B.1.634 B.40 B.55 B.6 BA.1.1.17 BA.1.15.2 BA.1.15.3 BA.1.16.1 BA.1.5 BA.2.18 BA.2.41 BA.2.48 BA.4 BA.4.1.8 BA.4.3 BA.5.11 BA.5.3.3 BA.5.5.3 BA.5.6 BA.5.9 BE.12 BE.3 BE.4.1 BF.20 BF.21 BF.24 BF.25 BF.27 BF.3.1 BF.30 BF.36 BF.40 BF.5 BF.7.4.1 BQ.1.1.28 BQ.1.26 BW.1.1.1 C.36.3.1 CM.2 CQ.2 DF.1.1 DL.1 P.1.10 P.1.10.1 P.1.17 R.1 XAS XBG	0.194 0.09399999999999953 0.086 0.074 0.052 0.049 0.047 0.038 0.032 0.027 0.023 0.018 0.016 0.01 0.009 0.008 0.007 0.007 0.006 0.006 0.006 0.005 0.005 0.005 0.004 0.004 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture02	[('Other', 0.4309999999999998), ('Alpha', 0.254), ('Delta', 0.10200000000000001), ('Omicron', 0.08000000000000002), ('Iota', 0.076), ('Gamma', 0.049000000000000016), ('A', 0.006), ('Beta', 0.001), ('Eta', 0.001)]	Other B.1.1.7 B.1.1.161 B.1.526 AY.16 BA.1.17.2 P.1 AY.30 AY.49 P.1.17 B.6 BA.1.15.3 BA.1.16.1 BA.1.7 BA.1.8 BA.1.9 P.1.1 P.1.10 A.23.1 A.3 AY.2 AY.52 AY.54 AY.57 AY.9.2 B.1.214.2 B.1.634 B.3 B.4 BA.1.24 BA.1.5 Q.4 A.2.5.2 A.27 AY.125 AY.13 AY.132 AY.17 AY.24 AY.35 AY.53 B.1.1.198 B.1.1.486 B.1.160 B.1.2 B.1.221 B.1.351.5 B.1.367 B.1.525 B.1.568 B.1.570 B.1.619 B.1.626 B.39 B.40 B.55 BA.1.1.11 BA.1.1.17 BA.1.6 BQ.1.10.3 CM.2 D.2 P.1.13 P.1.14 P.1.15 P.1.16 P.1.17.1 P.1.6 P.1.7 Q.7	0.30799999999999983 0.251 0.098 0.076 0.073 0.056 0.032 0.008 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture03	[('Omicron', 0.9490000000000001), ('Other', 0.049000000000000016), ('A', 0.002), ('Delta', 0.002)]	BA.2.38 XAJ Other BA.2.68 BF.11 BF.9 B.1.1.161 B.1.1.416 B.1.391 B.3 BA.2.34 BA.2.62 BA.2.9.4 BA.5.3.5 BQ.1.10.3 DB.1 A.1 B.1.1.220 B.1.1.228 B.1.568 BA.2.19 BA.2.3.12 BA.2.32 BA.2.39 BA.2.46 BA.2.48 BA.2.74 BA.5.10.1 BA.5.5.3 BE.10 BF.41 BQ.1.1.43 BQ.1.25.1 BQ.1.28 GP.2 AY.39.1.1 AY.43.6 B.1.1.216 B.1.177.57 B.1.503 B.1.544 B.1.630 B.1.634 BA.2.1 BA.2.21 BA.2.26 BA.2.37 BA.2.41 BA.2.53 BA.2.73 BA.4.1.8 BA.5.1.9 BA.5.5.2 BA.5.9 BF.10 BF.14 BF.36 BF.7.4.1 BF.7.5 BQ.1.13.1 BQ.1.2.3 BQ.1.32 CP.8 DJ.1.1.1 L.3 R.1 XAK XAS XBB.1.19.1 XBB.1.5.26 XBB.1.5.38 XBB.2.3.2	0.641 0.217 0.022 0.006 0.005 0.005 0.004 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture04	[('Omicron', 0.45700000000000013), ('Other', 0.2089999999999998), ('Gamma', 0.15600000000000003), ('Iota', 0.114), ('Alpha', 0.058), ('A', 0.003), ('Delta', 0.001), ('Beta', 0.001), ('Eta', 0.001)]	BA.2 B.1.526 P.1 B.1.1.161 Other XAJ B.1.1.7 BA.1.14 BA.2.23 P.1.4 BA.1.18 BA.1 XAD XAR XAP BA.2.40.1 BA.1.1.1 BA.2.3.15 P.1.16 P.1.7 XM BA.1.14.1 P.1.10 B.1.1.416 B.6 BA.2.46 BA.2.9.4 B.1.1.326 B.1.1.329 B.1.567 BA.1.7 BA.2.18 BA.2.2 BA.2.31.1 BA.2.5 P.1.15 Q.1 B.1.1.434 B.1.146 B.1.221 B.1.258.17 B.1.356 B.1.361 B.1.375 B.1.620 B.1.626 B.23 BA.1.15.2 BA.1.16.1 BA.2.1 BA.2.3.12 BA.2.35 BA.2.39 BA.2.48 BA.2.54 BA.2.55 BA.2.70 BA.2.9.7 P.1.14 A.2.5.2 A.27 A.3 AD.2 AY.101 AZ.2 B.1.1.198 B.1.1.279 B.1.1.294 B.1.1.420 B.1.177.62 B.1.177.77 B.1.2 B.1.311 B.1.351.3 B.1.36.39 B.1.409 B.1.465 B.1.509 B.1.525 B.1.619 B.1.625 B.1.630 B.1.634 B.39 B.4 B.40 B.55 BA.1.1.15 BA.1.1.4 BA.1.12 BA.1.15.3 BA.1.16 BA.1.19 BA.1.20 BA.1.21 BA.1.5 BA.1.8 BA.2.12 BA.2.3.7 BA.2.32 BA.2.45 BA.2.50 BA.2.62 BA.2.64 BA.4.7 BA.5.6.1 BA.5.9 BC.1 BD.1 BF.11.5 BF.7.27 BN.1.3.3 BU.3 C.16 C.36.3 CH.1.1.24 CM.4 CP.1.1 CQ.1.1 D.2 DF.1.1 DG.1 L.3 P.1.17.1 XBB.6.1	0.135 0.114 0.081 0.077 0.06899999999999973 0.057 0.055 0.053 0.053 0.052 0.012 0.011 0.01 0.01 0.008 0.007 0.006 0.006 0.006 0.006 0.006 0.005 0.005 0.004 0.004 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture05	[('Omicron', 0.6190000000000001), ('Other', 0.3729999999999999), ('A', 0.005), ('Delta', 0.001), ('Eta', 0.001), ('Alpha', 0.001)]	Other BA.4.1 BA.5.5 BA.2.12 BF.1 XAJ XAP B.1.1.161 BF.9 B.1.1.416 XAZ BA.5 B.6 BA.2.70 BA.5.5.2 BF.27 BF.3.1 A.1 A.2.5 B.1.1.284 B.1.1.376 B.1.260 B.1.568 B.23 B.3 B.4 BA.4.1.1 BA.5.3.2 BA.5.8 BF.11.3 BF.15 BF.20 BF.22 BF.36 BF.40 BF.7.13.2 BG.2 DE.1 A.21 AY.4.10 B.1.1.153 B.1.1.170 B.1.1.198 B.1.1.279 B.1.1.294 B.1.1.39 B.1.1.434 B.1.1.70 B.1.177.73 B.1.177.77 B.1.177.83 B.1.258.17 B.1.36.9 B.1.525 B.1.530 B.1.567 B.1.620 BA.1.15.3 BA.2.9.4 BA.2.9.7 BA.4.1.6 BA.4.3 BA.5.5.3 BA.5.6.4 BA.5.9 BE.12 BF.21 BF.39 BF.7.4.2 BG.4 BN.1.3.3 BN.1.4.2 CQ.1.1 DN.1.1.3 L.3 Q.7 XB	0.3029999999999998 0.239 0.103 0.066 0.055 0.051 0.032 0.029 0.01 0.006 0.006 0.004 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture06	[('Omicron', 0.6070000000000001), ('Delta', 0.136), ('Alpha', 0.077), ('Other', 0.06499999999999959), ('Gamma', 0.059000000000000004), ('Iota', 0.053), ('A', 0.001), ('Epsilon', 0.001), ('Eta', 0.001)]	BA.2.12.1 AY.8 BA.2.11 B.1.1.7 XAJ BA.1.9 BA.2.23 B.1.526 P.1.4 BA.2.12 BA.1 XAB B.1.1.161 XM AY.13 BA.2.40.1 B.1.1.416 BA.1.18 BA.2.3.15 BA.1.1.1 BA.1.15.3 BA.1.12 BA.1.14.1 BA.1.7 BA.2.5 B.4 BA.2.9.4 AY.17 B.1.356 B.3 BA.2.18 BA.2.3.17 BA.2.39 BQ.1.10.3 P.1.7 AY.125 AY.16 AY.30 AY.54 B.1.1.198 B.1.1.228 B.1.177.73 B.1.240 B.23 BA.1.5 BA.2.26 BA.2.9.7 BE.12 BG.4 DE.1 DG.1 P.1.17 Other A.2.5.2 AY.101 AY.35 AY.43.3 AY.52 AY.53 AY.62 AY.64 AY.68 AY.74 AZ.2 B.1.1.189 B.1.1.284 B.1.1.486 B.1.1.523 B.1.214.2 B.1.221 B.1.36.39 B.1.375 B.1.377 B.1.396 B.1.409 B.1.427 B.1.471 B.1.509 B.1.525 B.1.544 B.1.570 B.1.577 B.1.605 B.1.620 B.1.625 B.1.630 B.1.634 B.1.637 BA.1.1.15 BA.1.1.3 BA.1.1.4 BA.1.10 BA.1.20 BA.1.21 BA.2.32 BA.2.48 BA.2.50 BA.2.54 BA.2.70 BA.4.1.6 BA.5.1.9 BA.5.5.2 BA.5.5.3 BA.5.9 BC.1 BD.1 BF.21 BF.7.4.2 BN.3.1 BQ.1.32 C.16 CM.2 CQ.1.1 DB.1 GJ.1 P.1 P.1.10.1 P.1.15 Q.1 Q.7 XAP XAY.1.1.1 XBB.1.17.1 XH XW	0.122 0.108 0.093 0.075 0.068 0.065 0.061 0.053 0.051 0.041 0.017 0.015 0.011 0.011 0.008 0.008 0.007 0.007 0.007 0.006 0.006 0.005 0.005 0.005 0.005 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.0019999999999995577 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture07	[('Omicron', 0.5890000000000001), ('Alpha', 0.136), ('Iota', 0.124), ('Gamma', 0.08100000000000002), ('Other', 0.07700000000000004), ('A', 0.001), ('Delta', 0.001), ('Beta', 0.001), ('Epsilon', 0.001), ('Eta', 0.001)]	BA.4.1 B.1.1.7 B.1.526 BA.5.5 BF.1 XAJ P.1 XAP B.1.1.161 BA.2.12 P.1.4 BA.2.12.1 BF.15 BF.36 BF.9 P.1.6 P.1.7 B.1.620 BA.2.3.15 BA.5.11 BA.5.2.53 BA.5.5.2 BF.27 P.1.15 AD.2 B.1.1.220 B.1.1.228 B.1.1.291 B.1.1.326 B.1.1.416 B.1.1.434 B.1.1.67 B.1.1.70 B.1.221 BA.4.4 BA.5.6 BA.5.6.4 BA.5.8 BF.20 BF.22 BF.3.1 DE.1 DF.1.1 P.1.1 Q.4 Q.7 A.28 AY.4.10 AZ.2 B.1.1.170 B.1.1.186 B.1.1.198 B.1.1.207 B.1.1.216 B.1.1.279 B.1.1.294 B.1.1.297 B.1.1.311 B.1.1.376 B.1.1.519 B.1.1.523 B.1.110.3 B.1.177.15 B.1.177.73 B.1.3 B.1.351.5 B.1.409 B.1.416.1 B.1.427 B.1.509 B.1.525 B.1.544 B.1.588 B.1.623 B.1.625 B.1.626 B.1.634 B.4 BA.2.64 BA.2.9.7 BA.4.6.4 BA.5.2.39 BA.5.2.9 BA.5.9 BE.1.4.2 BE.12 BE.3 BF.10 BF.11.1 BF.11.4 BF.24 BF.30 BF.7.13.2 BF.7.4.1 BG.2 BN.1.3.3 BQ.1.1.28 BT.2 C.23 C.36 C.36.3 CC.1 CM.2 CQ.2 DN.1.1.3 FE.1.2 P.1.13 Q.1 R.1 XAD XL	0.268 0.131 0.124 0.061 0.06 0.054 0.053 0.042 0.023 0.017 0.014 0.012 0.005 0.005 0.005 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture08	[('Omicron', 0.9800000000000001), ('Other', 0.013999999999999894), ('A', 0.002), ('Delta', 0.002), ('Beta', 0.001), ('Alpha', 0.001)]	BA.5.5 BA.4.1 BA.2 BA.1 BA.2.12.1 BA.1.9 BA.2.23 XZ BA.1.14.1 BA.1.12 BA.2.5 BA.2.8 BA.1.16 BA.2.18 BA.2.19 BA.2.3.15 BA.2.3.2 BA.2.39 BA.2.70 BA.2.9.7 BA.5.3.2 BC.1 XW B.1.1.161 B.23 B.3 BA.1.1.4 BA.1.16.1 BA.1.5 BA.2.10.3 BA.2.16 BA.2.2 BA.2.26 BA.2.3.10 BA.2.3.12 BA.2.3.4 BA.2.32 BA.2.40.1 BA.2.41 BA.2.42 BA.2.45 BA.2.46 BA.2.53 BA.4.2 BA.5.2.25 BA.5.5.2 BA.5.6 BA.5.8 BE.3 CQ.1.1 XS A.2.5 A.28 AY.121.1 AY.64 B.1.1.523 B.1.351.5 B.1.36.31 B.1.626 B.1.634 B.39 BA.1.15.3 BA.1.20 BA.1.24 BA.2.21 BA.2.3.1 BA.2.3.11 BA.2.3.5 BA.2.3.9 BA.2.48 BA.2.54 BA.2.64 BA.2.9.1 BA.4.1.1 BA.5.5.3 BA.5.9 BE.1.4.1 BE.12 BF.7.4.2 BG.2 BG.4 BN.1.3.8 BQ.1.28 CP.1.1 DE.1 DL.1 DS.2 EF.1.3 Q.7 XAZ XH XL Other	0.299 0.177 0.122 0.099 0.089 0.026 0.025 0.012 0.007 0.005 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.0009999999999998899		
Mixture09	[('Other', 0.994), ('A', 0.003), ('Omicron', 0.002), ('Delta', 0.001)]	Other B.3 A.23.1 A.28 A.29 AY.81 B.1.1.434 B.1.177.44 B.1.214.2 B.1.36.31 B.1.36.39 B.1.619 B.1.620 B.4 B.55 B.6 BA.5.2.14 BF.40	0.981 0.003 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture10	[('Omicron', 0.978), ('Other', 0.018000000000000013), ('A', 0.002), ('Beta', 0.001), ('Eta', 0.001)]	BA.2 BA.1 BA.2.23 BA.1.6 Other BC.1 BA.2.40.1 BA.2.41 BA.1.8 BA.2.18 BA.2.19 BA.2.26 BA.2.3.17 XAP XE B.1.1.434 BA.1.1.4 BA.1.12 BA.1.14.1 BA.1.15.3 BA.1.20 BA.1.7 BA.2.1 BA.2.3.15 BA.2.35 BA.2.39 BA.2.48 BA.5.2.35 A.23.1 A.27 B.1.1.161 B.1.1.207 B.1.1.228 B.1.177.4 B.1.351 B.1.36.39 B.1.409 B.1.525 B.4 BA.1.17.2 BA.1.5 BA.2.13.1 BA.2.3.1 BA.2.3.10 BA.2.3.4 BA.2.3.5 BA.2.3.6 BA.2.32 BA.2.44 BA.2.50 BA.2.53 BA.2.62 BA.2.65 BA.2.70 BA.5.1.26 BA.5.10.1 BA.5.2.7 BA.5.8 BD.1 BE.1.4.1 BF.11.3 BF.11.5 BF.7.7 BG.4 BN.1.3.3 BN.1.4.1 BQ.1.13.1 BQ.1.28 BQ.1.8.2 C.36.3 D.2 DE.1 L.3 XAZ XB XH XL	0.563 0.223 0.09 0.01 0.0050000000000000044 0.005 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
