	summarized	lineages	abundances	resid	coverage
Mixture01	[('Omicron', 0.6290000000000001), ('Other', 0.20099999999999982), ('Alpha', 0.048), ('Gamma', 0.04300000000000001), ('Iota', 0.038), ('Delta', 0.03400000000000001), ('A', 0.003), ('Eta', 0.002), ('Epsilon', 0.001), ('Lambda', 0.001)]	BA.4.1 Other BA.2.12 BA.5.5 BA.2.23 B.1.1.7 B.1.526 P.1.4 XAJ XAP B.1.1.161 BF.1 BF.9 BA.1.9 AY.8 BA.5 BF.15 B.1.1.326 BA.1.18 BA.2.38 AY.52 B.1.1.416 BA.1.10 P.1.6 AY.30 B.1.575 B.6 BA.1.15.2 BA.2.3.15 BA.2.67 BA.2.9.4 BA.4.3 BA.5.3.2 Q.4 XAZ A.1 AY.101 AY.53 AY.9.2 B.1.1.228 B.1.1.70 B.1.177.77 B.1.356 B.1.36.39 B.1.525 B.1.530 B.1.551 B.1.568 B.1.626 B.23 B.4 BA.1.1.1 BA.1.5 BA.1.7 BA.2.21 BA.2.46 BA.2.68 BA.4.1.1 BF.11.4 DE.1 P.1.14 P.1.7 Q.7 A.2.5 AY.11 AY.13 AY.17 AY.24 AY.4.2.1 AY.48 AY.49 AY.54 AY.73 AZ.2 B.1.1.186 B.1.1.216 B.1.1.294 B.1.1.434 B.1.1.486 B.1.1.519 B.1.2 B.1.311 B.1.340 B.1.36.31 B.1.396 B.1.409 B.1.427 B.1.619 B.1.634 BA.1.1.3 BA.1.14 BA.1.16 BA.1.20 BA.2.35 BA.2.63 BA.2.9.7 BA.4.2 BA.5.2.14 BE.1.1.1 BF.10 BF.11.2 BF.20 BF.27 BF.36 BF.7.13.2 BF.7.4.2 BG.2 BG.4 BG.5 BN.3.1 BQ.1.13.1 C.23 C.37 CC.1 CM.8.1 CR.1.1 DB.1 DL.1 DN.1.1.3 P.1.16 P.1.17.1 XAK XL	0.213 0.11999999999999977 0.082 0.059 0.045 0.043 0.038 0.033 0.033 0.033 0.025 0.025 0.019 0.013 0.012 0.012 0.009 0.008 0.008 0.005 0.004 0.004 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture02	[('Other', 0.4279999999999999), ('Alpha', 0.24000000000000002), ('Delta', 0.10500000000000001), ('Iota', 0.099), ('Omicron', 0.07800000000000003), ('Gamma', 0.04500000000000001), ('A', 0.004), ('Beta', 0.001)]	Other B.1.1.7 B.1.526 B.1.1.161 AY.16 BA.1 P.1 AY.30 AY.53 BA.1.18 AY.13 B.1.1.416 P.1.7 AY.17 AY.73 P.1.10 AY.54 B.6 BA.1.14.1 BA.1.20 BA.1.5 BA.1.8 BD.1 P.1.4 Q.4 A.27 AY.24 AY.51 AY.52 B.1.1.170 B.1.260 B.1.396 B.1.567 B.1.620 B.1.626 B.39 B.4 BA.1.12 BA.1.16 BA.1.9 BC.1 P.1.10.1 P.1.16 Q.7 A.2.5 A.23.1 AY.101 AY.121.1 AY.125 AY.49 AY.56 AY.65 AY.68 AY.74 AY.9.2 B.1.1.141 B.1.1.216 B.1.1.232 B.1.1.284 B.1.1.33 B.1.1.434 B.1.1.464 B.1.1.486 B.1.1.521 B.1.1.70 B.1.177.77 B.1.258.17 B.1.340 B.1.351.2 B.1.36.39 B.1.469 B.1.544 B.1.570 B.1.575 B.1.577 B.1.623 B.1.634 B.55 BA.1.1.4 BA.1.10 BA.1.15.3 BA.1.19 BA.1.24 BA.1.6 CN.1 L.3 P.1.1 P.1.13 P.1.14 P.1.15 P.1.17 P.1.17.1 P.1.6 Q.3 R.1	0.31799999999999984 0.234 0.099 0.06 0.047 0.039 0.022 0.013 0.011 0.009 0.008 0.007 0.005 0.004 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture03	[('Omicron', 0.9740000000000002), ('Other', 0.018999999999999784), ('A', 0.003), ('Delta', 0.001), ('Beta', 0.001), ('Eta', 0.001), ('Alpha', 0.001)]	BA.4.1 BA.5.5 BA.2.12.1 BA.2.23 BA.2 BF.1 BA.5 BA.4 BA.2.18 BA.5.3.2 BA.2.3.2 BA.2.3.5 BA.2.45 B.3 B.6 BA.2.70 BA.2.9.7 BA.5.5.2 BF.9 CQ.1.1 B.1.1.161 B.23 BA.2.19 BA.2.2 BA.2.26 BA.2.3.4 BA.2.32 BA.2.35 BA.2.40.1 BA.2.46 BA.2.48 BA.2.55 BA.4.1.8 BA.4.4 BA.4.6.4 BE.1.1.1 BF.36 XAZ A.1 A.27 A.28 AY.91.1 B.1.1.486 B.1.177.87 B.1.214.2 B.1.351.5 B.1.409 B.1.525 B.1.567 B.1.625 B.1.634 B.55 BA.1.16.1 BA.2.10.1 BA.2.12 BA.2.13.1 BA.2.3.1 BA.2.39 BA.2.41 BA.2.5 BA.2.50 BA.2.62 BA.2.63 BA.2.64 BA.2.8 BA.4.1.1 BA.4.2 BA.4.3 BA.5.1.26 BA.5.1.33 BA.5.2.39 BA.5.6.4 BA.5.9 BE.3 BF.1.1 BF.10 BF.11.5 BF.15 BF.20 BF.7.4.2 BF.7.5.1 BG.4 BG.5 BN.1.3.7 BQ.1.13.1 BQ.1.28 BU.3 BZ.2 DJ.1.1.1 Q.7 XL XW Other	0.266 0.228 0.187 0.059 0.056 0.037 0.021 0.011 0.006 0.005 0.004 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.0009999999999997788		
Mixture04	[('Omicron', 0.4510000000000002), ('Other', 0.24199999999999985), ('Gamma', 0.14700000000000002), ('Iota', 0.102), ('Alpha', 0.05), ('A', 0.004), ('Delta', 0.001), ('Eta', 0.001), ('Mu', 0.001), ('Zeta', 0.001)]	BA.2 Other B.1.526 P.1 P.1.4 B.1.1.7 BA.1.17.2 XAJ B.1.1.161 BA.2.23 BA.1.14 BA.1.18 BA.1.1.1 BA.2.3.15 P.1.7 XAP XAR BA.1.14.1 B.1.356 BA.1.7 B.1.260 B.6 BA.1.5 BA.2.35 BA.2.9.4 BA.2.9.7 B.1.377 BA.1.19 BA.2.18 BA.2.29 BA.2.3.7 BA.2.5 BA.2.50 BA.2.70 P.1.6 Q.1 B.1.1.277 B.1.1.521 B.1.221 B.1.391 B.1.620 B.1.634 B.3 BA.1.1.4 BA.1.21.1 BA.2.19 BA.2.20 BA.2.21 BA.2.31.1 BA.2.40.1 BA.2.48 BA.2.8 BA.5.1.11 BA.5.10.1 BF.40 CC.1 P.1.10.1 P.1.14 P.1.16 P.1.17 A.1 A.2.5 A.23.1 A.27 AY.4.2.1 B.1.1.141 B.1.1.207 B.1.1.216 B.1.1.228 B.1.1.326 B.1.1.416 B.1.1.434 B.1.1.67 B.1.177.86 B.1.177.87 B.1.206 B.1.258.17 B.1.36.39 B.1.375 B.1.509 B.1.525 B.1.530 B.1.549 B.1.567 B.1.575 B.1.605 B.1.626 B.55 BA.1.1.15 BA.1.12 BA.1.20 BA.2.12 BA.2.16 BA.2.3.12 BA.2.3.14 BA.2.32 BA.2.45 BA.2.53 BA.2.56 BA.2.62 BA.2.65 BA.5.2.19 BA.5.2.7 BA.5.5.1 BA.5.5.2 BB.2 BD.1 BE.1.3 BE.10 BF.30 BN.1.3.8 BW.1.1.1 BZ.2 CL.1.1 CQ.1.1 DB.1 DF.1.1 P.1.1 P.1.10 P.1.15 P.2 Q.3 R.1 XB XBB.6.1 XL XS	0.152 0.1479999999999998 0.102 0.073 0.053 0.046 0.043 0.042 0.039 0.034 0.031 0.014 0.01 0.007 0.007 0.007 0.007 0.006 0.005 0.005 0.004 0.004 0.004 0.004 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture05	[('Omicron', 0.6160000000000001), ('Other', 0.3799999999999998), ('A', 0.002), ('Delta', 0.001), ('Eta', 0.001)]	Other BA.4.1 BA.5.5 B.1.1.161 BA.2.12 BF.1 XAJ XAP BF.9 BA.5.1.17 B.6 BA.2.12.1 BF.27 BF.5.5 B.23 BA.2.3.12 BA.2.67 BA.2.70 BA.2.9.4 BA.4.4 BA.5.1.7 BA.5.3.2 BA.5.8 BE.1.1.1 BF.2 BF.36 BG.2 BU.3 CD.2 XAR XAZ A.2.5.2 A.28 AD.2 AY.43.6 B.1.214.2 B.1.525 B.1.619 B.1.626 B.39 B.55 BA.2.3.1 BA.4.1.1 BA.5.1.16 BA.5.1.25 BA.5.1.26 BA.5.1.8 BA.5.10.1 BA.5.5.2 BA.5.5.3 BE.1.3 BE.1.4.1 BE.12 BE.3 BF.10 BF.15 BF.21 BF.22 BF.40 BF.7.4.1 BF.7.4.2 BG.4 BQ.1.10.3 BQ.1.13.1 BQ.1.28 BT.2 CH.1.1.6 CL.1.1 CP.1.1 CR.1.1 DL.1 FU.2 L.3 XBF.6	0.2709999999999998 0.218 0.104 0.096 0.091 0.05 0.039 0.024 0.01 0.006 0.004 0.004 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture06	[('Omicron', 0.6180000000000002), ('Delta', 0.12700000000000003), ('Alpha', 0.069), ('Gamma', 0.06), ('Other', 0.0599999999999997), ('Iota', 0.059), ('A', 0.005), ('Epsilon', 0.001), ('Eta', 0.001)]	BA.2.12.1 BA.2.12 AY.8 BA.2.23 B.1.1.7 B.1.526 BA.1.17.2 P.1.4 XAJ BA.1.9 BA.2.11 BA.1.18 XAR B.1.1.161 BA.1 BA.2.9.4 AY.13 Q.1 XAB B.1.1.416 BA.2.18 BA.2.35 P.1.7 AY.24 BA.1.1.11 BA.1.5 BA.2.31.1 BA.2.40.1 BA.2.50 AY.16.1 AY.17 AY.30 BA.1.1.1 BA.1.7 BA.2.29 BA.2.3.7 BA.2.46 BA.2.70 Q.4 Other A.1 AY.49 AY.52 AY.53 AY.65 B.1.1.216 B.1.1.228 B.1.1.326 B.1.1.434 B.1.1.67 B.1.634 BA.1.12 BA.1.14.1 BA.2.13.1 BA.2.19 BA.2.2 BA.2.26 BA.2.3.15 BA.2.32 BA.2.39 BA.2.48 BA.5.8 BF.7.4.2 P.1.17 XL A.2.5.2 A.21 A.28 AD.2 AY.101 AY.124.1 AY.51 AY.56 AY.68 AY.87 B.1.1.198 B.1.1.279 B.1.1.305 B.1.1.318 B.1.1.329 B.1.1.432 B.1.1.521 B.1.177.4 B.1.2 B.1.221 B.1.260 B.1.3 B.1.36.39 B.1.367 B.1.375 B.1.391 B.1.409 B.1.429 B.1.525 B.1.530 B.1.544 B.1.619 B.1.626 B.1.637 B.4 BA.1.1.15 BA.1.1.3 BA.1.1.4 BA.1.10 BA.1.15.2 BA.1.16 BA.1.16.1 BA.1.19 BA.1.20 BA.1.24 BA.2.22 BA.2.45 BA.2.64 BA.2.67 BA.4.1.6 BA.4.2 BA.5.6.1 BA.5.9 BC.1 BD.1 BF.1.1 BG.4 BQ.1.10.3 BU.3 BW.1.1 C.16 CD.2 CH.1.1.24 CN.2 CP.8 CR.1.1 DE.1 P.1.14 P.1.15 R.1 XAS	0.159 0.102 0.094 0.075 0.06 0.059 0.059 0.051 0.026 0.02 0.019 0.016 0.015 0.014 0.008 0.007 0.006 0.006 0.006 0.005 0.005 0.005 0.005 0.004 0.004 0.004 0.004 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.0029999999999996696 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture07	[('Omicron', 0.6050000000000001), ('Alpha', 0.14400000000000002), ('Iota', 0.112), ('Other', 0.07000000000000003), ('Gamma', 0.066), ('Delta', 0.002), ('Mu', 0.002), ('Beta', 0.001)]	BA.4.1 B.1.1.7 B.1.526 BA.5.5 BF.1 XAJ BA.2.12 XAP P.1 BA.2.23 P.1.4 BF.24 B.1.1.220 BF.9 B.1.1.416 B.1.1.326 BA.2.12.1 BF.15 B.1.1.279 B.1.1.284 B.6 BA.4.4 BF.36 C.23 P.1.14 P.1.7 Q.1 B.1.1.170 B.1.1.207 B.1.1.521 B.1.356 B.1.375 B.1.577 B.1.626 BA.2.3.15 BA.2.48 BA.2.9.7 BA.4.1.1 BF.11.4 BF.3.1 BF.40 BF.5 BT.2 Q.3 AY.121.1 AY.5.5 B.1.1.192 B.1.1.198 B.1.1.216 B.1.1.277 B.1.1.294 B.1.1.376 B.1.1.434 B.1.1.519 B.1.1.63 B.1.177.81 B.1.2 B.1.3 B.1.351.5 B.1.362 B.1.367 B.1.377 B.1.391 B.1.409 B.1.509 B.1.544 B.1.570 B.1.588 B.1.619 B.1.620 B.1.621.1 B.1.625 BA.1.15.3 BA.2.70 BA.2.9.4 BA.4.1.6 BA.5.1.1 BA.5.1.18 BA.5.1.6 BA.5.5.3 BA.5.8 BA.5.9 BB.2 BC.1 BE.1.3 BE.1.4.1 BE.3 BF.10 BF.16 BF.20 BG.2 BG.4 BN.3.1 BQ.1.10.3 BU.3 CM.4 CN.2 CP.8 CQ.1.1 DE.1 P.1.1 P.1.13 P.1.15 P.1.17 P.1.6 Q.7 XAZ XZ	0.216 0.138 0.112 0.07 0.061 0.054 0.05 0.04 0.036 0.025 0.019 0.018 0.009 0.008 0.006 0.005 0.005 0.005 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture08	[('Omicron', 0.9730000000000003), ('Other', 0.02500000000000001), ('A', 0.004)]	BA.5.5 BA.4.1 BA.2 BA.1.9 BA.1 BA.2.12.1 BA.2.23 BA.1.18 BA.5 BA.1.16 BA.1.5 BA.2.19 B.1.1.416 B.6 BA.2.70 XS BA.1.7 BA.2.3.11 BA.2.3.15 BA.2.32 BA.2.41 BA.2.42 BA.2.63 BA.4.1.1 BA.5.3.2 BC.1 B.1.1.228 B.1.1.486 B.3 BA.1.12 BA.1.15.3 BA.1.8 BA.2.35 BA.2.46 BA.2.5 BA.2.54 BA.2.62 BA.2.68 BA.5.5.2 BE.3 CQ.1.1 XAZ XL XQ A.2 A.2.5.2 A.27 A.28 B.1.1.161 B.1.1.318 B.1.1.519 B.1.1.523 B.1.177.77 B.1.258.17 B.1.567 BA.1.1.4 BA.1.10 BA.1.14.1 BA.1.15.2 BA.1.16.1 BA.1.19 BA.1.24 BA.1.6 BA.2.10.1 BA.2.18 BA.2.3.7 BA.2.37 BA.2.45 BA.2.48 BA.2.50 BA.2.53 BA.2.64 BA.2.67 BA.2.7 BA.4.1.6 BA.4.1.8 BA.4.2 BA.5.10.1 BA.5.6.1 BA.5.9 BD.1 BE.10 BE.12 BF.21 BF.7.13.2 BF.7.4.2 BG.2 BG.4 BG.5 BU.3 CM.2 CM.8.1 CN.2 CR.1.1 CV.1 DE.1 DJ.1.1.1 XAP XW	0.296 0.195 0.131 0.058 0.054 0.053 0.036 0.014 0.013 0.005 0.005 0.005 0.004 0.004 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture09	[('Other', 0.996), ('A', 0.002), ('Delta', 0.002)]	Other B.6 A.27 A.28 AY.52 AY.68 B.1.1.374 B.1.160.16 B.1.177.15 B.1.396 B.1.567 B.1.568 B.1.620 B.4 B.40 B.55 C.36.3	0.982 0.003 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture10	[('Omicron', 0.9770000000000001), ('Other', 0.020000000000000007), ('A', 0.002), ('Delta', 0.001), ('Eta', 0.001)]	BA.2 BA.1 BA.2.23 XAR BA.1.6 BA.2.41 BA.1.14.1 BA.2.67 BA.1.8 BA.2.39 BA.2.46 BA.2.9.7 B.1.1.434 B.1.634 B.23 BA.1.1.4 BA.1.12 BA.1.7 BA.2.19 BA.2.26 BA.2.3.15 BA.2.35 BA.2.48 BA.2.53 BA.2.70 BA.2.8 D.2 L.3 A.1 A.28 AY.4.10 B.1.160.16 B.1.177.86 B.1.214.2 B.1.525 B.1.619 B.1.620 B.1.623 B.1.625 B.4 B.6 BA.1.1.17 BA.1.10 BA.1.19 BA.1.21.1 BA.1.24 BA.1.5 BA.1.9 BA.2.1 BA.2.10 BA.2.21 BA.2.3.4 BA.2.32 BA.2.40.1 BA.2.44 BA.2.45 BA.2.50 BA.2.63 BA.2.64 BA.2.65 BA.4.3 BA.5.9 BD.1 BE.12 BF.11.5 BF.22 BF.7.13.2 BF.7.5.1 BW.1.1.1 CR.1.1 DF.1.1 DS.2 XB XL XQ	0.62 0.227 0.019 0.016 0.011 0.006 0.005 0.005 0.004 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
