	summarized	lineages	abundances	resid	coverage
Mixture01_barcode01	[('Omicron', 0.6120000000000001), ('Other', 0.21999999999999978), ('Alpha', 0.062), ('Iota', 0.041), ('Gamma', 0.038000000000000006), ('Delta', 0.02500000000000001), ('Kappa', 0.001), ('XBB.2.3* (XBB.2.3X)', 0.001)]	BA.4.1 Other B.1.1.161 BA.5.5 B.1.1.7 BA.2.12 XAJ B.1.526 BF.1 P.1 XAR BA.1.9 XAP BA.2.23 AY.8 BA.4 B.4 BA.2.38 B.1.371 BA.2.18 AY.14 BA.2.46 BA.2.70 BF.15 BA.2.40.1 BA.4.7 AY.30 AY.48 AY.53 BA.2.12.1 BA.2.68 BA.4.2 BF.2 BF.3.1 BV.1 P.1.13 Q.7 AY.16 AY.17 AY.52 B.1.340 B.1.375 B.1.465 B.1.509 B.1.575 B.1.596.1 B.1.617.1 B.1.620 B.1.623 B.23 B.3 B.40 B.6 BA.1.14.1 BA.1.16.1 BA.1.17.2 BA.1.5 BA.2.13.1 BA.2.21 BA.2.23.1 BA.2.3.10 BA.2.3.14 BA.2.3.15 BA.2.3.4 BA.2.3.9 BA.2.37 BA.2.50 BA.2.62 BA.2.65 BA.2.72 BA.2.8 BA.2.9.7 BA.4.1.1 BA.4.1.8 BA.5.1.30 BA.5.2.37 BA.5.2.9 BA.5.5.2 BA.5.8 BC.1 BE.1.4.1 BE.3 BF.1.1 BF.10 BF.11.5 BF.21 BF.27 BF.31 BF.36 BF.41 BF.5 BF.8 BG.2 BG.5 CN.2 CP.8 P.1.17.1 P.1.6 Q.4 XAK XAL XBB.2.3.1	0.212 0.09899999999999975 0.097 0.062 0.059 0.057 0.05 0.041 0.036 0.034 0.034 0.028 0.021 0.014 0.012 0.011 0.007 0.007 0.005 0.005 0.004 0.004 0.004 0.004 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture02_barcode02	[('Other', 0.41100000000000003), ('Alpha', 0.254), ('Delta', 0.10900000000000001), ('Iota', 0.103), ('Omicron', 0.07900000000000001), ('Gamma', 0.043000000000000003), ('A', 0.001)]	B.1.1.7 Other B.1.1.161 B.1.526 AY.16 BA.1 P.1 AY.54 B.4 B.1.617.2 AY.16.1 B.1.1.153 BA.1.10 P.1.13 Q.4 A.27 AY.13 AY.14 AY.17 AY.30 AY.35 AY.47 AY.52 B.1.1.207 B.1.1.232 B.1.1.434 B.1.1.464 B.1.1.519 B.1.160.16 B.1.36.1 B.1.465 B.1.469 B.1.480 B.1.517 B.1.575 B.1.596.1 B.1.619 B.1.620 B.3 B.6 BA.1.1.3 BA.1.1.4 BA.1.14.1 BA.1.15.3 BA.1.5 BC.1 BD.1 D.2 P.1.14	0.252 0.21699999999999997 0.166 0.103 0.078 0.07 0.04 0.017 0.008 0.004 0.003 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture03_barcode03	[('Omicron', 0.9700000000000002), ('Other', 0.029999999999999916)]	BA.4.1 BA.5.5 BA.2.12.1 BA.2 BA.4 BF.1 Other BA.5 BA.2.46 BA.2.70 BF.10 BF.20 BA.2.29 BA.2.63 BA.5.1.2 BA.5.1.26 BA.5.3.2 B.3 B.4 BA.5.1.22 BA.5.10.1 BA.5.8 CD.2 XAP B.1.634 BA.2.1 BA.2.2 BA.2.20 BA.2.25 BA.2.26 BA.2.3.14 BA.2.3.17 BA.2.3.4 BA.2.3.5 BA.2.31 BA.2.32 BA.2.39 BA.2.44 BA.2.48 BA.2.62 BA.2.72 BA.2.8 BA.2.9.7 BA.4.1.8 BA.4.3 BA.4.4 BA.4.7 BA.5.1.15 BA.5.1.16 BA.5.1.3 BA.5.1.9 BA.5.11 BA.5.2.3 BA.5.3.3 BA.5.5.1 BA.5.5.2 BE.1.4.1 BE.3 BF.1.1 BF.15 BF.27 BF.3.1 BF.32 BF.5 BF.9 BG.2 BG.5 BQ.1.1.28 BQ.1.2.1 BZ.2 CP.8 CQ.1.1 XAJ XAZ XL XW	0.232 0.215 0.181 0.141 0.05 0.033 0.02499999999999991 0.024 0.006 0.004 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture04_barcode04	[('Omicron', 0.4430000000000001), ('Other', 0.23799999999999988), ('Gamma', 0.14800000000000002), ('Iota', 0.115), ('Alpha', 0.055), ('A', 0.001)]	BA.2 B.1.1.161 P.1 B.1.526 Other BA.1.17.2 B.1.1.7 BA.1.18 XAJ XAP P.1.16 XAD BA.2.70 BA.1.1.1 P.1.10 BA.2.18 BA.2.29 B.4 BA.2.46 BA.2.54 B.1.1.216 B.1.1.329 B.1.377 BA.1.10 BA.1.15.2 BA.2.40.1 BA.2.65 P.1.13 A.3 AZ.3 B.1.1.228 B.1.1.284 B.1.1.39 B.1.1.434 B.1.1.464 B.1.1.521 B.1.1.67 B.1.1.70 B.1.160 B.1.260 B.1.469 B.1.634 B.23 BA.1.1.15 BA.1.12 BA.1.14.1 BA.1.16.1 BA.1.20 BA.1.21 BA.1.5 BA.1.7 BA.2.1 BA.2.10.1 BA.2.12 BA.2.13.1 BA.2.16 BA.2.2 BA.2.23 BA.2.26 BA.2.3.15 BA.2.31 BA.2.31.1 BA.2.32 BA.2.35 BA.2.39 BA.2.5 BA.2.50 BA.2.62 BA.2.72 BA.2.8 BA.2.9.7 BA.4.7 BA.5.1.33 BA.5.1.9 BA.5.5.2 BE.1.4.2 BF.40 P.1.1 P.1.15 P.1.7 Q.4 Q.7 XB	0.207 0.125 0.12 0.115 0.08899999999999986 0.067 0.053 0.038 0.027 0.022 0.017 0.011 0.008 0.006 0.006 0.005 0.004 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture05_barcode05	[('Omicron', 0.6030000000000001), ('Other', 0.3959999999999999), ('A', 0.001)]	Other BA.4.1 B.1.1.161 BA.5.5 BF.1 XAJ BA.2.12 XAP BA.5.11 BA.4 BA.5.1.17 BF.15 BA.5.8 BA.2.12.1 BA.2.70 BF.10 BF.2 B.3 B.4 BA.4.7 BA.5.10.1 A.28 B.1.409 B.6 BA.2.29 BA.2.3.15 BA.2.32 BA.2.35 BA.2.8 BA.2.9.7 BA.4.2 BA.4.4 BA.5.1.16 BA.5.1.26 BA.5.1.33 BA.5.1.9 BA.5.2.39 BA.5.5.2 BA.5.5.3 BA.5.6.4 BE.1.1.2 BE.1.2.1 BE.1.3 BE.1.4.1 BE.12 BF.1.1 BF.21 BF.27 BF.3.1 BF.36 BF.40 BF.5 BV.1 CP.8 CQ.1.1 XAK XAZ	0.23899999999999988 0.235 0.151 0.098 0.068 0.061 0.048 0.016 0.007 0.006 0.006 0.005 0.004 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture06_barcode06	[('Omicron', 0.631), ('Delta', 0.11800000000000001), ('Alpha', 0.07200000000000001), ('Iota', 0.063), ('Gamma', 0.05900000000000001), ('Other', 0.05699999999999971)]	BA.2.12 BA.2.12.1 BA.2.11 AY.8 B.1.1.7 BA.1.17.2 B.1.526 XAJ BA.2.23 BA.1 BA.1.9 P.1 Other P.1.4 XAP P.1.16 AY.54 BA.2.38 B.1.371 BA.5 BA.2.18 BA.2.70 BA.2.29 AY.17 AY.30 AY.35 AY.48 B.1.1.216 B.1.1.329 B.1.1.376 B.3 B.4 BA.1.10 BA.2.16 BA.2.40.1 BA.2.46 BA.2.65 BA.2.68 P.1.13 P.1.7 AY.13 AY.47 AY.51 AY.52 AY.53 AY.62 AZ.3 B.1.1.228 B.1.1.265 B.1.1.326 B.1.1.416 B.1.1.434 B.1.1.464 B.1.1.70 B.1.110.3 B.1.221 B.1.36.1 B.1.575 B.1.623 B.1.631 B.1.637 BA.1.1.3 BA.1.14.1 BA.1.15.3 BA.1.16.1 BA.1.21 BA.1.5 BA.2 BA.2.10.1 BA.2.19 BA.2.2 BA.2.26 BA.2.3.15 BA.2.3.4 BA.2.31.1 BA.2.32 BA.2.35 BA.2.39 BA.2.4 BA.2.50 BA.2.62 BA.2.63 BA.2.8 BA.2.9.7 BA.4.1 BA.4.7 BA.5.1.9 BA.5.8 BA.5.9 BC.1 BE.1.4.1 BF.11.5 BF.40 P.1.10 P.1.14 P.1.15 P.1.17.1 P.1.6 Q.3 Q.4 XAL	0.123 0.116 0.097 0.095 0.07 0.068 0.063 0.045 0.041 0.031 0.028 0.026 0.02599999999999969 0.014 0.014 0.01 0.009 0.007 0.006 0.005 0.004 0.004 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture07_barcode07	[('Omicron', 0.5850000000000001), ('Alpha', 0.154), ('Iota', 0.117), ('Gamma', 0.07400000000000001), ('Other', 0.06899999999999992), ('A', 0.001)]	BA.4.1 B.1.1.7 B.1.526 BF.1 P.1 BA.5.5 BA.2.12 XAJ BA.2.23 XAP Other B.1.1.161 B.1.533 B.1.1.220 B.1.1.228 BF.15 B.1.1.416 BF.10 XAR B.1.1.153 B.1.1.216 CP.8 P.1.13 P.1.7 A.28 B.1.1.232 B.1.1.25 B.1.1.269 B.1.1.277 B.1.1.284 B.1.1.294 B.1.1.311 B.1.1.329 B.1.1.376 B.1.1.39 B.1.1.432 B.1.1.464 B.1.1.519 B.1.1.67 B.1.1.70 B.1.544 B.1.568 B.1.619 B.1.620 B.1.623 B.1.637 B.6 BA.2.70 BA.4.1.1 BA.4.1.8 BA.4.4 BA.4.7 BA.5.1.4 BA.5.1.9 BA.5.10.1 BA.5.5.3 BA.5.6.2 BA.5.6.4 BA.5.8 BA.5.9 BE.1.4.1 BE.3 BF.1.1 BF.12 BF.16 BF.2 BF.21 BF.27 BF.3.1 BF.36 BF.40 BF.5 BF.9 BQ.1.1.28 CN.2 DG.1 P.1.1 P.1.10.1 P.1.14 P.1.15 P.1.17.1 Q.3 Q.4 Q.7 XBD	0.27 0.151 0.117 0.083 0.065 0.058 0.051 0.046 0.022 0.013 0.0119999999999999 0.011 0.009 0.004 0.004 0.004 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture08_barcode08	[('Omicron', 0.9620000000000001), ('Other', 0.035999999999999914), ('A', 0.002)]	BA.5.5 BA.4.1 BA.2 BA.2.29 BA.1.9 BA.1 BA.2.12.1 Other BA.1.6 XAJ XAP XAR BA.5.5.2 B.1.1.161 BA.2.37 BA.2.18 BA.2.46 BA.2.68 BA.2.70 BC.1 XS B.1.1.529 BA.1.10 BA.2.54 BE.2 BA.1.16.1 BA.2.23.1 BA.2.31 BA.2.40.1 BA.2.42 BA.2.44 BA.4.2 BA.4.7 BE.3 CD.2 A.1 A.27 B.1.1.228 B.1.1.294 B.1.1.434 B.1.620 B.1.634 B.23 BA.1.1.15 BA.1.1.4 BA.1.12 BA.1.14.1 BA.1.15.3 BA.1.17.2 BA.1.24 BA.1.5 BA.2.1 BA.2.10.1 BA.2.13.1 BA.2.16 BA.2.2 BA.2.23 BA.2.3.15 BA.2.32 BA.2.35 BA.2.39 BA.2.53 BA.2.62 BA.2.65 BA.2.9.7 BA.4.1.1 BA.4.1.8 BA.5.1.21 BA.5.1.26 BA.5.1.30 BA.5.1.33 BA.5.1.9 BA.5.2.30 BA.5.2.4 BA.5.8 BA.5.9 BE.1.4 BE.1.4.1 BF.21 BF.27 BF.36 CP.8 EN.1 XAZ	0.236 0.183 0.164 0.077 0.075 0.046 0.031 0.020999999999999908 0.015 0.014 0.008 0.008 0.007 0.005 0.005 0.004 0.004 0.004 0.004 0.004 0.004 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture09_barcode09	[('Other', 0.998), ('A', 0.002)]	Other B.3 B.4 A.1 A.27 B.1.1.153 B.55	0.992 0.002 0.002 0.001 0.001 0.001 0.001		
Mixture10_barcode10	[('Omicron', 0.9730000000000001), ('Other', 0.024999999999999904), ('A', 0.001), ('XBB* (XBB.X)', 0.001)]	BA.2 BA.1 Other XAJ XM BA.1.6 BA.2.18 B.3 BA.2.25 B.4 BA.1.15.3 BA.2.46 BA.1.10 BA.2.40.1 A.1 B.1.236 B.1.620 B.1.634 BA.1.1.17 BA.1.1.4 BA.1.16.1 BA.1.7 BA.2.1 BA.2.13.1 BA.2.16 BA.2.2 BA.2.23.1 BA.2.26 BA.2.31.1 BA.2.32 BA.2.35 BA.2.39 BA.2.44 BA.2.50 BA.2.62 BA.2.63 BA.2.65 BA.2.70 BA.2.8 BA.2.9.7 BD.1 FE.1.2 XB	0.66 0.247 0.013999999999999901 0.01 0.008 0.006 0.005 0.004 0.004 0.003 0.003 0.003 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
