	summarized	lineages	abundances	resid	coverage
Mixture01_barcode49	[('Omicron', 0.6130000000000002), ('Other', 0.15899999999999972), ('Iota', 0.076), ('Delta', 0.05200000000000001), ('Alpha', 0.05), ('Gamma', 0.034), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.011), ('A', 0.002), ('Beta', 0.002), ('XBB.2.3* (XBB.2.3X)', 0.001)]	BA.4.1 BA.2.12 XAJ B.1.1.161 B.1.526 BA.4 B.1.1.7 Other AY.8 XAP BA.5.5 P.1 BA.1.18 BA.2.12.1 BA.2 BA.2.10 XBB.1.5.32 BF.2 P.1.13 B.1.371 BA.1.1.1 BF.1 BA.1.24 BF.15 AY.30 BA.4.1.6 B.1.324 BA.5.8 P.1.14 AY.14 B.1.567 B.3 BA.1.1.11 BF.36 B.1.575 B.1.596.1 B.1.617.2 B.4 BA.2.18 BA.2.44 BF.40 P.1.15 XAS XW A.28 A.29 AY.13 AY.41 AY.42 AY.48 AY.51 AY.52 AY.54 AY.85 AZ.2 B.1.1.170 B.1.1.369 B.1.1.519 B.1.160 B.1.3 B.1.311 B.1.351.2 B.1.351.5 B.1.404 B.1.426 B.1.465 B.1.517 B.1.568 B.1.623 B.23 B.39 BA.1.1.15 BA.1.10 BA.1.15 BA.1.15.2 BA.1.15.3 BA.1.16.1 BA.1.17.2 BA.1.20 BA.1.21 BA.1.5 BA.2.19 BA.2.23.1 BA.2.5 BA.2.50 BA.2.62 BA.2.67 BA.2.70 BA.2.8 BA.4.1.8 BA.4.2 BA.4.7 BA.5.1.33 BA.5.10.1 BA.5.3.2 BA.5.5.2 BA.5.5.3 BA.5.9 BC.1 BE.1.4.1 BE.12 BF.10 BF.21 BF.3.1 BF.7.5 BF.9 CL.1.1 P.1.1 P.1.17.1 Q.4 Q.7 XAK XBB.1.5.38 XBB.2.3.1 XM	0.156 0.127 0.083 0.082 0.076 0.05 0.048 0.0389999999999997 0.034 0.027 0.022 0.018 0.016 0.015 0.01 0.01 0.01 0.008 0.008 0.007 0.007 0.007 0.006 0.006 0.005 0.005 0.004 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture02_barcode50	[('Other', 0.35099999999999987), ('Iota', 0.207), ('Alpha', 0.183), ('Delta', 0.15200000000000002), ('Omicron', 0.07300000000000001), ('Gamma', 0.030000000000000002), ('A', 0.002), ('Beta', 0.001), ('Epsilon', 0.001)]	B.1.526 Other B.1.1.7 AY.16 B.1.1.161 BA.1 B.1.617.2 B.1.617 P.1.16 B.1.371 BA.1.24 P.1 AY.14 B.4 D.2 AY.30 B.1.465 BA.1.14 P.1.7 XAJ AY.16.1 AY.49 B.6 BA.1.15.3 BA.1.5 A.21 A.27 AY.17 AY.41 AY.43.1 AY.51 AY.52 B.1.1.369 B.1.1.434 B.1.1.47 B.1.160 B.1.214.2 B.1.351.2 B.1.396 B.1.404 B.1.427 B.1.568 B.1.575 B.1.619 B.1.620 B.1.626 B.23 B.40 BA.1.1.15 BA.1.1.4 BA.1.1.8 BA.1.10 BA.1.14.1 BA.1.16.1 BA.1.21 BC.1 C.35 P.1.10.1 P.1.14 P.1.15 Q.3 Q.4 Q.7 XAY.2	0.207 0.19199999999999984 0.18 0.114 0.101 0.044 0.018 0.014 0.014 0.012 0.01 0.009 0.007 0.005 0.005 0.004 0.004 0.004 0.004 0.003 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture03_barcode51	[('Omicron', 0.9710000000000002), ('Other', 0.026999999999999913), ('A', 0.002)]	BA.4.1 BA.2 BA.2.12.1 BA.5.5 BA.4 XAS Other BA.2.32 BA.2.71 BF.15 XAJ BA.4.7 BA.5.2.1 BF.36 BA.2.18 BA.2.46 BA.5.1.26 BA.2.1 BA.2.25 BA.2.3.17 BA.2.34 BA.2.68 B.4 BA.2.70 BA.4.1.8 BA.5.1.33 BA.5.11 BA.5.2.9 A.21 A.28 B.1.36.1 B.1.404 B.1.469 B.1.619 B.1.620 B.55 BA.1.15.3 BA.2.13.1 BA.2.16 BA.2.2 BA.2.31.1 BA.2.35 BA.2.39 BA.2.41 BA.2.42 BA.2.44 BA.2.48 BA.2.50 BA.2.55 BA.2.63 BA.2.8 BA.4.2 BA.5 BA.5.1.30 BA.5.1.5 BA.5.10.1 BA.5.3.2 BA.5.3.3 BE.1.1.1 BE.1.4.1 BE.12 BF.10 BF.2 BF.21 BF.26 BF.27 BF.31 BF.39 CD.2 CL.1.1 CQ.1.1 XAZ XE	0.26 0.235 0.182 0.091 0.062 0.027 0.018999999999999906 0.007 0.006 0.006 0.006 0.005 0.005 0.005 0.004 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture04_barcode52	[('Omicron', 0.511), ('Iota', 0.182), ('Other', 0.1569999999999998), ('Gamma', 0.10000000000000002), ('Alpha', 0.046), ('A', 0.001), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.001), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.001), ('XBB.2.3* (XBB.2.3X)', 0.001)]	B.1.526 BA.2.16 B.1.1.161 XAP P.1 BA.1 XAJ B.1.1.7 BA.2.12 XM P.1.6 Other B.1.371 B.1.453 B.1.1.376 BA.1.24 BA.1.13 BA.2.46 XAR P.1.7 B.3 BA.2.18 BA.2.65 P.1.14 P.1.16 P.1.4 BA.1.5 B.1.1.70 B.1.340 B.39 BA.1.12 BA.2.13 BA.2.34 BA.2.40.1 BA.2.50 P.1.15 A.28 B.1.1.207 B.1.1.216 B.1.1.329 B.1.1.369 B.1.1.434 B.1.1.67 B.1.160 B.1.214.2 B.1.36.31 B.1.530 B.1.568 B.1.588 BA.1.1.11 BA.1.1.15 BA.1.10 BA.1.15 BA.1.15.3 BA.1.16.1 BA.2.13.1 BA.2.23 BA.2.23.1 BA.2.26 BA.2.3.15 BA.2.31.1 BA.2.32 BA.2.35 BA.2.44 BA.2.5 BA.2.56 BA.2.63 BA.2.64 BA.2.67 BA.2.7 BA.2.70 BA.4.7 BA.5.1.33 BC.1 BD.1 BM.1.1.3 FL.3.3 P.1.10.1 Q.1 Q.3 XAK XB XBB.2.3.2	0.182 0.155 0.098 0.087 0.067 0.065 0.065 0.044 0.041 0.025 0.013 0.011999999999999789 0.009 0.008 0.007 0.007 0.006 0.006 0.006 0.005 0.004 0.004 0.004 0.004 0.004 0.004 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture05_barcode53	[('Omicron', 0.562), ('Other', 0.43399999999999994), ('A', 0.003), ('Alpha', 0.001)]	BA.4.1 Other B.1.1.161 XAJ XAP BA.2.12 BF.1 BA.5.5 BA.5.2.1 BF.15 BF.36 BF.40 BA.4.7 BA.5.2.2 BF.41 A.28 B.1.1.228 B.1.1.434 B.4 BA.5.6.4 BA.5.8 BE.1.4.1 A.1 B.1.1.153 B.1.1.232 B.1.1.374 B.1.1.519 B.1.160 B.1.177.86 B.1.588 B.23 BA.4.2 BA.4.4 BA.5.1.33 BA.5.10.1 BA.5.2.9 BA.5.5.1 BA.5.5.3 BE.1.1.1 BF.10 BF.11.4 BF.2 BF.27 BF.3.1 BF.31 BF.5 BF.7.13.2 BV.1 DG.1 DL.1 Q.4	0.308 0.2679999999999999 0.152 0.093 0.036 0.03 0.022 0.017 0.008 0.005 0.005 0.004 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture06_barcode54	[('Omicron', 0.5960000000000001), ('Delta', 0.18800000000000003), ('Iota', 0.079), ('Alpha', 0.054), ('Other', 0.04299999999999969), ('Gamma', 0.038000000000000006), ('A', 0.002)]	AY.8 BA.1 XAJ BA.2 B.1.526 B.1.1.7 BA.2.12.1 BA.2.12 XAP BA.2.11 B.1.617.2 BA.2.23 P.1.6 Other BA.1.24 XAB BA.2.71 P.1.4 XM AY.30 BA.2.37 BA.1.21 BA.2.68 P.1.17 P.1.7 AY.13 B.1.1.161 B.1.1.329 BA.2.46 BA.2.70 B.3 BA.2.23.1 BA.2.3.15 BA.4.1 AY.16.1 B.1.1.70 BA.1.5 BA.2.34 BA.2.44 BA.2.52 BE.1.1.1 P.1.10 A.2.5.2 A.28 AY.132 AY.47 AY.48 AY.52 AY.54 AY.57 AY.9.2 B.1.1.115 B.1.1.170 B.1.1.207 B.1.1.216 B.1.1.228 B.1.1.232 B.1.1.37 B.1.1.519 B.1.426 B.1.517 B.1.568 B.23 B.39 B.4 BA.1.1.4 BA.1.10 BA.1.14 BA.1.15.3 BA.1.17.2 BA.2.16 BA.2.19 BA.2.20 BA.2.26 BA.2.29 BA.2.3.17 BA.2.32 BA.2.35 BA.2.39 BA.2.48 BA.2.5 BA.2.51 BA.2.63 BA.2.65 BA.2.7 BA.4.4 BA.4.7 BC.1 BE.12 BF.21 BF.7.14 BQ.1.2.1 C.23 CQ.1.1 P.1.14 P.1.15 Q.3 Q.4 Q.7 XAL XB	0.14 0.113 0.111 0.092 0.079 0.051 0.044 0.043 0.036 0.032 0.028 0.019 0.016 0.01399999999999968 0.009 0.009 0.008 0.008 0.008 0.007 0.006 0.005 0.005 0.005 0.005 0.004 0.004 0.004 0.004 0.004 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture07_barcode55	[('Omicron', 0.514), ('Iota', 0.218), ('Alpha', 0.126), ('Other', 0.07599999999999993), ('Gamma', 0.063), ('A', 0.002), ('Beta', 0.001)]	BA.4.1 B.1.526 B.1.1.7 XAJ P.1.16 BA.2.12 BF.1 B.1.1.161 XAP Other B.1.1.228 BF.15 P.1.14 B.1.1.174 B.1.1.307 B.1.1.329 BA.4.7 BF.2 BF.36 B.1.1.171 B.1.1.279 B.1.1.369 B.1.1.376 B.1.1.416 B.1.1.486 BA.2.19 BA.2.3.15 BA.2.70 BA.5.10.1 BA.5.5.2 D.2 P.1.13 A.27 A.28 AD.2 B.1.1.115 B.1.1.135 B.1.1.153 B.1.1.192 B.1.1.207 B.1.1.214 B.1.1.216 B.1.1.232 B.1.1.277 B.1.1.311 B.1.1.374 B.1.1.432 B.1.1.434 B.1.1.44 B.1.1.519 B.1.1.70 B.1.160 B.1.311 B.1.351.5 B.1.404 B.1.567 B.1.620 BA.2.35 BA.2.39 BA.4.1.8 BA.5.2.9 BA.5.6.4 BE.1.4.1 BF.1.1 BF.10 BF.22 BF.3.1 BF.40 BF.7.13.2 BQ.1.1.20 BZ.2 CL.1.1 DG.1 DL.1 EF.1.3 P.1.15 P.1.17.1 Q.3 Q.4 Q.7 XAL XB	0.296 0.218 0.123 0.079 0.055 0.047 0.037 0.014 0.013 0.0119999999999999 0.004 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture08_barcode56	[('Omicron', 0.9690000000000002), ('Other', 0.028999999999999804), ('A', 0.002)]	BA.2 BA.4.1 BA.1 BA.5.5 BA.2.12.1 BA.1.9 Other BA.4 XAJ XN BA.2.26 BA.1.24 BA.2.34 BA.2.18 BA.2.46 B.1.1.529 BA.2.44 BA.1.15.2 BA.1.5 BA.2.19 BA.2.65 BA.4.3 BA.4.7 BA.5.3.2 BA.5.8 XS A.23.1 A.28 B.1.1.232 B.1.1.369 B.1.404 B.23 B.4 BA.1.1.4 BA.1.10 BA.1.16 BA.1.20 BA.1.7 BA.2.1 BA.2.23.1 BA.2.3.15 BA.2.31.1 BA.2.32 BA.2.39 BA.2.5 BA.2.50 BA.2.51 BA.2.52 BA.2.55 BA.2.62 BA.2.7 BA.2.9.7 BA.5.1.33 BA.5.1.8 BA.5.10.1 BA.5.5.2 BA.5.9 BE.1.4.1 BE.12 BF.11.5 BG.5 C.35 CL.1 CN.2 EW.2 XBT XG XQ XW	0.276 0.251 0.117 0.113 0.056 0.027 0.020999999999999797 0.018 0.013 0.012 0.007 0.006 0.006 0.005 0.005 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture09_barcode57	[('Other', 0.998), ('A', 0.001), ('Delta', 0.001)]	Other B.1.1.161 B.4 A.28 AY.48 B.1.160.16 B.1.404 B.1.619 B.23 B.3 B.40	0.983 0.005 0.004 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture10_barcode58	[('Omicron', 0.9660000000000001), ('Other', 0.03299999999999992), ('A', 0.001)]	BA.2 BA.1 Other BA.2.18 BA.2.26 BA.1.5 BA.2.39 BA.2.8 XAR B.1.391 B.3 BA.1.15.3 BA.2.2 BA.2.23.1 BA.2.46 BA.2.62 BA.2.65 BA.2.70 BC.1 XAJ A.28 B.1.1.307 B.1.561 B.1.634 B.23 B.4 B.40 BA.1.1.15 BA.1.1.4 BA.1.10 BA.1.15.2 BA.1.24 BA.1.7 BA.2.16 BA.2.3.17 BA.2.31 BA.2.31.1 BA.2.32 BA.2.35 BA.2.40.1 BA.2.44 BA.2.50 BA.2.54 BA.2.63 C.35 XS XW	0.67 0.236 0.020999999999999908 0.006 0.006 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
