	summarized	lineages	abundances	resid	coverage
Mixture01_barcode49	[('Omicron', 0.7930000000000001), ('Other', 0.15199999999999986), ('Iota', 0.015), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.010000000000000002), ('Alpha', 0.01), ('Gamma', 0.008), ('A', 0.004), ('Delta', 0.004), ('Epsilon', 0.001), ('Eta', 0.001), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.001), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.001)]	BA.1 B.1.1.161 XAB Other BA.2.12 XAJ B.1.526 BA.2 XAD BA.4.1 BA.4.1.9 B.3 BA.2.18 BA.2.63 B.1.1.7 BA.1.24 BA.2.10 BA.2.70 P.1.13 B.1.1.228 BA.1.1.4 BA.2.29 BA.2.46 BF.40 B.1.377 B.1.391 B.1.567 B.4 BA.2.2 BA.2.3.15 BA.2.44 BF.10 BF.15 Q.3 Q.4 Q.7 XBB.1.5.37 XBB.1.5.60 XBT A.2.5.2 A.23.1 A.28 A.3 AY.132 AY.17 AY.30 AY.47 B.1.1.214 B.1.1.220 B.1.1.277 B.1.1.279 B.1.1.307 B.1.1.316 B.1.1.329 B.1.1.434 B.1.1.523 B.1.214.2 B.1.236 B.1.409 B.1.427 B.1.525 B.1.544 B.1.588 B.1.619 B.1.623 B.1.634 B.23 B.39 BA.1.1.15 BA.1.10 BA.1.13 BA.1.15.1 BA.1.17.2 BA.1.7 BA.2.31 BA.2.31.1 BA.2.32 BA.2.35 BA.2.40.1 BA.2.5 BA.2.65 BA.2.9.7 BA.4.1.8 BA.4.6.1 BA.5.1.9 BA.5.2.39 BD.1 BF.1.1 BF.27 BF.36 BG.5 C.35 CH.1.1.14 CL.1 EK.2 EU.1.1.1 FL.1 L.3 P.1.1 P.1.10 P.1.10.1 P.1.14 XBB.1.5.20 XBB.1.5.41 XBB.1.5.72 XBB.1.5.9	0.604 0.069 0.049 0.04599999999999982 0.02 0.017 0.015 0.01 0.009 0.008 0.006 0.005 0.005 0.005 0.004 0.004 0.004 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture02_barcode50	[('Omicron', 0.751), ('Other', 0.173), ('Alpha', 0.026000000000000002), ('Iota', 0.026), ('Delta', 0.017000000000000005), ('Gamma', 0.006), ('A', 0.001)]	BA.1 Other B.1.1.161 B.1.526 B.1.1.7 AY.30 AY.54 B.3 BA.1.24 B.1.260 B.1.377 B.4 P.1.13 AY.16.1 B.1.1.329 B.1.214.2 BA.1.15.3 BC.1 P.1.10.1 XM A.28 AY.13 AY.14 AY.17 AY.51 AY.53 B.1.1.115 B.1.1.153 B.1.1.307 B.1.1.368 B.1.1.376 B.1.1.519 B.1.1.70 B.1.391 B.1.396 B.1.561 B.1.568 B.1.620 BA.1.1.15 BA.1.10 BA.1.13 BA.1.14.1 BA.1.16.1 BA.1.17.2 BA.1.5 BA.1.6 BA.1.7 BA.1.9 C.16 D.2 P.1.16 Q.4 Q.7	0.731 0.08699999999999997 0.055 0.026 0.024 0.005 0.005 0.004 0.004 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture03_barcode51	[('Omicron', 0.9650000000000002), ('Other', 0.03199999999999992), ('A', 0.003)]	BA.4.1 BA.2 BA.5.5 BA.2.12.1 BA.4 BF.1 Other BA.2.23 XAJ BA.2.12 BA.2.32 BA.2.68 BA.5.5.2 XAP BA.2.18 BA.2.40.1 BA.2.46 BA.2.70 BA.5.1.33 BA.5.8 B.4 BA.2.34 BA.2.37 BA.2.63 BA.5.3.2 BE.1.4.1 BF.10 A.27 A.28 A.3 B.1.1.434 B.23 B.39 B.40 BA.1.15.2 BA.2.10.1 BA.2.16 BA.2.2 BA.2.26 BA.2.3.14 BA.2.3.17 BA.2.3.4 BA.2.31.1 BA.2.35 BA.2.42 BA.2.44 BA.2.51 BA.2.65 BA.2.7 BA.2.71 BA.2.8 BA.4.1.1 BA.4.1.8 BA.4.2 BA.4.6.5 BA.4.7 BA.5.1.19 BA.5.1.26 BA.5.1.7 BA.5.11 BA.5.2.53 BA.5.2.9 BA.5.3.4 BA.5.6.4 BA.5.9 BE.3 BF.1.1 BF.11.2 BF.27 BF.36 BF.40 BF.5 BG.2 BG.5 BV.1 XAD XAZ XB XL XM	0.416 0.247 0.067 0.039 0.035 0.028 0.02499999999999991 0.024 0.012 0.005 0.005 0.004 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture04_barcode52	[('Omicron', 0.867), ('Other', 0.09699999999999995), ('Iota', 0.014), ('Gamma', 0.012), ('Alpha', 0.005), ('A', 0.003), ('Beta', 0.001), ('Eta', 0.001)]	BA.1 Other B.1.1.161 B.1.526 XAB P.1 BA.2.40.1 Q.7 XAJ B.1.1.329 B.3 BA.2.19 BA.2.46 BA.2.8 P.1.13 B.1.1.153 B.1.1.376 B.4 BA.1.15.3 BA.2.18 BA.2.23.1 P.1.14 XM A.2.5.2 A.28 A.29 B.1.1.265 B.1.1.279 B.1.1.434 B.1.1.464 B.1.1.67 B.1.110.3 B.1.160 B.1.214.2 B.1.351 B.1.377 B.1.525 B.1.561 B.1.620 B.6 BA.1.1.15 BA.1.1.4 BA.1.14.1 BA.1.24 BA.1.5 BA.2.1 BA.2.12 BA.2.3.15 BA.2.31.1 BA.2.48 BA.2.50 BA.2.62 BA.2.65 BA.2.70 BD.1 D.2 Q.4 XAL XH XW	0.813 0.04599999999999993 0.026 0.014 0.011 0.007 0.004 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture05_barcode53	[('Omicron', 0.546), ('Other', 0.4529999999999999), ('A', 0.001)]	BA.4.1 Other B.1.1.161 XAJ XAP BF.1 BA.2.70 B.3 B.4 BF.10 A.28 B.1.1.434 B.1.1.486 B.23 B.6 BA.2.3.14 BA.2.31.1 BA.4.1.1 BA.4.4 BA.4.7 BA.5.5.2 BF.1.1 BF.20 BF.27 BF.40 BF.5.5 CN.2 XH XM	0.355 0.23899999999999988 0.203 0.11 0.044 0.015 0.006 0.005 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture06_barcode54	[('Omicron', 0.901), ('Other', 0.07399999999999993), ('Delta', 0.009000000000000001), ('Iota', 0.008), ('Gamma', 0.004), ('Alpha', 0.004)]	BA.1 Other B.1.1.161 BA.1.9 B.1.1.220 B.1.526 B.23 XAJ B.1.1.329 B.4 XM AY.30 B.1.1.368 BA.1.8 BA.2.11 BD.1 P.1.13 B.1.1.153 B.1.1.434 B.1.1.519 BA.1.15.3 BA.2.46 BA.2.70 Q.4 AY.10 AY.124.1 AY.13 AY.17 AY.57 AZ.3 B.1.1.135 B.1.1.228 B.1.1.37 B.1.1.376 B.1.260 B.1.367 B.1.377 B.1.426 B.1.617.2 B.1.620 B.1.634 BA.1.1.15 BA.1.10 BA.1.16.1 BA.1.21 BA.1.24 BA.1.7 BA.2.12 BA.2.2 BA.2.23.1 BA.2.31 BA.2.44 BA.2.50 BA.2.62 BA.2.9.5 BA.5.1.11 BA.5.1.9 BC.1 BE.1.4.1 BG.2 C.36.3 CM.4 D.2 P.1.10.1 Q.1 Q.7 XAL	0.844 0.018999999999999906 0.012 0.012 0.008 0.008 0.005 0.005 0.004 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture07_barcode55	[('Omicron', 0.4660000000000001), ('Iota', 0.202), ('Other', 0.14699999999999994), ('Alpha', 0.123), ('Gamma', 0.059000000000000004), ('A', 0.002), ('Mu', 0.001)]	BA.4.1 B.1.526 B.1.1.7 XAJ P.1.4 Other B.1.533 XAP BF.1 B.1.1.161 BA.4.7 B.1.1.44 BF.16 B.1.1.216 BE.1.1.1 B.1.1.153 B.1.1.228 B.1.1.329 B.1.1.416 B.1.1.434 BA.2.44 BF.2 BF.3 BF.3.1 P.1.13 Q.7 A.1 A.28 B.1.1.186 B.1.1.207 B.1.1.231 B.1.1.232 B.1.1.25 B.1.1.269 B.1.1.277 B.1.1.284 B.1.1.294 B.1.1.316 B.1.1.348 B.1.1.374 B.1.1.376 B.1.1.486 B.1.1.519 B.1.1.63 B.1.1.70 B.1.236 B.1.409 B.1.469 B.1.620 BA.2.70 BA.4.1.1 BA.4.4 BA.5.10.1 BA.5.5.2 BA.5.6.4 BB.2 BE.1.4.1 BE.3 BF.10 BF.11.4 BF.12 BF.27 BF.40 BF.5 P.1.1 P.1.15 P.1.17.1 P.1.6 Q.3 Q.4	0.317 0.202 0.119 0.089 0.053 0.0509999999999999 0.05 0.014 0.012 0.008 0.005 0.004 0.004 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture08_barcode56	[('Omicron', 0.9640000000000001), ('Other', 0.03199999999999992), ('A', 0.002), ('Delta', 0.001), ('Alpha', 0.001)]	BA.1 BA.4.1 Other XQ XM BA.1.9 BA.2.37 BA.1.1.17 BA.2.46 A.28 B.23 BA.1.15.3 BA.1.16.1 BA.1.24 BA.1.5 BA.2.32 BA.2.44 BA.2.70 AY.124.1 B.1.1.434 B.1.236 B.1.377 B.1.544 B.1.561 B.1.620 B.1.634 BA.1.10 BA.1.15.2 BA.1.17.2 BA.1.21 BA.2.1 BA.2.16 BA.2.2 BA.2.31.1 BA.2.39 BA.2.48 BA.2.50 BA.2.62 BA.2.65 BA.2.67 BA.2.8 BA.4.1.1 BA.4.1.8 BA.4.7 BA.5.6.1 BA.5.6.4 BE.1.4.1 CD.2 Q.4 XAL XAZ XB XW	0.851 0.025 0.02199999999999991 0.02 0.013 0.006 0.004 0.003 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture09_barcode57	[('Other', 0.998), ('A', 0.002)]	Other B.1.1.153 B.4 A.27 A.28 B.1.1.434 B.1.1.486 B.1.465 B.1.469 B.1.544 B.1.568 B.1.619 B.39	0.986 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
Mixture10_barcode58	[('Omicron', 0.9690000000000002), ('Other', 0.02999999999999991), ('Alpha', 0.001)]	BA.1 BA.2 XQ XZ Other BA.2.19 B.3 BA.2.18 BA.2.40.1 BA.2.54 B.1.1.161 BA.2.46 BA.1.10 BA.2.44 BA.2.68 B.1.1.434 B.1.620 BA.1.16.1 BA.1.17.2 BA.1.24 BA.2.1 BA.2.13.1 BA.2.16 BA.2.2 BA.2.26 BA.2.3 BA.2.3.12 BA.2.3.2 BA.2.3.4 BA.2.3.6 BA.2.31.1 BA.2.32 BA.2.35 BA.2.48 BA.2.5 BA.2.50 BA.2.63 BA.2.65 BA.2.70 BA.2.8 BA.2.9.7 BA.5.1.9 BA.5.5.2 BA.5.6.4 BC.1 Q.4 XAP XW	0.625 0.181 0.07 0.023 0.020999999999999908 0.019 0.004 0.004 0.004 0.004 0.003 0.003 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001		
