	summarized	lineages	abundances	resid	coverage
Mixture01	[('Omicron', 0.5713665095034509), ('Other', 0.15076627278958862), ('Alpha', 0.05866113791296482), ('Iota', 0.04663145068460564), ('Gamma', 0.03901281995336758), ('Delta', 0.01974181508301521)]	BA.4.1 B BA.5.5 BA.2.12.1 Q.1 BF.1 B.1.526 XAH BA.1.9 P.1.4 BA.2.38 P.1.6 AY.13 B.1.1.83 B.1.1.166 BA.5 B.1.1.192 AY.50 BA.2.27 B.1.1.7 BA.2.3.2 B.1.1.416 BF.15 BA.2.40.1 B.1.1.398 BA.2.29 B.53 BA.5.3.2 B.1.1.423 B.1.1.288 AY.8 Q.2 B.10 B.1.1.289 AY.53 AY.30 XAA B.6.6	0.26363911 0.11801595 0.07420398 0.07302301 0.05538951 0.04674513 0.04663145 0.04466026 0.03258203 0.02339122 0.01950456 0.01562160 0.01231709 0.00972308 0.00856816 0.00489522 0.00431474 0.00422060 0.00362319 0.00218680 0.00206410 0.00202557 0.00158080 0.00139723 0.00138814 0.00123967 0.00120720 0.00120354 0.00119278 0.00118457 0.00110939 0.00108483 0.00107291 0.00106876 0.00106205 0.00103268 0.00100466 0.00100441	12.850224535087087	96.65250978162726
Mixture02	[('Other', 0.33332765434811396), ('Alpha', 0.25616243799605054), ('Iota', 0.10860800000023521), ('Delta', 0.09198494921082978), ('Omicron', 0.0696512977064276), ('Gamma', 0.046653356387759845)]	B Q.1 B.1.526 AY.13 BA.1 P.1.7 BA.1.17.2 B.1.1.7 B.1.1.83 P.1.11 B.1.1.166 P.1.4 AY.50 B.1.1.416 AY.30 B.1.1.89 B.10 BA.1.14.1 B.47 BA.1.5 B.1.1.398 AY.57 B.1.1.138 B.1.14	0.30123152 0.24291654 0.10860800 0.08449783 0.04115072 0.02754173 0.02605358 0.01324590 0.01255780 0.01150682 0.01009570 0.00760481 0.00425024 0.00222486 0.00213176 0.00138383 0.00133232 0.00128661 0.00123169 0.00116039 0.00112526 0.00110511 0.00109802 0.00104665	7.310101175819744	94.51894458749958
Mixture03	[('Omicron', 0.9455213145472507)]	BA.4.1 BA.5.5 BA.2.12.1 BA.2.56 BF.1 BA.5 BA.2.33 BA.4 BA.2.3.2 BA.4.1.5 BA.2.52 BA.2.27 BA.2.9.4 BA.2.72 BF.9 BA.2.29 BA.2.18	0.29165794 0.24328826 0.21477232 0.07988318 0.04040794 0.03075525 0.01346433 0.01118771 0.00328953 0.00271848 0.00256316 0.00252845 0.00239425 0.00204918 0.00167578 0.00160371 0.00128185	6.698488112833662	96.54215296124134
Mixture04	[('Omicron', 0.3877103003507147), ('Other', 0.1854805353190852), ('Gamma', 0.14854919382121792), ('Iota', 0.11040699998659594), ('Alpha', 0.05744333775154972)]	BA.2.27 B.1.526 B B.15 BA.1 Q.1 P.1.12 P.1.4 XAH BA.1.17.2 P.1.6 BA.2.38 P.1.7 BA.2.23 BA.2.33 B.1.1.83 BA.1.13 B.1.1.166 BA.2.43 B.1.1.192 P.7 BA.2.3.2 BA.2.52 B.1.1.398 BA.2.3.21 B.1.1.416 BA.1.18 B.1.1.7 BA.2.72 BA.1.13.1 BA.1.14.1 BA.2.29 BA.2.59 B.1.1.134 BA.2.18 B.10 BA.1.1.1 B.1.1.89 B.1.1.138 B.6.6 BA.2.40.1 XAE	0.16074818 0.11040700 0.07463196 0.07463196 0.06936734 0.05519290 0.05340325 0.05093020 0.04083258 0.02645037 0.02501518 0.02199441 0.01920056 0.01767654 0.01288891 0.01086150 0.00885211 0.00581206 0.00512548 0.00447427 0.00367865 0.00362739 0.00319375 0.00298650 0.00295357 0.00270941 0.00243309 0.00225043 0.00178333 0.00142789 0.00130614 0.00129945 0.00129044 0.00125478 0.00120706 0.00116004 0.00114431 0.00113633 0.00107927 0.00106380 0.00105555 0.00105241	10.387343025185848	95.92014179179347
Mixture05	[('Omicron', 0.5758938936187117), ('Other', 0.3257530896988928)]	BA.4.1 B B.15 BA.5.5 BG.5 BF.1 B.1.1.83 BA.5 B.1.1.166 BA.5.3 B.1.1.416 B.1.1.398 B.1.1.59 B.1.1.89 BF.15 BA.5.3.2 BF.9 BA.5.1.23 B.26 B.53 B.1.1.138 B.10 B.4	0.27599250 0.14548165 0.14548165 0.11665877 0.08790955 0.07523966 0.01482348 0.01184313 0.00592812 0.00336996 0.00277010 0.00249750 0.00186625 0.00151474 0.00127516 0.00121131 0.00120249 0.00119136 0.00114320 0.00110539 0.00107133 0.00106400 0.00100569	13.144426364351215	96.72942514129018
Mixture06	[('Omicron', 0.5973470415003754), ('Delta', 0.11543538948016892), ('Alpha', 0.07031340202500791), ('Iota', 0.06313229999846914), ('Gamma', 0.05446943787105712), ('Other', 0.003847529710735651)]	BA.2.12 AY.13 BA.1.9 XAJ Q.1 BA.1 B.1.526 BA.2.23 BA.2.27 XAH BA.5 P.1.4 BA.2.38 BA.2.33 BA.2.43 P.1.11 AY.15 BA.2.12.1 AY.30 P.1.6 BA.2.52 AY.50 B.1.1.416 BA.2.9.4 AY.57 BA.2.59 BA.2.3.2 BA.2.3.21 BA.1.14.1 B.1.1.7 BG.6 BA.2.29 BA.1.7 BA.2.30 P.1.12 B.1.1.269 BA.2.60 XAE BA.2.18 AY.8	0.10054871 0.09550842 0.07504956 0.07360339 0.06877063 0.06422460 0.06313230 0.05996182 0.04959142 0.04799780 0.04520874 0.03829041 0.01992165 0.01743825 0.01425742 0.01064333 0.00894803 0.00835703 0.00461317 0.00431904 0.00341935 0.00339792 0.00269070 0.00213699 0.00196136 0.00181161 0.00176661 0.00176499 0.00155247 0.00154277 0.00151906 0.00144030 0.00134721 0.00123722 0.00121666 0.00115683 0.00113825 0.00103818 0.00101442 0.00100649	12.28880097376572	95.66598669029864
Mixture07	[('Omicron', 0.5394656197511509), ('Alpha', 0.13836503330838057), ('Iota', 0.11874746425533272), ('Gamma', 0.07110565876055863), ('Other', 0.029686181529489604)]	BA.4.1 Q.1 B.1.526 BF.1 BA.5.5 BG.5 P.1.12 P.1.6 B.1.1.83 P.1.4 B.1.1.166 B.1.1.192 P.1.13 P.1.7 B.1.1.398 B.1.1.416 BA.5.6 B.1.1.89 BF.9 B.1.1.289	0.33045709 0.13836503 0.11874746 0.08711177 0.07139852 0.04768133 0.02789543 0.02764123 0.01094219 0.00938529 0.00714717 0.00398370 0.00322624 0.00295747 0.00258772 0.00254398 0.00151575 0.00143361 0.00130116 0.00104781	14.900217079339061	96.55887369160286
Mixture08	[('Omicron', 0.9480445155236652)]	BA.5.5 BA.4.1 BA.1 BA.2.27 XAH BA.1.9 BA.2.12.1 BA.2.23 BA.2.33 BA.4.8 BA.5 BA.2.43 BA.1.18 BA.2.52 BA.4.1.5 BA.2.3.2 BA.2.29 BA.2.40 BG.6 BA.2.60 BA.2.59 BA.2.9.4 BA.4 BA.4.2	0.29277396 0.21430692 0.08927962 0.08319249 0.05814908 0.05574578 0.05531357 0.03572193 0.01501352 0.01046893 0.00798700 0.00572627 0.00509480 0.00390354 0.00307819 0.00222994 0.00176701 0.00134503 0.00129299 0.00125844 0.00120084 0.00110200 0.00106878 0.00102389	8.427108071724511	94.56576263251179
Mixture09	[('Other', 0.9767378842650825)]	B.15 B B.10 B.26	0.48702087 0.48702087 0.00161880 0.00107734	3.6642905291484307	93.58927197940007
Mixture10	[('Omicron', 0.9540431403688079)]	BA.2.27 BA.1 BA.1.13 BA.2.23 XAH BA.2.33 BA.2.43 BA.1.18 BA.2.52 BA.1.13.1 BA.2.3.2 BA.2.9.4 BA.2.59 BA.2.29 BA.2.60 BA.2.18 XAE BA.1.21.1	0.54478076 0.17630025 0.07706896 0.05579724 0.05116721 0.01596350 0.00996007 0.00433406 0.00348335 0.00299690 0.00258728 0.00214539 0.00171065 0.00141881 0.00111089 0.00109765 0.00106358 0.00105657	7.81992601537703	94.6359897000301
