	summarized	lineages	abundances	resid	coverage
Mixture01	[('Omicron', 0.5684077911292451), ('Other', 0.12454036371789237), ('Iota', 0.05668536700365671), ('Alpha', 0.04969187200343229), ('Gamma', 0.03739336602089825), ('Delta', 0.032617439502176986)]	BA.4.1 BG.5 BA.5.5 B.1.526 Q.1 B.4 BA.5 BF.1 P.1.7 B.1.1.529 BA.1.17.2 BA.2.33 BA.2.23 AY.50 B.1.1.192 B.1.1.166 AY.15 P.7 B.1.1.38 AY.19 BA.2.15 B.1.1.357 B.1.1.61 BA.2.27 AY.30 B.1.1.239 B.1.1.269 BF.15 P.1.4 B.3.1 P.1.13 B.1.1.89 B.47 B.1.1.307 BA.2.3.6 B.1.1.382 AY.53 BA.1.21 B.1.1.164 BA.2.9.4 BA.1.14.1 AY.14 B.18 XAE AK.2 B.1.1.461 AY.52 BA.4.1.10 B.1.1.7 P.1 B.1.1.182 AS.1 BC.1 B.26 AY.28 AY.17 BF.24 XF L.4 BA.2.3.15 BF.3.1 BA.2.38.1 B.1.1.376 B.1.1.227 B.1.1.279 BF.34 B.1.1.524 B.1.1.98 AH.3 B.6 B.1.1.225 B.1.1.155	0.22519691 0.09212201 0.07123019 0.05668537 0.04824651 0.04694797 0.03924675 0.03658460 0.03033844 0.02206103 0.01863897 0.01793110 0.01629112 0.00930891 0.00737711 0.00731425 0.00702405 0.00657628 0.00649351 0.00466213 0.00399301 0.00397578 0.00396875 0.00357853 0.00345214 0.00317166 0.00307966 0.00294415 0.00291245 0.00278087 0.00271201 0.00255771 0.00253593 0.00235996 0.00231999 0.00230829 0.00230356 0.00223547 0.00218917 0.00188508 0.00187166 0.00179646 0.00171792 0.00171762 0.00161522 0.00160804 0.00154530 0.00149084 0.00144536 0.00143047 0.00141193 0.00139082 0.00136965 0.00130882 0.00127334 0.00125156 0.00124708 0.00124041 0.00122100 0.00115960 0.00113778 0.00110533 0.00109649 0.00109625 0.00105344 0.00104932 0.00104913 0.00102892 0.00102845 0.00102603 0.00100908 0.00100150	12.105570312734189	96.51539979266295
Mixture02	[('Other', 0.33290405293309516), ('Alpha', 0.18518986100591311), ('Iota', 0.1649476416997387), ('Delta', 0.1406711667057164), ('Omicron', 0.05945874996084085), ('Gamma', 0.021489113876916273)]	Q.1 B.1.526 B.4 AY.30 B.20 B BA.1.17.2 B.1.1.161 B.1.1.529 B.1.1.166 P.1.7 AY.50 P.1.4 B.1.1.398 B.1.1.192 B.1.1.28 P.7 B.1.1.239 B.1.1.89 P.1.13 B.47 B.1.1.289 B.27 B.1.1.8 B.1.1.12 B.1.1.57 B.1.1.462 BA.1.5	0.18518986 0.16494764 0.16083775 0.13140252 0.04436960 0.04436960 0.04086684 0.03870393 0.01757805 0.01278570 0.01230454 0.00926865 0.00712414 0.00432046 0.00431391 0.00410313 0.00389242 0.00281690 0.00233723 0.00206044 0.00181159 0.00175332 0.00159074 0.00151544 0.00114210 0.00113556 0.00110467 0.00101386	7.0840604523197905	96.51874393873524
Mixture03	[('Omicron', 0.9406262455870267)]	BA.4.1 BA.5.5 BG.5 BA.2.12.1 BA.2.16 BF.1 BA.2.33 BA.5 BA.2.15 BA.5.1.17 BA.2.27 BA.5.1.24 BA.2.9.4 BA.2.30 BA.5.1.23 BF.38 BA.2.3.17 BA.5.1.33 BA.4.1.4 BF.9 BA.2.18 BA.2.40 BF.15 BA.2.52 BF.7.19.1 XZ BF.7.14.6 BA.5.3.5 BA.2.46 XAH	0.29778310 0.27605075 0.14405191 0.06708441 0.03970819 0.03955382 0.02336779 0.00937493 0.00532765 0.00394589 0.00345248 0.00311684 0.00289101 0.00248720 0.00223155 0.00216039 0.00181118 0.00179836 0.00163666 0.00147648 0.00138672 0.00124264 0.00124222 0.00112702 0.00109210 0.00107830 0.00107800 0.00104058 0.00102430 0.00100376	7.110485891645814	95.25131257733338
Mixture04	[('Omicron', 0.4629478833347821), ('Iota', 0.1411040000069796), ('Gamma', 0.12791512394538215), ('Other', 0.11067455504962384), ('Alpha', 0.040276309018684335)]	BA.2.16 B.1.526 P.1.4 BA.1.7 B.1.1.529 BA.1.17.2 XAH Q.1 P.1.7 B BA.2.23 BA.2.33 P.1.10 B.1.1.28 B.1.1.166 P.1.13 B.1.1.192 BA.2.38 BA.1.18 BA.2.15 BA.2.38.1 B.1.1.200 P.7 B.1.1.89 B.47 BA.1.13 P.1.11 B.1.1.61 B.1.1.239 B.1.1.269 BA.2.27 B.1.1.382 B.1.1.182 B.1.1.307 BA.2.3.9 B.1.1.174 B.1.1.357 BA.1.21 B.3.1 BA.2.18 B.26 BA.2.30 BA.1.14.1 BA.3 B.1.1.441 BA.1.5 BA.2.29 B.1.1.462 AH.2 B.1.1.138 BA.1.1.8 BA.2.9.4 BA.1.8 B.1.1.43 B.6 B.1.1.428 B.1.1.461 BA.2.10.2 BA.2.3.16 BA.2.40.1 B.1.1.122 XF B.1.1.155 B.1.1.360 BA.1.4 AK.2 B.55	0.16948752 0.14110400 0.06656721 0.05445133 0.04720009 0.04709451 0.04207436 0.04027631 0.03866873 0.03426093 0.03375323 0.01998838 0.01301743 0.00981869 0.00697938 0.00664133 0.00656647 0.00631688 0.00603865 0.00529661 0.00384495 0.00360425 0.00354842 0.00341607 0.00308032 0.00302558 0.00302042 0.00278471 0.00274079 0.00273773 0.00231711 0.00227885 0.00217425 0.00206418 0.00195236 0.00192167 0.00186829 0.00185890 0.00176516 0.00171895 0.00165371 0.00164880 0.00163704 0.00163629 0.00153548 0.00151108 0.00144445 0.00143135 0.00137517 0.00135954 0.00134635 0.00134481 0.00132406 0.00131523 0.00131065 0.00128385 0.00125303 0.00122216 0.00117694 0.00116139 0.00115448 0.00115080 0.00112233 0.00110977 0.00107512 0.00100850 0.00100050	9.988477824221352	96.68929538842256
Mixture05	[('Omicron', 0.4942724830899483), ('Other', 0.4063951935743723)]	B BA.4.1 BA.5.5 B.1.1.161 BG.5 BF.1 BA.5 B.1.1.166 B.1.1.192 BF.15 B.47 B.1.1.89 B.1.1.448 B.57 B.1.1.239 B.1.1.416 B.1.1.93 B.1.14 P.7 B.53 B.1.1.398 B.6 B.12 AH.2 B.1.1.428 B.1.1.61 XAC B.1.1.138	0.26875626 0.24204172 0.11337304 0.10019400 0.07350754 0.04150013 0.01970152 0.00730944 0.00495344 0.00308989 0.00300184 0.00259471 0.00189081 0.00183017 0.00163194 0.00143963 0.00136008 0.00133269 0.00123654 0.00117742 0.00115530 0.00113393 0.00112461 0.00111262 0.00106875 0.00106474 0.00105865 0.00102627	10.990583883816196	97.37484533324415
Mixture06	[('Omicron', 0.5527599766636656), ('Delta', 0.15662143486034596), ('Iota', 0.0703638050377548), ('Alpha', 0.06373796875636946), ('Gamma', 0.03311783649659392), ('Other', 0.012732492125025507)]	BG.5 AY.30 BA.2.16 B.1.526 BA.1.7 B.1.1.529 Q.1 XAP BA.2.23 BA.1.17.2 P.1.4 BA.2.33 BA.1.9 BA.2.11 AY.15 BA.2.15 AY.19 AY.52 BA.2.38 AY.50 BA.1.18 BA.1.1.10 BA.2.10.2 B.1.1.7 BA.2.30 B.1.1.357 BA.2.27 P.7 AY.53 AY.14 BA.2.3.17 P.1.13 BA.2.9.4 BA.2.39 P.1.11 BA.1.14.1 B.1.1.269 B.1.1.461 AN.1 B.1.1.227 BA.2.18 BA.1.13 B.1.1.182 XW BA.5.5.3 B.1.1.225 BF.3.1 AY.17	0.12822827 0.12491866 0.09858332 0.07036381 0.06236022 0.06073643 0.06069983 0.04838196 0.03027822 0.03009699 0.02968249 0.01879882 0.01797660 0.01450611 0.01057435 0.00920117 0.00650915 0.00499212 0.00484449 0.00422434 0.00418154 0.00320193 0.00304569 0.00303814 0.00297226 0.00262021 0.00261976 0.00249168 0.00223831 0.00211519 0.00188964 0.00179250 0.00178094 0.00171809 0.00164285 0.00145396 0.00140829 0.00131671 0.00129442 0.00129315 0.00128253 0.00122852 0.00120453 0.00117555 0.00111453 0.00110350 0.00110243 0.00104932	13.04322452425931	96.32143932046952
Mixture07	[('Omicron', 0.48483174349569935), ('Iota', 0.1697719999997441), ('Alpha', 0.14933903234303136), ('Gamma', 0.07959704928317246), ('Other', 0.020484517385098884)]	BA.4.1 B.1.526 Q.1 BG.5 BA.5.5 BF.1 P.1.4 P.1.7 B.1.1.7 BA.5 P.7 B.1.1.239 B.1.1.182 BF.3.1 B.1.1.89 B.1.1.289 P.1.13 BF.20 P.1.2 B.1.1.253 B.1.620 XAH B.1.1.153 BA.2.15 B.1.1.138 B.1.1.428 EQ.1 BF.15 BF.10.1 B.1.1.155 BA.5.1.33 B.1.1.388 BA.5.8 BA.5.5.3 BF.9	0.28019670 0.16977200 0.14265723 0.07818389 0.05472957 0.05403384 0.03938032 0.03728293 0.00668180 0.00436374 0.00347260 0.00256424 0.00253464 0.00188554 0.00180645 0.00176894 0.00155039 0.00151343 0.00138340 0.00133301 0.00129750 0.00124100 0.00122969 0.00122335 0.00118099 0.00117957 0.00113441 0.00111547 0.00109963 0.00109230 0.00108781 0.00102459 0.00102093 0.00100143 0.00100100	12.164363752533989	95.56231816205732
Mixture08	[('Omicron', 0.9276461052127011)]	BA.5.5 BA.4.1 BA.1.7 BA.2.16 BG.5 BA.1 XAH BA.2.23 BA.2.33 BA.4 BA.2.12.1 BA.2 BA.3 BA.1.18 BA.5 BA.2.15 B.1.1.529 BA.5.1.23 BA.1.14.1 BA.2.9.4 BA.1.1.10 BA.2.27 BA.2.30 BA.4.1.6 BA.1.1.13 BA.2.18 BA.5.5.3 BA.2.68 BA.1.13 BA.1.5 BA.2.3.11	0.26700738 0.17524784 0.09825836 0.09002066 0.06716734 0.04648415 0.03746934 0.02937515 0.02506846 0.02045212 0.01379280 0.00702261 0.00682364 0.00597051 0.00458150 0.00413983 0.00402581 0.00306132 0.00249671 0.00234756 0.00232072 0.00212540 0.00166219 0.00158028 0.00147493 0.00143112 0.00141183 0.00131349 0.00124611 0.00113572 0.00113122	8.666605797671107	95.55228572384041
Mixture09	[('Other', 0.967982429517137)]	B.20 B B.27 B.26 B.3.1 B.6	0.48063636 0.48063636 0.00220556 0.00154950 0.00147939 0.00147526	4.222165826419811	95.425208173093
Mixture10	[('Omicron', 0.9292236049250401), ('Other', 0.030004178056907815)]	BA.2.16 BA.1.7 XAH BA.2.23 BA.1 XF BA.2.33 BA.2 BA.1.18 BA.1.1.10 BA.2.15 BA.2.32 BA.2.30 BA.2.9.4 BA.1.1.17 XV BA.2.27 BA.2.40 BA.2.18 BA.1.1.1 BA.2.29 BA.2.19 XW BA.1.21 BA.2.39 BA.2.3.15 BA.2.44 BA.1.5 BA.3	0.52251901 0.16919996 0.06466300 0.05782989 0.03413835 0.03000418 0.02235240 0.00847080 0.00694935 0.00539084 0.00431801 0.00394130 0.00380228 0.00317913 0.00260627 0.00220022 0.00212863 0.00194647 0.00158040 0.00148692 0.00143600 0.00142531 0.00119948 0.00112905 0.00109111 0.00108771 0.00108147 0.00106112 0.00100912	8.637720448229189	95.98702471323948
