	summarized	lineages	abundances	resid	coverage
Mixture01	[('Omicron', 0.7817163527120219), ('Other', 0.06219099637629161), ('Iota', 0.02190820000081834), ('Alpha', 0.010495257113486776), ('Gamma', 0.01032820923021178)]	BA.1.13 BA.1 BA.4.1 B BA.1.17.2 B.1.526 BA.2.23 B.1.1.83 XM Q.4 BA.4.1.9 BA.2 BA.2.10 P.1.13 BA.1.18 BA.1.9 BA.1.13.1 BA.2.3.2 XN P.1.17 P.1 B.1.1.89 BA.2.10.2 BA.2.9.4 B.1.1.416 BA.2.27 XAP BA.2.58 BA.2.18 B.1.1.174 BF.15 BA.2.76 B.10 B.1.1.34 B.1.1.7 P.1.2 B.1.1.155 BA.1.14.1 BF.9 B.1.1.423 XCG BF.27 BA.2.29 B.27 B.26	0.40924989 0.20366136 0.05484861 0.03723745 0.03511513 0.02190820 0.01311369 0.01070695 0.00993996 0.00905186 0.00832194 0.00627057 0.00566131 0.00473055 0.00433554 0.00416794 0.00390698 0.00244152 0.00215675 0.00211495 0.00206680 0.00199213 0.00194070 0.00193050 0.00184280 0.00172911 0.00171404 0.00165017 0.00162984 0.00156136 0.00154597 0.00154184 0.00150994 0.00149505 0.00144340 0.00141591 0.00140842 0.00136673 0.00127759 0.00125156 0.00118027 0.00117330 0.00102538 0.00100367 0.00100140	11.190291936306437	98.65565327893522
Mixture02	[('Omicron', 0.7671485026802352), ('Other', 0.06782141786895174), ('Alpha', 0.03289442997673724), ('Iota', 0.028019200001900127), ('Delta', 0.013975529023469017), ('Gamma', 0.004678501565306251)]	BA.1.4 BA.1 BA.1.17.2 B.1.526 Q.4 B.15 B.20 B B.1.1.83 BA.1.13.1 Q.1 BA.1.18 P.7 P.1.12 AY.30 Q.2 AY.13 B.1.1.398 B.1.1.416 B.1.1.89 B.1.1.174 AY.53 B.1.1.218 B.1.1.291 B.1.1.448 B.1.1.138 B.1.617.2 AY.14 AY.57 B.1.1.307 B.12 BA.1.21.1 P.1.13 BA.1.7 B.1.14 BA.1.1.1 B.1.1.289 AY.51 AY.71 B.1.1.368 BA.1.14.1 B.26	0.55281140 0.15210787 0.04919428 0.02801920 0.02537138 0.01115750 0.01115750 0.01115750 0.00877364 0.00435084 0.00432564 0.00408759 0.00366376 0.00349299 0.00343537 0.00319741 0.00262910 0.00221534 0.00207703 0.00201968 0.00198640 0.00192950 0.00192860 0.00186490 0.00168916 0.00132168 0.00128947 0.00126536 0.00125031 0.00124295 0.00118991 0.00118593 0.00118551 0.00118215 0.00117462 0.00117325 0.00112045 0.00110472 0.00107170 0.00106738 0.00105518 0.00101342	8.386626783689081	93.0909942146273
Mixture03	[('Omicron', 0.9584400570008)]	BA.4.1 BA.2.56 BA.5.5 BA.2.12.1 BF.1 BA.2.33 BA.2.23 BA.5.5.2 BA.2.11 BA.2.10.2 BA.2.32 BA.2.72 BG.6 BF.9 BA.4.1.5 BA.2.9.4 XAE BA.2.3.2 BA.2.29 XAH	0.47286902 0.25354464 0.08324053 0.05569916 0.03616618 0.01533473 0.00686549 0.00596912 0.00490688 0.00331217 0.00316515 0.00258065 0.00253555 0.00222956 0.00208724 0.00192140 0.00164072 0.00157181 0.00150602 0.00129405	7.168866317265125	94.54569775607798
Mixture04	[('Omicron', 0.8783659537900033), ('Iota', 0.019712095075648143), ('Other', 0.009891627131323522), ('Gamma', 0.009881317382791327), ('Alpha', 0.004571800602062225)]	BA.1.13 BA.1 BA.1.17.2 B.1.526 XM P.1.13 BA.1.13.1 BA.1.18 XQ Q.2 BA.2.29 BA.2.3.2 BA.1.14.1 B.27 BA.1.15.3 XN B.1.1.416 P.1.12 B.1.14 B.1.1.7 P.1.11 BA.2.19 BA.2.38.1 B.3.1 BA.2.38 B.26 XW B.10 BA.2 BA.1.21.1 BA.2.38.3 BA.2.46	0.64241631 0.14500805 0.04574866 0.01971210 0.01133612 0.00621179 0.00418369 0.00344519 0.00340341 0.00291193 0.00287678 0.00286529 0.00282753 0.00240159 0.00238311 0.00219589 0.00208984 0.00206625 0.00168813 0.00165987 0.00160328 0.00157711 0.00140512 0.00135593 0.00127692 0.00123724 0.00120989 0.00111890 0.00107432 0.00107249 0.00103858 0.00102150	7.607717216190245	94.61592482359629
Mixture05	[('Omicron', 0.47062479218642617), ('Other', 0.4422912423132026)]	BA.4.1 B.1.1.161 B B.15 BA.2.12 BF.1 B.1.173 B.1.1.83 B.1.1.514 B.1.1.166 B.1.1.266 B.1.1.92 P.7 B.1.1.192 B.1.1.34 B.1.1.416 BF.38 BA.2.3.21 B.10 B.1.1.398 B.3.1 B.1.1.89 BF.26 BF.9 B.53 B.4 BF.15 B.47 B.26 B.1.1.253	0.40163167 0.13471430 0.11374899 0.11374899 0.03994391 0.02158677 0.02123510 0.01441630 0.00759346 0.00699101 0.00478247 0.00442747 0.00263049 0.00245154 0.00212224 0.00204451 0.00196226 0.00162590 0.00148728 0.00147055 0.00143733 0.00143074 0.00141756 0.00135777 0.00131247 0.00111534 0.00109895 0.00106064 0.00104700 0.00102302	13.706037180838855	95.3549811055747
Mixture06	[('Omicron', 0.9090063579870155), ('Iota', 0.008249649999885457), ('Other', 0.003869465998779851), ('Alpha', 0.0030029999998377557), ('Delta', 0.0028651699907308384)]	BA.1.13 BA.1 BA.1.17.2 BA.1.9 B.1.526 XM BD.1 BA.1.18 Q.2 BA.2.29 BA.1.5 BA.1.13.1 BA.1.8 BA.1.17.1 AY.57 B.1.1.416 BA.2.3.2 B.1.1.461 BA.2.40.1 AY.17 BA.1.7 P.7 BA.1.14.1	0.77993964 0.06568184 0.02087830 0.01419839 0.00824965 0.00408227 0.00356680 0.00354292 0.00300300 0.00274859 0.00269696 0.00263209 0.00237799 0.00196850 0.00168298 0.00154720 0.00128515 0.00126711 0.00122110 0.00118219 0.00115037 0.00105516 0.00103545	7.177956783025837	93.1679095742902
Mixture07	[('Omicron', 0.4213593197991924), ('Iota', 0.25600360710286296), ('Alpha', 0.1365770390264329), ('Gamma', 0.06575591918953569), ('Other', 0.036212944289192084)]	BA.4.1 B.1.526 Q.1 P.1.6 B.1.1.7 BA.5.5 BF.1 B.1.1.83 P.1 P.1.4 B.1.1.13 BA.5.3.1 BF.27 BF.9 B.1.1.398 P.7 B.1.1.192 BE.3 B.1.1.174 B.1.1.322 B.1.1.416 B.1.1.266 BF.23 BF.19 BF.36 BF.26 B.1.1.134 Q.2 P.1.13 B.1.1.485 BF.15 B.1.1.89 BF.5	0.35023847 0.25600361 0.10267560 0.04908528 0.03256751 0.02713633 0.01913194 0.01050451 0.00811721 0.00724199 0.00655133 0.00565985 0.00565271 0.00329148 0.00269000 0.00262207 0.00235115 0.00230569 0.00202505 0.00195278 0.00190495 0.00179733 0.00153458 0.00140432 0.00139622 0.00136054 0.00134960 0.00133393 0.00131144 0.00124533 0.00123271 0.00121885 0.00101448	15.209915074513223	93.27157810253152
Mixture08	[('Omicron', 0.9587071478827461)]	BA.1.13 BA.1 BA.4.1 XM BA.1.9 XAP XN BA.2.23 BA.1.18 BA.1.5 BA.5 XW BA.1.21.1 BA.1.1.17 BA.1.13.1 XAC BA.1.14.1	0.75083094 0.13117894 0.03115115 0.01456950 0.00523143 0.00405619 0.00321418 0.00318039 0.00313863 0.00192301 0.00189706 0.00163464 0.00150583 0.00149692 0.00139589 0.00126808 0.00103435	7.113121267604205	92.13456843794937
Mixture09	[('Other', 0.96997005631874)]	B B.26 B.10	0.96751026 0.00128815 0.00117165	4.690891717101854	93.09768250677189
Mixture10	[('Omicron', 0.9584086403823884)]	BA.1 BA.1.13 BA.2.27 XQ XAH BA.2 BA.2.43 BA.2.23 BA.2.33 XM BA.2.19 XAL BA.1.18 BA.2.30 BA.1.13.1 XN BA.1.14.1 BA.2.3.2 BA.2.9.4 BA.2.40 BA.2.29 XAC BA.2.10.2 BA.2.52 BA.2.60 XAE BA.2.59	0.32483830 0.29868522 0.10759968 0.06016775 0.04095724 0.03623315 0.01555566 0.01225798 0.01210330 0.01024861 0.00564730 0.00547219 0.00356597 0.00346355 0.00278178 0.00253033 0.00200106 0.00192718 0.00179354 0.00163330 0.00155159 0.00151373 0.00134720 0.00118299 0.00117578 0.00112857 0.00104570	8.809796739124572	91.96401698826205
Mixture11	[('Omicron', 0.9823015534340456)]	BA.2.12.1	0.98230155	9.13592236321252	91.31859679630806
Mixture12	[('Omicron', 0.9802696547767445)]	BF.1 BA.5.5 BA.5.5.2 BF.9	0.84178454 0.11414773 0.02298340 0.00135399	10.280990886877674	96.10406982576998
Mixture13	[('Omicron', 0.975445403075077)]	BA.4.1 BA.4 BA.4.2 BA.4.5 BA.4.1.5	0.93270693 0.03421746 0.00487562 0.00195430 0.00169108	8.086566163736826	93.55583051867706
Mixture14	[('Other', 0.9263568603107393), ('Omicron', 0.002125629995249012)]	B B.1.1.10 B.1.533 B.1.1.83 B.1.1.174 B.1.1.397 B.1.173 B.1.1.416 XBB.1.25 B.1.1.258 XCG B.1.1.15 B.1.1.137 B.10 B.1.1.251 B.1.1.89 B.4	0.85295115 0.01436434 0.01157075 0.01092220 0.00898422 0.00837145 0.00737075 0.00254419 0.00212563 0.00137919 0.00133478 0.00120327 0.00113379 0.00110301 0.00106124 0.00103842 0.00102411	10.81121825616967	96.82306123131458
Mixture15	[('Alpha', 0.988335938957186)]	Q.1 B.1.1.7 Q.2 Q.4	0.92439987 0.04202900 0.01785710 0.00404997	7.006400154175079	89.52947864762733
Mixture16	[('Gamma', 0.9874080589763572)]	P.1.12	0.98740806	5.215677251006367	91.79680968464703
Mixture17	[('Iota', 0.9790220217677982)]	B.1.526	0.97902202	5.659338684951241	90.00769153596629
