	summarized	lineages	abundances	resid	coverage
NFWC	[('Omicron', 0.9999999999115435)]	BA.2.77 BA.2.26 BA.2.10.3 BA.2.10.2 BA.2.10.1 BA.2.85 BA.2.64 BA.2.18 BA.2.87 BA.2.55 BA.2.33 BA.2.31.1 BA.2.14 BA.2.71 BA.2.52 BA.2.25 BA.2.51 BA.2.6 BA.2.61 BA.2.11 BA.2.36 BA.2.24 BA.2.4 BA.2.5 BA.2.29 BA.2.65 BA.2.27 BA.2.10 BA.2.3 BA.2.23 BA.2.28 BA.2.31 BA.2.1 BA.2.72 BA.2.8 BA.2.30 BA.2.62 BA.2.40 BA.2.9 BA.2.69 XAS BA.2.25.1 BA.2.35 BA.2.3.21 BA.2.3.8 BA.2.3.6 BA.2.82 BA.2.42 BA.2.22 BA.2.44 BA.2.13 BA.2.70 BA.2.3.4 BA.2.3.7 BA.2.9.4 BA.2.9.6 BA.2.13.1 BA.2.3.19 BA.2.39 BA.2.9.5 BA.2.56.1 BA.2.3.5 BA.2.40.1 BA.2.20 BA.2.3.13 BA.2.3.2 BA.2.3.11 BA.2.3.10 BA.2.3.16 BA.2.3.1 BA.2.9.2 BA.2.59 BA.2.23.1 BA.2.19 BA.2.15 BA.2.81 BA.2.45 BA.2.9.3 BA.2.56	0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823 0.01265823	2.8539848253275086	0.0
NFWA	[('Omicron', 0.9947695919588424)]	XAS DC.1 BA.4.2 BA.4.4 BA.4.3 BA.4.6 BA.5 BA.4 BA.4.5 BA.4.6.5 BA.4.6.4 BA.4.6.1 BA.4.6.3 XAZ BA.5.2 BA.4.8 BA.4.6.2 BA.5.11 BA.5.9 BA.5.7 XAV CN.2 BA.4.1.9 BA.4.1 BA.4.1.1 BA.4.1.10 BA.4.1.4 BA.4.1.6 BA.4.1.3 CS.1 BF.7.4.2	0.04628156 0.04628156 0.04628156 0.04628156 0.04628156 0.04628156 0.04628156 0.04628156 0.04628156 0.04628156 0.04628156 0.04628156 0.04628156 0.04628156 0.04628156 0.04628156 0.04628156 0.04628156 0.04628156 0.04628156 0.04628156 0.00284630 0.00235479 0.00235479 0.00235479 0.00235479 0.00235479 0.00235479 0.00235479 0.00235479 0.00117233	1.1595348447034206	1.3410025749924757
Mixture42	[('Omicron', 0.9881040576567647)]	BA.5.5	0.98810406	6.7420482977833895	92.16800989867238
Mixture01	[('Omicron', 0.5631061084200675), ('Other', 0.17450489793660603), ('Alpha', 0.06574031701825399), ('Gamma', 0.04716771278442115), ('Iota', 0.04554079983994812), ('Delta', 0.02499043190401023)]	BA.4.1 B.1.1.161 BG.5 B.1.1.7 BA.5.5 BF.1 B.1.526 BA.2.23 BA.2 B.1.1.529 AY.15 P.1.10 B BA.1.9 P.1.11 P.1.7 P.1.13 B.1.1.28 XAR BA.2.27 B.3 AY.18 B.1.1.89 BA.2.40.1 P.1.14 B.1.1.357 B.10 B.27 B.1.1.448 B.4.5 BA.2.29	0.27253740 0.14117057 0.07327725 0.06574032 0.05489317 0.04940036 0.04554080 0.03255442 0.02976498 0.02420254 0.02316087 0.02305307 0.01862879 0.01758299 0.00937401 0.00763544 0.00572397 0.00518025 0.00339847 0.00275540 0.00207211 0.00182957 0.00177762 0.00173611 0.00138122 0.00127122 0.00113990 0.00112978 0.00110840 0.00102626 0.00100301	10.86453861478076	96.36825736548172
Mixture13	[('Omicron', 0.9858467117788683)]	BA.4.1 BA.4	0.87283062 0.11301610	8.356157850249577	94.59920409323479
Mixture12	[('Omicron', 0.9766653996685387)]	BF.1 BA.5.5 BA.5 BF.15 BA.5.1.17 BA.5.1.11	0.69078477 0.22011747 0.06244302 0.00113928 0.00112771 0.00105315	7.336973954379021	92.33856134835969
Mixture08	[('Omicron', 0.9551933177237503)]	BA.5.5 BA.4.1 BA.2 BG.5 BA.1 BA.1.9 BA.5 BA.2.23 B.1.1.529 BA.1.7 BA.2.27 XAR BA.1.2 BA.1.5 BA.2.60 XQ DH.1 BA.1.17.2 BA.2.3.15	0.24655294 0.23463959 0.17735505 0.06217099 0.05895523 0.04923520 0.03968198 0.02906010 0.02226692 0.01929145 0.00475199 0.00226586 0.00209942 0.00131199 0.00127325 0.00109684 0.00108395 0.00105813 0.00104244	7.567920393229417	94.25475704778785
Mixture39	[('Omicron', 0.9743117054431567)]	BA.2.87 BA.2 BA.2.27 BA.2.18 BA.2.28 BA.2.46 BA.2.85 BA.2.15 BA.2.32 BA.2.65 BA.2.8	0.94360346 0.01524405 0.00318834 0.00305449 0.00228311 0.00140092 0.00117264 0.00117028 0.00115009 0.00102992 0.00101440	6.379202769305774	92.17135404474467
Mixture11	[('Omicron', 0.9888962017586753)]	BG.5	0.98889620	7.868148645094333	94.25475704778785
Mixture02	[('Other', 0.3477330329462481), ('Alpha', 0.2669663568861727), ('Iota', 0.11070399999845543), ('Delta', 0.09877369788194285), ('Omicron', 0.06911141572567998), ('Gamma', 0.05085677239431557)]	B.1.1.7 B.1.1.161 B.4 B.1.526 AY.19 P.1.10 BA.1.17.2 AY.18 BA.1 B.1.1.529 BA.1.7 P.1.7 P.1.13 B.1.1.461 B.10 B.3 B.1.1.435 P.1.15	0.26696636 0.19054801 0.15245948 0.11070400 0.08609262 0.03646906 0.03548251 0.01268107 0.01207514 0.01138713 0.01016664 0.00870400 0.00466538 0.00142413 0.00112275 0.00109845 0.00108021 0.00101833	7.167907383312176	96.31809517439721
