	summarized	lineages	abundances	resid	coverage
NFWA	[('Other', 0.6666669999961187), ('Omicron', 0.33333299999766025)]	B.1.1.38 B.1.1.45 P.5 B.1.533 B.1.1.324 BA.5.1.17 BA.5.3 BA.5.5 BA.5.3.1 BA.5.3.2 BA.5.3.3 BA.5.1 BE.1 BA.5.6 BF.24 EQ.1 BA.5.1.34 BA.5.1.35 BA.5.1.30 BA.5.1.2 BA.5.5.2 BA.5.1.16 BA.5.1.11 BA.5.1.6 BA.5.1.19 BE.1.4 BA.5.1.33 BA.5.1.9 BA.5.1.12	0.50000000 0.05836295 0.04085109 0.03395089 0.03350208 0.01388887 0.01388887 0.01388887 0.01388887 0.01388887 0.01388887 0.01388887 0.01388887 0.01388887 0.01388887 0.01388887 0.01388887 0.01388887 0.01388887 0.01388887 0.01388887 0.01388887 0.01388887 0.01388887 0.01388887 0.01388887 0.01388887 0.01388887 0.01388887	5.152379044145999	0.0
NFWC	[('Other', 0.6985289998659528), ('Omicron', 0.18390799996122534), ('Gamma', 0.11756299999208716)]	B.1.1.161 B.1.1.45 B.1.1.345 P.1 D.2 BA.2.77 B.1.1.487 B.1.1.529 BA.1.1.13 BA.1.13.1 BA.1.14.2 BA.1.1 BA.1.1.17 BA.1.14 BA.1.4 BA.1.10 BA.1.1.11 BA.1.1.12 BA.1.1.8 BA.1.1.7 BA.1.13	0.24968664 0.21547916 0.15659900 0.11756300 0.04109200 0.03886200 0.03567220 0.02027200 0.00959800 0.00959800 0.00959800 0.00959800 0.00959800 0.00959800 0.00959800 0.00959800 0.00959800 0.00959800 0.00959800 0.00959800 0.00959800	4.751782726851486	2.263986890947397
Mixture03	[('Omicron', 0.9753239656371079), ('Other', 0.0029971406546897717)]	BA.2.38 BA.5.2 BA.2.12.1 BA.2.78 B.4 BA.5.3.2 BA.2.85 BA.2.72 BA.2.73 BQ.1.26	0.88737203 0.05327896 0.02504532 0.00314715 0.00299714 0.00210053 0.00129218 0.00105748 0.00101843 0.00101189	10.408349155902027	63.766177306624755
Mixture01	[('Omicron', 0.5397370830073699), ('Other', 0.1850478149115531), ('Alpha', 0.053765529706532734), ('Iota', 0.04921279999980307), ('Gamma', 0.045018980101297325), ('Delta', 0.023793882874572236)]	BA.4.1 B.1.1.161 B.1.1.7 BG.5 B.1.526 BA.2.27 BF.1 BA.5.5 P.1.12 BA.2.38 BA.1.9 B.1.533 AY.18 P.1.11 BA.2.12 XAR AY.15 B.15 B.20 B BA.2.28 B.4 B.1.1.448 BF.15 P.1 XAA P.1.13 B.1.1.157 B.10 B.1.1.174 BA.1.13.1 BE.2 BA.2.18 B.1.1.99 B.1.1.89 B.1.1.197 B.1.1.134 B.1.1.5	0.26578787 0.12499483 0.05376553 0.05038933 0.04921280 0.04904428 0.04595975 0.04376603 0.02880710 0.02874369 0.02636664 0.02221713 0.01592052 0.01229877 0.00980928 0.00864553 0.00787337 0.00760701 0.00760701 0.00760701 0.00321240 0.00248630 0.00241881 0.00231972 0.00219320 0.00194553 0.00171992 0.00156413 0.00154671 0.00136669 0.00128700 0.00123839 0.00122166 0.00120447 0.00116661 0.00111452 0.00108755 0.00105902	12.724415663182114	95.3382603752132
Mixture09	[('Other', 0.9832026834065868)]	B.15 B.20 B B.4 B.10 B.27	0.32538446 0.32538446 0.32538446 0.00299670 0.00259772 0.00145490	3.3158828087043752	93.0776176303381
Mixture06	[('Omicron', 0.5590231760407476), ('Delta', 0.10073800670379912), ('Alpha', 0.0765904862897278), ('Gamma', 0.06582660520465493), ('Iota', 0.06565440000003309), ('Other', 0.04086396333916278)]	BA.2.27 BA.1.9 XAJ B.1.1.7 AY.18 B.1.526 P.1.11 B.1.533 BA.2.38 AY.13 BA.1 P.1.12 AY.15 XAR XV P.1.13 B.1.1.448 BA.2.28 BA.2.37 BA.2.73 BA.2.18 B.1.1.209 B.1.1.157 B.1.1.89 BA.2.12 B.1.1.5 B.1.1.134 BA.2.46 B.1.1.165	0.26900863 0.12090765 0.09925356 0.07659049 0.07046036 0.06565440 0.04999783 0.02853384 0.02491223 0.02084881 0.01706700 0.01150608 0.00942884 0.00930954 0.00585468 0.00432270 0.00323842 0.00303203 0.00255754 0.00224363 0.00216532 0.00198876 0.00168229 0.00165423 0.00157242 0.00145613 0.00119149 0.00113895 0.00111880	12.078301732801439	93.22141591144701
Mixture39	[('Omicron', 0.970083250638944)]	BA.2.56 BA.2.27 BA.2.18 BA.2.28 BA.2.10.2 BA.2.85 BA.2.55	0.93721008 0.02380950 0.00284170 0.00243902 0.00146199 0.00122175 0.00109921	5.365461062135593	91.13466876233154
Mixture14	[('Other', 0.9827335265529468)]	B B.15 B.20 B.4 B.10 B.27 B.47	0.32412868 0.32412868 0.32412868 0.00444081 0.00270081 0.00194238 0.00126349	3.5093774020565993	91.71655017891182
Mixture15	[('Alpha', 0.9886220614734602)]	B.1.1.7	0.98862206	4.919584621827262	89.2753235461325
Mixture17	[('Iota', 0.988146000001658)]	B.1.526	0.98814600	4.302938074609379	87.83734073504331
