	summarized	lineages	abundances	resid	coverage
NFWA	[('Omicron', 0.5999999999948562), ('Other', 0.3999999999908747)]	B.1.1.161 BA.2 B.1.1.311 XV BA.5.3 BA.2.12.1 BA.2.12 BA.4.8 B.1.1.45	0.24579014 0.16666600 0.11111100 0.10000000 0.10000000 0.08333350 0.08333350 0.06666700 0.04309886	8.213519427522757	1.0500618667023376
NFWC	[('Omicron', 0.568751219678758), ('Gamma', 0.4277254165492828)]	P.1.7 BA.1.9 XAR BA.4.8 P.1.4 B.1.1.529 P.1.6 BA.4.1 BA.2.40	0.23645099 0.16648468 0.16382497 0.15298300 0.12415442 0.07108871 0.06712001 0.01281987 0.00154999	6.305336487484404	3.641775072735177
Mixture15	[('Alpha', 0.9880339097167711)]	B.1.1.7	0.98803391	6.142528899080862	89.292044276494
Mixture13	[('Omicron', 0.9812709765408176)]	BA.4.1 BA.4 BA.4.2 BA.4.1.9	0.87010395 0.10329041 0.00491224 0.00296437	8.522935865196906	93.24816908002542
Mixture01	[('Omicron', 0.796210005162498), ('Other', 0.08166049570425703), ('Iota', 0.0230265286828094), ('Gamma', 0.010931891341376797), ('Alpha', 0.010846744951752717), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0034000103746263614), ('Delta', 0.0010873500000098315)]	BA.1.13 BA.1 BA.4.1 B.1.1.161 BA.1.17.2 B.1.526 BA.2.23 BA.4.1.9 B.1.1.277 B.1.1.7 XM XAR BA.1.13.1 P.1.13 B P.1 BA.1.9 XN BA.2.27 B.1.1.328 B.4 B.1.1.461 B.1.1.89 B.10 BA.1.24 BA.2.58 BA.2.10.2 BA.2.28 B.27 BA.2.18 XBB.1.5.8 BA.2.38.1 XBB.1.5.96 B.1.1.436 B.1.1.182 BA.2.85 BF.15 B.1.1.360 B.1.1.388 B.3 AL.1 BA.2.46 P.1.17 BA.2.10 AY.15 BA.2.73 BA.1.10	0.36595859 0.24731003 0.05457767 0.03940554 0.03702691 0.02302653 0.01989838 0.01719132 0.01490698 0.01084674 0.00974868 0.00708383 0.00671570 0.00520692 0.00461191 0.00458927 0.00421484 0.00394117 0.00359281 0.00297177 0.00288539 0.00258540 0.00232049 0.00228562 0.00222837 0.00219901 0.00218225 0.00194634 0.00192069 0.00190637 0.00185864 0.00154192 0.00154137 0.00150075 0.00143713 0.00133690 0.00133591 0.00128156 0.00119960 0.00117838 0.00116928 0.00113636 0.00113570 0.00113163 0.00108735 0.00100479 0.00100023	11.34351766968952	97.47851386148547
Mixture09	[('Other', 0.9857773476481441)]	B.15 B B.4 B.10 B.27 B.3	0.48848457 0.48848457 0.00497988 0.00154573 0.00121507 0.00106753	5.044415617734798	93.0909942146273
Mixture03	[('Omicron', 0.9636204397947552)]	BA.4.1 BA.2.56 BA.5.5 BA.2.12.1 BF.1 BA.4 BA.5.3.4 BA.2.23 BA.2.11 BA.5.5.2 BA.2.32 BA.2.10.2 BA.2.72 BA.5.1.38 BA.5.3.2 BA.2.46 BA.5.11 BA.2.28 BA.2.5	0.48083884 0.25002468 0.06152984 0.05613097 0.03736119 0.03113337 0.00928154 0.00693772 0.00607410 0.00584966 0.00354409 0.00325380 0.00246305 0.00229511 0.00212728 0.00140384 0.00124445 0.00111998 0.00100693	7.436027891079243	94.50891214928268
Mixture11	[('Omicron', 0.9774397727244436)]	BA.2.12.1 BE.2 BG.6	0.97456616 0.00161943 0.00125418	8.724060135439391	91.25840216700665
Mixture14	[('Other', 0.9591431517269473), ('XBB* (XBB.X)', 0.004401531336032285)]	B B.1.1.161 B.1.1.397 B.1.1.30 B.4 XBB.1.28 B.10 B.1.1.153 B.27 B.1.1.258 XBB.1.11 XBB.1.4.1	0.76330190 0.16924318 0.01016766 0.00708348 0.00369830 0.00227774 0.00176969 0.00148478 0.00125313 0.00114103 0.00106793 0.00105586	11.511086356363744	96.74280172557937
Mixture02	[('Omicron', 0.7742750927209867), ('Other', 0.07900731880530946), ('Alpha', 0.03313401612872996), ('Iota', 0.030812196956850446), ('Delta', 0.016246538393099086), ('Gamma', 0.005503697671792405)]	BA.1.4 BA.1 BA.1.17.2 B.1.526 B.1.1.161 Q.4 B.1.173 BA.1.13.1 AY.18 B.1.1.7 B.4 B.1.617.2 B.1.1.448 B.1.1.274 P.1.11 BA.1.24 B.1.1.218 B.10 B.1.1.89 B.1.1.461 P.1.3 P.1.13 B.27 B.43 B.42 B.3 B.1.1.307 BA.1.1.1 AY.14 B.1.1.205 B.1.1.435 B.1.1.453 B.1.1.165 B.1.1.368 B B.15 B.20 B.1.14 B.45 B.1.1.171 B.1.1.157	0.36974513 0.33809728 0.05084100 0.03081220 0.02705685 0.02421817 0.01431062 0.01218200 0.01217124 0.00891584 0.00425361 0.00272758 0.00258900 0.00208339 0.00207383 0.00203849 0.00186916 0.00182438 0.00180442 0.00177507 0.00175160 0.00167827 0.00163043 0.00162504 0.00153662 0.00151814 0.00147243 0.00137119 0.00134771 0.00134088 0.00131157 0.00120681 0.00118913 0.00114943 0.00110666 0.00110666 0.00110666 0.00107391 0.00102874 0.00102022 0.00101750	8.568279128088083	93.07427348426579
