	summarized	lineages	abundances	resid	coverage
Mixture01	[('Omicron', 0.622), ('Other', 0.208), ('Iota', 0.043), ('Alpha', 0.04), ('Gamma', 0.033), ('Delta', 0.021), ('Epsilon', 0.011), ('Eta', 0.01), ('Kappa', 0.007), ('Beta', 0.005)]	BA.4 B BA.2 BA.3 BA.1 BF.7 B.1.526 B.1.1.7 BA.2.75 BA.2.12 P.1 BA.5 BA.4.6 B.1.617.2 BQ.1 B.1.427 B.1.525 B.1.617.1 B.1.351 BQ.1.1 Other	0.214 0.207 0.137 0.05 0.047 0.043 0.043 0.04 0.036 0.034 0.033 0.025 0.022 0.021 0.012 0.011 0.01 0.007 0.005 0.002 0.001		
Mixture02	[('Other', 0.462), ('Alpha', 0.163), ('Omicron', 0.12200000000000003), ('Iota', 0.1), ('Delta', 0.062), ('Gamma', 0.037), ('Eta', 0.019), ('Kappa', 0.015), ('Epsilon', 0.014), ('Beta', 0.008)]	B B.1.1.7 B.1.526 BA.1 B.1.617.2 P.1 B.1.525 B.1.617.1 B.1.427 B.1.351 BA.2.75 BA.3 BQ.1 BF.7 BA.4.6 BA.5 BA.2.12 BA.4 BA.2 BQ.1.1 Other	0.462 0.163 0.1 0.077 0.062 0.037 0.019 0.015 0.014 0.008 0.008 0.007 0.006 0.006 0.005 0.004 0.004 0.003 0.001 0.001 0		
Mixture03	[('Omicron', 0.9710000000000001), ('Epsilon', 0.006), ('Eta', 0.004), ('Delta', 0.004), ('Iota', 0.004), ('Alpha', 0.004), ('Kappa', 0.003), ('Gamma', 0.002), ('Other', 0.002), ('Beta', 0.001)]	BA.2 BA.4 BA.5 BF.7 BA.2.12 BA.4.6 BA.2.75 BA.3 BQ.1 BA.1 B.1.427 B.1.525 B.1.617.2 B.1.526 B.1.1.7 BQ.1.1 B.1.617.1 P.1 B B.1.351 Other	0.356 0.314 0.069 0.055 0.053 0.037 0.029 0.028 0.016 0.011 0.006 0.004 0.004 0.004 0.004 0.003 0.003 0.002 0.002 0.001 0		
Mixture04	[('Omicron', 0.4620000000000001), ('Other', 0.256), ('Gamma', 0.11), ('Iota', 0.092), ('Alpha', 0.042), ('Epsilon', 0.012), ('Eta', 0.01), ('Beta', 0.007), ('Delta', 0.006), ('Kappa', 0.004)]	B BA.2 BA.1 P.1 B.1.526 BA.3 B.1.1.7 BA.4 BA.2.75 BA.4.6 BF.7 B.1.427 BA.5 B.1.525 BQ.1 BA.2.12 B.1.351 B.1.617.2 B.1.617.1 BQ.1.1 Other	0.256 0.179 0.124 0.11 0.092 0.05 0.042 0.026 0.021 0.014 0.014 0.012 0.012 0.01 0.01 0.01 0.007 0.006 0.004 0.002 0		
Mixture05	[('Omicron', 0.5770000000000001), ('Other', 0.367), ('Epsilon', 0.012), ('Iota', 0.009), ('Alpha', 0.008), ('Eta', 0.008), ('Delta', 0.006), ('Gamma', 0.005), ('Kappa', 0.005), ('Beta', 0.003)]	B BA.4 BA.2 BF.7 BA.3 BA.5 BA.2.12 BA.2.75 BA.4.6 BA.1 BQ.1 B.1.427 B.1.526 B.1.1.7 B.1.525 B.1.617.2 P.1 B.1.617.1 B.1.351 BQ.1.1 Other	0.367 0.24 0.068 0.063 0.044 0.038 0.035 0.033 0.026 0.015 0.013 0.012 0.009 0.008 0.008 0.006 0.005 0.005 0.003 0.002 0.0		
Mixture06	[('Omicron', 0.6610000000000001), ('Delta', 0.087), ('Iota', 0.075), ('Alpha', 0.055), ('Gamma', 0.048), ('Other', 0.026), ('Kappa', 0.018), ('Eta', 0.013), ('Epsilon', 0.012), ('Beta', 0.006)]	BA.2 BA.1 B.1.617.2 B.1.526 BA.2.12 BA.3 B.1.1.7 BA.2.75 P.1 BA.4 B B.1.617.1 BA.4.6 BF.7 B.1.525 B.1.427 BA.5 BQ.1 B.1.351 BQ.1.1 Other	0.25 0.148 0.087 0.075 0.061 0.061 0.055 0.05 0.048 0.037 0.026 0.018 0.015 0.014 0.013 0.012 0.012 0.011 0.006 0.002 0		
Mixture07	[('Omicron', 0.6240000000000001), ('Iota', 0.131), ('Alpha', 0.107), ('Gamma', 0.074), ('Other', 0.023), ('Epsilon', 0.013), ('Eta', 0.011), ('Delta', 0.007), ('Beta', 0.006), ('Kappa', 0.005)]	BA.4 B.1.526 B.1.1.7 BA.2 P.1 BF.7 BA.3 BA.2.75 BA.2.12 BA.4.6 BA.5 B BA.1 B.1.427 B.1.525 BQ.1 B.1.617.2 B.1.351 B.1.617.1 BQ.1.1 Other	0.248 0.131 0.107 0.103 0.074 0.065 0.062 0.031 0.031 0.027 0.026 0.023 0.018 0.013 0.011 0.011 0.007 0.006 0.005 0.002 0		
Mixture08	[('Omicron', 0.9550000000000002), ('Alpha', 0.01), ('Epsilon', 0.008), ('Eta', 0.006), ('Delta', 0.005), ('Iota', 0.005), ('Kappa', 0.004), ('Other', 0.003), ('Gamma', 0.002), ('Beta', 0.002)]	BA.4 BA.2 BA.1 BA.5 BA.3 BF.7 BA.4.6 BA.2.12 BA.2.75 BQ.1 B.1.1.7 B.1.427 B.1.525 B.1.617.2 B.1.526 B.1.617.1 BQ.1.1 P.1 B.1.351 B Other	0.262 0.256 0.135 0.09 0.05 0.04 0.038 0.034 0.028 0.019 0.01 0.008 0.006 0.005 0.005 0.004 0.003 0.002 0.002 0.002 0.001		
Mixture09	[('Other', 0.911), ('Omicron', 0.037000000000000005), ('Eta', 0.012), ('Epsilon', 0.01), ('Iota', 0.009), ('Delta', 0.006), ('Kappa', 0.005), ('Alpha', 0.004), ('Beta', 0.004), ('Gamma', 0.003)]	B B.1.525 B.1.427 B.1.526 BA.1 BQ.1 B.1.617.2 BF.7 B.1.617.1 B.1.1.7 B.1.351 BA.2.12 BA.4.6 P.1 BA.3 BA.5 BA.2.75 BA.2 BA.4 BQ.1.1 Other	0.911 0.012 0.01 0.009 0.007 0.006 0.006 0.005 0.005 0.004 0.004 0.004 0.004 0.003 0.003 0.003 0.003 0.001 0.001 0.0 0		
Mixture10	[('Omicron', 0.9610000000000001), ('Epsilon', 0.007), ('Alpha', 0.007), ('Eta', 0.006), ('Delta', 0.005), ('Iota', 0.005), ('Kappa', 0.004), ('Other', 0.003), ('Gamma', 0.002), ('Beta', 0.002)]	BA.2 BA.1 BA.3 BA.4 BA.2.75 BA.4.6 BF.7 BA.5 BQ.1 BA.2.12 B.1.427 B.1.1.7 B.1.525 B.1.617.2 B.1.526 B.1.617.1 B P.1 B.1.351 BQ.1.1 Other	0.525 0.221 0.067 0.05 0.023 0.021 0.017 0.013 0.011 0.011 0.007 0.007 0.006 0.005 0.005 0.004 0.003 0.002 0.002 0.002 0		
