	summarized	lineages	abundances	resid	coverage
Mixture01	[('Omicron', 0.6570000000000001), ('Other', 0.186), ('Gamma', 0.04), ('Iota', 0.037), ('Alpha', 0.037), ('Delta', 0.015), ('Epsilon', 0.013), ('Kappa', 0.006), ('Eta', 0.006), ('Beta', 0.003)]	BA.4 B BA.2 BA.5 BA.1 P.1 B.1.526 B.1.1.7 BF.7 BA.3 BA.4.6 BA.2.75 BA.2.12 B.1.617.2 B.1.427 BQ.1 B.1.617.1 B.1.525 B.1.351 BQ.1.1 Other	0.203 0.184 0.175 0.068 0.065 0.04 0.037 0.037 0.03 0.028 0.027 0.025 0.023 0.015 0.013 0.011 0.006 0.006 0.003 0.002 0.002		
Mixture02	[('Other', 0.488), ('Alpha', 0.16), ('Omicron', 0.10800000000000004), ('Iota', 0.092), ('Delta', 0.053), ('Gamma', 0.049), ('Epsilon', 0.016), ('Kappa', 0.015), ('Eta', 0.013), ('Beta', 0.006)]	B B.1.1.7 B.1.526 BA.1 B.1.617.2 P.1 B.1.427 B.1.617.1 B.1.525 BA.3 BA.2.75 BA.5 B.1.351 BF.7 BQ.1 BA.4.6 BA.2.12 BA.2 BA.4 BQ.1.1 Other	0.488 0.16 0.092 0.062 0.053 0.049 0.016 0.015 0.013 0.008 0.008 0.007 0.006 0.005 0.005 0.005 0.004 0.002 0.001 0.001 0.0		
Mixture03	[('Omicron', 0.9700000000000001), ('Gamma', 0.009), ('Epsilon', 0.009), ('Alpha', 0.003), ('Iota', 0.003), ('Delta', 0.003), ('Eta', 0.002), ('Beta', 0.002), ('Kappa', 0.0), ('Other', 0.0)]	BA.5 BA.2 BA.4 BA.4.6 BQ.1 BA.2.75 BA.2.12 BF.7 P.1 B.1.427 BA.1 BQ.1.1 BA.3 B.1.1.7 B.1.526 B.1.617.2 B.1.525 B.1.351 B.1.617.1 B Other	0.52 0.251 0.104 0.026 0.018 0.013 0.012 0.01 0.009 0.009 0.008 0.004 0.004 0.003 0.003 0.003 0.002 0.002 0.0 0.0 0		
Mixture04	[('Omicron', 0.4570000000000001), ('Other', 0.252), ('Gamma', 0.129), ('Iota', 0.088), ('Alpha', 0.041), ('Epsilon', 0.014), ('Beta', 0.006), ('Kappa', 0.006), ('Eta', 0.006), ('Delta', 0.003)]	B BA.2 P.1 BA.1 B.1.526 B.1.1.7 BA.5 BA.3 BA.2.75 BA.4 BA.4.6 B.1.427 BF.7 BQ.1 BA.2.12 B.1.351 B.1.617.1 B.1.525 B.1.617.2 BQ.1.1 Other	0.252 0.193 0.129 0.123 0.088 0.041 0.03 0.025 0.02 0.017 0.016 0.014 0.012 0.011 0.008 0.006 0.006 0.006 0.003 0.002 0		
Mixture05	[('Omicron', 0.6210000000000001), ('Other', 0.328), ('Gamma', 0.014), ('Epsilon', 0.011), ('Iota', 0.007), ('Eta', 0.005), ('Alpha', 0.005), ('Delta', 0.003), ('Kappa', 0.003), ('Beta', 0.003)]	B BA.4 BA.5 BA.2 BF.7 BA.1 BA.3 BA.4.6 BA.2.12 BA.2.75 P.1 B.1.427 BQ.1 B.1.526 B.1.525 B.1.1.7 B.1.617.2 B.1.617.1 B.1.351 BQ.1.1 Other	0.328 0.224 0.109 0.09 0.046 0.036 0.028 0.028 0.027 0.019 0.014 0.011 0.011 0.007 0.005 0.005 0.003 0.003 0.003 0.003 0.0		
Mixture06	[('Omicron', 0.6860000000000002), ('Gamma', 0.068), ('Delta', 0.061), ('Iota', 0.059), ('Alpha', 0.056), ('Other', 0.026), ('Kappa', 0.018), ('Epsilon', 0.013), ('Eta', 0.008), ('Beta', 0.005)]	BA.2 BA.1 P.1 B.1.617.2 B.1.526 B.1.1.7 BA.2.12 BA.2.75 BA.3 BA.5 B B.1.617.1 BA.4.6 BA.4 BF.7 B.1.427 BQ.1 B.1.525 B.1.351 BQ.1.1 Other	0.311 0.169 0.068 0.061 0.059 0.056 0.047 0.043 0.03 0.027 0.026 0.018 0.016 0.015 0.015 0.013 0.011 0.008 0.005 0.002 0.0		
Mixture07	[('Omicron', 0.6520000000000001), ('Iota', 0.113), ('Alpha', 0.102), ('Gamma', 0.081), ('Other', 0.02), ('Epsilon', 0.013), ('Eta', 0.006), ('Kappa', 0.005), ('Beta', 0.005), ('Delta', 0.003)]	BA.4 BA.2 B.1.526 B.1.1.7 BA.5 P.1 BA.1 BF.7 BA.4.6 BA.3 BA.2.12 BA.2.75 B B.1.427 BQ.1 B.1.525 B.1.617.1 B.1.351 B.1.617.2 BQ.1.1 Other	0.246 0.116 0.113 0.102 0.082 0.081 0.047 0.045 0.029 0.029 0.024 0.02 0.02 0.013 0.011 0.006 0.005 0.005 0.003 0.003 0.0		
Mixture08	[('Omicron', 0.9660000000000001), ('Gamma', 0.011), ('Epsilon', 0.006), ('Alpha', 0.004), ('Eta', 0.003), ('Iota', 0.003), ('Kappa', 0.002), ('Delta', 0.002), ('Beta', 0.002), ('Other', 0.001)]	BA.2 BA.5 BA.4 BA.1 BA.4.6 BA.2.12 BF.7 BQ.1 BA.3 BA.2.75 P.1 B.1.427 B.1.1.7 B.1.525 B.1.526 BQ.1.1 B.1.617.1 B.1.617.2 B.1.351 B Other	0.275 0.219 0.21 0.141 0.031 0.026 0.022 0.015 0.014 0.011 0.011 0.006 0.004 0.003 0.003 0.002 0.002 0.002 0.002 0.001 0.0		
Mixture09	[('Other', 0.903), ('Omicron', 0.037000000000000005), ('Gamma', 0.014), ('Epsilon', 0.011), ('Iota', 0.009), ('Eta', 0.007), ('Kappa', 0.007), ('Beta', 0.005), ('Delta', 0.004), ('Alpha', 0.004)]	B P.1 B.1.427 B.1.526 B.1.525 B.1.617.1 BA.1 B.1.351 BA.4.6 B.1.617.2 B.1.1.7 BQ.1 BF.7 BA.5 BA.2.75 BA.2 BA.2.12 BA.3 BA.4 BQ.1.1 Other	0.903 0.014 0.011 0.009 0.007 0.007 0.006 0.005 0.005 0.004 0.004 0.004 0.004 0.004 0.003 0.003 0.003 0.003 0.001 0.001 0		
Mixture10	[('Omicron', 0.9700000000000001), ('Gamma', 0.008), ('Epsilon', 0.006), ('Alpha', 0.004), ('Eta', 0.003), ('Iota', 0.003), ('Delta', 0.002), ('Other', 0.002), ('Kappa', 0.001), ('Beta', 0.001)]	BA.2 BA.1 BA.5 BA.4.6 BA.4 BA.3 BF.7 BQ.1 BA.2.75 P.1 BA.2.12 B.1.427 B.1.1.7 B.1.525 B.1.526 B.1.617.2 B B.1.617.1 B.1.351 BQ.1.1 Other	0.621 0.225 0.026 0.022 0.021 0.016 0.011 0.01 0.009 0.008 0.008 0.006 0.004 0.003 0.003 0.002 0.001 0.001 0.001 0.001 0.001		
