	summarized	lineages	abundances	resid	coverage
Mixture01	[('Omicron', 0.8550000000000002), ('Other', 0.053), ('Gamma', 0.028), ('Iota', 0.024), ('Alpha', 0.012), ('Epsilon', 0.011), ('Delta', 0.007), ('Eta', 0.004), ('Kappa', 0.004), ('Beta', 0.003)]	BA.1 BA.4 B BA.2 BA.5 P.1 B.1.526 BA.4.6 BA.3 BA.2.75 BF.7 B.1.1.7 B.1.427 BQ.1 B.1.617.2 BA.2.12 B.1.525 B.1.617.1 B.1.351 BQ.1.1 Other	0.628 0.067 0.053 0.044 0.031 0.028 0.024 0.02 0.018 0.014 0.014 0.012 0.011 0.01 0.007 0.007 0.004 0.004 0.003 0.002 0		
Mixture02	[('Omicron', 0.8200000000000001), ('Other', 0.079), ('Iota', 0.025), ('Alpha', 0.022), ('Gamma', 0.019), ('Epsilon', 0.011), ('Delta', 0.01), ('Kappa', 0.006), ('Eta', 0.005), ('Beta', 0.003)]	BA.1 B B.1.526 B.1.1.7 P.1 BA.5 B.1.427 B.1.617.2 BA.3 BA.4.6 BQ.1 BF.7 BA.2.75 B.1.617.1 B.1.525 BA.4 BA.2.12 BA.2 B.1.351 BQ.1.1 Other	0.761 0.079 0.025 0.022 0.019 0.011 0.011 0.01 0.008 0.008 0.007 0.006 0.006 0.006 0.005 0.005 0.004 0.003 0.003 0.001 0.0		
Mixture03	[('Omicron', 0.9690000000000001), ('Gamma', 0.015), ('Epsilon', 0.005), ('Alpha', 0.003), ('Iota', 0.002), ('Delta', 0.002), ('Eta', 0.002), ('Kappa', 0.001), ('Beta', 0.001), ('Other', 0.001)]	BA.4 BA.2 BA.5 BA.4.6 BF.7 BA.2.12 P.1 BA.2.75 BA.3 BQ.1 BA.1 B.1.427 BQ.1.1 B.1.1.7 B.1.526 B.1.617.2 B.1.525 B.1.617.1 B.1.351 B Other	0.484 0.29 0.073 0.037 0.02 0.017 0.015 0.013 0.011 0.01 0.01 0.005 0.004 0.003 0.002 0.002 0.002 0.001 0.001 0.001 0		
Mixture04	[('Omicron', 0.915), ('Gamma', 0.023), ('Iota', 0.018), ('Other', 0.016), ('Epsilon', 0.009), ('Alpha', 0.007), ('Eta', 0.004), ('Kappa', 0.003), ('Delta', 0.003), ('Beta', 0.002)]	BA.1 P.1 BA.5 B.1.526 B BA.4.6 BA.3 BA.2 B.1.427 BA.4 BF.7 BQ.1 B.1.1.7 BA.2.75 BA.2.12 B.1.525 B.1.617.1 B.1.617.2 B.1.351 BQ.1.1 Other	0.821 0.023 0.019 0.018 0.016 0.013 0.012 0.012 0.009 0.008 0.008 0.008 0.007 0.007 0.006 0.004 0.003 0.003 0.002 0.001 0.0		
Mixture05	[('Omicron', 0.546), ('Other', 0.404), ('Gamma', 0.012), ('Epsilon', 0.011), ('Iota', 0.007), ('Alpha', 0.005), ('Eta', 0.005), ('Kappa', 0.004), ('Delta', 0.003), ('Beta', 0.003)]	B BA.4 BA.5 BF.7 BA.4.6 BA.1 BA.2 BA.3 BA.2.75 BA.2.12 P.1 B.1.427 BQ.1 B.1.526 B.1.1.7 B.1.525 B.1.617.1 B.1.617.2 B.1.351 BQ.1.1 Other	0.403 0.318 0.048 0.038 0.03 0.027 0.023 0.021 0.016 0.014 0.012 0.011 0.009 0.007 0.005 0.005 0.004 0.003 0.003 0.002 0.001		
Mixture06	[('Omicron', 0.9410000000000001), ('Gamma', 0.015), ('Iota', 0.01), ('Delta', 0.008), ('Epsilon', 0.008), ('Alpha', 0.007), ('Eta', 0.004), ('Kappa', 0.003), ('Beta', 0.002), ('Other', 0.002)]	BA.1 P.1 BA.5 B.1.526 BA.4.6 BA.3 BQ.1 BF.7 B.1.617.2 B.1.427 B.1.1.7 BA.2.12 BA.2.75 BA.4 BA.2 B.1.525 B.1.617.1 B.1.351 B BQ.1.1 Other	0.864 0.015 0.015 0.01 0.01 0.009 0.008 0.008 0.008 0.008 0.007 0.007 0.007 0.006 0.006 0.004 0.003 0.002 0.001 0.001 0.001		
Mixture07	[('Omicron', 0.515), ('Iota', 0.267), ('Alpha', 0.091), ('Gamma', 0.077), ('Other', 0.017), ('Epsilon', 0.013), ('Kappa', 0.007), ('Eta', 0.006), ('Beta', 0.005), ('Delta', 0.003)]	BA.4 B.1.526 B.1.1.7 P.1 BA.5 BA.2 BF.7 BA.1 BA.4.6 BA.3 B B.1.427 BA.2.75 BQ.1 B.1.617.1 BA.2.12 B.1.525 B.1.351 B.1.617.2 BQ.1.1 Other	0.287 0.267 0.091 0.077 0.041 0.037 0.034 0.033 0.028 0.025 0.017 0.013 0.012 0.009 0.007 0.007 0.006 0.005 0.003 0.002 0		
Mixture08	[('Omicron', 0.9590000000000001), ('Gamma', 0.016), ('Epsilon', 0.007), ('Eta', 0.004), ('Iota', 0.004), ('Alpha', 0.004), ('Delta', 0.002), ('Kappa', 0.002), ('Other', 0.001), ('Beta', 0.001)]	BA.1 BA.4 BA.2 BA.4.6 P.1 BA.5 BA.3 BF.7 BQ.1 B.1.427 BA.2.12 BA.2.75 B.1.525 B.1.526 B.1.1.7 B.1.617.2 B.1.617.1 B B.1.351 BQ.1.1 Other	0.843 0.024 0.018 0.017 0.016 0.016 0.012 0.009 0.008 0.007 0.006 0.005 0.004 0.004 0.004 0.002 0.002 0.001 0.001 0.001 0.0		
Mixture09	[('Other', 0.903), ('Omicron', 0.036000000000000004), ('Gamma', 0.014), ('Epsilon', 0.013), ('Iota', 0.009), ('Kappa', 0.007), ('Eta', 0.006), ('Delta', 0.004), ('Beta', 0.004), ('Alpha', 0.004)]	B P.1 B.1.427 B.1.526 B.1.617.1 B.1.525 BA.1 BA.3 B.1.617.2 B.1.351 BF.7 B.1.1.7 BQ.1 BA.4.6 BA.5 BA.2.12 BA.2.75 BA.2 BA.4 BQ.1.1 Other	0.902 0.014 0.013 0.009 0.007 0.006 0.006 0.005 0.004 0.004 0.004 0.004 0.004 0.004 0.003 0.003 0.003 0.002 0.001 0.001 0.001		
Mixture10	[('Omicron', 0.9630000000000001), ('Gamma', 0.015), ('Epsilon', 0.007), ('Iota', 0.004), ('Alpha', 0.004), ('Eta', 0.003), ('Delta', 0.002), ('Other', 0.001), ('Kappa', 0.001), ('Beta', 0.001)]	BA.1 BA.2 BA.5 BA.4.6 P.1 BA.3 BA.4 BF.7 BQ.1 B.1.427 BA.2.12 BA.2.75 B.1.526 B.1.1.7 B.1.525 B.1.617.2 B B.1.617.1 B.1.351 BQ.1.1 Other	0.581 0.268 0.031 0.019 0.015 0.014 0.014 0.011 0.01 0.007 0.007 0.007 0.004 0.004 0.003 0.002 0.001 0.001 0.001 0.001 0		
Mixture11	[('Omicron', 0.971), ('Gamma', 0.01), ('Epsilon', 0.005), ('Alpha', 0.005), ('Iota', 0.002), ('Delta', 0.002), ('Eta', 0.002), ('Kappa', 0.001), ('Beta', 0.001), ('Other', 0.001)]	BA.2 BA.2.12 BA.2.75 BA.4.6 BA.5 BF.7 P.1 BQ.1 BA.4 BA.1 BA.3 B.1.427 B.1.1.7 BQ.1.1 B.1.526 B.1.617.2 B.1.525 B.1.617.1 B.1.351 B Other	0.596 0.214 0.074 0.021 0.018 0.012 0.01 0.009 0.009 0.008 0.008 0.005 0.005 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.0		
Mixture12	[('Omicron', 0.9670000000000001), ('Gamma', 0.014), ('Epsilon', 0.006), ('Alpha', 0.004), ('Iota', 0.003), ('Delta', 0.002), ('Eta', 0.002), ('Kappa', 0.001), ('Beta', 0.001), ('Other', 0.001)]	BA.5 BF.7 BQ.1 BA.4.6 BA.4 P.1 BA.2 BA.2.75 BA.2.12 BA.1 B.1.427 BA.3 BQ.1.1 B.1.1.7 B.1.526 B.1.617.2 B.1.525 B.1.617.1 B.1.351 B Other	0.553 0.27 0.064 0.019 0.018 0.014 0.011 0.009 0.007 0.007 0.006 0.005 0.004 0.004 0.003 0.002 0.002 0.001 0.001 0.001 0		
Mixture13	[('Omicron', 0.9730000000000001), ('Gamma', 0.012), ('Epsilon', 0.004), ('Alpha', 0.003), ('Eta', 0.002), ('Delta', 0.002), ('Iota', 0.002), ('Other', 0.001), ('Kappa', 0.001), ('Beta', 0.001)]	BA.4 BA.4.6 BA.2 BA.3 P.1 BF.7 BA.2.75 BQ.1 BA.5 BA.1 BA.2.12 B.1.427 B.1.1.7 B.1.525 B.1.617.2 B.1.526 B B.1.617.1 B.1.351 BQ.1.1 Other	0.82 0.049 0.043 0.013 0.012 0.009 0.009 0.008 0.008 0.007 0.006 0.004 0.003 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0		
Mixture14	[('Other', 0.857), ('Omicron', 0.08400000000000002), ('Gamma', 0.016), ('Epsilon', 0.011), ('Kappa', 0.008), ('Iota', 0.007), ('Eta', 0.006), ('Alpha', 0.004), ('Beta', 0.004), ('Delta', 0.003)]	B BA.2.75 P.1 BA.4.6 B.1.427 BA.5 B.1.617.1 BA.1 BA.2.12 BF.7 B.1.526 BA.3 BA.2 B.1.525 BQ.1 B.1.1.7 B.1.351 BA.4 B.1.617.2 BQ.1.1 Other	0.856 0.018 0.016 0.011 0.011 0.01 0.008 0.008 0.008 0.007 0.007 0.007 0.006 0.006 0.005 0.004 0.004 0.003 0.003 0.001 0.001		
Mixture15	[('Alpha', 0.664), ('Other', 0.216), ('Omicron', 0.034), ('Gamma', 0.026), ('Eta', 0.02), ('Epsilon', 0.017), ('Iota', 0.01), ('Delta', 0.005), ('Kappa', 0.004), ('Beta', 0.004)]	B.1.1.7 B P.1 B.1.525 B.1.427 B.1.526 BA.3 BA.1 B.1.617.2 BA.5 B.1.617.1 B.1.351 BF.7 BQ.1 BA.4.6 BA.2.12 BA.2.75 BA.2 BA.4 BQ.1.1 Other	0.664 0.214 0.026 0.02 0.017 0.01 0.008 0.006 0.005 0.004 0.004 0.004 0.003 0.003 0.003 0.002 0.002 0.001 0.001 0.001 0.002		
Mixture16	[('Gamma', 0.823), ('Other', 0.081), ('Omicron', 0.04400000000000001), ('Epsilon', 0.012), ('Beta', 0.011), ('Iota', 0.009), ('Alpha', 0.008), ('Eta', 0.007), ('Delta', 0.004), ('Kappa', 0.002)]	P.1 B B.1.427 B.1.351 BA.1 B.1.526 B.1.1.7 B.1.525 BQ.1 BA.3 BA.5 BA.4.6 B.1.617.2 BA.2.75 BF.7 BA.2.12 B.1.617.1 BA.2 BA.4 BQ.1.1 Other	0.823 0.081 0.012 0.011 0.01 0.009 0.008 0.007 0.006 0.005 0.005 0.005 0.004 0.004 0.003 0.003 0.002 0.001 0.001 0.001 0		
Mixture17	[('Iota', 0.895), ('Omicron', 0.038000000000000006), ('Gamma', 0.018), ('Epsilon', 0.013), ('Beta', 0.008), ('Eta', 0.008), ('Other', 0.008), ('Alpha', 0.005), ('Kappa', 0.004), ('Delta', 0.003)]	B.1.526 P.1 B.1.427 B.1.351 B.1.525 BA.1 B BA.4.6 BF.7 B.1.1.7 BA.5 B.1.617.1 B.1.617.2 BA.3 BQ.1 BA.2 BA.2.75 BA.2.12 BA.4 BQ.1.1 Other	0.895 0.018 0.013 0.008 0.008 0.007 0.006 0.006 0.006 0.005 0.005 0.004 0.003 0.003 0.003 0.002 0.002 0.002 0.001 0.001 0.002		
