	summarized	lineages	abundances	resid	coverage
Mixture01	[('Omicron', 1.0001), ('Other', 0)]	BA.2.12 BA.1 BA.4.6 BA.2 BA.2.75 BQ.1 BA.5 BA.4 BA.3 Other	0.3251 0.2599 0.183 0.1059 0.0697 0.0277 0.0146 0.0127 0.0015 0		
Mixture02	[('Omicron', 1.0001), ('Other', 0)]	BA.1 BA.2.12 BA.4.6 BA.2 BA.2.75 BQ.1 BA.5 BA.4 BA.3 Other	0.4036 0.1935 0.1561 0.1224 0.0544 0.0469 0.0127 0.009 0.0015 0		
Mixture03	[('Omicron', 1.0), ('Other', 0.0)]	BA.2.12 BA.4.6 BA.1 BA.2 BA.2.75 BA.5 BA.4 BA.3 BQ.1 Other	0.4443 0.1862 0.1511 0.1138 0.0771 0.0144 0.0107 0.0018 0.0006 0.0		
Mixture04	[('Omicron', 1.0), ('Other', 0.0)]	BA.1 BA.2.12 BA.4.6 BA.2 BA.2.75 BQ.1 BA.5 BA.4 BA.3 Other	0.3447 0.2337 0.1765 0.0933 0.0649 0.0621 0.0136 0.0093 0.0019 0.0		
Mixture05	[('Omicron', 0.9998999999999999), ('Other', 0.0001)]	BA.2.12 BA.4.6 BA.1 BA.2 BA.2.75 BA.5 BA.4 BA.3 BQ.1 Other	0.3825 0.2007 0.1803 0.1225 0.0806 0.0154 0.0152 0.002 0.0007 0.0001		
Mixture06	[('Omicron', 0.9998), ('Other', 0.0002)]	BA.1 BA.2.12 BA.4.6 BA.2 BA.2.75 BQ.1 BA.5 BA.4 BA.3 Other	0.4388 0.285 0.1259 0.0707 0.0413 0.0252 0.009 0.0027 0.0012 0.0002		
Mixture07	[('Omicron', 0.9998999999999999), ('Other', 0.0001)]	BA.2.12 BA.1 BA.4.6 BA.2 BQ.1 BA.2.75 BA.5 BA.4 BA.3 Other	0.3305 0.2022 0.1758 0.1203 0.0785 0.0676 0.0135 0.0098 0.0017 0.0001		
Mixture08	[('Omicron', 1.0001), ('Other', 0)]	BA.2.12 BA.1 BA.4.6 BA.2 BA.2.75 BA.5 BA.3 BA.4 BQ.1 Other	0.3286 0.3191 0.1714 0.099 0.0631 0.0162 0.0019 0.0004 0.0004 0		
Mixture09	[('Omicron', 1.0), ('Other', 0.0)]	BA.2.12 BA.1 BA.4.6 BA.2 BA.2.75 BA.5 BA.4 BA.3 BQ.1 Other	0.2749 0.2352 0.2169 0.1512 0.0894 0.0153 0.0147 0.0016 0.0008 0.0		
Mixture10	[('Omicron', 1.0000999999999998), ('Other', 0)]	BA.1 BA.2.12 BA.4.6 BA.2 BA.2.75 BA.5 BA.3 BQ.1 Other	0.4258 0.2399 0.1678 0.0832 0.0675 0.0131 0.002 0.0008 0		
Mixture11	[('Omicron', 1.0000000000000002), ('Other', 0.0)]	BA.2.12 BA.4.6 BA.1 BA.2 BA.5 BA.2.75 BA.3 BQ.1 BA.4 Other	0.6934 0.124 0.0958 0.0683 0.0099 0.0066 0.0011 0.0006 0.0003 0.0		
Mixture12	[('Omicron', 1.0), ('Other', 0.0)]	BA.2.12 BA.4.6 BA.1 BA.2 BA.2.75 BA.5 BA.3 BQ.1 Other	0.3593 0.2238 0.1508 0.1353 0.1109 0.0168 0.0022 0.0009 0.0		
Mixture13	[('Omicron', 1.0), ('Other', 0.0)]	BA.2.12 BA.4.6 BA.1 BA.2 BA.2.75 BA.4 BA.5 BA.3 BQ.1 Other	0.3301 0.2198 0.2031 0.123 0.0871 0.0195 0.0146 0.002 0.0008 0.0		
Mixture14	[('Omicron', 0.9998), ('Other', 0.0002)]	BA.2.12 BA.1 BA.4.6 BA.2 BA.2.75 BA.5 BA.4 BA.3 BQ.1 Other	0.2707 0.2423 0.208 0.1531 0.089 0.0184 0.0158 0.0016 0.0009 0.0002		
Mixture15	[('Omicron', 1.0), ('Other', 0.0)]	BA.2.12 BA.1 BA.4.6 BA.2 BA.5 BA.2.75 BA.3 BQ.1 Other	0.332 0.2259 0.2158 0.1913 0.0206 0.0113 0.002 0.0011 0.0		
Mixture16	[('Omicron', 1.0), ('Other', 0.0)]	BA.2.12 BA.4.6 BA.1 BA.2 BA.2.75 BA.5 BA.4 BA.3 BQ.1 Other	0.3199 0.2223 0.1819 0.1371 0.106 0.019 0.011 0.002 0.0008 0.0		
Mixture17	[('Omicron', 0.9999), ('Other', 0.0001)]	BA.1 BQ.1 BA.2.12 BA.4.6 BA.2 BA.5 BA.2.75 BA.3 BA.4 Other	0.3242 0.3084 0.1492 0.1278 0.0794 0.0088 0.0014 0.0005 0.0002 0.0001		
Mixture18	[('Omicron', 1.0000000000000002), ('Other', 0.0)]	BA.1 BA.2.12 BA.4.6 BA.2 BA.2.75 BA.5 BA.4 BA.3 BQ.1 Other	0.7086 0.1075 0.0813 0.0522 0.0388 0.0069 0.0037 0.0007 0.0003 0.0		
