	summarized	lineages	abundances	resid	coverage
Mixture01	[('Omicron', 1.0001), ('Other', 0)]	BA.1 BA.2.12 BA.4.6 BA.2 BQ.1 BA.4 BA.5 BA.2.75 BA.3 Other	0.3019 0.2974 0.2733 0.0799 0.025 0.0148 0.0043 0.0021 0.0014 0		
Mixture02	[('Omicron', 1.0), ('Other', 0)]	BA.1 BA.4.6 BA.2.12 BA.2 BQ.1 BA.4 BA.5 BA.2.75 BA.3 Other	0.4595 0.201 0.163 0.0897 0.0655 0.0145 0.0031 0.0022 0.0015 0		
Mixture03	[('Omicron', 1.0), ('Other', 0.0)]	BA.2.12 BA.4.6 BA.1 BA.2 BA.4 BA.5 BA.2.75 BA.3 Other	0.4249 0.3405 0.1848 0.0262 0.0135 0.0049 0.003 0.0022 0.0		
Mixture04	[('Omicron', 0.9999), ('Other', 0.0001)]	BA.1 BA.4.6 BA.2.12 BA.2 BQ.1 BA.4 BA.5 BA.2.75 BA.3 Other	0.3372 0.2906 0.185 0.0916 0.0697 0.0158 0.0059 0.0023 0.0018 0.0001		
Mixture05	[('Omicron', 1.0), ('Other', 0.0)]	BA.2.12 BA.4.6 BA.1 BA.2 BA.4 BA.5 BA.2.75 BA.3 BQ.1 Other	0.3576 0.3018 0.1931 0.1099 0.0244 0.0069 0.0031 0.0019 0.0013 0.0		
Mixture06	[('Omicron', 0.9999000000000001), ('Other', 0.0001)]	BA.1 BA.2.12 BA.4.6 BA.2 BQ.1 BA.4 BA.5 BA.2.75 BA.3 Other	0.492 0.2309 0.1831 0.0573 0.0235 0.0066 0.0038 0.0017 0.001 0.0001		
Mixture07	[('Omicron', 0.9998999999999999), ('Other', 0.0001)]	BA.2.12 BA.4.6 BA.1 BQ.1 BA.2 BA.4 BA.5 BA.2.75 BA.3 Other	0.3124 0.2722 0.215 0.0951 0.0832 0.0124 0.0044 0.0032 0.002 0.0001		
Mixture08	[('Omicron', 1.0), ('Other', 0.0)]	BA.1 BA.2.12 BA.4.6 BA.2 BA.5 BA.2.75 BA.3 BA.4 Other	0.3755 0.2982 0.2722 0.0408 0.0062 0.0036 0.0026 0.0009 0.0		
Mixture09	[('Omicron', 1.0), ('Other', 0.0)]	BA.4.6 BA.2.12 BA.1 BA.2 BA.4 BA.5 BA.2.75 BA.3 Other	0.3103 0.2539 0.2481 0.1423 0.0283 0.0101 0.0042 0.0028 0.0		
Mixture10	[('Omicron', 1.0001), ('Other', 0)]	BA.1 BA.4.6 BA.2.12 BA.2 BA.5 BA.3 BA.2.75 Other	0.4385 0.3004 0.2082 0.0442 0.0042 0.0023 0.0023 0		
Mixture11	[('Omicron', 1.0000000000000002), ('Other', 0.0)]	BA.2.12 BA.4.6 BA.1 BA.2 BA.5 BA.2.75 BA.3 BQ.1 Other	0.6962 0.19 0.0974 0.0119 0.0016 0.0013 0.0011 0.0005 0.0		
Mixture12	[('Omicron', 0.9999999999999999), ('Other', 0.0)]	BA.4.6 BA.2.12 BA.1 BA.2 BA.5 BA.3 BA.2.75 BQ.1 BA.4 Other	0.426 0.2818 0.2482 0.0279 0.0075 0.0034 0.003 0.0011 0.0011 0.0		
Mixture13	[('Omicron', 0.9998999999999998), ('Other', 0.0001)]	BA.4.6 BA.2.12 BA.1 BA.4 BA.2 BA.5 BA.2.75 BA.3 BQ.1 Other	0.3871 0.303 0.229 0.0356 0.031 0.0065 0.0034 0.0029 0.0014 0.0001		
Mixture14	[('Omicron', 1.0), ('Other', 0.0)]	BA.4.6 BA.2.12 BA.1 BA.2 BA.4 BA.5 BA.2.75 BA.3 Other	0.3238 0.2589 0.2234 0.1481 0.0326 0.008 0.0036 0.0016 0.0		
Mixture15	[('Omicron', 1.0000000000000002), ('Other', 0.0)]	BA.4.6 BA.2.12 BA.1 BA.2 BA.5 BA.2.75 BA.3 BA.4 Other	0.3568 0.2719 0.2195 0.139 0.0058 0.0042 0.0017 0.0011 0.0		
Mixture16	[('Omicron', 0.9999000000000002), ('Other', 0.0001)]	BA.4.6 BA.2.12 BA.1 BA.2 BA.4 BA.5 BA.2.75 BA.3 Other	0.3694 0.257 0.1992 0.1381 0.0228 0.006 0.0047 0.0027 0.0001		
Mixture17	[('Omicron', 0.9999), ('Other', 0.0001)]	BQ.1 BA.1 BA.4.6 BA.2.12 BA.2 BA.5 BA.2.75 BA.3 BA.4 Other	0.2998 0.2821 0.1868 0.1437 0.0795 0.0034 0.003 0.0011 0.0005 0.0001		
Mixture18	[('Omicron', 1.0001), ('Other', 0)]	BA.1 BA.4.6 BA.2.12 BA.2 BA.4 BA.5 BA.2.75 BA.3 Other	0.7368 0.1164 0.0885 0.0461 0.0081 0.0023 0.0011 0.0008 0		
Mixture19	[('Omicron', 1.0), ('Other', 0.0)]	BA.1 BA.4.6 BA.2.12 BA.2 BA.5 BA.3 BA.2.75 BA.4 Other	0.585 0.2018 0.1631 0.0449 0.0021 0.0012 0.0011 0.0008 0.0		
Mixture20	[('Omicron', 1.0), ('Other', 0.0)]	BA.4.6 BA.2.12 BA.1 BA.2 BA.5 BA.3 BA.2.75 Other	0.433 0.2806 0.2339 0.0381 0.0066 0.004 0.0038 0.0		
Mixture21	[('Omicron', 1.0001), ('Other', 0)]	BA.4.6 BA.2.12 BA.1 BA.2 BA.4 BA.5 BA.2.75 BA.3 BQ.1 Other	0.3454 0.2343 0.2146 0.1611 0.0271 0.0079 0.0051 0.0032 0.0014 0		
Mixture22	[('Omicron', 1.0), ('Other', 0.0)]	BA.2.12 BA.4.6 BA.1 BA.2 BA.5 BA.3 BA.2.75 Other	0.6686 0.2093 0.1046 0.012 0.0025 0.0016 0.0014 0.0		
Mixture23	[('Omicron', 0.9999999999999998), ('Other', 0.0)]	BA.2.12 BA.4.6 BA.1 BA.2 BA.5 BA.3 BA.2.75 BA.4 Other	0.71 0.1737 0.0957 0.0143 0.0032 0.0015 0.0011 0.0005 0.0		
Mixture24	[('Omicron', 1.0), ('Other', 0.0)]	BA.4.6 BA.2.12 BA.1 BA.2 BA.5 BA.2.75 BA.3 Other	0.4262 0.284 0.2502 0.0259 0.0057 0.0044 0.0036 0.0		
Mixture25	[('Omicron', 1.0001), ('Other', 0)]	BA.4.6 BA.2.12 BA.1 BA.2 BA.5 BA.2.75 BA.3 BA.4 Other	0.4174 0.3066 0.2276 0.0325 0.0056 0.0052 0.0039 0.0013 0		
Mixture26	[('Omicron', 1.0001), ('Other', 0)]	BA.4.6 BA.2.12 BA.1 BA.4 BA.2 BA.5 BA.2.75 BA.3 BQ.1 Other	0.412 0.287 0.2313 0.0296 0.0279 0.0044 0.0036 0.0031 0.0012 0		
Mixture27	[('Omicron', 1.0), ('Other', 0.0)]	BA.4.6 BA.2.12 BA.1 BA.2 BA.5 BA.2.75 BA.3 BQ.1 Other	0.4244 0.3072 0.2237 0.0303 0.0073 0.0033 0.0021 0.0017 0.0		
Mixture28	[('Omicron', 0.9999), ('Other', 0.0001)]	BA.4.6 BA.2.12 BA.1 BA.2 BA.5 BA.2.75 BA.3 Other	0.4112 0.3042 0.2387 0.0305 0.008 0.0043 0.003 0.0001		
Mixture29	[('Omicron', 1.0), ('Other', 0.0)]	BA.2.12 BA.4.6 BA.1 BA.2 BA.5 BA.2.75 BA.3 BQ.1 BA.4 Other	0.4433 0.3264 0.1934 0.0258 0.0042 0.0034 0.0021 0.0007 0.0007 0.0		
Mixture30	[('Omicron', 1.0000000000000002), ('Other', 0.0)]	BA.2.12 BA.4.6 BA.1 BA.2 BA.4 BA.5 BA.3 BA.2.75 BQ.1 Other	0.4136 0.3259 0.2034 0.0268 0.015 0.0071 0.0042 0.0027 0.0013 0.0		
Mixture31	[('Omicron', 0.9999999999999999), ('Other', 0)]	BA.1 BA.4.6 BA.2.12 BA.2 BQ.1 BA.4 BA.5 BA.2.75 BA.3 Other	0.3727 0.2537 0.1943 0.0856 0.0727 0.0142 0.0029 0.0024 0.0015 0		
Mixture32	[('Omicron', 0.9998), ('Other', 0.0002)]	BA.2.12 BA.4.6 BA.1 BQ.1 BA.2 BA.4 BA.5 BA.2.75 BA.3 Other	0.3279 0.2676 0.248 0.0695 0.0694 0.0075 0.006 0.002 0.0019 0.0002		
Mixture33	[('Omicron', 1.0), ('Other', 0.0)]	BA.4.6 BA.2.12 BA.1 BA.2 BA.4 BA.5 BA.3 BA.2.75 Other	0.3271 0.2613 0.2345 0.142 0.0197 0.0098 0.0031 0.0025 0.0		
Mixture34	[('Omicron', 0.9999000000000001), ('Other', 0.0001)]	BA.4.6 BA.2.12 BA.1 BA.2 BA.5 BA.2.75 BA.3 Other	0.373 0.2722 0.2177 0.1259 0.0046 0.0039 0.0026 0.0001		
Mixture35	[('Omicron', 1.0), ('Other', 0.0)]	BA.4.6 BA.1 BA.2.12 BA.2 BA.4 BA.5 BA.2.75 BA.3 BQ.1 Other	0.34 0.2524 0.2453 0.1307 0.0179 0.0069 0.0037 0.0021 0.001 0.0		
Mixture36	[('Omicron', 1.0000999999999998), ('Other', 0)]	BQ.1 BA.1 BA.4.6 BA.2.12 BA.2 BA.2.75 BA.5 BA.3 Other	0.325 0.2396 0.2203 0.1281 0.0814 0.0024 0.0023 0.001 0		
Mixture37	[('Omicron', 1.0), ('Other', 0.0)]	BA.1 BA.4.6 BA.2.12 BA.2 BA.4 BA.5 BA.2.75 BA.3 Other	0.7098 0.1288 0.1024 0.048 0.006 0.0024 0.0015 0.0011 0.0		
Mixture38	[('Omicron', 1.0001), ('Other', 0)]	BA.1 BA.4.6 BA.2.12 BA.2 BA.5 BA.3 BA.2.75 BQ.1 BA.4 Other	0.612 0.1938 0.1485 0.0383 0.003 0.0018 0.0016 0.0006 0.0005 0		
Mixture39	[('Omicron', 0.9999000000000001), ('Other', 0.0001)]	BA.4.6 BA.2.12 BA.1 BA.2 BA.5 BA.2.75 BA.3 BA.4 Other	0.3905 0.3079 0.2524 0.0352 0.0071 0.0036 0.0022 0.001 0.0001		
Mixture40	[('Omicron', 0.9998999999999999), ('Other', 0.0001)]	BA.2.12 BA.4.6 BA.1 BA.2 BA.5 BA.3 BA.2.75 Other	0.6772 0.1897 0.1138 0.0146 0.0024 0.0013 0.0009 0.0001		
Mixture41	[('Omicron', 0.9999999999999999), ('Other', 0.0)]	BA.4.6 BA.2.12 BA.1 BA.2 BA.5 BA.3 BA.2.75 BA.4 Other	0.4056 0.3043 0.2469 0.0292 0.0072 0.0032 0.0025 0.0011 0.0		
Mixture42	[('Omicron', 1.0), ('Other', 0.0)]	BA.4.6 BA.2.12 BA.1 BA.2 BA.5 BA.2.75 BA.3 BA.4 Other	0.4028 0.3069 0.2448 0.0299 0.0065 0.0048 0.0031 0.0012 0.0		
NFWA	[('Other', 1.0)]	Other	1.0		
NFWC	[('Other', 1.0)]	Other	1.0		
