	summarized	lineages	abundances	resid	coverage
Mixture01	[('Omicron', 1.0002), ('Other', 0)]	BA.1 BA.2.12 BA.4.6 BA.2 BA.2.75 BQ.1 BA.5 BA.4 BA.3 Other	0.625 0.1676 0.0957 0.0683 0.0196 0.0116 0.0083 0.0028 0.0013 0		
Mixture02	[('Omicron', 1.0001), ('Other', 0)]	BA.1 BA.2.12 BA.4.6 BA.2 BQ.1 BA.2.75 BA.5 BA.4 BA.3 Other	0.6868 0.1524 0.0774 0.0532 0.0099 0.0099 0.0069 0.0021 0.0015 0		
Mixture03	[('Omicron', 0.9999000000000001), ('Other', 0.0001)]	BA.2.12 BA.4.6 BA.1 BA.2 BA.2.75 BA.5 BA.4 BA.3 BQ.1 Other	0.376 0.1982 0.1906 0.1543 0.054 0.0145 0.0099 0.0016 0.0008 0.0001		
Mixture04	[('Omicron', 0.9998), ('Other', 0.0002)]	BA.1 BA.2.12 BA.4.6 BA.2 BQ.1 BA.5 BA.2.75 BA.3 BA.4 Other	0.6985 0.1407 0.0783 0.0609 0.0067 0.0066 0.0059 0.0017 0.0005 0.0002		
Mixture05	[('Omicron', 1.0000999999999998), ('Other', 0)]	BA.2.12 BA.4.6 BA.2 BA.1 BA.2.75 BA.5 BA.4 BA.3 BQ.1 Other	0.331 0.1996 0.1897 0.1839 0.0679 0.0129 0.0123 0.0021 0.0007 0		
Mixture06	[('Omicron', 1.0001), ('Other', 0)]	BA.1 BA.2.12 BA.4.6 BA.2 BQ.1 BA.5 BA.2.75 BA.3 BA.4 Other	0.7035 0.1477 0.0803 0.0495 0.0071 0.0058 0.0048 0.0011 0.0003 0		
Mixture07	[('Omicron', 1.0), ('Other', 0.0)]	BA.1 BA.2.12 BQ.1 BA.4.6 BA.2 BA.2.75 BA.5 BA.4 BA.3 Other	0.2509 0.2224 0.1862 0.1568 0.1363 0.0309 0.0092 0.0061 0.0012 0.0		
Mixture08	[('Omicron', 1.0), ('Other', 0.0)]	BA.1 BA.2.12 BA.4.6 BA.2 BA.5 BA.2.75 BA.3 BQ.1 BA.4 Other	0.6972 0.1502 0.0947 0.0451 0.0073 0.004 0.0009 0.0003 0.0003 0.0		
Mixture09	[('Omicron', 1.0001), ('Other', 0)]	BA.2.12 BA.1 BA.2 BA.4.6 BA.2.75 BA.4 BA.5 BA.3 BQ.1 Other	0.2706 0.2397 0.1985 0.1672 0.0915 0.0171 0.0133 0.0016 0.0006 0		
Mixture10	[('Omicron', 1.0001), ('Other', 0)]	BA.1 BA.2.12 BA.4.6 BA.2 BA.2.75 BA.5 BA.3 BQ.1 BA.4 Other	0.6118 0.1875 0.0997 0.0655 0.0256 0.0073 0.0019 0.0005 0.0003 0		
Mixture11	[('Omicron', 1.0001), ('Other', 0)]	BA.2.12 BA.1 BA.4.6 BA.2 BA.5 BA.3 BA.2.75 BQ.1 BA.4 Other	0.7051 0.1222 0.1087 0.0531 0.0079 0.0015 0.0007 0.0005 0.0004 0		
Mixture12	[('Omicron', 1.0), ('Other', 0.0)]	BA.2.12 BA.2 BA.4.6 BA.1 BA.2.75 BQ.1 BA.5 BA.3 Other	0.3281 0.1782 0.1672 0.1551 0.1289 0.0249 0.0152 0.0024 0.0		
Mixture13	[('Omicron', 0.9998999999999999), ('Other', 0.0001)]	BA.2.12 BA.4.6 BA.1 BA.2 BA.2.75 BA.4 BA.5 BQ.1 BA.3 Other	0.3341 0.2087 0.1731 0.1569 0.0847 0.0223 0.0146 0.0034 0.0021 0.0001		
Mixture14	[('Omicron', 0.9999), ('Other', 0.0001)]	BA.2.12 BA.2 BA.1 BA.4.6 BA.2.75 BA.4 BA.5 BA.3 BQ.1 Other	0.2755 0.228 0.2029 0.1858 0.0768 0.0179 0.0104 0.0019 0.0007 0.0001		
Mixture15	[('Omicron', 0.9999999999999999), ('Other', 0.0)]	BA.2.12 BA.1 BA.2 BA.4.6 BA.5 BA.3 BA.2.75 BQ.1 BA.4 Other	0.3202 0.2719 0.2272 0.1627 0.0135 0.002 0.0012 0.0008 0.0005 0.0		
Mixture16	[('Omicron', 0.9998000000000001), ('Other', 0.0002)]	BA.2.12 BA.1 BA.2 BA.4.6 BA.2.75 BA.5 BA.3 BA.4 BQ.1 Other	0.3154 0.2082 0.2041 0.15 0.1034 0.0147 0.0022 0.001 0.0008 0.0002		
