	summarized	lineages	abundances	resid	coverage
Mixture01	[('Omicron', 0.49250000000000005), ('Other', 0.36080000000000007), ('Alpha', 0.0666), ('Gamma', 0.0333), ('Delta', 0.0207), ('Beta', 0.0086), ('Iota', 0.007), ('Kappa', 0.0031), ('Lambda', 0.0024), ('Eta', 0.0017), ('Mu', 0.0016), ('Theta', 0.0014)]	B.1.1 BA.4 BA.5 BA.2.12.1 BA.1 B.1.1.7 P.1 B.1.617.2 B.1 B.1.351 B.1.526 B.1.1.318 B.1.623 B.1.617.1 C.37 B.1.525 B.1.621 P.3 AV.1 Other	0.2303 0.2272 0.1192 0.0773 0.0688 0.0666 0.0333 0.0207 0.0163 0.0086 0.007 0.0056 0.0053 0.0031 0.0024 0.0017 0.0016 0.0014 0.0008 0.1025		
Mixture02	[('Other', 0.49729999999999996), ('Alpha', 0.2802), ('Delta', 0.0569), ('Omicron', 0.0463), ('Iota', 0.0383), ('Gamma', 0.0354), ('Beta', 0.035), ('Mu', 0.0024), ('Zeta', 0.0024), ('Eta', 0.0018), ('A', 0.0016), ('Kappa', 0.0013), ('Theta', 0.0008), ('Lambda', 0.0005)]	B.1.1.7 B.1.1 B.1.617.2 BA.1 B.1.526 P.1 B.1.351 B.1.621 B.1.623 P.2 B.1.1.318 BA.5 B.1.525 A.23.1 AV.1 B.1.617.1 B.1.177 P.3 C.37 BA.2 Other	0.2802 0.1199 0.0569 0.0439 0.0383 0.0354 0.035 0.0024 0.0024 0.0024 0.0021 0.0021 0.0018 0.0016 0.0013 0.0013 0.001 0.0008 0.0005 0.0003 0.3706		
Mixture03	[('Omicron', 0.9659), ('Other', 0.0126), ('Beta', 0.0052), ('Lambda', 0.0051), ('Alpha', 0.0033), ('Gamma', 0.0016), ('Delta', 0.0015), ('Mu', 0.0015), ('Eta', 0.0014), ('Iota', 0.0007), ('A', 0.0004), ('Theta', 0.0004), ('Kappa', 0.0002)]	BA.5 BA.4 BA.2.12.1 BA.2 BA.1 B.1.177 B.1.351 C.37 B.1.1.7 P.1 B.1.617.2 B.1.621 B.1.525 B.1.623 429 B.1.526 A.23.1 P.3 AV.1 B.1.617.3 B.1.617.1 Other	0.4001 0.2589 0.1803 0.0971 0.0295 0.0099 0.0052 0.0051 0.0033 0.0016 0.0015 0.0015 0.0014 0.0011 0.001 0.0007 0.0004 0.0004 0.0003 0.0003 0.0002 -0.0		
Mixture04	[('Omicron', 0.37420000000000003), ('Other', 0.33740000000000003), ('Gamma', 0.1712), ('Alpha', 0.0729), ('Beta', 0.0241), ('Iota', 0.0106), ('Delta', 0.0029), ('Eta', 0.0026), ('Mu', 0.0024), ('Theta', 0.0007), ('Kappa', 0.0005), ('Lambda', 0.0004), ('A', 0.0003)]	BA.2 P.1 B.1.1 BA.1 B.1.1.7 BA.3 B.1.351 B.1.177 B.1.526 AV.1 B.1.617.2 B.1.525 B.1.621 BA.2.12.1 P.3 B.1.617.1 C.37 B.1.617.3 A.23.1 Other	0.2207 0.1712 0.1287 0.1254 0.0729 0.0263 0.0241 0.0149 0.0106 0.0029 0.0029 0.0026 0.0024 0.0018 0.0007 0.0005 0.0004 0.0003 0.0003 0.1906		
Mixture05	[('Other', 0.5065999999999999), ('Omicron', 0.4709), ('Beta', 0.0121), ('Delta', 0.0021), ('Lambda', 0.0019), ('Theta', 0.0014), ('Mu', 0.0012), ('Alpha', 0.0011), ('Kappa', 0.001), ('Eta', 0.0009), ('Zeta', 0.0005), ('Gamma', 0.0003)]	BA.4 BA.5 B.1.1 BA.1 BA.2.12.1 B.1.351 B.1.177 B.1.1.318 B.1.617.2 C.37 P.3 B.1.621 AV.1 B.1.617.3 B.1.1.7 B.1.617.1 B.1.525 B.1.623 P.2 P.1 Other	0.2298 0.1629 0.1522 0.0407 0.0375 0.0121 0.0045 0.0041 0.0021 0.0019 0.0014 0.0012 0.0012 0.0011 0.0011 0.001 0.0009 0.0008 0.0005 0.0003 0.3427		
Mixture06	[('Omicron', 0.524), ('Other', 0.24359999999999998), ('Alpha', 0.0782), ('Delta', 0.0545), ('Gamma', 0.0437), ('Iota', 0.0353), ('Beta', 0.0115), ('Kappa', 0.0029), ('Eta', 0.0027), ('Mu', 0.0023), ('A', 0.0011), ('Theta', 0.0004)]	BA.2.12.1 B.1.1 BA.1 BA.3 B.1.1.7 B.1.617.2 P.1 B.1.526 BA.2 B.1.617.3 B.1 B.1.351 B.1.1.318 BA.5 B.1.617.1 B.1.525 B.1.621 B.1.623 B.1.177 A.23.1 AV.1 P.3 Other	0.2472 0.1734 0.1617 0.0797 0.0782 0.0545 0.0437 0.0353 0.0312 0.0297 0.0263 0.0115 0.0101 0.0042 0.0029 0.0027 0.0023 0.0023 0.0013 0.0011 0.0005 0.0004 -0.0		
Mixture07	[('Omicron', 0.5053), ('Alpha', 0.1835), ('Other', 0.14880000000000002), ('Gamma', 0.0779), ('Iota', 0.0443), ('Beta', 0.0323), ('Delta', 0.0028), ('Mu', 0.0014), ('Theta', 0.0013), ('Eta', 0.001), ('Lambda', 0.0007), ('Kappa', 0.0004), ('A', 0.0003)]	BA.4 B.1.1.7 BA.5 B.1.1 BA.2.12.1 P.1 B.1.526 BA.1 B.1.351 B.1.177 B.1.1.318 B.1.617.2 B.1.623 AV.1 B.1.621 P.3 B.1.525 C.37 B.1.617.1 A.23.1 Other	0.2585 0.1835 0.1307 0.1261 0.0783 0.0779 0.0443 0.0378 0.0323 0.0066 0.0032 0.0028 0.0025 0.0019 0.0014 0.0013 0.001 0.0007 0.0004 0.0003 0.0085		
Mixture08	[('Omicron', 0.9368000000000001), ('Other', 0.04340000000000001), ('Lambda', 0.0106), ('Theta', 0.002), ('Beta', 0.002), ('Delta', 0.0014), ('Eta', 0.0013), ('Mu', 0.0008), ('Alpha', 0.0007), ('Kappa', 0.0006), ('A', 0.0005)]	BA.5 BA.4 BA.2 BA.1 BA.2.12.1 AV.1 BA.3 C.37 B.1.1.318 P.3 B.1.351 B.1.617.2 B.1.525 B.1.621 B.1.623 B.1.1.7 B.1.617.1 A.23.1 Other	0.334 0.1736 0.1677 0.1547 0.0944 0.032 0.0124 0.0106 0.0093 0.002 0.002 0.0014 0.0013 0.0008 0.0008 0.0007 0.0006 0.0005 0.0013		
Mixture09	[('Other', 0.9621), ('Beta', 0.0125), ('Delta', 0.0088), ('Omicron', 0.0084), ('Eta', 0.0029), ('Mu', 0.002), ('Kappa', 0.0007), ('Lambda', 0.0006), ('Gamma', 0.0005), ('Theta', 0.0005), ('Alpha', 0.0005), ('A', 0.0003)]	B.1.351 B.1.617.2 BA.1 B.1.525 B.1.621 B.1.617.3 B.1.1.318 B.1.623 B.1.617.1 C.37 P.1 P.3 BA.2.12.1 B.1.1.7 AV.1 429 A.23.1 BA.5 Other	0.0125 0.0088 0.0078 0.0029 0.002 0.0018 0.0016 0.0013 0.0007 0.0006 0.0005 0.0005 0.0005 0.0005 0.0004 0.0004 0.0003 0.0001 0.9566		
Mixture10	[('Omicron', 0.9472), ('Other', 0.0357), ('Beta', 0.0056), ('Lambda', 0.0018), ('Eta', 0.0018), ('Gamma', 0.0017), ('Alpha', 0.0017), ('Mu', 0.0014), ('Zeta', 0.0013), ('Delta', 0.0011), ('Theta', 0.0005), ('Kappa', 0.0003)]	BA.2 BA.1 BA.4 BA.5 BA.3 B.1.1 B.1.177 B.1.351 BA.2.12.1 C.37 B.1.525 P.1 B.1.1.7 B.1.621 P.2 B.1.617.2 B.1.623 P.3 AV.1 B.1.617.3 B.1.617.1 Other	0.2753 0.238 0.2198 0.1512 0.0603 0.0267 0.0071 0.0056 0.0026 0.0018 0.0018 0.0017 0.0017 0.0014 0.0013 0.0011 0.001 0.0005 0.0005 0.0004 0.0003 -0.0		
