	summarized	lineages	abundances	resid	coverage
Mixture01	[('Omicron', 0.5109), ('Other', 0.2147), ('Zeta', 0.1338), ('Iota', 0.0482), ('Gamma', 0.042), ('Alpha', 0.031), ('Delta', 0.0093), ('Mu', 0.0057), ('Eta', 0.0014), ('A', 0.0013), ('Kappa', 0.0013), ('Theta', 0.0004)]	BA.4 P.2 BA.1 BA.2.12.1 B.1.526 B.1.1 P.1 BA.5 B.1.1.7 B.1.617.2 BA.2 B.1.617.3 B.1.621 B.1.1.318 B.1.623 AV.1 B.1.177 B.1.525 429 A.23.1 B.1.617.1 P.3 Other	0.2408 0.1338 0.1297 0.099 0.0482 0.0458 0.042 0.0345 0.031 0.0093 0.0069 0.0069 0.0057 0.0037 0.0023 0.0023 0.0021 0.0014 0.0014 0.0013 0.0013 0.0004 0.1502		
Mixture02	[('Other', 0.3848), ('Alpha', 0.2204), ('Zeta', 0.1659), ('Iota', 0.0904), ('Gamma', 0.0636), ('Omicron', 0.040900000000000006), ('Delta', 0.0297), ('Eta', 0.0027), ('Mu', 0.001), ('Theta', 0.0006)]	B.1.1.7 P.2 B.1.526 P.1 BA.1 B.1.617.2 B.1.617.3 AV.1 B.1.177 B.1.525 BA.5 B.1.623 BA.4 B.1.621 P.3 Other	0.2204 0.1659 0.0904 0.0636 0.0367 0.0297 0.009 0.0047 0.0035 0.0027 0.0023 0.002 0.0019 0.001 0.0006 0.3656		
Mixture03	[('Omicron', 0.9798000000000001), ('Other', 0.0043), ('Eta', 0.0037), ('Alpha', 0.0035), ('Lambda', 0.0026), ('Zeta', 0.002), ('A', 0.0015), ('Mu', 0.0008), ('Kappa', 0.0007), ('Gamma', 0.0007), ('Delta', 0.0003)]	BA.5 BA.4 BA.2.12.1 BA.2 B.1.525 B.1.1.7 C.37 P.2 AV.1 A.23.1 B.1.623 B.1.621 B.1.177 B.1.617.1 P.1 B.1.617.3 B.1.617.2 Other	0.3564 0.2419 0.2275 0.154 0.0037 0.0035 0.0026 0.002 0.002 0.0015 0.0012 0.0008 0.0007 0.0007 0.0007 0.0004 0.0003 -0.0		
Mixture04	[('Omicron', 0.4074), ('Other', 0.18009999999999998), ('Gamma', 0.1493), ('Zeta', 0.1163), ('Iota', 0.1001), ('Alpha', 0.037), ('Eta', 0.0047), ('Mu', 0.0025), ('Delta', 0.0015), ('A', 0.0008), ('Kappa', 0.0006)]	BA.2 P.1 P.2 B.1.526 BA.1 B.1.1.7 BA.5 BA.4 B.1.525 429 B.1.621 AV.1 B.1.617.2 B.1.617.3 B.1.1.318 A.23.1 B.1.617.1 B.1.177 B.1.623 Other	0.2801 0.1493 0.1163 0.1001 0.0994 0.037 0.0148 0.0131 0.0047 0.003 0.0025 0.0018 0.0015 0.0014 0.0013 0.0008 0.0006 0.0004 0.0002 0.172		
Mixture05	[('Omicron', 0.5066), ('Other', 0.4121), ('Zeta', 0.0719), ('Eta', 0.0029), ('Mu', 0.0019), ('Lambda', 0.0012), ('Kappa', 0.001), ('A', 0.0008), ('Delta', 0.0007), ('Alpha', 0.0006), ('Beta', 0.0005)]	BA.4 BA.2.12.1 BA.1 BA.5 P.2 BA.2 B.1.623 AV.1 B.1.525 B.1.621 C.37 429 B.1.617.1 B.1.1.318 B.1.177 A.23.1 B.1.617.3 B.1.617.2 B.1.1.7 B.1.351 Other	0.182 0.1107 0.1089 0.0817 0.0719 0.0233 0.0103 0.0048 0.0029 0.0019 0.0012 0.001 0.001 0.0009 0.0008 0.0008 0.0008 0.0007 0.0006 0.0005 0.3935		
Mixture06	[('Omicron', 0.5796), ('Zeta', 0.1073), ('Gamma', 0.0776), ('Iota', 0.0733), ('Other', 0.059699999999999996), ('Alpha', 0.0477), ('Delta', 0.0466), ('Eta', 0.0057), ('Mu', 0.0014), ('Lambda', 0.0006), ('Kappa', 0.0003)]	BA.2.12.1 BA.1 P.2 BA.2 P.1 B.1.526 B.1.1.7 B.1.617.2 B.1.1.318 B.1.617.3 BA.5 B.1.525 AV.1 429 B.1.177 B.1.621 C.37 B.1.617.1 Other	0.2597 0.212 0.1073 0.1014 0.0776 0.0733 0.0477 0.0466 0.0314 0.0179 0.0065 0.0057 0.0048 0.0041 0.0015 0.0014 0.0006 0.0003 0.0		
Mixture07	[('Omicron', 0.5423000000000001), ('Gamma', 0.2807), ('Alpha', 0.0968), ('Iota', 0.0572), ('Zeta', 0.0095), ('Other', 0.0077), ('Delta', 0.0013), ('Beta', 0.0013), ('Theta', 0.0008), ('Mu', 0.0007), ('Eta', 0.0007), ('A', 0.0005), ('Lambda', 0.0004), ('Kappa', 0.0002)]	P.1 BA.4 BA.2 BA.5 B.1.1.7 BA.2.12.1 B.1.526 P.2 BA.1 429 B.1.623 AV.1 B.1.617.2 B.1.351 P.3 B.1.621 B.1.525 A.23.1 C.37 B.1.617.1 Other	0.2807 0.2028 0.1355 0.1276 0.0968 0.0698 0.0572 0.0095 0.0066 0.0028 0.0025 0.0013 0.0013 0.0013 0.0008 0.0007 0.0007 0.0005 0.0004 0.0002 0.0011		
Mixture08	[('Omicron', 0.9841), ('Zeta', 0.0055), ('Other', 0.0039), ('Eta', 0.0019), ('Gamma', 0.0014), ('Delta', 0.0013), ('Lambda', 0.0009), ('Alpha', 0.0004), ('Kappa', 0.0004), ('A', 0.0004)]	BA.1 BA.5 BA.2 BA.4 BA.2.12.1 P.2 B.1.177 B.1.525 P.1 B.1.617.2 C.37 B.1.623 B.1.1.7 B.1.617.1 A.23.1 Other	0.3235 0.2379 0.2346 0.108 0.0801 0.0055 0.002 0.0019 0.0014 0.0013 0.0009 0.0008 0.0004 0.0004 0.0004 0.0011		
Mixture09	[('Other', 0.9608), ('Gamma', 0.0134), ('Alpha', 0.0107), ('Zeta', 0.0048), ('Eta', 0.004), ('Delta', 0.0016), ('A', 0.0011), ('Lambda', 0.0011), ('Omicron', 0.001), ('Theta', 0.0008), ('Mu', 0.0007)]	P.1 B.1.1.7 P.2 B.1.525 B.1.617.2 B.1.177 A.23.1 C.37 B.1.623 P.3 AV.1 BA.1 B.1.621 429 BA.5 Other	0.0134 0.0107 0.0048 0.004 0.0016 0.0012 0.0011 0.0011 0.0009 0.0008 0.0008 0.0007 0.0007 0.0006 0.0003 0.9573		
Mixture10	[('Omicron', 0.9727999999999999), ('Gamma', 0.0124), ('Other', 0.0053), ('Eta', 0.0017), ('Alpha', 0.0015), ('Zeta', 0.0015), ('Mu', 0.0009), ('Kappa', 0.0008), ('Beta', 0.0008), ('Lambda', 0.0007), ('Theta', 0.0006), ('Delta', 0.0005), ('A', 0.0004)]	BA.2 BA.1 P.1 B.1.525 B.1.177 B.1.1.7 P.2 BA.3 AV.1 BA.5 BA.2.12.1 B.1.621 B.1.617.1 B.1.351 C.37 B.1.617.3 P.3 B.1.617.2 A.23.1 Other	0.5461 0.4226 0.0124 0.0017 0.0016 0.0015 0.0015 0.0015 0.0014 0.0013 0.0013 0.0009 0.0008 0.0008 0.0007 0.0006 0.0006 0.0005 0.0004 0.0017		
