sample	variant_group	proportion	mean	std_error
Mixture01	A.23.1	0.0021874654420337434	0.0018339523538917542	0.0021766809880288205
Mixture01	AV.1	0.0035547651765316353	0.0034775485095699925	0.0012349296878388237
Mixture01	Alpha_B.1.1.7	0.05560267611812416	0.05579418447427356	0.003953236193439976
Mixture01	B.1	1.7783891197667987e-08	0.00034346098444981504	0.0021803962249156913
Mixture01	B.1.1	0.21994874584983778	0.21717220262221942	0.013909706337580157
Mixture01	B.1.1.318	0.0029398026282529176	0.00293590032384977	0.0015544621811135254
Mixture01	B.1.177	0.001967945301833461	0.0019528646246888956	0.002021313661610485
Mixture01	B.1.617.3	0.006234937238052899	0.006354127077092129	0.003998951617453337
Mixture01	B.1.623	0.0071615368370405545	0.0071395652857022904	0.004893008972303118
Mixture01	Beta_B.1.351	0.01892166067797695	0.018282131621607238	0.00706830737720043
Mixture01	Delta_B.1.617.2	0.030818762834303508	0.030879553184778436	0.003171532625873477
Mixture01	Epsilon_B.1.427_429	9.792281706953949e-12	4.845262807180111e-10	5.863377209125483e-10
Mixture01	Eta_B.1.525	0.001681181252898893	0.0016874862237853732	0.0006556452931794329
Mixture01	Gamma_P.1	0.018223188639786485	0.01835594918899507	0.00246129619010861
Mixture01	Iota_B.1.526	0.014508146109590293	0.014817615886799944	0.002905020410888264
Mixture01	Kappa_B.1.617.1	0.005045078965135042	0.005079025300884567	0.00168097693796635
Mixture01	Lambda_C.37	0.0016210354336083873	0.001523425631040967	0.0008265574760040587
Mixture01	Mu_B.1.621	0.009344693643437839	0.009170048395507195	0.0034641284906757283
Mixture01	Omicron_BA.1	0.032986575557170716	0.033535596300019115	0.0034567870539418495
Mixture01	Omicron_BA.2	0.041778086824609026	0.045035057887174636	0.018506008864030955
Mixture01	Omicron_BA.2.12.1	0.0675062967977589	0.06467117268811612	0.009622610291192577
Mixture01	Omicron_BA.3	0.14169772431999825	0.14095446491449395	0.011106982502110304
Mixture01	Omicron_BA.4	0.20235944682703655	0.2028513491295298	0.011096787299046534
Mixture01	Omicron_BA.5	0.0025070789735851425	0.0025336686855052105	0.0026042862397685222
Mixture01	Theta_P.3	0.0007239474694091414	0.0007051621553198895	0.000381955951839664
Mixture01	Zeta_P.2	1.3328304165985736e-08	1.5650250320064725e-08	1.716987864575985e-08
Mixture02	A.23.1	0.010061230018277335	0.00976619282046042	0.006982583645403847
Mixture02	AV.1	0.0019369824092923288	0.0018969557688321974	0.0007031170972640053
Mixture02	Alpha_B.1.1.7	0.19493638661142276	0.19514497854047805	0.004913438083566519
