sample	variant_group	proportion	mean	std_error
Mixture01	A.23.1	0.0007003753024909863	0.0007169997727685748	0.00048290178467780184
Mixture01	AV.1	0.0033796665027322585	0.0033628235918630183	0.0009306834508239765
Mixture01	Alpha_B.1.1.7	0.03662189460830318	0.035878604466115405	0.003890827419725048
Mixture01	B.1	5.5050305825894024e-08	0.00020627477746178833	0.0013450212699274706
Mixture01	B.1.1	1.1720746786492566e-07	0.005850964106846414	0.011196102972886438
Mixture01	B.1.1.318	0.002693462074569695	0.0022946877024333416	0.0018539345088324447
Mixture01	B.1.177	0.0007985861853983357	0.0007673351031276704	0.0006016846506464852
Mixture01	B.1.617.3	1.750147465221854e-08	0.00026863554016595735	0.0009079965946794316
Mixture01	B.1.623	0.0065312203128862845	0.006391868524541718	0.0017491639856158237
Mixture01	Beta_B.1.351	0.0004538788223982861	0.0004608781698637752	0.0004369033759900078
Mixture01	Delta_B.1.617.2	0.017013546577812684	0.016878127313935738	0.0023251351785075203
Mixture01	Epsilon_B.1.427_429	0	0.0	0.0
Mixture01	Eta_B.1.525	0.007003772396003925	0.007264677508645234	0.001875903420151629
Mixture01	Gamma_P.1	0.06222791159266163	0.061612665064036794	0.004410085978842778
Mixture01	Iota_B.1.526	0.05295195287933424	0.05303486226548139	0.0073556460285385365
Mixture01	Kappa_B.1.617.1	0.00024149877501841428	0.0002369179795343152	0.0002367838405082931
Mixture01	Lambda_C.37	0.0020848783155037382	0.0021665995136758774	0.0014801406670198111
Mixture01	Mu_B.1.621	0.0072301326178099475	0.007351305052228445	0.001669894071710849
Mixture01	Omicron_BA.1	0.14301834131990207	0.14202847210357608	0.007259681538592266
Mixture01	Omicron_BA.2	0.05949586446954089	0.05996784419971221	0.026819480004685207
Mixture01	Omicron_BA.2.12.1	0.07877629263008956	0.07840105160035098	0.010492842535064287
Mixture01	Omicron_BA.3	0	2.1208760683974884e-11	9.874938521921932e-11
Mixture01	Omicron_BA.4	0.17504380570635514	0.17556968290655856	0.02092982071865002
Mixture01	Omicron_BA.5	0.05131829833343052	0.05122750040657375	0.008986996378453287
Mixture01	Theta_P.3	0	1.2421997392352769e-11	6.618853100294512e-11
Mixture01	Zeta_P.2	0.12112662600682723	0.1198352314943828	0.01163729173316042
Mixture02	A.23.1	0.0008633019352660387	0.0009328836122272915	0.0006799806587539287
Mixture02	AV.1	0.006138121584045969	0.006344413943725861	0.0013859079031303522
Mixture02	Alpha_B.1.1.7	0.18494222676921848	0.1841414812572359	0.00804823227595882
Mixture02	B.1	3.941337673982485e-08	0.0003719106443233342	0.002029906405609541
Mixture02	B.1.1	3.9888041430867075e-08	0.0008246258592974783	0.0036003962929045054
Mixture02	B.1.1.318	0.0021251385079823744	0.0022546701567917817	0.0021815820745594615
Mixture02	B.1.177	0.003373292581450961	0.0033576340936297823	0.0014186689364537712
Mixture02	B.1.617.3	0.011875653180710434	0.01168441644385834	0.007385761805433117
Mixture02	B.1.623	0.004211231356834785	0.004449782879081161	0.001921659226441625
Mixture02	Beta_B.1.351	8.413119662004894e-09	6.799870778813075e-09	3.730307949566139e-09
Mixture02	Delta_B.1.617.2	0.04346207023011024	0.04402634033454939	0.006129556398917445
Mixture02	Epsilon_B.1.427_429	8.651884406334749e-09	7.307270741085406e-09	4.008712413593947e-09
Mixture02	Eta_B.1.525	0.0032647113657798712	0.0034516486969586816	0.0010804611831516644
Mixture02	Gamma_P.1	0.055914618363645543	0.055289311655175075	0.0047429980213038415
Mixture02	Iota_B.1.526	0.11239424724546102	0.11133773012074485	0.011115001465977917
Mixture02	Kappa_B.1.617.1	0	4.437652977769107e-11	2.4985647024689976e-10
Mixture02	Lambda_C.37	0.0017523620366853517	0.0013288466658439638	0.0011032643854314355
Mixture02	Mu_B.1.621	0.006087896000041109	0.006373916748471628	0.0016606946201438847
Mixture02	Omicron_BA.1	0.03530125173301353	0.035178441655068476	0.002856340944241871
Mixture02	Omicron_BA.2	1.372027024791168e-10	9.862330911117073e-10	4.254765615013091e-09
Mixture02	Omicron_BA.2.12.1	0.001058243787703084	0.0008619651396074816	0.000825321919896594
Mixture02	Omicron_BA.3	1.3943139595367763e-07	0.000625077506505376	0.000866789962683907
Mixture02	Omicron_BA.4	0.00406409510574048	0.003674891744065117	0.001438901775696564
Mixture02	Omicron_BA.5	0.0008530380660114655	0.0013687475680505326	0.0018462586672714028
Mixture02	Theta_P.3	0.0008196582344866418	0.0007982644361296576	0.0005611297520346267
Mixture02	Zeta_P.2	0.1563642754489606	0.15585317987721395	0.015675145336104594
Mixture03	A.23.1	0	4.8274926443370087e-11	3.983350411637948e-10
Mixture03	AV.1	0.0008847526732898352	0.0009308400342191213	0.0008873677008425622
Mixture03	Alpha_B.1.1.7	0.0009786171676425153	0.0009335440212691504	0.0007040869994790295
Mixture03	B.1	7.747510663912373e-11	5.027639673301981e-10	7.944649588067963e-10
Mixture03	B.1.1	0.1106084023897473	0.10962863094977063	0.013150044029695511
Mixture03	B.1.1.318	0	1.0628553600559471e-11	1.0575277307171007e-10
Mixture03	B.1.177	0	3.3219759954149934e-11	2.703715588340637e-10
Mixture03	B.1.617.3	0.0024258799366809517	0.002656864688413789	0.001791109890923444
Mixture03	B.1.623	0.0012308107785332662	0.001076071327045895	0.0010412634517209575
Mixture03	Beta_B.1.351	0.0021931775009542435	0.002085107107579556	0.0021661845747029543
Mixture03	Delta_B.1.617.2	0.001920193674463219	0.0019875070062012556	0.00120782203525216
Mixture03	Epsilon_B.1.427_429	0.0006022946508178867	0.001166665164085058	0.001624238599379681
Mixture03	Eta_B.1.525	0	2.2737986425304296e-11	2.2624010838278617e-10
Mixture03	Gamma_P.1	7.747469156433319e-09	7.21234739882747e-09	2.8158192511269394e-09
Mixture03	Iota_B.1.526	0	8.519865392562955e-12	8.477159031439608e-11
Mixture03	Kappa_B.1.617.1	0	4.461082091383814e-11	3.47210854321997e-10
Mixture03	Lambda_C.37	7.130155303229803e-08	0.0008289839025610366	0.0032679184218087055
Mixture03	Mu_B.1.621	0	4.335522488458005e-11	2.8837624932261454e-10
Mixture03	Omicron_BA.1	1.9079563737794753e-09	3.354223031936004e-09	3.5495300005471405e-09
Mixture03	Omicron_BA.2	0.522274689273768	0.5096024661518668	0.06366820686003194
Mixture03	Omicron_BA.2.12.1	0.1427662556887054	0.1503061206896569	0.0594661646080472
Mixture03	Omicron_BA.3	2.605129467505887e-10	1.8559334761255543e-09	2.1941253350799538e-09
Mixture03	Omicron_BA.4	1.704936146829806e-07	0.008240591333500835	0.01641165349257044
Mixture03	Omicron_BA.5	0.1979396058168227	0.1949629284583618	0.01707342650052096
Mixture03	Theta_P.3	0	2.6672831543263397e-11	2.36673476944396e-10
Mixture03	Zeta_P.2	0.010286278967800303	0.009678841215534613	0.0050015739854184504
Mixture04	A.23.1	0.0003346505675490351	0.000344891733392389	0.00033659010133621926
Mixture04	AV.1	0.004023745104135655	0.0040983981726246625	0.0010342476818040185
Mixture04	Alpha_B.1.1.7	0.032488604285399424	0.03280339078235036	0.0035293381903075717
Mixture04	B.1	1.358707987248911e-08	1.503672463757359e-08	1.1866608048139161e-08
Mixture04	B.1.1	1.857876244477872e-08	2.5983446506992092e-08	5.827300692099613e-08
Mixture04	B.1.1.318	1.6330491327388086e-09	1.6273023368359397e-09	1.4417513353968742e-09
Mixture04	B.1.177	0.004348900880677514	0.00458053823117748	0.0016303016548964882
Mixture04	B.1.617.3	0.0005729885489650856	0.0006309458968915381	0.0006152440356986134
Mixture04	B.1.623	0.0005368008785279463	0.0005819766024026621	0.000565994750308817
Mixture04	Beta_B.1.351	3.915400264325282e-09	3.428364516242333e-09	2.47830783161684e-09
Mixture04	Delta_B.1.617.2	0.001255506354257637	0.0011025140341862838	0.0007076548070479614
Mixture04	Epsilon_B.1.427_429	0	2.3232092008447885e-11	1.1084482707956773e-10
Mixture04	Eta_B.1.525	0.005987908086349855	0.0060851886266936215	0.0014610061796775085
Mixture04	Gamma_P.1	0.18904648350268655	0.18876692342184653	0.0067083568738145775
Mixture04	Iota_B.1.526	0.1285029581916562	0.12631370602638411	0.010339780176304943
Mixture04	Kappa_B.1.617.1	0.0013260897018243143	0.0012481647217052604	0.0006303564424682235
Mixture04	Lambda_C.37	0.0013109473769160448	0.0013400142865112516	0.0009319987151605004
Mixture04	Mu_B.1.621	0.0037985448745063697	0.0036511208176137934	0.0010251855153820977
Mixture04	Omicron_BA.1	0.14874858246036288	0.14858524669613088	0.006674436723419339
Mixture04	Omicron_BA.2	0.13030571095723864	0.131255112342087	0.009895568548390956
Mixture04	Omicron_BA.2.12.1	0.0033888762770625924	0.0033867371290790477	0.002280850095588018
Mixture04	Omicron_BA.3	0.0010944900857354477	0.0011058370750292512	0.000981394667114765
Mixture04	Omicron_BA.4	0.00855253016698289	0.009045114555545453	0.002959886462550591
Mixture04	Omicron_BA.5	0.010629677897645257	0.008495143892214889	0.00781374017946473
Mixture04	Theta_P.3	0.0007953579221261875	0.0008198828633331748	0.0005150627976499576
Mixture04	Zeta_P.2	0.1313258277874388	0.13206789198219368	0.014466151544806426
Mixture05	A.23.1	0.0007543383762986572	0.0007538494551640086	0.0006435401853632537
Mixture05	AV.1	0.007053891495559882	0.007157251465486954	0.0015620233703913125
Mixture05	Alpha_B.1.1.7	0.0002595639288084583	0.00026826914515917647	0.00024097156651968038
Mixture05	B.1	1.5927791383227062e-08	4.10040383744366e-08	2.9494021402311526e-08
Mixture05	B.1.1	0.004457002227073001	0.008769939558292078	0.013430415679173968
Mixture05	B.1.1.318	0.002995737484964723	0.003033291331964937	0.0013595711259925909
Mixture05	B.1.177	0.0011939570426478582	0.0011921923482220028	0.0008453845108521051
Mixture05	B.1.617.3	0.0004634118942271067	0.0004148774341693087	0.0004494668512317869
Mixture05	B.1.623	0.0014971287622882908	0.0017218752658753162	0.0009329430563742692
Mixture05	Beta_B.1.351	3.73225618540491e-10	1.2223722769386374e-05	0.00010640131725941893
Mixture05	Delta_B.1.617.2	0.0012713138947902667	0.0013585552480989858	0.0005085225513601422
Mixture05	Epsilon_B.1.427_429	0.0025340649617174482	0.0027127377000652265	0.0019351682837453615
Mixture05	Eta_B.1.525	0.0012955166771915884	0.0013142661406923626	0.0005660966792627242
Mixture05	Gamma_P.1	0.0018964762507192622	0.001980461604462404	0.0007927074748181372
Mixture05	Iota_B.1.526	0.0030748822835297757	0.003009620831473399	0.0012453581054135108
Mixture05	Kappa_B.1.617.1	0.0007889896796999723	0.0008166116931988321	0.0003952843426026466
Mixture05	Lambda_C.37	0.0012619768759074901	0.0012219672402369655	0.0009196211965640706
Mixture05	Mu_B.1.621	0.00234749229248396	0.0022870506399415924	0.0007303043576087973
Mixture05	Omicron_BA.1	0.0034822267271377677	0.0034202467576328836	0.0014360538288884876
Mixture05	Omicron_BA.2	0.09416228411958744	0.09363568004076438	0.029661236398349843
Mixture05	Omicron_BA.2.12.1	0.11218878294171003	0.11167838285505875	0.010520389650117435
Mixture05	Omicron_BA.3	1.5799955456418186e-10	3.0956522660094777e-10	4.0043353326841796e-10
Mixture05	Omicron_BA.4	0.16985079851405818	0.1703009890564027	0.02438599108998703
