sample	variant_group	proportion	mean	std_error
Mixture01	A.23.1	0.00220782324535113	0.0020668874375383106	0.0020953982993464175
Mixture01	AV.1	0.0035512053610658144	0.0036424180838039804	0.0012453008395577447
Mixture01	Alpha_B.1.1.7	0.05559005904711254	0.05446353914554191	0.004090917581054448
Mixture01	B.1	4.043845006591083e-08	0.00027438063670737775	0.002729788068091833
Mixture01	B.1.1	0.2207276304985463	0.22206235189967397	0.015712922254443325
Mixture01	B.1.1.318	0.002936983227894969	0.00318635464193177	0.0016648518383835854
Mixture01	B.1.177	0.0015974955957738354	0.001479105620102213	0.0017214017033798281
Mixture01	B.1.617.3	0.006342599559844556	0.00621912708283107	0.003672016844356177
Mixture01	B.1.623	0.007159074857979241	0.0067806867580988825	0.004978167061815718
Mixture01	Beta_B.1.351	0.018972800745764587	0.018430133830898004	0.007093844635312397
Mixture01	Delta_B.1.617.2	0.03060636750199364	0.030896293777339892	0.002943538483877527
Mixture01	Epsilon_B.1.427_429	0	3.52021308523898e-10	5.666690760301132e-10
Mixture01	Eta_B.1.525	0.0016809710296503974	0.0016888963870881637	0.0006065210185790217
Mixture01	Gamma_P.1	0.018245228652833394	0.01823166839809062	0.0022428302051993453
Mixture01	Iota_B.1.526	0.014480361837148605	0.014907669001895283	0.00284631572467157
Mixture01	Kappa_B.1.617.1	0.005059789146360753	0.005219362984135734	0.0016860252173475816
Mixture01	Lambda_C.37	0.0016200666653869921	0.0015715862844893366	0.0009090720782020729
Mixture01	Mu_B.1.621	0.009342733693342598	0.00894550929444023	0.002715493148069806
Mixture01	Omicron_BA.1	0.03294071000981323	0.03225752680929721	0.003591115294717723
Mixture01	Omicron_BA.2	0.04121638383453586	0.04076326509795727	0.015755934434782914
Mixture01	Omicron_BA.2.12.1	0.06771700456920113	0.06833230564756007	0.008561309250870923
Mixture01	Omicron_BA.3	0.1418584660841755	0.1438490386945468	0.01288481369777143
Mixture01	Omicron_BA.4	0.2025697524040978	0.2015754045530892	0.012302712018289084
Mixture01	Omicron_BA.5	0.002512645800778174	0.002181416492095958	0.0023349211860576903
Mixture01	Theta_P.3	0.0007238356396907	0.0007595283444060968	0.0004268410304927743
Mixture01	Zeta_P.2	3.039969047905691e-08	1.4237359979315604e-08	8.924506207995826e-09
Mixture02	A.23.1	0.010415788170008513	0.009267570313448634	0.007605141359250125
Mixture02	AV.1	0.001937668417471352	0.0019038853411146783	0.0007208912269619466
Mixture02	Alpha_B.1.1.7	0.19496035330077918	0.1952311530922443	0.005696154038543637
Mixture02	B.1	2.3198685066839476e-08	2.176326579196612e-08	2.5948934182059027e-08
Mixture02	B.1.1	0.11190506100809273	0.11329265533968341	0.019890188853514998
Mixture02	B.1.1.318	0.005673706161438597	0.005738852235334702	0.0016205480970313318
Mixture02	B.1.177	0.0014124918931482813	0.001436758482323507	0.001552712105069332
Mixture02	B.1.617.3	0.004758832463453765	0.004905154178804867	0.0046151049291483556
Mixture02	B.1.623	0.00283112501001958	0.002770733222813707	0.001780141304259136
Mixture02	Beta_B.1.351	0.021317692717866793	0.020382689233806605	0.0070325742268328405
Mixture02	Delta_B.1.617.2	0.10775293264854675	0.10903937446821743	0.0052109307086469926
Mixture02	Epsilon_B.1.427_429	0.002292609475383074	0.002331129060145345	0.0015791623369260726
Mixture02	Eta_B.1.525	0.0013200174482508064	0.001401560284609134	0.0006767463238683973
Mixture02	Gamma_P.1	0.029919969782929778	0.02940012984324365	0.003978076755088778
Mixture02	Iota_B.1.526	0.1711030995262198	0.17119624377404624	0.009390773339579007
Mixture02	Kappa_B.1.617.1	0.0014947269887399448	0.0014676130799119364	0.0009887401178716101
Mixture02	Lambda_C.37	0.0007420451886913164	0.0007660339707868855	0.0005184207438195191
Mixture02	Mu_B.1.621	0.0031347322024925244	0.0032021784805315967	0.000930852766615193
Mixture02	Omicron_BA.1	0.05178800626585822	0.05171108712901781	0.0018640231678055104
Mixture02	Omicron_BA.2	0	0.0002933286797251657	0.0006393934935770504
Mixture02	Omicron_BA.2.12.1	0.001666277836886089	0.0014208296343625696	0.0008352397374545701
Mixture02	Omicron_BA.3	0	8.501149347113467e-05	0.00026218530386847873
Mixture02	Omicron_BA.4	0	9.774414187548233e-10	3.656654155240501e-09
Mixture02	Omicron_BA.5	0.0010472608112024066	0.0009997288859572445	0.0006108175568432554
Mixture02	Theta_P.3	0	2.82022728607783e-10	5.590439920469909e-10
Mixture02	Zeta_P.2	0.001381216721978684	0.0013291696435434883	0.00132103674899643
Mixture03	A.23.1	0.001108321961333277	0.00109269684935566	0.00042683710218491245
Mixture03	AV.1	0.00031609524744383746	0.00026789925474137393	0.0002455958298291002
Mixture03	Alpha_B.1.1.7	0.00013669264309226675	0.0001421534988999571	0.00017285643815667846
Mixture03	B.1	7.223225929238987e-08	3.2061233572746277e-07	6.247174641631637e-07
Mixture03	B.1.1	3.277943069114421e-08	2.4290205101498916e-07	5.069341100780984e-07
Mixture03	B.1.1.318	0.0005022875751105277	0.00046335900704083113	0.00028795285008897513
Mixture03	B.1.177	4.860255130510056e-08	1.7696714486480644e-07	3.480488369646323e-07
Mixture03	B.1.617.3	0.0007540048214378111	0.0007695518482224891	0.00033739925069890846
Mixture03	B.1.623	0.000687945904877922	0.0007020196854126703	0.00030674341192975105
Mixture03	Beta_B.1.351	0.003146813860505829	0.0030965728525227066	0.000814910472340083
Mixture03	Delta_B.1.617.2	0.004394879489436625	0.00446258018000179	0.0007208098701050927
Mixture03	Epsilon_B.1.427_429	0.0003702458850554979	0.0003651530700721718	0.00024597331037731133
Mixture03	Eta_B.1.525	0.00043703884292187244	0.00042447799493289663	0.00027929252370006
Mixture03	Gamma_P.1	0	1.0156235659405233e-07	2.6054726297357925e-07
Mixture03	Iota_B.1.526	1.00576550610171e-07	2.923864074486883e-07	5.320036871711429e-07
Mixture03	Kappa_B.1.617.1	9.415582376030263e-08	2.3792413438508864e-07	4.2240062352065623e-07
Mixture03	Lambda_C.37	0.0012952433934885566	0.0013277728810954749	0.00041026996755421605
Mixture03	Mu_B.1.621	0.00045747518075886154	0.00048637181810564663	0.0002741540703763447
Mixture03	Omicron_BA.1	0.013675364738196473	0.013690654790509387	0.0017663789284376862
Mixture03	Omicron_BA.2	0.08284788228565786	0.08439193599779529	0.019806368932518217
Mixture03	Omicron_BA.2.12.1	0.2081004004973511	0.20721781380931592	0.011177599266974158
Mixture03	Omicron_BA.3	0.0029169637369228616	0.0025760587336130115	0.0023718673003499465
Mixture03	Omicron_BA.4	0.5199379066903862	0.5195914539291517	0.016366016179533184
Mixture03	Omicron_BA.5	0.15842649546742912	0.1583502391934101	0.011674889683902121
Mixture03	Theta_P.3	0.0004881564367021151	0.0005301940141258221	0.0002876427730228838
Mixture03	Zeta_P.2	0	3.3483834611737595e-05	0.0001401633019814363
Mixture04	A.23.1	0.0018817870015317604	0.0018391927229694453	0.0008717946002381667
Mixture04	AV.1	0.001537258903680665	0.0014969581097675588	0.0005752904409440598
Mixture04	Alpha_B.1.1.7	0.043476550341341014	0.04333842760085058	0.003470219485587508
Mixture04	B.1	8.591160367109577e-09	0.0001042811770864789	0.0007313542462625269
Mixture04	B.1.1	0.21130669486585235	0.2120718607644024	0.014053267932193565
Mixture04	B.1.1.318	0	2.7004024086943213e-11	1.9001253520559356e-10
Mixture04	B.1.177	2.333936617560985e-09	5.178025214993781e-09	2.9817635750614957e-09
Mixture04	B.1.617.3	0	0.0	0.0
Mixture04	B.1.623	0.0006237248991606545	0.0005984916655683932	0.0004276264176285165
Mixture04	Beta_B.1.351	0.056255890303463	0.05623341632725115	0.01139948418975652
Mixture04	Delta_B.1.617.2	0.002289745900594474	0.002381157369894967	0.0008932205782122037
Mixture04	Epsilon_B.1.427_429	0	1.170898017491644e-11	5.654075332719466e-11
Mixture04	Eta_B.1.525	0.002163526832915201	0.002183082041079053	0.0008890876305368158
Mixture04	Gamma_P.1	0.11028758352445055	0.11057563039864697	0.007782529317137271
