sample	variant_group	proportion	mean	std_error
Mixture01	A.23.1	0.0002773878371211771	0.00027854168813801943	0.0002872186618701567
Mixture01	AV.1	0.003538964394045514	0.003509894751950616	0.0007345861953811996
Mixture01	Alpha_B.1.1.7	0.0040165376392683454	0.003903262860838969	0.000833636848317502
Mixture01	B.1	1.025501897444067e-10	5.293418058282063e-11	1.5672373052060323e-10
Mixture01	B.1.1	5.73569791765183e-11	2.672809552493612e-11	9.938721004773002e-11
Mixture01	B.1.1.318	0.0014306429850240077	0.0015484072621773798	0.000693716988791005
Mixture01	B.1.177	0.0006442345533222162	0.0006345557224895602	0.0004702818245694526
Mixture01	B.1.617.3	0.0015961758564105675	0.0016915400946438657	0.00103881481245735
Mixture01	B.1.623	0.0006736360843966946	0.0006356035325931784	0.0005204683084038119
Mixture01	Beta_B.1.351	0.0007222478839325445	0.0007568684791204786	0.0006765761843056066
Mixture01	Delta_B.1.617.2	0.0026026252909859045	0.0026245609710862966	0.0008640397953291763
Mixture01	Epsilon_B.1.427_429	0	0.0001455399885779873	0.00035003207501706836
Mixture01	Eta_B.1.525	0.005634285715914611	0.005626228846711324	0.0010528752635846795
Mixture01	Gamma_P.1	0.024401539866099643	0.024460194634180598	0.0026007629075919386
Mixture01	Iota_B.1.526	0.019512083337891575	0.01954326371946691	0.0025784978710976557
Mixture01	Kappa_B.1.617.1	0.000784301064215704	0.0007197463874018321	0.0004767258922303468
Mixture01	Lambda_C.37	0	8.101574432623638e-13	5.489241587177959e-12
Mixture01	Mu_B.1.621	0.004585943948910151	0.004716319363190495	0.0009348376642038394
Mixture01	Omicron_BA.1	0.7456563358247197	0.7455920966047015	0.006443368566211628
Mixture01	Omicron_BA.2	0.0989363330052032	0.09912468153979806	0.007269712433931394
Mixture01	Omicron_BA.2.12.1	0.0012567217719961711	0.0013758979210894786	0.0014099148686492467
Mixture01	Omicron_BA.3	0.0005841464298576148	0.000536707377116041	0.0005642122638154332
Mixture01	Omicron_BA.4	0.020815280367475254	0.020618463447973082	0.004956706137122156
Mixture01	Omicron_BA.5	3.6296095757540745e-09	7.208761970612427e-05	0.0005133734126867518
Mixture01	Theta_P.3	0.0005759619021370767	0.0005002385890514631	0.0004068898605793311
Mixture01	Zeta_P.2	0.0301711854508219	0.030360021635529876	0.003840934142287624
Mixture02	A.23.1	0.000368968329463135	0.00037638122525413556	0.0003807975830204916
Mixture02	AV.1	0.0029821963231300803	0.0030053814169096844	0.0007869110653396918
Mixture02	Alpha_B.1.1.7	0.020925232322927357	0.02100862511078887	0.0016223816020336976
Mixture02	B.1	1.3435540680435924e-09	1.1048076707711495e-09	1.43936722357412e-09
Mixture02	B.1.1	5.057327958616318e-09	5.218167176173293e-09	7.2696713497280985e-09
Mixture02	B.1.1.318	0.0008181937849714379	0.0008449977576581617	0.0008027075683142578
Mixture02	B.1.177	0.00214348833306163	0.00214026023953134	0.0009552316438913861
Mixture02	B.1.617.3	0.004301360381604372	0.004254180665717481	0.0028493976702099375
Mixture02	B.1.623	0.0021026007785124932	0.002158961642370529	0.0008638167505912207
Mixture02	Beta_B.1.351	2.1545520815611144e-08	1.885192699149876e-05	0.00013778451734387028
Mixture02	Delta_B.1.617.2	0.006698134040244897	0.006411911403669449	0.00201769448307777
Mixture02	Epsilon_B.1.427_429	0.0020627914615794912	0.0019994731975739276	0.001720497822164278
Mixture02	Eta_B.1.525	0.0008939253088577673	0.0008566730718734629	0.0003617814930110445
Mixture02	Gamma_P.1	0.041669550403811935	0.04150382158381402	0.0033643031297557963
Mixture02	Iota_B.1.526	0.024742046707988043	0.024274553868085146	0.0050661029131506535
Mixture02	Kappa_B.1.617.1	2.9716882520766943e-08	0.00018795541649063854	0.0006406981704674929
Mixture02	Lambda_C.37	0.001102436571349435	0.0012231746521309912	0.0009402714987014404
