	summarized	lineages	abundances	resid	coverage
Mixture01	[('Omicron', 0.5075999999999999), ('Other', 0.1847), ('Zeta', 0.1211), ('Gamma', 0.0622), ('Iota', 0.053), ('Alpha', 0.0366), ('Delta', 0.017), ('Mu', 0.0072), ('Eta', 0.007), ('Lambda', 0.0021), ('A', 0.0007), ('Beta', 0.0005), ('Kappa', 0.0002)]	BA.4 BA.1 P.2 BA.2.12.1 P.1 BA.2 B.1.526 BA.5 B.1.1.7 B.1.617.2 B.1.621 B.1.525 B.1.623 AV.1 B.1.1.318 C.37 B.1.177 A.23.1 B.1.351 B.1.617.1 Other	0.175 0.143 0.1211 0.0788 0.0622 0.0595 0.053 0.0513 0.0366 0.017 0.0072 0.007 0.0065 0.0034 0.0027 0.0021 0.0008 0.0007 0.0005 0.0002 0.1713		
Mixture02	[('Other', 0.3928), ('Alpha', 0.1849), ('Zeta', 0.1564), ('Iota', 0.1124), ('Gamma', 0.0559), ('Delta', 0.0435), ('Omicron', 0.04139999999999999), ('Mu', 0.0061), ('Eta', 0.0033), ('Lambda', 0.0018), ('A', 0.0009), ('Theta', 0.0008)]	B.1.1.7 P.2 B.1.526 P.1 B.1.617.2 BA.1 B.1.617.3 AV.1 B.1.621 B.1.623 BA.4 B.1.177 B.1.525 B.1.1.318 C.37 BA.2.12.1 A.23.1 BA.5 P.3 Other	0.1849 0.1564 0.1124 0.0559 0.0435 0.0353 0.0119 0.0061 0.0061 0.0042 0.0041 0.0034 0.0033 0.0021 0.0018 0.0011 0.0009 0.0009 0.0008 0.3651		
Mixture03	[('Omicron', 0.863), ('Other', 0.12160000000000001), ('Zeta', 0.0103), ('Beta', 0.0022), ('Delta', 0.0019), ('Alpha', 0.001)]	BA.2 BA.5 BA.2.12.1 B.1.1 P.2 B.1.617.3 B.1.351 B.1.617.2 B.1.623 B.1.1.7 AV.1 429 Other	0.5223 0.1979 0.1428 0.1106 0.0103 0.0024 0.0022 0.0019 0.0012 0.001 0.0009 0.0006 0.0059		
Mixture04	[('Omicron', 0.3027), ('Other', 0.20099999999999998), ('Gamma', 0.189), ('Zeta', 0.1313), ('Iota', 0.1285), ('Alpha', 0.0325), ('Eta', 0.006), ('Mu', 0.0038), ('Kappa', 0.0013), ('Lambda', 0.0013), ('Delta', 0.0013), ('Theta', 0.0008), ('A', 0.0003)]	P.1 BA.1 P.2 BA.2 B.1.526 B.1.1.7 BA.5 BA.4 B.1.525 B.1.177 AV.1 B.1.621 BA.2.12.1 B.1.617.1 C.37 B.1.617.2 BA.3 P.3 B.1.617.3 B.1.623 A.23.1 Other	0.189 0.1487 0.1313 0.1303 0.1285 0.0325 0.0106 0.0086 0.006 0.0043 0.004 0.0038 0.0034 0.0013 0.0013 0.0013 0.0011 0.0008 0.0006 0.0005 0.0003 0.1916		
Mixture05	[('Other', 0.4411), ('Omicron', 0.43100000000000005), ('Zeta', 0.1129), ('Iota', 0.0031), ('Mu', 0.0023), ('Theta', 0.0022), ('Gamma', 0.0019), ('Eta', 0.0013), ('Delta', 0.0013), ('Lambda', 0.0013), ('Kappa', 0.0008), ('A', 0.0008), ('Alpha', 0.0003)]	BA.4 P.2 BA.2.12.1 BA.2 BA.5 AV.1 B.1.1 BA.1 B.1.526 B.1.1.318 429 B.1.621 P.3 P.1 B.1.623 B.1.525 B.1.617.2 C.37 B.1.177 B.1.617.1 A.23.1 B.1.617.3 B.1.1.7 Other	0.1699 0.1129 0.1122 0.0942 0.0512 0.0071 0.0045 0.0035 0.0031 0.003 0.0025 0.0023 0.0022 0.0019 0.0015 0.0013 0.0013 0.0013 0.0012 0.0008 0.0008 0.0005 0.0003 0.4208		
Mixture06	[('Omicron', 0.5748), ('Other', 0.13160000000000002), ('Delta', 0.0917), ('Alpha', 0.0881), ('Gamma', 0.0548), ('Iota', 0.0421), ('Beta', 0.0087), ('Zeta', 0.0025), ('Eta', 0.002), ('Mu', 0.0012), ('A', 0.0011), ('Theta', 0.0007), ('Kappa', 0.0005)]	BA.2.12.1 BA.2 BA.1 B.1.1 B.1.617.2 B.1.1.7 P.1 B.1.526 B.1.617.3 B.1.351 BA.5 B.1.1.318 429 B.1.623 AV.1 BA.4 P.2 B.1.525 B.1.177 B.1.621 A.23.1 P.3 B.1.617.1 Other	0.2772 0.166 0.1244 0.1019 0.0917 0.0881 0.0548 0.0421 0.0145 0.0087 0.0047 0.0036 0.0031 0.003 0.0027 0.0025 0.0025 0.002 0.0018 0.0012 0.0011 0.0007 0.0005 0.001		
Mixture07	[('Omicron', 0.4763), ('Iota', 0.1897), ('Alpha', 0.109), ('Gamma', 0.0964), ('Other', 0.06979999999999997), ('Zeta', 0.0485), ('Beta', 0.0038), ('Eta', 0.0033), ('Delta', 0.0014), ('Lambda', 0.0008), ('Kappa', 0.0006), ('A', 0.0003)]	BA.4 B.1.526 BA.1 B.1.1.7 P.1 BA.2.12.1 BA.5 B.1.1 P.2 B.1.351 B.1.525 B.1.623 B.1.617.2 B.1.177 AV.1 C.37 B.1.617.3 B.1.617.1 A.23.1 Other	0.2151 0.1897 0.122 0.109 0.0964 0.0717 0.0675 0.0642 0.0485 0.0038 0.0033 0.0027 0.0014 0.0013 0.0008 0.0008 0.0008 0.0006 0.0003 0.0		
Mixture08	[('Omicron', 0.9615), ('Gamma', 0.0199), ('Zeta', 0.0051), ('Other', 0.0031000000000000003), ('Alpha', 0.0028), ('Delta', 0.0018), ('Lambda', 0.0016), ('Theta', 0.0015), ('Mu', 0.001), ('Eta', 0.0006), ('Beta', 0.0005), ('A', 0.0004), ('Kappa', 0.0002)]	BA.5 BA.1 BA.4 BA.2 BA.2.12.1 P.1 P.2 B.1.1.7 B.1.617.2 C.37 P.3 B.1.623 B.1.621 B.1.177 B.1.525 B.1.351 AV.1 A.23.1 B.1.617.1 Other	0.3972 0.2601 0.1421 0.0876 0.0745 0.0199 0.0051 0.0028 0.0018 0.0016 0.0015 0.0011 0.001 0.0008 0.0006 0.0005 0.0005 0.0004 0.0002 0.0007		
Mixture09	[('Other', 0.9768), ('Zeta', 0.0114), ('Alpha', 0.0031), ('Omicron', 0.0029), ('Mu', 0.0018), ('Delta', 0.0014), ('Eta', 0.0013), ('Gamma', 0.001), ('Theta', 0.0003)]	P.2 B.1.1.7 429 BA.4 B.1.621 AV.1 B.1.617.2 B.1.525 B.1.1.318 P.1 BA.1 B.1.617.3 B.1.623 P.3 Other	0.0114 0.0031 0.0021 0.0019 0.0018 0.0016 0.0014 0.0013 0.0011 0.001 0.001 0.0006 0.0004 0.0003 0.971		
Mixture10	[('Omicron', 0.9775), ('Gamma', 0.0134), ('Other', 0.0015), ('Eta', 0.0012), ('Beta', 0.0011), ('Kappa', 0.0009), ('Delta', 0.0009), ('Lambda', 0.0009), ('Alpha', 0.0008), ('Zeta', 0.0004), ('A', 0.0004), ('Iota', 0.0003), ('Theta', 0.0003), ('Mu', 0.0003)]	BA.2 BA.1 P.1 BA.4 BA.3 BA.2.12.1 B.1.525 B.1.351 B.1.617.1 B.1.617.2 C.37 B.1.1.7 B.1.623 AV.1 P.2 A.23.1 B.1.526 P.3 B.1.617.3 B.1.621 Other	0.5622 0.4077 0.0134 0.0034 0.0026 0.0016 0.0012 0.0011 0.0009 0.0009 0.0009 0.0008 0.0007 0.0005 0.0004 0.0004 0.0003 0.0003 0.0003 0.0003 -0.0		
