	summarized	lineages	abundances	resid	coverage
Mixture01	[('Omicron', 0.8673000000000001), ('Other', 0.039400000000000004), ('Zeta', 0.0302), ('Gamma', 0.0244), ('Iota', 0.0195), ('Eta', 0.0056), ('Mu', 0.0046), ('Alpha', 0.004), ('Delta', 0.0026), ('Kappa', 0.0008), ('Beta', 0.0007), ('Theta', 0.0006), ('A', 0.0003)]	BA.1 BA.2 P.2 P.1 BA.4 B.1.526 B.1.525 B.1.621 B.1.1.7 AV.1 B.1.617.2 B.1.617.3 B.1.1.318 BA.2.12.1 B.1.617.1 B.1.351 B.1.623 B.1.177 BA.3 P.3 A.23.1 Other	0.7457 0.0989 0.0302 0.0244 0.0208 0.0195 0.0056 0.0046 0.004 0.0035 0.0026 0.0016 0.0014 0.0013 0.0008 0.0007 0.0007 0.0006 0.0006 0.0006 0.0003 0.0316		
Mixture02	[('Omicron', 0.7635), ('Zeta', 0.0892), ('Other', 0.0453), ('Gamma', 0.0417), ('Iota', 0.0247), ('Alpha', 0.0209), ('Delta', 0.0067), ('Mu', 0.0051), ('Lambda', 0.0011), ('Eta', 0.0009), ('Theta', 0.0006), ('A', 0.0004)]	BA.1 P.2 P.1 B.1.526 B.1.1.7 BA.5 B.1.617.2 BA.3 B.1.621 B.1.617.3 AV.1 B.1.177 B.1.623 429 C.37 B.1.525 B.1.1.318 P.3 A.23.1 Other	0.7494 0.0892 0.0417 0.0247 0.0209 0.0081 0.0067 0.006 0.0051 0.0043 0.003 0.0021 0.0021 0.0021 0.0011 0.0009 0.0008 0.0006 0.0004 0.0309		
Mixture03	[('Omicron', 0.9057), ('Gamma', 0.0595), ('Zeta', 0.0143), ('Other', 0.0085), ('Eta', 0.0058), ('Mu', 0.0019), ('Delta', 0.0013), ('A', 0.001), ('Kappa', 0.0006), ('Alpha', 0.0004), ('Lambda', 0.0004), ('Beta', 0.0004), ('Theta', 0.0002)]	BA.4 BA.2 P.1 BA.2.12.1 P.2 B.1.525 B.1.1.318 BA.1 AV.1 B.1.177 B.1.621 B.1.617.2 BA.3 A.23.1 B.1.617.1 B.1.617.3 B.1.623 B.1.1.7 C.37 B.1.351 P.3 Other	0.5115 0.3712 0.0595 0.0194 0.0143 0.0058 0.0027 0.0026 0.0023 0.0023 0.0019 0.0013 0.001 0.001 0.0006 0.0006 0.0006 0.0004 0.0004 0.0004 0.0002 -0.0		
Mixture04	[('Omicron', 0.902), ('Other', 0.046299999999999994), ('Gamma', 0.0267), ('Iota', 0.0121), ('Zeta', 0.0043), ('Eta', 0.0025), ('Alpha', 0.0024), ('A', 0.0013), ('Kappa', 0.0013), ('Delta', 0.0006), ('Mu', 0.0004)]	BA.1 BA.5 BA.2 P.1 B.1.1.318 B.1.526 BA.4 P.2 B.1.525 B.1.1.7 B.1.177 B.1.623 A.23.1 B.1.617.1 B.1.617.3 AV.1 B.1.617.2 429 B.1.621 Other	0.8229 0.0373 0.0352 0.0267 0.0141 0.0121 0.0066 0.0043 0.0025 0.0024 0.0016 0.0014 0.0013 0.0013 0.0011 0.001 0.0006 0.0005 0.0004 0.0266		
Mixture05	[('Other', 0.5419), ('Omicron', 0.3881), ('Zeta', 0.051), ('Eta', 0.0057), ('Lambda', 0.0034), ('Mu', 0.0024), ('Delta', 0.0022), ('Alpha', 0.0019), ('A', 0.0014), ('Kappa', 0.0009), ('Theta', 0.0007), ('Gamma', 0.0003)]	BA.4 BA.1 B.1.1 P.2 BA.2.12.1 BA.2 BA.5 AV.1 B.1.525 B.1.623 C.37 B.1.621 B.1.177 B.1.617.2 B.1.1.7 A.23.1 429 B.1.617.1 B.1.1.318 P.3 P.1 Other	0.2071 0.1112 0.0572 0.051 0.0277 0.0264 0.0157 0.0065 0.0057 0.0036 0.0034 0.0024 0.0023 0.0022 0.0019 0.0014 0.0014 0.0009 0.0008 0.0007 0.0003 0.4701		
Mixture06	[('Omicron', 0.9294), ('Gamma', 0.022), ('Other', 0.0212), ('Zeta', 0.0085), ('Iota', 0.0059), ('Alpha', 0.0044), ('Delta', 0.004), ('Kappa', 0.0022), ('Eta', 0.0008), ('Lambda', 0.0006), ('A', 0.0006), ('Mu', 0.0005)]	BA.1 BA.5 P.1 B.1.1.318 P.2 B.1.526 B.1.1.7 B.1.617.2 B.1.617.3 429 B.1.617.1 BA.2.12.1 BA.4 BA.3 B.1.525 C.37 A.23.1 B.1.621 B.1.623 B.1.177 Other	0.8738 0.0507 0.022 0.0123 0.0085 0.0059 0.0044 0.004 0.0026 0.0025 0.0022 0.0021 0.0019 0.0009 0.0008 0.0006 0.0006 0.0005 0.0005 0.0005 0.0028		
Mixture07	[('Zeta', 0.304), ('Omicron', 0.28280000000000005), ('Iota', 0.2323), ('Alpha', 0.0897), ('Gamma', 0.0742), ('Other', 0.010199999999999999), ('Mu', 0.0029), ('Delta', 0.0012), ('Kappa', 0.0008), ('Eta', 0.0007), ('A', 0.0006), ('Lambda', 0.0005)]	P.2 B.1.526 BA.4 B.1.1.7 P.1 BA.1 B.1.177 B.1.621 AV.1 BA.2.12.1 B.1.1.318 BA.5 B.1.623 B.1.617.2 B.1.617.1 B.1.525 A.23.1 BA.3 C.37 Other	0.304 0.2323 0.2109 0.0897 0.0742 0.0671 0.0036 0.0029 0.0025 0.0024 0.0023 0.0019 0.0018 0.0012 0.0008 0.0007 0.0006 0.0005 0.0005 0.0		
Mixture08	[('Omicron', 0.977), ('Zeta', 0.0131), ('Mu', 0.0036), ('Other', 0.0024999999999999996), ('Alpha', 0.0013), ('Theta', 0.0006), ('Gamma', 0.0004), ('A', 0.0004), ('Eta', 0.0003), ('Lambda', 0.0003), ('Kappa', 0.0003), ('Delta', 0.0002)]	BA.1 BA.4 P.2 BA.2 B.1.621 BA.2.12.1 BA.5 B.1.1.7 AV.1 B.1.623 P.3 P.1 A.23.1 B.1.617.3 B.1.525 C.37 B.1.617.1 B.1.177 B.1.617.2 Other	0.9349 0.0291 0.0131 0.0088 0.0036 0.0025 0.0017 0.0013 0.0012 0.0007 0.0006 0.0004 0.0004 0.0003 0.0003 0.0003 0.0003 0.0003 0.0002 0.0		
Mixture09	[('Other', 0.9107), ('Zeta', 0.0412), ('Gamma', 0.0352), ('Mu', 0.0037), ('Omicron', 0.0035000000000000005), ('A', 0.0024), ('Eta', 0.0017), ('Delta', 0.0008), ('Kappa', 0.0004), ('Theta', 0.0004)]	P.2 P.1 B.1.621 AV.1 A.23.1 B.1.525 BA.4 B.1.177 BA.3 B.1.617.2 B.1.623 B.1.617.3 BA.1 B.1.617.1 BA.5 P.3 429 B.1.1.318 Other	0.0412 0.0352 0.0037 0.0032 0.0024 0.0017 0.0017 0.0014 0.001 0.0008 0.0006 0.0004 0.0004 0.0004 0.0004 0.0004 0.0003 0.0003 0.9045		
Mixture10	[('Omicron', 0.9642000000000001), ('Gamma', 0.0151), ('Zeta', 0.0142), ('Mu', 0.0017), ('Other', 0.001), ('Alpha', 0.0008), ('A', 0.0007), ('Delta', 0.0006), ('Kappa', 0.0006), ('Eta', 0.0005), ('Lambda', 0.0003), ('Theta', 0.0002)]	BA.1 BA.2 P.1 P.2 BA.5 B.1.621 BA.2.12.1 B.1.1.7 A.23.1 B.1.617.2 B.1.617.1 AV.1 B.1.525 C.37 B.1.623 B.1.177 P.3 Other	0.7703 0.1891 0.0151 0.0142 0.0036 0.0017 0.0012 0.0008 0.0007 0.0006 0.0006 0.0005 0.0005 0.0003 0.0003 0.0002 0.0002 0.0		
