lineage,sample,meanAF,meanAF_uniq,minAF_uniq_nonzero,N,lineage N. rules,lineage prop.
A.1,NA,0,0,NA,0,1,0
A.17,NA,0,0,NA,0,1,0
A.19,NA,0,0,NA,0,1,0
A.2,NA,0,0,NA,0,1,0
A.2.2,NA,0,0,NA,0,1,0
A.2.5,NA,0,0,NA,0,1,0
A.2.5.1,NA,0,0,NA,0,1,0
A.2.5.2,NA,0,0,NA,0,1,0
A.2.5.3,NA,0,0,NA,0,1,0
A.21,NA,0,0,NA,0,1,0
A.23,NA,0,0,NA,0,1,0
A.23.1,NA,0,0,NA,0,1,0
A.27,NA,0,0,NA,0,1,0
A.28,NA,0,0,NA,0,1,0
A.29,NA,0,0,NA,0,1,0
A.3,NA,0,0,NA,0,1,0
A.4,NA,0,0,NA,0,1,0
AD.2,NA,0,0,NA,0,1,0
AE.8,NA,0,0,NA,0,1,0
AL.1,NA,0,0,NA,0,1,0
AM.2,NA,0,0,NA,0,1,0
AV.1,NA,0,0,NA,0,1,0
AW.1,NA,0,0,NA,0,1,0
AY.1,NA,0,0,NA,0,1,0
AY.10,NA,0,0,NA,0,1,0
AY.100,NA,0,0,NA,0,1,0
AY.101,NA,0,0,NA,0,1,0
AY.102,NA,0,0,NA,0,1,0
AY.103,NA,0,0,NA,0,1,0
AY.103.1,NA,0,0,NA,0,1,0
AY.104,NA,0,0,NA,0,1,0
AY.105,NA,0,0,NA,0,1,0
AY.106,NA,0,0,NA,0,1,0
AY.107,NA,0,0,NA,0,1,0
AY.108,NA,0,0,NA,0,1,0
AY.109,NA,0,0,NA,0,1,0
AY.110,NA,0,0,NA,0,1,0
AY.111,NA,0,0,NA,0,1,0
AY.112,NA,0,0,NA,0,1,0
AY.112.2,NA,0,0,NA,0,1,0
AY.112.3,NA,0,0,NA,0,1,0
AY.113,NA,0,0,NA,0,1,0
AY.114,NA,0,0,NA,0,1,0
AY.116,NA,0,0,NA,0,1,0
AY.116.1,NA,0,0,NA,0,1,0
AY.117,NA,0,0,NA,0,1,0
AY.118,NA,0,0,NA,0,1,0
AY.119,NA,0,0,NA,0,1,0
AY.119.1,NA,0,0,NA,0,1,0
AY.119.2,NA,0,0,NA,0,1,0
AY.120,NA,0,0,NA,0,1,0
AY.120.1,NA,0,0,NA,0,1,0
AY.120.2.1,NA,0,0,NA,0,1,0
AY.121,NA,0,0,NA,0,1,0
AY.121.1,NA,0,0,NA,0,1,0
AY.122,NA,0,0,NA,0,1,0
AY.122.1,NA,0,0,NA,0,1,0
AY.122.2,NA,0,0,NA,0,1,0
AY.122.4,NA,0,0,NA,0,1,0
AY.122.5,NA,0,0,NA,0,1,0
AY.122.6,NA,0,0,NA,0,1,0
AY.123,NA,0,0,NA,0,1,0
AY.124,NA,0,0,NA,0,1,0
AY.124.1,NA,0,0,NA,0,1,0
AY.124.1.1,NA,0,0,NA,0,1,0
AY.125,NA,0,0,NA,0,1,0
AY.126,NA,0,0,NA,0,1,0
AY.127,NA,0,0,NA,0,1,0
AY.127.1,NA,0,0,NA,0,1,0
AY.128,NA,0,0,NA,0,1,0
AY.129,NA,0,0,NA,0,1,0
AY.13,NA,0,0,NA,0,1,0
AY.131,NA,0,0,NA,0,1,0
AY.132,NA,0,0,NA,0,1,0
AY.133,NA,0,0,NA,0,1,0
AY.14,NA,0,0,NA,0,1,0
AY.15,NA,0,0,NA,0,1,0
AY.16,NA,0,0,NA,0,1,0
AY.16.1,NA,0,0,NA,0,1,0
AY.2,NA,0,0,NA,0,1,0
AY.20,NA,0,0,NA,0,1,0
AY.23,NA,0,0,NA,0,1,0
AY.23.1,NA,0,0,NA,0,1,0
AY.24,NA,0,0,NA,0,1,0
AY.24.1,NA,0,0,NA,0,1,0
AY.25,NA,0,0,NA,0,1,0
AY.25.1,NA,0,0,NA,0,1,0
AY.25.1.1,NA,0,0,NA,0,1,0
AY.25.1.2,NA,0,0,NA,0,1,0
AY.25.2,NA,0,0,NA,0,1,0
AY.25.3,NA,0,0,NA,0,1,0
AY.26,NA,0,0,NA,0,1,0
AY.26.1,NA,0,0,NA,0,1,0
AY.27,NA,0,0,NA,0,1,0
AY.28,NA,0,0,NA,0,1,0
AY.29,NA,0,0,NA,0,1,0
AY.29.1,NA,0,0,NA,0,1,0
AY.3,NA,0,0,NA,0,1,0
AY.3.1,NA,0,0,NA,0,1,0
AY.3.3,NA,0,0,NA,0,1,0
AY.30,NA,0,0,NA,0,1,0
AY.31,NA,0,0,NA,0,1,0
AY.32,NA,0,0,NA,0,1,0
AY.33,NA,0,0,NA,0,1,0
AY.33.2,NA,0,0,NA,0,1,0
AY.34,NA,0,0,NA,0,1,0
AY.34.1,NA,0,0,NA,0,1,0
AY.34.1.1,NA,0,0,NA,0,1,0
AY.34.2,NA,0,0,NA,0,1,0
AY.35,NA,0,0,NA,0,1,0
AY.36,NA,0,0,NA,0,1,0
AY.36.1,NA,0,0,NA,0,1,0
AY.37,NA,0,0,NA,0,1,0
AY.38,NA,0,0,NA,0,1,0
AY.39,NA,0,0,NA,0,1,0
AY.39.1,NA,0,0,NA,0,1,0
AY.39.1.1,NA,0,0,NA,0,1,0
AY.39.2,NA,0,0,NA,0,1,0
AY.39.3,NA,0,0,NA,0,1,0
AY.4,NA,0,0,NA,0,1,0
AY.4.1,NA,0,0,NA,0,1,0
AY.4.10,NA,0,0,NA,0,1,0
AY.4.12,NA,0,0,NA,0,1,0
AY.4.13,NA,0,0,NA,0,1,0
AY.4.15,NA,0,0,NA,0,1,0
AY.4.2,NA,0,0,NA,0,1,0
