	summarized	lineages	abundances	resid	coverage
Mixture01	[('Omicron', 0.7289), ('Alpha', 0.0635), ('Gamma', 0.0479), ('Other', 0.0477), ('Delta', 0.0344), ('Beta', 0.0158), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0102), ('Kappa', 0.0085), ('Lambda', 0.0082), ('Mu', 0.0058), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0057), ('Theta', 0.0054), ('BA.2.86* (BA.2.86X)', 0.0048), ('XBB* (XBB.X)', 0.003), ('Eta', 0.0029), ('A', 0.0021), ('EG.5* [Omicron (EG.5.X)]', 0.002), ('Zeta', 0.0015), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0015), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0001)]	BA.2 BA.4 BA.5 B.1.1.7 P.1 XE B.1.617.2 BA.1 B.1.351 BA.3 XD CH.1.1 B.1.617.1 C.37 AV.1 B.1.621 BA.2.75 P.3 B.1.617.3 BA.2.86 AY.4.2 B.1.1.318 XBB B.1.525 BA.4.6 A.23.1 EG.5.1 B.1.623 P.2 XBB.1.16 C.36.3 BQ.1 XBB.1.5 Other	0.3083 0.2203 0.1166 0.0635 0.0479 0.0399 0.0305 0.0261 0.0158 0.0151 0.011 0.0102 0.0085 0.0082 0.0066 0.0058 0.0057 0.0054 0.005 0.0048 0.0039 0.0035 0.003 0.0029 0.0023 0.0021 0.002 0.0016 0.0015 0.0015 0.0009 0.0003 0.0001 0.0191		
Mixture02	[('Other', 0.2993), ('Alpha', 0.2551), ('Omicron', 0.13709999999999997), ('Delta', 0.1227), ('Gamma', 0.0519), ('Beta', 0.0297), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.025), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.017), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0096), ('Mu', 0.0088), ('BA.2.86* (BA.2.86X)', 0.0066), ('Theta', 0.0066), ('Kappa', 0.0065), ('EG.5* [Omicron (EG.5.X)]', 0.0054), ('Zeta', 0.0047), ('Eta', 0.0037), ('XBB* (XBB.X)', 0.0034), ('A', 0.003), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0026), ('Lambda', 0.0011)]	B.1.1.7 B.1.617.2 BA.1 P.1 B.1.351 BA.5 XBB.1.5 XD CH.1.1 AY.4.2 BA.3 BA.2.75 BA.4 B.1.621 BQ.1 AV.1 BA.2 BA.2.86 P.3 B.1.617.1 BA.4.6 EG.5.1 B.1.617.3 P.2 B.1.1.318 B.1.623 B.1.525 XBB A.23.1 XBB.1.16 C.36.3 XE C.37 Other	0.2551 0.107 0.0653 0.0519 0.0297 0.0263 0.025 0.0245 0.017 0.0157 0.0134 0.0096 0.009 0.0088 0.0082 0.0077 0.0072 0.0066 0.0066 0.0065 0.0064 0.0054 0.0052 0.0047 0.0041 0.004 0.0037 0.0034 0.003 0.0026 0.0022 0.0013 0.0011 0.2516		
Mixture03	[('Omicron', 0.9428), ('Other', 0.016100000000000003), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0072), ('Alpha', 0.0042), ('Lambda', 0.0039), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0038), ('Theta', 0.0029), ('Delta', 0.0028), ('BA.2.86* (BA.2.86X)', 0.0026), ('Beta', 0.0025), ('Kappa', 0.0023), ('XBB* (XBB.X)', 0.0016), ('Mu', 0.0014), ('Gamma', 0.0013), ('A', 0.0012), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0009), ('Eta', 0.0009), ('EG.5* [Omicron (EG.5.X)]', 0.0007), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0006), ('Zeta', 0.0004)]	BA.2 BA.4 BA.5 XE CH.1.1 XD B.1.1.7 BA.3 C.37 BA.2.75 AV.1 P.3 BA.2.86 B.1.351 B.1.617.2 B.1.617.1 XBB B.1.621 P.1 A.23.1 B.1.617.3 BA.1 XBB.1.5 B.1.525 BA.4.6 EG.5.1 XBB.1.16 B.1.623 AY.4.2 P.2 B.1.1.318 C.36.3 BQ.1 Other	0.4261 0.2457 0.2016 0.0636 0.0072 0.0047 0.0042 0.0039 0.0039 0.0038 0.0035 0.0029 0.0026 0.0025 0.0024 0.0023 0.0016 0.0014 0.0013 0.0012 0.0011 0.001 0.0009 0.0009 0.0008 0.0007 0.0006 0.0006 0.0004 0.0004 0.0003 0.0002 0.0001 0.0057		
Mixture04	[('Omicron', 0.4331), ('Other', 0.2039), ('Gamma', 0.156), ('Alpha', 0.0734), ('Beta', 0.038), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.017), ('Delta', 0.0111), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0104), ('Mu', 0.0081), ('BA.2.86* (BA.2.86X)', 0.0074), ('Theta', 0.0073), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0055), ('XBB* (XBB.X)', 0.0051), ('EG.5* [Omicron (EG.5.X)]', 0.0042), ('Zeta', 0.004), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0039), ('A', 0.0039), ('Eta', 0.0034), ('Kappa', 0.0029), ('Lambda', 0.0015)]	BA.2 P.1 BA.1 B.1.1.7 XE B.1.351 BA.3 XD BA.5 XBB.1.5 BA.2.75 B.1.617.2 B.1.621 BA.4.6 BA.2.86 P.3 AV.1 CH.1.1 XBB BA.4 EG.5.1 B.1.623 P.2 XBB.1.16 A.23.1 B.1.525 B.1.1.318 B.1.617.1 BQ.1 AY.4.2 B.1.617.3 C.37 C.36.3 Other	0.2319 0.156 0.0937 0.0734 0.0385 0.038 0.0366 0.0287 0.0173 0.017 0.0104 0.0083 0.0081 0.0077 0.0074 0.0073 0.0068 0.0055 0.0051 0.0045 0.0042 0.0041 0.004 0.0039 0.0039 0.0034 0.0034 0.0029 0.0029 0.0028 0.002 0.0015 0.0009 0.158		
Mixture05	[('Omicron', 0.7893), ('Other', 0.0927), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0244), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0194), ('Delta', 0.0127), ('BA.2.86* (BA.2.86X)', 0.0066), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0059), ('Kappa', 0.0059), ('Lambda', 0.0056), ('Alpha', 0.0055), ('Beta', 0.0054), ('XBB* (XBB.X)', 0.0042), ('EG.5* [Omicron (EG.5.X)]', 0.0041), ('Mu', 0.0034), ('Theta', 0.0034), ('Gamma', 0.0031), ('A', 0.0027), ('Eta', 0.0021), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.002), ('Zeta', 0.0016)]	BA.4 BA.2 BA.5 XE CH.1.1 BA.2.75 XD BA.3 BA.4.6 AY.4.2 BA.2.86 B.1.617.2 XBB.1.5 B.1.617.1 C.37 B.1.1.7 B.1.351 XBB AV.1 EG.5.1 B.1.621 P.3 P.1 A.23.1 BA.1 B.1.617.3 B.1.525 XBB.1.16 BQ.1 P.2 B.1.623 B.1.1.318 C.36.3 Other	0.2532 0.2518 0.1954 0.0647 0.0244 0.0194 0.0163 0.0127 0.0073 0.0067 0.0066 0.006 0.0059 0.0059 0.0056 0.0055 0.0054 0.0042 0.0042 0.0041 0.0034 0.0034 0.0031 0.0027 0.0024 0.0022 0.0021 0.002 0.0018 0.0016 0.0013 0.0013 0.001 0.0664		
Mixture06	[('Omicron', 0.5642), ('Delta', 0.13), ('Alpha', 0.0844), ('Other', 0.0694), ('Gamma', 0.0617), ('Beta', 0.0177), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0145), ('Kappa', 0.0093), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0074), ('BA.2.86* (BA.2.86X)', 0.0067), ('Mu', 0.0067), ('Theta', 0.0048), ('XBB* (XBB.X)', 0.0037), ('Eta', 0.0035), ('A', 0.0031), ('EG.5* [Omicron (EG.5.X)]', 0.0031), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0028), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0027), ('Lambda', 0.0023), ('Zeta', 0.002)]	BA.2 B.1.617.2 BA.1 B.1.1.7 P.1 BA.3 XE XD B.1.351 CH.1.1 BA.5 B.1.617.1 BA.2.75 BA.2.86 B.1.621 AV.1 B.1.617.3 P.3 BA.4.6 AY.4.2 B.1.1.318 XBB C.36.3 B.1.525 A.23.1 EG.5.1 XBB.1.5 XBB.1.16 B.1.623 C.37 P.2 BQ.1 BA.4 Other	0.3471 0.126 0.1082 0.0844 0.0617 0.0496 0.0414 0.0275 0.0177 0.0145 0.0099 0.0093 0.0074 0.0067 0.0067 0.0055 0.0051 0.0048 0.0045 0.004 0.0037 0.0037 0.0037 0.0035 0.0031 0.0031 0.0028 0.0027 0.0026 0.0023 0.002 0.0019 0.0016 0.0213		
Mixture07	[('Omicron', 0.6847000000000001), ('Alpha', 0.1543), ('Gamma', 0.0817), ('Other', 0.0187), ('Beta', 0.0171), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0079), ('Theta', 0.006), ('Mu', 0.0053), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0046), ('Kappa', 0.0037), ('BA.2.86* (BA.2.86X)', 0.0033), ('Delta', 0.0031999999999999997), ('Lambda', 0.0024), ('XBB* (XBB.X)', 0.0018), ('Eta', 0.0014), ('A', 0.0013), ('Zeta', 0.0011), ('EG.5* [Omicron (EG.5.X)]', 0.001), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0006)]	BA.4 BA.2 B.1.1.7 BA.5 P.1 XE B.1.351 CH.1.1 XD P.3 AV.1 B.1.621 BA.2.75 B.1.617.1 BA.2.86 C.37 BA.3 B.1.1.318 B.1.617.2 B.1.623 XBB B.1.617.3 B.1.525 A.23.1 AY.4.2 P.2 BA.1 EG.5.1 BA.4.6 XBB.1.16 C.36.3 Other	0.2701 0.2202 0.1543 0.1422 0.0817 0.0482 0.0171 0.0079 0.0065 0.006 0.0057 0.0053 0.0046 0.0037 0.0033 0.0024 0.0022 0.0021 0.0019 0.0019 0.0018 0.0017 0.0014 0.0013 0.0013 0.0011 0.0011 0.001 0.0007 0.0006 0.0003 0.0005		
Mixture08	[('Omicron', 0.9238000000000001), ('Other', 0.0214), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.012), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0111), ('Theta', 0.0042), ('Alpha', 0.0037), ('Kappa', 0.0036), ('BA.2.86* (BA.2.86X)', 0.0035), ('Mu', 0.0026), ('Lambda', 0.0022), ('Beta', 0.0021), ('XBB* (XBB.X)', 0.002), ('Delta', 0.0018), ('A', 0.0015), ('Gamma', 0.0014), ('EG.5* [Omicron (EG.5.X)]', 0.0011), ('Eta', 0.001), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0008), ('Zeta', 0.0003)]	BA.2 BA.5 BA.4 BA.1 XE BA.3 BA.2.75 CH.1.1 XD AV.1 P.3 B.1.1.7 B.1.617.1 BA.2.86 B.1.621 C.37 B.1.351 XBB A.23.1 P.1 B.1.617.3 B.1.617.2 EG.5.1 B.1.525 BA.4.6 B.1.1.318 XBB.1.16 AY.4.2 B.1.623 P.2 C.36.3 Other	0.3834 0.1897 0.1873 0.1153 0.033 0.0142 0.012 0.0111 0.0067 0.0054 0.0042 0.0037 0.0036 0.0035 0.0026 0.0022 0.0021 0.002 0.0015 0.0014 0.0014 0.0012 0.0011 0.001 0.0009 0.0009 0.0008 0.0006 0.0005 0.0003 0.0003 0.0062		
Mixture09	[('Other', 0.7592), ('Omicron', 0.0929), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0502), ('Delta', 0.0335), ('BA.2.86* (BA.2.86X)', 0.0156), ('EG.5* [Omicron (EG.5.X)]', 0.0113), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0079), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0053), ('Alpha', 0.0035), ('XBB* (XBB.X)', 0.0031), ('Beta', 0.0029), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0023), ('Mu', 0.0021), ('Gamma', 0.0019), ('Kappa', 0.0019), ('Eta', 0.0019), ('A', 0.0017), ('Zeta', 0.0014), ('Theta', 0.0009), ('Lambda', 0.0008)]	XBB.1.5 BQ.1 AY.4.2 BA.5 BA.2.86 BA.4 EG.5.1 BA.4.6 BA.3 CH.1.1 BA.2 BA.2.75 BA.1 B.1.617.2 XD AV.1 XE B.1.1.7 XBB B.1.351 XBB.1.16 B.1.621 P.1 B.1.617.1 B.1.525 A.23.1 B.1.617.3 P.2 P.3 B.1.623 C.37 B.1.1.318 C.36.3 Other	0.0502 0.0305 0.0289 0.0175 0.0156 0.0126 0.0113 0.0105 0.0082 0.0079 0.0054 0.0053 0.0046 0.0046 0.0044 0.0036 0.0036 0.0035 0.0031 0.0029 0.0023 0.0021 0.0019 0.0019 0.0019 0.0017 0.0015 0.0014 0.0009 0.0008 0.0008 0.0005 0.0002 0.7482		
Mixture10	[('Omicron', 0.8585), ('Other', 0.0712), ('Delta', 0.015300000000000001), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0074), ('Alpha', 0.0055), ('BA.2.86* (BA.2.86X)', 0.0045), ('XBB* (XBB.X)', 0.0042), ('Mu', 0.0041), ('Beta', 0.0036), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0035), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0033), ('Gamma', 0.0029), ('Theta', 0.0029), ('EG.5* [Omicron (EG.5.X)]', 0.0026), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0024), ('Kappa', 0.0023), ('A', 0.002), ('Eta', 0.0017), ('Zeta', 0.0014), ('Lambda', 0.0008)]	BA.2 BA.1 XE BA.3 XD B.1.617.2 BA.5 BA.2.75 AV.1 B.1.1.7 BA.2.86 XBB B.1.621 BA.4 AY.4.2 B.1.351 XBB.1.5 CH.1.1 P.1 P.3 BA.4.6 EG.5.1 XBB.1.16 B.1.617.1 A.23.1 B.1.525 B.1.617.3 B.1.623 P.2 B.1.1.318 C.37 BQ.1 C.36.3 Other	0.5001 0.2089 0.0693 0.0624 0.0195 0.0114 0.0106 0.0074 0.0068 0.0055 0.0045 0.0042 0.0041 0.0039 0.0039 0.0036 0.0035 0.0033 0.0029 0.0029 0.0028 0.0026 0.0024 0.0023 0.002 0.0017 0.0016 0.0015 0.0014 0.0014 0.0008 0.0005 0.0002 0.0402		
