location	A.23.1_Lower	AV.1_Lower	AY.4.2_Lower	B.1.1.318_Lower	B.1.1.7_Lower	B.1.351_Lower	B.1.525_Lower	B.1.617.1_Lower	B.1.617.2_Lower	B.1.617.3_Lower	B.1.621_Lower	B.1.623_Lower	BA.1_Lower	BA.2_Lower	BA.2.75_Lower	BA.2.86_Lower	BA.3_Lower	BA.4_Lower	BA.4.6_Lower	BA.5_Lower	BQ.1_Lower	C.36.3_Lower	C.37_Lower	CH.1.1_Lower	EG.5.1_Lower	P.1_Lower	P.2_Lower	P.3_Lower	XBB_Lower	XBB.1.16_Lower	XBB.1.5_Lower	XD_Lower	XE_Lower	undetermined_Lower	A.23.1	AV.1	AY.4.2	B.1.1.318	B.1.1.7	B.1.351	B.1.525	B.1.617.1	B.1.617.2	B.1.617.3	B.1.621	B.1.623	BA.1	BA.2	BA.2.75	BA.2.86	BA.3	BA.4	BA.4.6	BA.5	BQ.1	C.36.3	C.37	CH.1.1	EG.5.1	P.1	P.2	P.3	XBB	XBB.1.16	XBB.1.5	XD	XE	undetermined	A.23.1_Upper	AV.1_Upper	AY.4.2_Upper	B.1.1.318_Upper	B.1.1.7_Upper	B.1.351_Upper	B.1.525_Upper	B.1.617.1_Upper	B.1.617.2_Upper	B.1.617.3_Upper	B.1.621_Upper	B.1.623_Upper	BA.1_Upper	BA.2_Upper	BA.2.75_Upper	BA.2.86_Upper	BA.3_Upper	BA.4_Upper	BA.4.6_Upper	BA.5_Upper	BQ.1_Upper	C.36.3_Upper	C.37_Upper	CH.1.1_Upper	EG.5.1_Upper	P.1_Upper	P.2_Upper	P.3_Upper	XBB_Upper	XBB.1.16_Upper	XBB.1.5_Upper	XD_Upper	XE_Upper	undetermined_Upper
Mixture01	1.0493048438707893e-25	0.0017371633171611351	8.607152506875338e-22	0.0009565739398246163	0.02581545482960432	0.001189634921276004	0.001570241130239977	2.3276938655969217e-18	0.0022569448633303134	0.0011288643791370115	0.0006659650193531132	1.5521170798379862e-18	0.012398201232035357	0.05137790715339991	9.274003329917173e-08	5.824733340994722e-23	2.6497529119343937e-18	0.0654427270751523	4.1101380412507313e-26	0.062016890007051344	2.0583229041182163e-28	1.1409538934978454e-25	5.668289730065573e-27	1.349494770204204e-19	5.88817295696929e-23	0.04119427031670794	3.7649053926328244e-25	0.0005772568462137657	7.203459586771932e-23	1.847491128546824e-16	2.5449842658176544e-28	0.0019181600472816258	0.0010102637472058354	2.433543741515024e-28	0.001499678515646603	0.005415318134163426	0.007255492301582851	0.0044530885531963655	0.02972151662836652	0.013320959461904558	0.005138502224873546	0.011793353636376675	0.023412691990738064	0.009655540466709207	0.007396974972120223	0.0035510629027813035	0.03169477337091954	0.33536451609533935	0.004954185898280243	0.0022992108467062462	0.013911989788721333	0.21039916580171095	0.0012370940549217833	0.11569017229096065	0.0004963465322928718	0.0014992572627117236	0.0017604200821808612	0.0043003370881420575	0.0020965446482452137	0.04695764876688549	0.0007843635659423924	0.006517500304780627	0.002213980493601344	0.002890769922904662	0.00013507878094861953	0.020065891634550144	0.042074085474309034	0.00032097087811903404	0.004652084578961872	0.010955993943552974	0.014978461282357997	0.008917312897554548	0.03808393823265349	0.032210978134319584	0.012607447388506825	0.028234168070136106	0.04453721603090119	0.01900533342704974	0.015415361085434206	0.008506925094839444	0.04372438470197559	0.3911802850836938	0.010517923860342187	0.008629664511557533	0.057953108838892826	0.2632277978914405	0.010579076890570296	0.15074203061488747	0.004189869867757643	0.006375013619260112	0.013629459364437511	0.011184362704602427	0.006901971255073365	0.05323658135999298	0.0023953986505433024	0.014579643706049463	0.006036726870696136	0.006466744209885747	0.0015255018105301108	0.033950206090113254	0.3241886925548383	1.1255351447160758e-11
Mixture02	0.0018887833661620803	0.0034489192574271733	0.006318998519669407	0.00302670001967358	0.11577178729481992	0.005889778283760787	0.0036380351208049485	1.7748023750387596e-21	0.059316732377338394	0.003903588989443923	0.0023219016696188087	0.0029201461981733807	0.061285130773592565	9.225340729219203e-25	0.0030589744396493633	0.0011639584092282742	0.0035504017274530343	1.2878977044542206e-27	1.603308468025173e-11	1.3683560703328603e-18	3.1281932937860366e-29	0.0005060480513378002	6.752248645387942e-24	0.0010528058667428732	0.0021913183040170336	0.048620289046377385	0.0005372875517021194	0.0039641901328544464	2.9250907009971693e-13	0.0035139515189981665	0.0011700007266736456	0.005336436889782554	1.8391883217649681e-22	0.0822173358877643	0.0040430795674905465	0.008776859862755015	0.013931771407246074	0.0074281371473432015	0.13079793324294076	0.029309568072300035	0.007427233666201117	0.010555700837834936	0.10285405686161612	0.009844606179736412	0.008841949079905525	0.0100668178227865	0.08448776534428042	0.0057213675054005285	0.00868186520986274	0.004315211371113002	0.020665382059156086	0.0075626445891597595	0.00455515655001498	0.011285117176370527	0.007381577518447084	0.0030802440108783735	0.001667046998375548	0.012132171288065641	0.006806265896311692	0.05470298479148703	0.0041548845253059465	0.012617133121358506	0.002852073052665818	0.006156657420791457	0.014505256925017584	0.020770954794194694	0.0036652032290978055	0.22755738963154776	0.006108352897091677	0.017151092764506163	0.018568082617312288	0.01808471341531825	0.14434899914165364	0.08569643076689731	0.011558255471341145	0.03724931302187528	0.1579367587046554	0.017494310687968376	0.019358278301722622	0.043834942182154876	0.09612438844655631	0.05822443794429792	0.021248520072317683	0.01015593093623823	0.09562055473877994	0.06607412609075708	0.007902600398279646	0.04014995754444883	0.07683015897615121	0.0075682884962059134	0.006094270727461568	0.0722185702831278	0.008362766830908752	0.06702058721078397	0.012448589430943112	0.04017128783516031	0.005965200148297871	0.009062838223481137	0.12805495884137938	0.08810460221101482	0.0101352736026693	0.34828766294796354
Mixture03	9.228453879951402e-27	4.950354835963306e-14	1.1308590128480018e-24	9.335337202995088e-28	4.8050438132375374e-23	5.017465076097815e-24	1.5097183619039032e-22	7.536883508366209e-27	1.9208496086342807e-26	5.439079695373886e-16	3.63256497256684e-18	8.371169439928214e-23	1.446883522498708e-28	5.4935710832415186e-21	1.7789344250186588e-21	4.111882768678251e-24	1.896613424376801e-23	0.0006279423452344854	8.050794445257493e-28	0.07276157901580606	1.2386122406829193e-28	3.3653038902356384e-28	1.1388908247658969e-30	2.619553708468883e-23	3.4527041076083535e-28	6.320608282690177e-31	3.2104382336784484e-27	7.304190845411561e-23	3.1215143175348672e-24	5.675450462302592e-24	1.1698478733428822e-27	2.34782687007911e-24	0.00039833297145211726	1.2990686127580107e-29	0.0007010049710595735	0.005430459823307519	0.0017758454655567607	0.0012843967525929206	0.0019057559704495574	0.0027785697566835572	0.0024966515730733487	0.003712494147958769	0.0010410409724717587	0.0040031352204865644	0.002909606835544073	0.0023183075151643282	0.0006293811994304789	0.43248026609240703	0.004018143300820287	0.0018265274095156468	0.015106776511790225	0.23005499509165137	0.0006527508592701238	0.19544774436815135	0.0011052795665128826	0.0005866131823875438	0.0024742991202863097	0.018428726335516385	0.00035018829916044254	0.0008495256385935654	0.00027208636454510764	0.0037994741576304497	0.0016668077509149448	0.0020348171830533042	0.00014363330996273413	0.004844967770404666	0.050166521807118274	0.0007974497060785247	0.0030237338837633713	0.012460445472297806	0.013913181635227395	0.005949492245569957	0.006597465493713974	0.01016606202907843	0.006409497139910462	0.012484716577842198	0.006552455443699129	0.011698524472356996	0.007655825634861091	0.008745027040390159	0.003336244802270302	0.558757439663051	0.010307227728447476	0.007412731049647329	0.017132695521987998	0.3165137739678494	0.006442553970710996	0.29538784707256066	0.0038079266073112834	0.004016015120150081	0.003878425709025102	0.2578228460020804	0.004177248471406003	0.003660776480021597	0.002535713876226092	0.009577855602173684	0.006433898931824158	0.00734532768723062	0.0025411610397098943	0.009995910598427322	0.5486125896342863	2.8646623041597336e-07
Mixture04	3.197283575805762e-14	0.0026272763088323295	0.00026435607276470316	0.001975981660180662	0.028532158468760525	0.0030150797738272206	0.003321167747209214	8.235773376836788e-21	3.6970999728139886e-22	1.4327194710623696e-10	0.00227735575648929	0.0016650777191019967	0.10497675124111135	0.10591694614084084	0.0007449864976565692	0.0001632050267418761	0.004024241723138802	4.946846791260301e-24	2.4568760808139493e-27	4.377460516175753e-19	6.760044115182457e-23	1.435140783847878e-20	3.728709812433123e-28	1.7239907507770693e-22	0.0014226948072439069	0.14996167095713198	1.1976967392738344e-22	0.0038111371475501327	5.628477162674146e-21	0.0017894999058628482	2.1952535009297234e-22	0.0025203601081517975	0.0006476924971785027	5.186631996949149e-23	0.0025415704547378983	0.008332891959732844	0.00855188081372773	0.006724983647169708	0.03419311876787004	0.025786682768700123	0.006225484498420374	0.005765705715016414	0.011164563972514498	0.003549319746738322	0.008689650712403614	0.0069057145223926876	0.12204815426015864	0.24365309388583944	0.008353201685007174	0.0034393789556769728	0.05479428460152663	0.007656979461168037	0.004851521345210522	0.009982532712168549	0.006724796507861175	0.0014681121402527735	0.000448745958781278	0.0035847780840860873	0.01013944794811999	0.16321049122651593	0.003695256542279436	0.013638451164319972	0.0031759396394110584	0.005874272329038917	0.009367700133000144	0.028723733451237035	0.02375061479956979	0.1087938268214761	0.006166014489821012	0.014223878048754626	0.019441174749468982	0.013867430470660455	0.04224972683211116	0.0969093104672546	0.011719200613180018	0.016345903479919474	0.17005574606001306	0.007773299928223769	0.017236015325331807	0.013426366919469508	0.14919235227609243	0.40909769382394234	0.019232969692336743	0.010154294201299116	0.14589489985309745	0.05550375063742799	0.010408970829653828	0.050769342815373125	0.04411438963846122	0.004026012345017651	0.001965141136136332	0.015139845080250935	0.029995975749490495	0.17609783525828385	0.009208975289613074	0.03468823175380026	0.009673384860328371	0.00969260312436861	0.05953443609975044	0.16299494886495713	0.15197828692660545	0.2503580393588421
Mixture05	5.544006404555689e-24	0.0009768216939138935	6.417609291365413e-14	3.435390350345799e-20	0.001036558688635191	0.0014598214806835275	0.002048665791163328	7.248769991736013e-10	2.564181181261807e-25	0.0015569233700321752	0.0011081059923808449	2.7323179843997683e-26	4.981488952094476e-25	0.07692731812273294	0.0011886501225730377	7.288737952267256e-05	0.0023553800659950924	0.2191510749856901	5.897143995886838e-25	0.13111060346270417	7.380495395455804e-26	8.573030752289879e-19	3.2518749033045145e-22	3.2673550257419596e-05	0.0017664935983258449	0.00023224948604006978	1.1502399171375748e-31	0.0012511012654581421	4.66754460933045e-26	0.0001924771003797034	1.2124702882293084e-23	0.0023266573272314895	0.0009438102201023691	3.2563027663751874e-22	0.0016492323235422401	0.005651543456918908	0.011185262703606319	0.002462114584187675	0.0036982447603607126	0.008175271445221637	0.005715715946064234	0.007809384894331445	0.003025595191365986	0.00609823598573594	0.006751028959231939	0.002767500221836401	0.0014733362161809872	0.28204882438405277	0.008354266358188972	0.006927605851364538	0.021661633378735345	0.2606563957535736	0.0031053663519334945	0.18219689659937488	0.00275588958344526	0.002555653437548364	0.003563591359228666	0.01564704593746996	0.006139665284916805	0.0036995483654860906	0.0007521891563331436	0.006381183805008572	0.00269609956610426	0.003994351906654833	0.00508607478491143	0.0162139106948827	0.04137926662652038	0.05402382936532082	0.005007549486272687	0.013061195523222203	0.039101268428414715	0.006377479118437328	0.009040657158214824	0.015291048460807812	0.011071753076714463	0.018198736153305445	0.010590271496951237	0.013454274201380253	0.013677015142374856	0.006109580565686291	0.005941945358294076	0.4917628271673736	0.014645230275356937	0.012134973365577596	0.17387115271004688	0.32914278944035275	0.014953866518459752	0.24179269239839668	0.008533176884247425	0.008052255010173332	0.011416962918922227	0.106424618629852	0.012005279953267903	0.008191710871522144	0.0042110805216527955	0.013195780881439361	0.008909935779651488	0.008341737217959517	0.04541168499414671	0.05640256225161273	0.24721648394945317	0.1905152383677468
Mixture06	9.421363828732887e-32	0.002249763964407838	5.979608737197904e-22	0.0013536987007860932	0.03712896077041611	0.003606748238998213	0.003300901517915555	8.308985160923182e-25	0.07193008143737598	0.0024618562841443054	0.0004976166447775513	1.6041555657725843e-05	0.10834714813736954	0.24615151671875968	0.00029211143478542854	3.368801341593853e-11	0.002797641834297044	2.0431354934712734e-25	1.4995879022116637e-29	4.2878102229802466e-24	7.836582064114292e-28	0.00019849992745236687	1.909743567180395e-26	1.6880438827729857e-15	3.403705816368548e-14	0.05783195148795985	2.869449989890186e-25	0.004183936691063776	1.3368623338977824e-30	4.527228109104383e-22	4.880735111721434e-29	0.0023751010867755613	0.001579233675833599	1.3875113938268568e-30	0.0009999220636926602	0.009484945046994753	0.007049073224791789	0.005735476792982907	0.04234744741452811	0.017141000865722327	0.007169919610874057	0.009168890073329545	0.12217670470757178	0.00965106799992484	0.005373139964740571	0.005611934158373572	0.12298474216139117	0.3782730599421833	0.006460943481346067	0.0037363555862940166	0.034288198103806636	0.003510883637819321	0.0019424036483111369	0.00567364864772358	0.002737588042056328	0.00416490433520024	0.004830301129881534	0.0070303976820256945	0.005123695500003833	0.06536314839119876	0.0015315976186964406	0.014119740378278274	0.0018637596746353062	0.002546352885192934	0.0005646657681098475	0.021489950527693244	0.024642458238972723	0.002864235281124629	0.0032077247912448313	0.022406159598554784	0.018122578066780606	0.011524428172780779	0.04879830004534267	0.04694586259296262	0.011357381545062476	0.04618156924796692	0.19010618484452452	0.017536793614916904	0.00985073599114623	0.012826285015374245	0.14198386135085433	0.49980348887289255	0.015876433325435816	0.01102834884278869	0.14625123428134007	0.009715615856781105	0.011451302810609524	0.030827791849574446	0.012073167817088972	0.008695024477937848	0.013851305985665169	0.022081424767305628	0.013687734832227624	0.07287564957356871	0.007395366489342314	0.036693415477733304	0.0061428131254574435	0.005677483262477167	0.002486320363199664	0.12825042908158438	0.15163756226114436	0.03792498335669643
Mixture07	1.1277977924011782e-23	1.840559091193299e-05	7.491971938907978e-29	1.6598319809884762e-21	0.06569767527075526	4.289044186167238e-12	0.0008241934887273381	2.3752456279655546e-21	4.741948394711199e-28	5.080627679740249e-16	7.446425018160696e-14	3.912887548711992e-24	3.917315544359904e-28	0.03811256263440742	2.3640189987727223e-20	6.639182189593176e-29	1.7704853722480183e-22	0.08878514849938401	4.572743848205928e-29	0.026717709893229573	3.6548388729710255e-32	2.427713432902449e-28	1.843798060722719e-27	3.701957869481255e-25	1.0981125600873892e-25	0.07317585694143021	1.7874885617193305e-28	1.0412062769429489e-07	1.1108502230815434e-27	2.9695383951749797e-22	3.978250063847534e-29	3.042565477323808e-21	0.004136009622454311	1.6649048273300466e-29	0.0016099886613185563	0.0051036305779230805	0.002439109597314564	0.0033746925866819225	0.07402054575343998	0.01619095781796365	0.0050433954733726276	0.002234495558851998	0.00041003311877488085	0.004203151168167304	0.0074947534090671055	0.002878917119730898	0.0006138129377112573	0.25491790272459236	0.004482288421518124	0.0010739185193472827	0.006229148757216869	0.24768389036337551	0.0004901462940615142	0.1313472079885184	0.0002407542909537605	0.0007665729453378942	0.0018477299275604056	0.0067235853719733625	0.003684675107215697	0.08120315624513966	0.0011602020382895828	0.010359599960917888	0.0014624938799123724	0.0031115281506304176	8.625649715903765e-05	0.0043526095214566915	0.03913250742502338	5.796036041953033e-06	0.005280421617474414	0.01213505042605729	0.01107640413761418	0.011196686607952448	0.08815024854366994	0.097948477580615	0.01068741220013686	0.011836730597012764	0.0034683877319871418	0.01151838406864851	0.016202845532276373	0.011246561033790724	0.004704493033744954	0.35704965691579255	0.015001820340578856	0.006280471705698459	0.017689173675312052	0.2905228944420676	0.004779146316158704	0.17350382377517273	0.0019193467002519115	0.004291865736763144	0.004352751291394171	0.055168801470924525	0.020323886968748373	0.09142682932067187	0.0056788902336562565	0.029392147959314448	0.006653387738508078	0.009613635407604041	0.00117195285331008	0.014990718274265893	0.25117924670240727	7.076493500375751e-15
Mixture08	1.970281906659508e-28	7.570102042352699e-14	2.0083164279707987e-26	9.057839373400244e-21	2.2586230137739413e-19	8.031550860688845e-23	3.914028148362055e-24	1.10206779695007e-22	1.3773510651967259e-27	2.1646059494821894e-19	3.2346206235744292e-18	1.3078686118441483e-25	0.08055868862563444	0.07193888036938649	3.327366660113244e-21	2.5299185082760928e-26	4.743146388986991e-24	5.612631334458859e-17	2.1630351144137508e-26	0.003476878172636057	1.5542837393263885e-25	1.0118345677958607e-26	8.681888795683703e-28	3.728005362394429e-25	9.794378685810397e-27	6.270539004877001e-27	9.938733174710771e-30	3.0760885068804965e-16	5.53201210804291e-26	1.9911515528351233e-25	8.413758834994498e-28	2.3394703095025035e-19	1.0898591258282626e-22	3.977480591096206e-28	0.0008752786863224946	0.005328536987509454	0.002126834301324781	0.0029874087260384737	0.0020579356261473726	0.003468751498181347	0.0028236168052935577	0.004426010881976711	0.0008225263995147223	0.004328121173551449	0.004642993087685138	0.0019224999723748927	0.1407170465605825	0.42734873843213533	0.0034491418831971367	0.001726280881090554	0.019925112927837017	0.14566707136654206	0.000862628048139264	0.16372275403887998	0.0010377534387128525	0.0006353784188266576	0.0019453713580486376	0.004438484663914407	0.001954020264766632	0.001301660784975433	0.0002466328193671187	0.005482408026075242	0.0009816647095704381	0.0018873451532784558	0.001016605943569909	0.012248421408769116	0.02427273986045886	0.0012642892391945939	0.0038585435807336034	0.017789929658217258	0.012523637557165557	0.008435503610931478	0.007308516570483412	0.010877445540413797	0.007986495014198026	0.016358605294386087	0.006151890625880215	0.010006474906283518	0.01255914534369057	0.006604463330606142	0.15618823161995055	0.4797796402521783	0.012638063118060767	0.006175336743792525	0.1349171236017249	0.2984425424097721	0.008143706870163928	0.29439435140444953	0.010002646223702488	0.004017474536196862	0.006833890633672633	0.015979720238773254	0.011129513797695022	0.0051857864633757375	0.0030263703294777563	0.015675396920664712	0.00530491288739919	0.006908888981045588	0.005801042159350373	0.05364582625959462	0.29175431151414294	0.015978071663992732
Mixture09	7.647676038434863e-31	0.0004711473025812868	0.004065323527403158	5.70793052252197e-30	2.4296702235550638e-23	1.0941619703064317e-20	0.0024533370812201143	9.597834025020389e-28	1.2579481482442282e-28	0.0003206562829128523	7.71911827351609e-19	3.1551421911959725e-20	1.5711532748550512e-14	9.000880848232707e-30	0.0010722487696471043	1.4686579283100844e-06	0.0013525359497804168	3.4481296072916615e-23	1.7395102931746657e-26	2.65281657327882e-21	1.837906535298258e-32	3.1268695940093404e-24	8.508360829530013e-21	1.0251764803322159e-19	0.0009291141980287965	1.9107043654228745e-21	7.682438837210132e-30	1.112180501022797e-29	2.0273949913126983e-19	0.0013358879079179323	1.0941563393221105e-25	0.0023438310100454534	1.5641491879242608e-19	0.3416954726003483	0.0007381151548329712	0.004756076609661575	0.036431936821876565	0.0010159996858616531	0.0021546767368875	0.0041961474097163	0.005815905857977905	0.0028402977820023156	0.0013049085916518894	0.0047989279215228	0.0034172666888108616	0.004946938895698972	0.004502537403128284	0.010263373571749829	0.004883004644159205	0.0075829462391227885	0.005150435526887554	0.008864278140360145	0.011203473384013667	0.011984358643612221	0.016404755532539325	0.001946952952152027	0.0018090035651678951	0.008620847754072508	0.00884196095060744	0.004045784537021493	0.0012666060641702175	0.0021603432795474237	0.0034043277703786935	0.006044282523496084	0.05826395369125636	0.006760902556510556	0.0033094917147818924	0.7381145046618756	0.002963340036820356	0.0109111320498393	0.4368416164751173	0.0031930913263979897	0.0057725173050897595	0.013370768606123108	0.010321763150446467	0.009790481874603178	0.004910830823655944	0.010068250441666135	0.008039479066186997	0.026921667302106343	0.010403340711811123	0.007631533649466516	0.011026331300235047	0.0074618373710983645	0.007794785737286579	0.009515946281216754	0.011712012235670729	0.05759322087688406	0.28607090648232664	0.004695007364991356	0.006007342328989679	0.013067093701711273	0.016516961728123288	0.010568601876178913	0.0035735629144749734	0.009789789650786862	0.007511725534874064	0.010072484567976494	0.4417534891825599	0.013626250978994203	0.00853323122434191	0.897792645167432
Mixture10	9.821824814697565e-28	0.0024235118896301995	8.423905509918383e-22	3.327724438861405e-25	0.0007754132883796684	1.1087859238471616e-13	0.00023882819559461568	4.434464118798632e-21	5.28523492703829e-27	0.0020670228980098227	2.692826469697428e-17	1.9950614128198505e-24	0.19447380547273868	0.2534940426334487	1.3550864106885905e-09	2.1189598502892503e-22	0.0007629671896963639	2.8450361949821733e-27	3.817180879999576e-26	1.4373766405971689e-18	1.9878652419759769e-29	2.9932361578101905e-27	1.4216968429811307e-27	5.919970189637571e-23	5.8969550913479484e-21	5.951600647814792e-13	4.128716691120764e-32	0.0003260104171324923	6.263778904251499e-22	6.550580967782265e-22	7.04033074381016e-27	0.0014475711548356403	3.145614432427239e-32	1.2088529072787034e-28	0.0010252937215511693	0.008757162826412949	0.006024342660377575	0.002975372837229078	0.003369892834063867	0.004585417046786214	0.005864859242541938	0.0046080406115169914	0.001177204699420293	0.005135592366839339	0.004479719486790929	0.0023904470461915857	0.24230509485829166	0.5654802297005577	0.007908386943894473	0.00279598897651641	0.0320924231069624	0.0018308367588006837	0.003816248058413695	0.007184040282958476	0.0011266612738571008	0.0003783518760916191	0.0007225318812106645	0.0016988999261847197	0.0034214238202083438	0.004263759177751313	0.0006653770277919208	0.005549664634567004	0.0024894410131988966	0.0036213548308778503	0.0035095370307822375	0.019238182034169295	0.029353662355088902	0.006784666218038844	0.004698560258629671	0.016883223457096624	0.017670509257999466	0.00829335480224727	0.008165575093869929	0.010673123250466548	0.01106040899394449	0.014592585218415836	0.006928417328169713	0.009247907339491742	0.008651799564403307	0.008440010998888579	0.26439064517636945	0.6588713089039564	0.02183916746258256	0.010201829373262632	0.19966537684622865	0.007811095493161591	0.015636243909334973	0.02833929480365841	0.005058493658420996	0.002526506149976079	0.0029487239827477203	0.007866521242974869	0.010744809598412175	0.009526123473965368	0.004239837259702982	0.013446175997690983	0.00916998711782611	0.007955875823506726	0.011861073355385922	0.11056525744342356	0.33291539301079587	0.039076127901274765
