location	A.23.1	AV.1	AY.4.2	B.1.1.318	B.1.1.7	B.1.351	B.1.525	B.1.617.1	B.1.617.2	B.1.617.3	B.1.621	B.1.623	BA.1	BA.2	BA.2.75	BA.2.86	BA.3	BA.4	BA.4.6	BA.5	BQ.1	C.36.3	C.37	CH.1.1	EG.5.1	P.1	P.2	P.3	XBB	XBB.1.16	XBB.1.5	XD	XE	undetermined	A.23.1_Lower	AV.1_Lower	AY.4.2_Lower	B.1.1.318_Lower	B.1.1.7_Lower	B.1.351_Lower	B.1.525_Lower	B.1.617.1_Lower	B.1.617.2_Lower	B.1.617.3_Lower	B.1.621_Lower	B.1.623_Lower	BA.1_Lower	BA.2_Lower	BA.2.75_Lower	BA.2.86_Lower	BA.3_Lower	BA.4_Lower	BA.4.6_Lower	BA.5_Lower	BQ.1_Lower	C.36.3_Lower	C.37_Lower	CH.1.1_Lower	EG.5.1_Lower	P.1_Lower	P.2_Lower	P.3_Lower	XBB_Lower	XBB.1.16_Lower	XBB.1.5_Lower	XD_Lower	XE_Lower	undetermined_Lower	A.23.1_Upper	AV.1_Upper	AY.4.2_Upper	B.1.1.318_Upper	B.1.1.7_Upper	B.1.351_Upper	B.1.525_Upper	B.1.617.1_Upper	B.1.617.2_Upper	B.1.617.3_Upper	B.1.621_Upper	B.1.623_Upper	BA.1_Upper	BA.2_Upper	BA.2.75_Upper	BA.2.86_Upper	BA.3_Upper	BA.4_Upper	BA.4.6_Upper	BA.5_Upper	BQ.1_Upper	C.36.3_Upper	C.37_Upper	CH.1.1_Upper	EG.5.1_Upper	P.1_Upper	P.2_Upper	P.3_Upper	XBB_Upper	XBB.1.16_Upper	XBB.1.5_Upper	XD_Upper	XE_Upper	undetermined_Upper
Mixture01	0.0017574341832797187	0.014549826234308354	0.005763878503273489	0.010004894121175126	0.028346870219008804	0.018854060882077268	0.007472183814783107	0.006209020398351525	0.03762841368364851	0.008028943445779958	0.007490670702398498	0.006905075518271423	0.033340896334242	0.26942326021882107	0.006436045331603309	0.0041694167759740615	0.028335914298979477	0.15848151089699755	0.003628542870056739	0.09867750132661376	0.0017466700659603256	0.003538083759090449	0.0018862161374734734	0.009577902154677772	0.005449402132729382	0.05070614151885274	0.003005961113886651	0.009778223362205294	0.00231212726149098	0.004115580914398383	0.0037482452102363113	0.02324477712683961	0.06899254572382718	0.02804689353967888	1.32540759548168e-26	0.005154512036239925	1.0886950253749172e-24	0.003117852017145167	0.0214649319853148	0.0035366247969053203	0.002913602133655853	1.353054056406695e-23	0.009963552609968281	3.6677060507310605e-12	0.001348374764117523	0.0001369850886364012	2.0693700442678384e-12	5.2046203307129095e-06	0.0014626581094826182	3.0164020439934043e-18	8.461259866875427e-13	5.383360974862404e-31	2.5686846416774874e-24	3.689081344511354e-20	1.9351769322881494e-27	6.098189019002604e-22	2.6198578798155497e-29	3.8202278398360984e-22	1.4289951479308984e-23	0.04143681700828049	1.1722374988191911e-23	0.0028142194788214154	3.009226638447441e-27	5.034241350944497e-18	3.9284710372996366e-25	0.0020240380120683564	2.2760158792891198e-15	5.620915995631782e-27	0.004868296256938361	0.05419777205373995	0.01325236527190083	0.02127459621456443	0.037939185297612005	0.056761433941343906	0.013219011291934894	0.021969490191247918	0.08294543861580103	0.019145193996249237	0.014911932418159472	0.021757730023078556	0.0501273587249651	0.3607026842551174	0.01340809611828249	0.01167397907017009	0.18853770039639925	0.25878977173291107	0.014799564900072872	0.15269868835763906	0.008975155665507425	0.010841718491834953	0.007280960275080282	0.04863449522754598	0.01843617073350063	0.05827808793934491	0.010420451756752014	0.020266896830101123	0.012257161159741308	0.007708792133717149	0.032807037160141224	0.11201523678005695	0.35824934076068266	0.21720220187195058
Mixture02	0.0037047279269576978	0.01340425531994089	0.01855079493258289	0.0077620499581858024	0.11553919122349388	0.028524077410275638	0.00909674218785136	0.008690754866894615	0.10048872320217353	0.010737262263730188	0.006049574778489803	0.006099445575447348	0.0808871774759398	0.011755828488962665	0.00996310511512192	0.007170507922170043	0.01789704432773878	0.005167187660602205	0.008833165841016274	0.00860143181253687	0.00830749957493463	0.003007023185218134	0.017739374039422707	0.012981130163639198	0.008748529539526595	0.05310377738549046	0.004042724774644626	0.008873536547323422	0.002288356364461366	0.005953164562906047	0.02440341463980951	0.02430795081335389	0.0030649232966743823	0.22871635559898898	0.00024709789614975385	0.004470863044523201	0.005408950390196605	0.003221336920572428	0.09348166250463132	0.007203042863062554	0.004213122772354564	1.2057398637321487e-24	0.07790762655638256	0.0023219494326836235	0.0017225862827473966	0.0023606289944264618	0.061092923231944075	1.8562084222630375e-27	0.003842537780300856	0.0004571103753322474	0.0023688437952877114	2.3322972524831172e-24	0.0008673592269040252	1.7282187638754049e-16	3.94459413693821e-25	0.0003480174176078161	5.223919058942913e-15	0.0015087811543515108	0.002290531628282734	0.04413665684907821	0.000514495214032002	0.0033335495994052185	5.253866733866741e-17	0.002057569449952915	0.0015554718867968745	0.0029151483010159997	4.269148712737868e-28	8.524633353628075e-05	0.006830520159888303	0.03102136631025486	0.1453332907466102	0.014132814795513185	0.13423236739984445	0.08319648341133258	0.018475551634656858	0.056029057153054965	0.142749758515071	0.025241145411862106	0.013243787901251964	0.01678722251436826	0.09870431736172294	0.086428281095223	0.018172912391125756	0.011915472795069689	0.07326711834043342	0.00922802000430314	0.01925497804985231	0.03238918904189588	0.10344173584882868	0.0060161268786816414	0.2737402539137011	0.06123604662183332	0.014287076311059473	0.061436731708348014	0.008704601632934952	0.019042703226568293	0.005215980210195732	0.008844742646752715	0.15612775809930698	0.08215785576754943	0.009992985647253025	0.355787130426307
Mixture03	0.000492373976346795	0.006757696243819683	0.002352712152002971	0.0018369089095607639	0.002366256765693174	0.0038777308906913976	0.002461246717237465	0.002240091463542357	0.0009523709416765786	0.0047114399467068566	0.002390980985574949	0.0012887662882527648	0.0004707112430072829	0.44480510957031705	0.003342689997136031	0.0014531894351464997	0.008747912267603176	0.2379921706550758	0.000924783591807812	0.18667616959845096	0.00033400463182069385	0.0005125116975457925	0.004486054310597754	0.008060034242133281	0.0025551349463991562	0.0010787531128277847	0.0002028864295951827	0.005128897629500147	0.0016966152429091887	0.002204473428697715	0.00014425398537491735	0.00708189036912397	0.04673483857860031	0.0012720829895305637	2.649371285821479e-28	0.0015530582619883572	1.260188476623865e-23	2.9184156108609214e-21	5.149339122741824e-16	1.0109608622917761e-19	7.970513426660539e-22	1.0583157397802927e-24	7.399907054874533e-24	0.0008353776560856566	3.3770053897698617e-22	2.2849997410642253e-25	4.4851610409000757e-29	3.163970353782889e-17	7.820086580351984e-17	1.1799851117219878e-28	1.5354869069245188e-23	3.947342283018557e-07	9.908224838055864e-27	0.01574367304229258	8.55988022355623e-26	3.236945930949402e-27	1.916092534686772e-25	3.121477852294244e-23	4.2833497922148896e-23	1.6702124814644172e-28	9.589445627722125e-29	4.600324849859898e-17	6.108659498686694e-23	1.255166319971064e-23	2.0587171753492897e-26	7.415538854155862e-17	0.002059284220016106	5.51669318515051e-27	0.002791020569756403	0.018068497514836742	0.01924324327409491	0.006830942468994886	0.00642061760418095	0.01013793882167018	0.007487812740722181	0.010073233385505828	0.0057314947379498915	0.009411803933650197	0.009177782709025964	0.007174227884571477	0.003316154392979064	0.5727566521019778	0.012122503313004261	0.008081389564819573	0.09211721777735564	0.30002673618777703	0.011882303916306555	0.2922023512419804	0.0045837389166007245	0.0035885518842528755	0.04105842973213504	0.017254621881675373	0.009739479742933304	0.005515540947528626	0.002266360387642581	0.015194869593933239	0.006774448809457181	0.0069468710373708645	0.0021313169642865784	0.02078761438974415	0.5232439077249834	0.005990593201075533
Mixture04	0.0015851439158088944	0.010382902040143097	0.01568829193193373	0.0044099417893896185	0.027144691892055803	0.04318810351147898	0.007432613010494466	0.003953936826241391	0.008508944443986382	0.004097250278312051	0.007495315355331921	0.006613005478064199	0.12909714317841714	0.26035474439360184	0.00767766088595699	0.004291741359436254	0.05064615989647537	0.0024230444388592177	0.0032656155949605343	0.010278287675822754	0.0015804516655515582	0.0011276130162972931	0.001223853686290165	0.004907438005007849	0.007695115399966512	0.15878480621051472	0.0035427779495698793	0.008442458555229675	0.0038680481237627433	0.004200580477425484	0.00880665080253693	0.029449623086681455	0.0117256917414668	0.11896566149087243	1.9845831694436738e-28	0.003477094919599067	6.7174445551584984e-15	1.1257527671152804e-11	0.020001324170891614	0.007947291492806043	0.003112859226376469	1.3502965007730467e-21	5.226131099295193e-24	0.00020156081259664572	9.467126448615283e-12	0.002252740559149675	0.08513646762671151	0.2267476544929386	0.0011645768280842445	2.0530096140237124e-05	0.004100409731944234	5.222883500059776e-26	7.588638907319276e-22	3.619927868178705e-18	4.690817695259182e-25	9.626472679332197e-22	1.820935364898457e-24	3.25339620713856e-23	1.6394709563817273e-12	0.14446531631967677	8.90250768448173e-08	0.0029507805292460997	5.916674335671443e-17	3.10197092362839e-07	6.147075132391085e-23	0.0015808619532900782	4.0027230833894576e-25	3.465742145047937e-22	0.004734905688922135	0.02471261288929811	0.09883582959851313	0.011527846362496062	0.042347285044056965	0.11526000454293035	0.013226203305481587	0.01676504003809535	0.07561065440404513	0.010083617776278633	0.01764353199774286	0.012977184775069383	0.1462543959149239	0.46456114347173966	0.014657360577739276	0.01214942315045622	0.21975587311747619	0.007150452089366812	0.010264598085549564	0.05854244817341731	0.0028155653083522417	0.003236628854454643	0.005735497564931841	0.010250463521534	0.024210698846019285	0.18064001465795296	0.009154389591073534	0.014658296922634897	0.0095183281127451	0.006569897507937172	0.08388424217564884	0.19430561457363948	0.0617241211094678	0.2777190599867628
Mixture05	0.0020336311853099576	0.007211452629858414	0.0124781009761319	0.004257252195412323	0.0031140362693294864	0.006217322467779938	0.005469665830658682	0.003972916263985714	0.003517733346254764	0.0046132581384884744	0.00479394474947532	0.004093844170901833	0.002186837488787494	0.24822103024600925	0.006563314768680792	0.007985033962796319	0.026728217550895515	0.2124908010614557	0.0033157554283277523	0.16107795536857947	0.006987930026873056	0.002197463113621898	0.007700253354653992	0.009727991902857093	0.010137649845746333	0.003906679112715964	0.0018780094799019267	0.008420393821084357	0.003744901361458512	0.004905512773420206	0.010992773652500547	0.019878873316089975	0.08268065208535637	0.09338477578527117	9.555504026719303e-23	0.002254485123226348	5.488437948852515e-15	1.7073074819929229e-16	0.0012992104303545706	0.0004912912430080287	0.0008677787172223151	2.537337812695508e-26	9.764649426961368e-28	0.0011240760721955615	4.2157585369954753e-11	5.127246433640845e-25	1.0355929376866323e-29	3.9177652572574467e-20	0.0013566577227075187	1.869325622103212e-10	0.002701822169954983	1.0171414715438138e-19	1.89411365444963e-24	1.2368603875543901e-11	6.454970425869678e-27	7.344209035714995e-05	5.399037414518246e-22	0.0012927654498872919	0.00021766360232209999	0.000298624388575385	4.107683314922395e-28	0.0016600195572586815	1.8677390846971395e-20	0.0007585895361570006	4.314314678476312e-22	0.004045607843165364	0.00015162099668109412	7.50919673573284e-24	0.005655265522234766	0.01573295330331512	0.03934829896632636	0.008614296162806501	0.005860052210109376	0.012495629858382921	0.009735312244846186	0.011184761252894585	0.023646865253973227	0.009546384840010877	0.010966620375202688	0.010519093807425169	0.007781951750645468	0.5181893903511259	0.01415240071636445	0.010990037151507051	0.2984388209079895	0.2949809156374847	0.011797658133620041	0.22756520103425915	0.09334497599360166	0.0046726879905710185	0.03801661897682429	0.020151053911369468	0.021216915390150363	0.007591887779352645	0.007176504739230822	0.013609056395825141	0.008481312802562686	0.008093032230495048	0.12555105166975708	0.0845166351303433	0.3988843324225699	0.438442411156348
Mixture06	0.0021907514309392417	0.012128645805905034	0.008424188136641073	0.007871990199189941	0.03488660538434666	0.027035295674735935	0.008090868203503776	0.006170567863771946	0.11748878536679898	0.010387000505290588	0.007123786655278786	0.005514160700982307	0.13541034394319365	0.34751615027666977	0.00859656093177989	0.0035611025091525595	0.03521622304105392	0.0031813749413787708	0.0028489879160711173	0.009976657502055371	0.0017250066992619054	0.0039280850781285934	0.003188083169355671	0.01350677314850594	0.005889571763356088	0.06634721483776848	0.0026147161660903693	0.007068492370244014	0.001953422645284587	0.0041588351483245	0.0019153673195205076	0.01784640898164728	0.031052676566881317	0.010298693732544719	5.5572239218306765e-18	0.0031521239289908232	2.080392207756729e-21	0.0013781537139393777	0.027845082653311096	0.0059919972082542	0.002690038889292144	6.753114706464713e-24	0.09878760250252798	0.004018240430894426	0.0006808770319159315	9.26107915707075e-16	0.11927725527509846	0.09342199517528732	0.002178486242593805	1.3093573316974607e-17	1.9177921357607822e-17	1.1871876553878712e-23	9.179675461691455e-27	5.4148216822426994e-24	2.7422840518867307e-27	5.69364779774137e-14	1.3164229856382264e-20	3.968783944615607e-15	5.0877021062573304e-20	0.05681903410409115	1.7945570931995705e-20	0.001673295502217059	4.047828146773522e-22	8.076085303982548e-20	9.171905026285295e-26	0.002339340691958484	1.100457627108645e-21	1.0809783251171665e-25	0.0051759179220986435	0.033517705284014154	0.018522152425435694	0.020891668238835103	0.04374053741191625	0.06041764398865324	0.013583583212086829	0.02858994463436142	0.13209454133645837	0.018422974812537126	0.016993764050424378	0.013927417351386168	0.16015420289506818	0.4053890457006417	0.01748825730132798	0.008220689438858004	0.14099327414364146	0.010097226295009296	0.01031802260369963	0.03695187367432972	0.008551621596834275	0.009254881526885129	0.01906134933539521	0.11920698896846543	0.013245534587341151	0.07643423475327034	0.007419224514241683	0.023870490721537307	0.005302985176099003	0.007572766216201959	0.009277913619434964	0.07864567550679444	0.2832193598108468	0.08179731395736883
Mixture07	0.0020693288539639487	0.008716898751566187	0.00634343613181666	0.00581227901513191	0.06923224886929741	0.028173665710994854	0.0057080552231991155	0.0028840134304214	0.0020254117195455494	0.005169161242407628	0.00610432836231383	0.004530402857471496	0.0009742962045500321	0.24434952621452588	0.0056716588156584865	0.002485569089471725	0.0113633844480661	0.22040640837965605	0.0012857181340554633	0.12130964384717022	0.0005201909106921385	0.0007514902539477365	0.0007038240016576752	0.00543125579737934	0.0056644887702816775	0.07214113026444643	0.00541810894983439	0.007650773266856784	0.0016701203622710473	0.0029238333787231546	0.0021009355937559797	0.012264749275859734	0.04758230133071959	0.011329113672992958	1.6328933722928308e-21	0.003256081480391486	7.212953092114646e-27	2.1050910419524278e-10	0.05789817940020269	0.00014631192100919576	0.0013456645658032253	2.0974217954863198e-19	3.70539665864467e-24	0.0008998216848294536	1.7660008766829174e-23	2.7459380028024e-20	1.4219151260032937e-25	2.3716313359044413e-16	6.010356234327412e-16	5.314723705188653e-26	5.888136508204376e-22	1.7281352134881385e-21	1.42272686819555e-31	2.1573890849551452e-20	2.7905966481696975e-30	7.457266228602673e-31	6.552540871548852e-28	1.5466223754362808e-21	1.7224521138314617e-20	0.06261288597933833	2.9644746120401416e-27	0.00030773688391463655	1.6178913078361802e-22	8.309296561172542e-22	3.951271290221468e-29	7.355679101125433e-08	0.0029901528088721696	3.493467035371144e-28	0.005814163408332793	0.019014890553175047	0.01341236425142447	0.02691642758768638	0.09183159195641924	0.11840499234078182	0.011346192623312674	0.009378596613989501	0.010990631301851376	0.01061046797186013	0.01857349024098416	0.014266188881194443	0.0053461703062946606	0.34420982762598307	0.014443525746645144	0.009595569181030671	0.02246112192585534	0.30148258174372117	0.01129289475930322	0.20048536217259288	0.004287044395748155	0.0033361036609782656	0.004257487337364733	0.014397408675299242	0.014262188330607595	0.08213063920274552	0.016624380574838567	0.01772462021805844	0.006258094992568603	0.0075389507662577075	0.005988387453162134	0.027525128960146014	0.3405206003202986	0.1387598591095887
Mixture08	0.0013849880348351246	0.011125900333390459	0.004153818023793395	0.004805523021850283	0.003056365525497784	0.004339847448297846	0.004689033399403873	0.0030596952304137136	0.0020437587208985745	0.005097371755156083	0.0032238442743529046	0.0031664652911581174	0.1334678426691259	0.4537821509927306	0.0049447986944821005	0.0032626794137923343	0.0391927155208311	0.10900503502354937	0.0012025870944767257	0.119578827815469	0.001723963048986184	0.0008818026641274863	0.0050663431525191675	0.008284725340269465	0.00505100948595275	0.003154140254155691	0.0010075871238736421	0.004417354526256197	0.0012809320692350147	0.0034752925583211615	0.001257095263552065	0.015985248819127128	0.021537483780134203	0.009237408104486734	9.698313663254901e-27	0.0006916606328092585	1.8666985883368093e-24	1.3797656215178755e-20	0.0006814194188026452	1.0217814495725472e-17	0.0002767872205111378	6.070970878931847e-24	1.0654834236834818e-26	0.0015855936072983051	5.264035057556174e-24	1.3720869945383493e-29	0.11001449248652884	4.6653712954120277e-05	4.2974145662638417e-11	8.841100240389317e-28	7.687238205123606e-22	3.345447798691773e-21	6.749498677497557e-28	5.5322108386880814e-27	1.712302140728817e-27	3.92161679656127e-27	1.1435422711934628e-29	1.2048253983742937e-20	4.045857223842413e-27	3.1255755008522527e-21	1.971064536398961e-32	6.22944308040446e-20	7.974557231668351e-32	1.0272262765563314e-22	2.5383981071984285e-27	0.0017947100788049655	1.0502664923216222e-24	6.827913277604258e-28	0.004819134279461297	0.024486715228000493	0.011782583039991891	0.016744247078640216	0.007350428744926716	0.011389353154826793	0.010139249387325903	0.008681464386264007	0.008377791444607256	0.012169547248912262	0.010754403793775456	0.009565012553779673	0.1535084657918991	0.7511875885127434	0.011477730662517062	0.010281154182393948	0.23241189180383684	0.22601722875602942	0.006621155650540668	0.31728277462560966	0.004775100290438751	0.004062039420810305	0.01948586925878213	0.03174434018566744	0.023113233891821208	0.010131392628939369	0.00757291635927581	0.016028299738483857	0.012443358905630034	0.008690810502264792	0.005256010956238829	0.03954134688614872	0.3506021013914585	0.1288222812074369
Mixture09	0.0016889232943201622	0.005274108493507631	0.03087323606109573	0.0019282825464804287	0.0024012491063237253	0.005377619601946022	0.005289875639912575	0.003817236466469645	0.0014379189426093572	0.0029499414355953603	0.0023178575413235376	0.002441203755038983	0.003764555690430777	0.0012838822939694127	0.007093161293001302	0.018885639389651234	0.006855014963674208	0.025234330602886993	0.018001844222021283	0.0052375631452619975	0.03629893650658321	0.0004925040199303444	0.00026735581393746847	0.010085427649496888	0.019287824751613687	0.0047463286981807426	0.0018475372014574178	0.004607056184892958	0.001414816399742539	0.005751114744177392	0.042062919111422105	0.0061169120111700705	0.0032662816347945405	0.7092002916807566	1.7207811750248992e-28	0.0015978703386958389	0.0018280376284079039	1.803846079127467e-24	0.0004669377631093616	1.5670193663588523e-14	0.001955532781745701	8.044272505001659e-23	3.161451598987696e-28	1.0191199741140693e-22	6.867670695342232e-25	8.10467115356661e-24	3.627139879745283e-05	1.6914078792352834e-28	0.002190514025144602	2.1942462118250663e-09	0.0007995712118880163	2.1913172862882987e-23	0.0007242728588134827	4.82551853382505e-24	4.897505368515251e-31	5.210508880742763e-22	1.1219226838441298e-29	6.387391268233982e-22	4.0806059825341767e-10	2.509500662493269e-07	4.7913073638639657e-29	4.038685087251276e-25	5.475370422821212e-25	0.0021865888399720127	4.1516816711539165e-30	0.0022320581085212006	2.0241195577510013e-17	0.281372008452881	0.003954090902752846	0.010794759857183303	0.44521150962138556	0.005517614014639936	0.004215090932648544	0.012073249380280145	0.008893156177800806	0.017190655131640097	0.007873412796236079	0.008855709917447833	0.008290126785474658	0.006549691224236764	0.008554495785814685	0.005337771675300775	0.014532746399978345	0.017000865686466252	0.01278225790432344	0.42770666382851535	0.22614278751909184	0.04416796015547414	0.44098636189756146	0.0016619684487320008	0.0015365316875507083	0.018774861025021707	0.020460958260760432	0.00896679580485988	0.006728452761459602	0.010714638171434874	0.0035746754516189	0.00905689549332648	0.44053809181048353	0.014893070569389964	0.006996683714132321	0.9077469185071404
Mixture10	0.0007303671028135345	0.008665125157043261	0.003169551901014135	0.00304967651024709	0.002582240604771094	0.0035988235747643755	0.003214321977225386	0.001400335270868135	0.001099561527330654	0.0037936642336852478	0.003054799428986321	0.0016097604714257708	0.24930858945882017	0.6175762232651196	0.004571417630218587	0.0025552083050596414	0.026117669018887936	0.001233917088170429	0.0018249811901108481	0.00276603822722432	0.000858670408745343	0.0002268158178349613	0.0002711557027418067	0.0005264665101443731	0.0032936132149463788	0.0023256279926375766	8.484090610032079e-05	0.0038935730849931453	0.0008973341979751742	0.001821170937162436	0.0007815002116903715	0.020837920807487174	0.01967679765896414	1.9137922312513157e-14	1.3660511479784897e-24	0.0012145188677696577	3.997175784702082e-23	8.881909183215645e-19	3.886513752360315e-10	3.289370879584185e-18	2.476312535309399e-15	1.1688891757662003e-24	7.473019943544895e-27	0.00010146808446723727	9.844915628154055e-18	7.223753194551613e-25	0.22552564847572518	0.15203155236840216	1.230477497960192e-10	1.8735110786499786e-27	6.941464375514672e-18	1.6091158133269086e-27	2.887739976552721e-26	7.883965343742092e-23	9.885894784073784e-26	5.361544856252868e-28	1.9871491024301627e-27	3.4955050506229865e-28	6.402186461068181e-21	3.8796380426521937e-22	1.0069247932256104e-29	4.1401102384692427e-19	6.383052345630878e-30	4.8910867532631664e-23	2.750745850675299e-25	0.0029295358515469515	1.932903388724805e-24	2.9078716495321968e-28	0.004013259862731177	0.01886100104618568	0.014467028549660699	0.008768727882445256	0.005739293057656871	0.01072372385259136	0.008063608698615145	0.007135895321326081	0.0071732599387196875	0.010160905790687548	0.010139524139732558	0.00555820221445117	0.2702619045688529	0.6579501419672024	0.010211003247283535	0.010460460572213809	0.20619189942385316	0.006880152108715564	0.012092478284167658	0.009106524109196271	0.008289782935645225	0.0021825208296106357	0.003466107014030194	0.005651650251861011	0.011403939725085828	0.006490542134033344	0.0012174740775507745	0.011238681559732823	0.003861415262575738	0.005697900786381148	0.005418330304953788	0.043472602617601316	0.14841942007512568	9.228014197055157e-14
