location	A.23.1	AV.1	AY.4.2	B.1.1.318	B.1.1.7	B.1.351	B.1.525	B.1.617.1	B.1.617.2	B.1.617.3	B.1.621	B.1.623	BA.1	BA.2	BA.2.75	BA.2.86	BA.3	BA.4	BA.4.6	BA.5	BQ.1	C.36.3	C.37	CH.1.1	EG.5.1	P.1	P.2	P.3	XBB	XBB.1.16	XBB.1.5	XD	XE	undetermined	A.23.1_Upper	AV.1_Upper	AY.4.2_Upper	B.1.1.318_Upper	B.1.1.7_Upper	B.1.351_Upper	B.1.525_Upper	B.1.617.1_Upper	B.1.617.2_Upper	B.1.617.3_Upper	B.1.621_Upper	B.1.623_Upper	BA.1_Upper	BA.2_Upper	BA.2.75_Upper	BA.2.86_Upper	BA.3_Upper	BA.4_Upper	BA.4.6_Upper	BA.5_Upper	BQ.1_Upper	C.36.3_Upper	C.37_Upper	CH.1.1_Upper	EG.5.1_Upper	P.1_Upper	P.2_Upper	P.3_Upper	XBB_Upper	XBB.1.16_Upper	XBB.1.5_Upper	XD_Upper	XE_Upper	undetermined_Upper	A.23.1_Lower	AV.1_Lower	AY.4.2_Lower	B.1.1.318_Lower	B.1.1.7_Lower	B.1.351_Lower	B.1.525_Lower	B.1.617.1_Lower	B.1.617.2_Lower	B.1.617.3_Lower	B.1.621_Lower	B.1.623_Lower	BA.1_Lower	BA.2_Lower	BA.2.75_Lower	BA.2.86_Lower	BA.3_Lower	BA.4_Lower	BA.4.6_Lower	BA.5_Lower	BQ.1_Lower	C.36.3_Lower	C.37_Lower	CH.1.1_Lower	EG.5.1_Lower	P.1_Lower	P.2_Lower	P.3_Lower	XBB_Lower	XBB.1.16_Lower	XBB.1.5_Lower	XD_Lower	XE_Lower	undetermined_Lower
Mixture01	0.0034530247611851434	0.00957955106838344	0.005793953073348384	0.00616728781045086	0.02584135347728216	0.018602042202927483	0.006822755826395098	0.010052347770164647	0.037642065746752856	0.009877085847494001	0.007272413984024478	0.006008151201928151	0.03220549112886083	0.3430071637409698	0.0035849135613499504	0.004943820983534166	0.016834186417560917	0.20175710152331866	0.0011665697487956161	0.08793567492899329	0.0017432347000188753	0.0033655594558480366	0.001124019632224344	0.0060766141654768615	0.002374354212212061	0.04277982614193384	0.000977611753269622	0.011185483430012286	0.002824383680153243	0.004325214923483234	0.0005224715747019976	0.020026404557160295	0.03685569435119839	0.0014308191413048516	0.0068158149985889415	0.025340139942514252	0.013955579189763876	0.011839288063155639	0.03179499717498256	0.04970477726996134	0.011257562417407533	0.029281470882658565	0.05207758613207589	0.021693821462926942	0.01530886820659615	0.01566962837990127	0.04609290297610694	0.4046479130374238	0.011115546479201046	0.01391637988939995	0.06556655918855155	0.24834995365378582	0.009096793152924759	0.13754168002803185	0.015160218476503175	0.007521893997935884	0.005620652764853598	0.014345026796337038	0.010822834016664193	0.048701238788316156	0.005237841000277907	0.025049213165197995	0.008051915515553672	0.009102869351360838	0.0033858984772782196	0.03405797042045731	0.2148562980091262	1.2192121954873991e-09	3.557581953647031e-20	0.002674752768747523	2.796721485390895e-21	0.0011744520925438143	0.020535366590283915	0.001890074485544186	0.0030245621561928826	5.005263700965945e-24	1.818608268312041e-15	0.0024706209964807596	5.895553910592327e-15	4.185829727807025e-13	0.01314971315511677	0.10641813833320844	1.2518357049492922e-21	6.465870927192696e-20	1.3685599759558723e-20	0.04013476213007005	3.257219889958896e-27	0.016063600279703796	2.645398190668268e-28	1.2215183108480736e-13	1.2974282583578757e-28	1.085360350487407e-16	2.8809605390744175e-26	0.03834130983183309	3.22890521383444e-31	0.0034790152350159358	9.310675915215282e-26	4.684156684940347e-24	3.6306157147267726e-29	0.0030729115872057708	5.0478779692726845e-09	4.446742605498252e-29
Mixture02	0.0032829957469116154	0.0137128640705161	0.015396605645954806	0.008046681317502224	0.09363471308028062	0.03531770072024996	0.007254005735684585	0.012395410137851394	0.16228022921566454	0.010970252426427652	0.010569262863594591	0.008671284531492116	0.06672419027153953	0.008724401219710149	0.012834126458844701	0.011308044145234668	0.018643580748930143	0.010270624057100464	0.008812704074351564	0.01307302631445933	0.009484700004604822	0.00597764784898872	0.0023045235973294877	0.01376481983648583	0.01183685687717249	0.03614094427196577	0.005961726189938725	0.01423563897621017	0.004491274343245606	0.006497843181626685	0.01905605459061753	0.028624196507728225	0.0021016784351969293	0.21396467947630765	0.005411018635175811	0.027307239537347254	0.054712544988794236	0.027618106820460404	0.10465231037083161	0.11928688048874864	0.012221662765399918	0.07192654855686745	0.18714845475517494	0.02049769660375607	0.02165401180752762	0.017612425780136175	0.09026046387721406	0.07192123052892556	0.04548542299469936	0.016585560428986536	0.08823863611035071	0.07090078008668083	0.061197812564765135	0.038583493918720305	0.12472583899813765	0.013751156257751453	0.007645251207714944	0.07918420544861254	0.020312145883955166	0.043882680256350455	0.024115545245160987	0.025574721219154422	0.008028580548616951	0.011541870869821358	0.15583438039792336	0.0732510211411894	0.008068504764951984	0.35607347311079435	0.0007427733543272561	0.005508979807863805	0.008510652320927127	0.0008735006512014893	0.08461952923707768	0.0040989961406882065	0.004072892887139323	4.1728301067598765e-30	0.11210240903224775	0.0025549488713841875	0.0036404050045995466	0.002375826577697147	0.03176968677501457	3.950383230762679e-31	0.00390687617018126	0.0015154746606453136	0.004371452388149567	5.183777355418982e-29	0.00034041701827795167	1.9883789688168995e-12	3.796701958959564e-29	8.007349212983147e-07	7.773939415060904e-27	4.298575409075703e-17	0.0016210575256796517	0.029625072522285106	0.00023466312627198674	0.006289581700211675	4.745279721892186e-14	0.00259759636237661	0.0006306660840131176	0.006322152095470009	1.8035306362462173e-28	3.6496225410922073e-08
Mixture03	0.0005833140752939171	0.0037743157863825375	0.001633165451101749	0.001737666867770307	0.0031146881645451683	0.0034660011487482752	0.0033725879679982686	0.005447867007235948	0.0017693357901629857	0.004863070776457321	0.002875151558600209	0.0014348906514341576	0.0012400854783188194	0.42858092162761735	0.0018907803193976254	0.0016406063161634001	0.008026447200035935	0.23632309908876484	0.00043716778297156337	0.20114873960210108	0.00019909191864660674	0.0006556869133125049	0.001107877650981459	0.012082354398852413	0.0007944520862334861	0.0029660686409755345	0.00018937759546252804	0.004686216839350585	0.0014023166673792025	0.002377088331440219	7.479430231713892e-06	0.007122225434916029	0.04944991168355422	0.0004852615830168803	0.0030166844289328015	0.008887436318690024	0.0115903752781522	0.004957721743060857	0.007261434231887141	0.012610011141955408	0.00910648507524656	0.017560218820082057	0.011187287036591316	0.011032888645296314	0.009739046132471951	0.008705868858567804	0.005330000815788465	0.5759198753774036	0.00652701932424806	0.006295569338054277	0.01365177219921454	0.3014841879906213	0.007788468173845475	0.3528035864060311	0.002508731384387963	0.00541135788033237	0.005338539304635654	0.11397288073269676	0.006495461497285898	0.006818026053953969	0.0021693822337315797	0.016855775183578992	0.0051248593505551915	0.007698892483451634	5.080656933171715e-14	0.014998657700740874	0.4615355374386478	2.3608041605083804e-14	1.0009043985736676e-32	1.0716067100404959e-15	9.739018181837393e-30	2.008153044676922e-24	3.4744082937767124e-11	5.140018324734729e-23	1.702094556064885e-18	1.2971447653647429e-24	1.340554175364556e-26	0.00015948508809524638	7.021658106375924e-26	8.475251837196678e-27	2.0218136611977167e-29	0.0015153377478095745	3.0568553380345796e-25	7.360507669742703e-29	2.686546444075272e-23	2.8289063838329345e-16	7.604645631153665e-31	0.030793611401074672	7.924495055453959e-32	1.5226026131632358e-30	2.7486862584877754e-27	3.808368372231507e-27	1.0914521629322269e-30	7.221521810150333e-23	2.7807756326480407e-30	4.498577957249014e-17	6.526846591126848e-28	6.887729991038909e-25	3.0027406335156675e-32	6.616251648458328e-12	0.0005706341529610289	1.913002245286203e-29
Mixture04	0.004485887550500129	0.019206506044367234	0.013312427666628041	0.00806321900702392	0.023164268274877164	0.034108798119169385	0.008255394443527738	0.006175755808536322	0.007188327393075868	0.007271856014370565	0.012663563859456599	0.007541121858095015	0.13458736747440078	0.28221413186161176	0.008788528970150892	0.005489122741200416	0.04943732555439356	0.0021845895342397334	0.006300926772528173	0.010215253133462325	0.005659921398419044	0.0014400664747544064	0.0017116463809562664	0.006052326466632015	0.012256586715957212	0.12869849390448135	0.004986563541539713	0.018045483254915236	0.005249321997483594	0.007577773193257912	0.010590540792549872	0.03228588236168007	0.021070700385922115	0.07055605277495845	0.009795741922889997	0.06813626051607287	0.07726011705309721	0.015860797350301218	0.029641785063755543	0.1452890474107003	0.01365647032119523	0.016109566292323813	0.06414659374506029	0.014018642612400033	0.020695198151016222	0.014385718832753105	0.18994423119359716	0.4360715170024305	0.01663852089588006	0.017469671613191053	0.16814530546249715	0.006095417170760262	0.02143913749609214	0.028840358327404655	0.07111452563875544	0.0044223430363799655	0.00800761060470758	0.015429597190631856	0.0297500452495988	0.1379654476975015	0.020503058364884506	0.07880908234358418	0.011176965180284907	0.013316381986934227	0.07451880920175086	0.14978630819963573	0.11509269625227182	0.22833004335763218	3.7125579218783976e-07	0.0050519158545689925	5.7409297721728175e-18	0.0031015197879440846	0.01863012638247322	0.003912941586964467	0.003057192587542406	4.4029449546486004e-23	5.813242309056479e-26	0.002184047662909086	0.004032804634325103	0.0010404719218991285	0.08547859081940781	0.18138902689169153	0.0012358868153214348	1.9509834980774103e-11	5.787725215940845e-15	4.997777620096239e-28	1.1558354587102045e-26	5.685549792997403e-15	7.837683680233206e-25	9.116506319861677e-29	6.394027473155878e-26	3.070820455304281e-22	0.0005308595594215251	0.11949981431343337	5.975928562739782e-17	0.005247272532840063	4.89607157574898e-19	0.0025732209815344537	7.612652685979871e-16	0.0046498412151104425	1.665985013718364e-21	6.866794443926071e-25
Mixture05	0.002903684172166043	0.006664508553399843	0.011517474332521625	0.0024367571860766163	0.0037677821055596243	0.006862345057712064	0.006622293951836903	0.009538088584564373	0.007017771272320067	0.006339291478057062	0.007660333797801186	0.0051244699920791215	0.002004369268707151	0.2910038894053018	0.012120925481991524	0.007054176180818117	0.02335910895526633	0.30005466550835436	0.0038429844081084847	0.12598732612479605	0.005333340165486062	0.0034617060083121085	0.005895143504105848	0.023738348139762278	0.007342834029718478	0.00619572402330997	0.0017692747976332007	0.0054275380742834275	0.004769944081292722	0.00550223871238554	0.002901123216734481	0.013082185998880023	0.035836587656396114	0.033093983668701796	0.007249079501201745	0.012547000524646754	0.03273494151470252	0.0063517035605503945	0.012074946524730906	0.021341391737845758	0.011423825259813105	0.02063493184646657	0.0566668935825526	0.011718864392705763	0.017007825245399	0.01556807009753808	0.008706072231181009	0.4650073751027766	0.027492123659888748	0.013292714345281785	0.15994370784932382	0.38250554732300723	0.014753857191768983	0.18687229774240632	0.02550884142520847	0.008680313383253068	0.07061061273421132	0.14435208061763	0.012289088283567099	0.010753240247423036	0.009035279457913187	0.01302337104149153	0.011667154090119482	0.009958945714299722	0.029916963876102834	0.029436602448777903	0.20515965147074106	0.16497102808324687	8.481859641997691e-24	0.0014820034158023185	3.276477683933235e-17	4.355735895198353e-25	0.0006419048231870318	4.7466956632231674e-23	0.0022289564152701367	1.712207116819802e-20	2.901514097559298e-27	0.002000120721575649	1.7708848596502015e-11	4.525772397165541e-22	3.318075940959799e-29	0.12106322031650948	0.0014002907851060073	0.00046164087356374584	0.004725497852890274	0.23025761641060974	1.4285783663794292e-23	0.07211945756280057	5.41285692049369e-26	7.847266581537102e-05	9.485382994421705e-27	1.0936135752328304e-08	0.0010567922678531767	0.0019542321623254324	5.0777978176047093e-26	1.0646822825460957e-05	2.6469936993561602e-21	0.00036132069499551946	1.371888675599314e-25	0.004831865010334186	0.00016010897540539895	5.517847725846483e-25
Mixture06	0.003022007963612047	0.015337009674288835	0.011736072713564699	0.008169099238251048	0.03186998455141012	0.01623736611069969	0.00794834638053418	0.019753402980623197	0.1686392939448456	0.010642539342262608	0.008252864770486248	0.005399950848823507	0.12900293255984996	0.32985661411699607	0.009278463815608916	0.004262344641427453	0.027663153592905148	0.0038198174146844275	0.0021329040630073603	0.005243764105101232	0.0025456575632841817	0.004928847499096187	0.0025978064929346135	0.01107188753626524	0.004877162765551641	0.04170907271869287	0.004785568308615918	0.016069880209910518	0.0032848043143057855	0.00649487929878154	0.0025268799752056936	0.0212671105266049	0.027361987110827397	0.0003405382995310336	0.00652719516373086	0.031479219208804914	0.023492583543061992	0.02315386842236481	0.03644172657407191	0.05242931344904988	0.01276932965423651	0.1586024958797602	0.2482044548384099	0.02283436095914998	0.013570884789531848	0.01243363081941446	0.17247873816273454	0.3672277330334641	0.03291743158654523	0.020273663990289403	0.148436285932124	0.013796283180603748	0.015016876398006822	0.02962546290868797	0.011992426026215273	0.011853144629127784	0.012340949879006427	0.036157865672906346	0.013008831034417872	0.050285966435279925	0.01233907749218294	0.030258314814185044	0.007736447668099257	0.013181075788025763	0.0085335486506821	0.13623590858566495	0.1478598351520898	0.003350892788383594	6.797790947444863e-20	0.0050950245843025405	1.1857852599076794e-21	0.0023351040228102014	0.027646889978110233	0.0006201124167410754	0.003402508776720239	8.255986983703209e-22	0.04696543779934899	0.0014786360685478826	0.0019046087275926982	1.01246361776883e-22	0.08033563237079645	0.20452798482651902	0.00027993411378405365	7.816587814164457e-21	0.002492064137274174	1.907702101763207e-26	4.310328685088094e-29	1.1121840444631155e-22	3.694790637772526e-28	6.777874804581259e-05	4.599001542363534e-27	5.022983509243499e-13	2.8259548749649543e-22	0.02892371877152764	5.236498135419644e-09	0.004855682233342814	2.745722013667318e-22	3.160563410969204e-05	1.8978531809416237e-25	0.0025207040113933753	7.981303421656216e-18	5.485471867161357e-27
Mixture07	0.001343861498358816	0.013132895629766916	0.00293405504634009	0.004195129902547946	0.06980534857532592	0.04512994285364351	0.006111588890949351	0.0030649304045683367	0.00048759798412438473	0.006204602724045067	0.009691708035572321	0.005262166373586965	0.0012484866919032086	0.22452797831866028	0.006247999347548023	0.001347923169408353	0.006260125426762024	0.26475635847477613	0.0006410281149202721	0.09719747155539879	0.0013328861743620369	0.000720156817176833	0.0014024928782276176	0.0033033067624439433	0.0008927257181516045	0.07900082993932947	0.0013981586131195797	0.013034012468305045	0.0026449475688805823	0.002546677192307284	0.0002496280547138878	0.005872844395636675	0.048089747194792774	0.0001150386290200423	0.005409288218209139	0.028050266440468593	0.012068758265797163	0.009139566805107895	0.07541513966101873	0.1798519725446369	0.013204344872707982	0.01165050626496268	0.004524057382922357	0.013269431191765005	0.020183724185054607	0.014360891428491371	0.006442543728343842	0.35106779274644784	0.017555118736658704	0.006300478251500648	0.018523338677786827	0.3373017925141272	0.008928195626309992	0.14912673128179274	0.01722616742836073	0.0044935190828152205	0.006789521649280746	0.011629732199622633	0.00593179755935669	0.08925774432752094	0.005891965597520694	0.03202240482741665	0.010281582689769002	0.009020073677808299	0.002114034057164616	0.015858367374169808	0.20844544661605766	4.330788233736162e-12	2.700362159295773e-28	0.002337037212629455	8.436083537169782e-25	6.76199161100703e-18	0.06619722886275053	5.946234861078238e-14	0.0012296123623130207	9.833769541451933e-24	2.19840473739404e-30	0.0007096807648731604	0.00027508820849052643	8.333378983456592e-21	1.0557086386116616e-26	0.04577367870805665	5.398265749420961e-13	5.071632884093988e-30	4.0130285588704684e-26	0.005464343212957515	4.5841228716862064e-30	9.819508766218195e-16	3.6948631205351316e-28	7.712895839498504e-31	2.170916417252301e-28	1.1739885464602397e-28	6.702456378566827e-30	0.0707609835945705	1.849295583031045e-31	0.0023940921276592734	1.8114799027674528e-22	1.4678652967496862e-27	1.851113385456942e-31	5.583315943935566e-23	0.004514951801338187	3.1715644239653143e-29
Mixture08	0.0007381649095281484	0.00688899178599362	0.002442876531575477	0.005011858669653954	0.003061973255747232	0.0029729937670518215	0.004855022038334996	0.005788341349907886	0.0006615771295434855	0.004357934104297583	0.005933014772764505	0.0024554024231773055	0.1408180391748907	0.41374340023234596	0.006365324909167185	0.0014699821361980393	0.024788046294472378	0.16792004688000028	0.0017313421304161886	0.13719721882368963	0.0008551644732416004	0.001633721527959634	0.0014372374064631549	0.0036898206389253253	0.0012085437362452077	0.00406482314316888	0.00027166370955103913	0.005076384427581503	0.0011588264657370324	0.001909046315108391	0.00017690137796769862	0.010878570862725	0.025375771340251405	5.705363398960394e-13	0.0034044312960151463	0.016321514914902753	0.013597196968071457	0.012561124076797247	0.008816598889228049	0.012258710884047567	0.00985831172707377	0.014191242119805799	0.006063054339763999	0.009779879107581829	0.018180217079608686	0.013926434923818808	0.16550653673712376	0.5038976774677876	0.01546566069156546	0.006741794828652827	0.17564283024702412	0.25717906942241714	0.008741643272132131	0.2846028887319149	0.009117764501340345	0.006254811885678349	0.004650601818464276	0.015045294494932766	0.006532283222938874	0.00922926816871139	0.0024468002037260285	0.017010716008993742	0.004810732986279403	0.007805282847083386	0.0021704257475709376	0.026235909045260932	0.2748845688891	3.567404128446969e-14	1.4210561758468824e-30	0.000637988467777788	9.93270339882324e-26	2.5106847048987097e-16	2.1717855826247277e-23	5.239976396391477e-27	0.0006683332869958909	1.4530951243662812e-23	3.140954086944392e-26	6.806264780705261e-20	7.631553582987797e-19	8.970519756753515e-28	0.08134033290148517	0.08496172436201496	1.8320076716861748e-23	6.649973552614057e-27	1.3918854490180172e-23	2.2014313226763287e-17	4.524876457345577e-25	0.00263201524962469	7.281762610568156e-33	1.2009340149730427e-28	2.2931034227754012e-26	1.686469921763413e-25	8.567273466838003e-28	1.2795097498002739e-13	4.560035698076992e-31	3.0930919482649574e-21	7.546320343027502e-26	2.941770137589784e-28	2.2656483965360625e-29	3.701827438628296e-15	3.3491143186879546e-30	2.1017292643068193e-28
Mixture09	0.0030163241511340796	0.005136282359719036	0.05063912620323473	0.0033113002019220295	0.002059170339709668	0.0067425523278006085	0.007639562730077621	0.0031566360773078754	0.0012243335780413654	0.005041563426327043	0.0027720882976400105	0.002937332026924981	0.004007382064423129	0.009016570969731902	0.0068570348407527735	0.00532639413951404	0.007854318390059544	0.004425355955326269	0.010107429131042435	0.011344016063735241	0.019414077233577475	0.0017631885527801905	0.0025525891931435984	0.008983033559480817	0.00880875857214689	0.004074587488350065	0.0028235030985270925	0.003730250993561125	0.0042941214882799925	0.005407044031918975	0.05353246957173112	0.009773308295224749	0.003920083138532765	0.716249041168611	0.00740798292764905	0.011268237630175468	0.43199949151196465	0.0066571803031498615	0.004859737556412147	0.013710220983740463	0.010963058225480863	0.012867255393829989	0.006810681752554184	0.009294765797011252	0.008994066864950922	0.007046069305876765	0.010585272365136017	0.004853368855283524	0.014233107431175718	0.014995799410434621	0.012657530447661089	0.009286501596313366	0.011677160548079999	0.030693000590421772	0.3553524773096747	0.004368922744975981	0.007257782655716521	0.01931332205273136	0.0157379188448971	0.008599947493191635	0.005895293448910079	0.008584810520070511	0.007728058383587242	0.009127496371046042	0.4363607923897834	0.017936857274009024	0.009402795114956097	0.8746155092161936	1.315936846572719e-21	0.0012681279392295704	0.005236169745995665	5.541373864618378e-15	1.722286773126888e-14	0.00017513734257585008	0.0035973273391113735	5.9046596613393e-28	3.8160671576161907e-25	0.0019146561354262482	1.4255460205357728e-21	5.885049995756464e-24	6.746752521329646e-11	8.338263786194976e-29	0.0015587942085033993	0.0008566912452412908	1.2139994452175136e-17	1.1068559317265682e-23	0.0015406444963093086	9.311364363951366e-16	1.8492697569539274e-28	1.0940201394168777e-18	1.727846798455323e-24	5.930288635349567e-21	0.0016103822153335579	5.632469940493802e-13	4.845594964255291e-23	3.373680861672843e-21	7.846681309813072e-09	0.0006829736326491137	2.5736086762734813e-26	0.00383502816529216	1.2282609089213873e-10	0.3402464920991092
Mixture10	0.0022152653623332564	0.011680244960575435	0.006888905059129768	0.006082590069946242	0.0034532117383654134	0.006267487702537754	0.004766937766237986	0.005852044122447383	0.002106122032565627	0.0030641297628301273	0.005336586027709938	0.0047302979066444935	0.22228308925268805	0.5782565768616954	0.006565463621064015	0.0033699826567649234	0.022165951468294684	0.002367334577624643	0.0011100902774100361	0.0045676100729776055	0.0030298690835027153	0.00045258122974824286	0.0002532232699629926	0.00483217371717269	0.001714845950527241	0.003924584984550223	0.001971613982898494	0.00832648105316745	0.0016178472208418814	0.005973967838841128	0.0005232712350132955	0.03219747741798532	0.02658058404781611	0.0020183459297640695	0.0054195977389318644	0.02308155653664033	0.01662553204000667	0.014043480178519497	0.00803602425388319	0.018577485537418295	0.009240593118525934	0.01819196887639794	0.01112123213502193	0.00805967960393687	0.01250913941963855	0.01697522482821983	0.2591550498357736	0.6676453581496484	0.014636534714516754	0.010146555657924413	0.13164503791548374	0.01271885933549316	0.010628217207940584	0.019890443914811384	0.00868602931925744	0.0034207486599341207	0.002338892422834504	0.018380965624998857	0.007149038813561751	0.008087593638464207	0.008478449160295552	0.016586325900351685	0.007133116276664444	0.01209901933398267	0.003915514974286791	0.16289772172138053	0.2766078101087331	0.008558475406458616	1.261929832374319e-20	0.0024347209997623016	1.677717151354636e-21	0.0003909918191774469	0.0006790330348528994	0.00011175328062212177	2.2514921047854196e-09	1.855691473093703e-19	7.357124165703889e-27	1.9162539237662694e-11	8.744646641511721e-16	4.609657704500598e-24	0.19448573839417133	0.2542268574040337	1.4265340022974538e-17	8.978376822581372e-23	3.95486745559688e-17	1.4895983705357732e-26	7.365157733015781e-26	3.1007720981659312e-24	4.0274776269666914e-26	1.714813401088781e-28	2.2586519838563436e-28	1.185154319042394e-22	6.48724598315885e-26	3.1615770534919874e-05	6.364694183559687e-26	0.0017618923186531613	3.402566704588907e-24	1.193061990057276e-16	9.26149429264851e-31	0.0019789304882637526	9.60066215610511e-27	1.990367540348702e-30
