location	A.23.1_Upper	AV.1_Upper	AY.4.2_Upper	B.1.1.318_Upper	B.1.1.7_Upper	B.1.351_Upper	B.1.525_Upper	B.1.617.1_Upper	B.1.617.2_Upper	B.1.617.3_Upper	B.1.621_Upper	B.1.623_Upper	BA.1_Upper	BA.2_Upper	BA.2.75_Upper	BA.2.86_Upper	BA.3_Upper	BA.4_Upper	BA.4.6_Upper	BA.5_Upper	BQ.1_Upper	C.36.3_Upper	C.37_Upper	CH.1.1_Upper	EG.5.1_Upper	P.1_Upper	P.2_Upper	P.3_Upper	XBB_Upper	XBB.1.16_Upper	XBB.1.5_Upper	XD_Upper	XE_Upper	undetermined_Upper	A.23.1	AV.1	AY.4.2	B.1.1.318	B.1.1.7	B.1.351	B.1.525	B.1.617.1	B.1.617.2	B.1.617.3	B.1.621	B.1.623	BA.1	BA.2	BA.2.75	BA.2.86	BA.3	BA.4	BA.4.6	BA.5	BQ.1	C.36.3	C.37	CH.1.1	EG.5.1	P.1	P.2	P.3	XBB	XBB.1.16	XBB.1.5	XD	XE	undetermined	A.23.1_Lower	AV.1_Lower	AY.4.2_Lower	B.1.1.318_Lower	B.1.1.7_Lower	B.1.351_Lower	B.1.525_Lower	B.1.617.1_Lower	B.1.617.2_Lower	B.1.617.3_Lower	B.1.621_Lower	B.1.623_Lower	BA.1_Lower	BA.2_Lower	BA.2.75_Lower	BA.2.86_Lower	BA.3_Lower	BA.4_Lower	BA.4.6_Lower	BA.5_Lower	BQ.1_Lower	C.36.3_Lower	C.37_Lower	CH.1.1_Lower	EG.5.1_Lower	P.1_Lower	P.2_Lower	P.3_Lower	XBB_Lower	XBB.1.16_Lower	XBB.1.5_Lower	XD_Lower	XE_Lower	undetermined_Lower
Mixture01	0.005550110062841668	0.05617640400312046	0.01147616338014012	0.028649843295320943	0.030174313204418993	0.06180120205234188	0.012674523571593705	0.03399235925533736	0.05719210426526704	0.021836596411127368	0.019642996166506204	0.010631252058929739	0.05496910793641591	0.5043518504526658	0.018762813905262587	0.013002411191853476	0.12029125386513725	0.25561744464519476	0.009595501606948128	0.14740315289452632	0.005349991329884069	0.010725646773693864	0.008543993822558663	0.04802974303926316	0.007260662253318247	0.06617242894504506	0.013229989632483148	0.021247321788634962	0.006634437717144642	0.006832898035853026	0.01381340028747312	0.09727393203735969	0.3687794520655128	0.20298066307365772	0.0021294879255533286	0.01450897928340499	0.004971962368051788	0.007255218771434646	0.023553271608188642	0.023473427206590482	0.006616782550820627	0.005039124615015516	0.03420799884772243	0.008821963512623926	0.008973066974253796	0.005741234673032688	0.03400220111435815	0.29560629881128525	0.006815257829881271	0.004770119049431376	0.026275438294665304	0.17313263311122046	0.0029408522020947375	0.09197999513147875	0.00123701515178732	0.0035609252715329766	0.001288936554511678	0.011171328080064888	0.0028239772862361694	0.05516528474242213	0.004921999180490558	0.01138113496878482	0.0025255935174005755	0.003750294722881637	0.002507590806182034	0.01699559807540678	0.058276609668803984	0.020025126484197634	2.8059952664121358e-24	0.004928911523401694	5.602850081589946e-23	0.0018024941636388431	0.01795771092393279	0.004722086446187126	0.002656743029067772	5.451693133001261e-28	1.6131367703406963e-12	0.0011384526432868009	0.0007153893876179749	0.0004605927270369333	0.02020685315419996	5.051543980483114e-06	0.0011091123721982709	2.889393047561122e-05	3.3030408890989977e-17	3.0848128582382687e-19	4.926137260770746e-25	9.120897953255785e-19	7.7511377687497305e-28	0.00022699624152153927	9.122968839118274e-30	7.0012857551817e-14	1.5407341644681388e-24	0.04690861357479305	1.613445721230283e-17	0.0053611161667419215	2.016139513401404e-21	7.738304188236458e-12	1.78509666566194e-27	0.004808032273816586	8.506940656746574e-18	3.350689137441166e-29
Mixture02	0.009838473572689415	0.029409561043524723	0.018318850572462003	0.019555215039427865	0.13498897034397173	0.071661988050011	0.014244578366995567	0.06961833562869303	0.1520372919499721	0.01877412002252869	0.016798096099483788	0.009923069129780705	0.09113694392377962	0.10999708445051651	0.017081940097834824	0.01169050146164664	0.07239662246343852	0.009692676970832094	0.006850185368071781	0.025931389757790132	0.040431150555955336	0.012547206030098797	0.011002422295517072	0.06427794673258821	0.012453903046712197	0.06040144741306517	0.009712209878306007	0.02168999296454406	0.006421654552828159	0.0069316302855115626	0.1518589875692093	0.07017226905339449	0.008803600304529598	0.35839141394259866	0.0049156824315800636	0.012733838814747416	0.01572926727986021	0.007944230946503329	0.12491303898070064	0.026061736066385746	0.007924539256349054	0.009567863167644443	0.10275374583793019	0.009387780965315486	0.00893978135486638	0.005267678213031169	0.07922105773650912	0.010284772939799175	0.009955692520722948	0.008569300506848806	0.013643157131545198	0.006120739805888731	0.003043567592630053	0.011606370025942147	0.005886387366573657	0.004587621325707	0.00190513564488866	0.010159456889701267	0.009755656427751001	0.05278947456799633	0.004231903382032049	0.010580435265807433	0.003252653083663239	0.0043880185756570685	0.020018356518331618	0.019611532385542363	0.0037023921157231052	0.24563409589512428	8.700118747546053e-05	0.004416331520788969	0.008933437382051712	0.0022927125412256283	0.0954578726592766	0.006817494688107678	0.004196471709330144	5.230259639699546e-26	0.06057022905510739	0.003687316939449209	0.00213774708796535	0.0020457811513148578	0.04229885760907339	3.7388932125606985e-30	0.003812939577141782	0.0010734780080615504	0.002914909118478847	1.4741077401624135e-26	0.0008446301845782775	2.924341125487617e-13	1.7118769257359683e-26	0.0006421628888298263	1.1810919816742418e-19	6.9338751365016765e-18	0.0007761191736846819	0.04480672027440811	0.001609321189118123	0.002902689354468328	9.868956012458292e-14	0.0013995256152038846	0.0012378364636853214	0.004757157821229742	6.165884859923626e-26	0.09754381989981456
Mixture03	0.12053248539873541	0.011685019515727956	0.012441703752940741	0.008985836340764743	0.03226661756593614	0.08839871867650505	0.013116827499102673	0.010634688237153392	0.007069567525748566	0.008263668905476144	0.009933827994962618	0.01236234391257087	0.0051110013235569525	0.8555852487605795	0.012545032541961515	0.017571022681789884	0.0501838851715384	0.3871799775432895	0.0009760962352871991	0.48469167796804574	0.0008145493962178997	0.0028922327478615706	0.0016281525822326682	0.01318662778136791	0.011516773643227776	0.017031568275466386	0.012483665347060111	0.012613751046192131	0.006066379446953256	0.010058526507947554	0.09511570339597258	0.028169203625690576	0.4085094072820596	0.5875864522193882	0.03323868904892538	0.004678361599471376	0.004974364854088063	0.0028377903093362855	0.005486946464637472	0.02039869675062778	0.006750484318427679	0.002975679557497722	0.0018404322804968698	0.003816457141788257	0.004631813076362723	0.004986285142983651	0.0006570485307523534	0.5150818996472644	0.005714035427521707	0.0035045356806285006	0.01688105768673026	0.03239341298930052	0.00010300519784949927	0.10100639442912362	9.708754524810295e-05	0.0006130183273730469	0.0002064386987135309	0.003962632584606227	0.0031742674289943424	0.006663133826800287	0.004595938825815488	0.004817182425585452	0.001207994836205196	0.005076865943521695	0.0083428945499302	0.011264147296782512	0.11067720100585848	0.06185686010611388	0.0026569901727504295	0.00032519004191972403	2.093182036935927e-25	1.8758253021989993e-18	0.0011705611186891634	0.0012337748001635782	0.0008607909889233451	5.296888327700007e-29	2.3070084529141321e-26	0.0002024524502377758	1.3206983675752907e-21	4.456973486244757e-15	3.368731417016041e-28	0.0008115821282080717	0.0008825617870934233	1.2420326875762108e-23	2.658816425257821e-21	2.427954216306904e-27	2.2072104608703244e-29	2.2243911909622427e-08	3.3590683720477486e-30	1.4284359890353217e-27	1.4343626445253333e-33	1.5260726546532309e-24	2.1298906942021625e-28	0.0004962716876937095	5.496635412948958e-24	6.414582911290775e-15	6.072832621719277e-29	1.7667274838777994e-12	4.7987717816659165e-27	3.5228984688235055e-15	0.0008143371086107684	1.5640958388893814e-28
Mixture04	0.007129103585440956	0.02483061552009356	0.0755953930221472	0.057761440395539244	0.04444680532175747	0.14910410944050437	0.01326434445690576	0.010657710909738537	0.01092651379767113	0.011786936072919606	0.032954720660627615	0.01582904855685658	0.13870288365505823	0.26893002891882223	0.021769440122950172	0.014552734163258082	0.2034141506111572	0.011080538971973903	0.017488020442202695	0.0365811296165163	0.013402585043544607	0.0045318732548877685	0.0025752990527686537	0.009987801353058774	0.013568561154703486	0.175773224522906	0.03217512609216942	0.024330393297914907	0.007513094547121624	0.010858097224874456	0.11192411184347964	0.17953994258086525	0.25561978174114197	0.25805044410765576	0.002922798535122235	0.012518581236657887	0.01320548754083145	0.011187924628534766	0.03222422545200404	0.04698073922336301	0.007104730765151755	0.0026169722505514042	0.0014430472729599281	0.005165157953973201	0.011878721543859215	0.008478291400377168	0.11367611303139018	0.23203911588194479	0.01215302073111074	0.008232956430005661	0.05998532433124459	0.0035361913635399995	0.004960397201444372	0.010421346180250212	0.004178902653979477	0.0014879756750647525	0.0008491236053456633	0.0036526649863261253	0.005134283098092458	0.1625824785496576	0.004811359420428115	0.012236065396009806	0.0035506401795721847	0.0057799987645865535	0.009832200464182716	0.025817606483871894	0.03687809008556096	0.09025324223100105	8.405935161197113e-24	0.0035645682793383994	0.003289161846280802	0.0023119155317863236	0.024847247790364953	0.006574907351907152	0.0028278464842209335	6.066543897803267e-24	3.4064053904931847e-25	0.0015203108225015686	0.0028506351206902926	0.0006429467831203671	0.08135991923989659	0.06268151453899212	0.0029375658042038242	0.000110689775046009	0.0028442775394776536	4.534181682029787e-27	2.213129233699462e-30	4.7795045586376805e-21	4.2038267403119237e-22	6.2020287537678566e-24	3.935950299728292e-33	8.256142874134807e-25	7.02261584439384e-05	0.14911279674974606	5.516306657099546e-16	0.0033581064610058806	1.7387122455929876e-19	0.0012053297475919042	1.6959598097695607e-18	0.002836985595452883	0.002650202328300079	9.568912505262478e-23
Mixture05	0.0033691118418787682	0.014555459810406382	0.08525320204822537	0.007610701610581283	0.0065928438785771044	0.009976344718181726	0.009327111955152323	0.009460683092893267	0.005754084884730837	0.009288678522032507	0.010625483926534923	0.011913380300672637	0.007084896107289204	0.4555388326429898	0.0215271896488135	0.015419031967793855	0.18667713270407996	0.2902232809843061	0.0162877693216	0.2207100119066709	0.03734132256107893	0.0022328957228758143	0.0016272497057223524	0.00782256535170777	0.018184399628089112	0.005780659553573382	0.006232036919675727	0.011759738777861893	0.006649375093896108	0.008399735053015334	0.1000813523321601	0.037540683714449075	0.32396019404458043	0.47912006728582335	0.001323896119775159	0.0070078155575348825	0.01005256957352767	0.0035088542687515918	0.0025893935992359414	0.004335121626343588	0.005609762419393781	0.002358712382204803	0.0012626356507678715	0.004490445459833774	0.004661965934979048	0.0046480274746917	0.0015342795886634838	0.24819874509986103	0.009326403144890711	0.012409592624830747	0.0241414483576836	0.2213905490091631	0.00482362277633038	0.16271000283903436	0.002279552352061882	0.0008386391198088125	0.0003928309804659696	0.0033740307240467116	0.00762840755779285	0.0026097379076056833	0.0012917395021685215	0.005931729938210203	0.0023978150753058646	0.0056444245375870585	0.008697872625263902	0.016391616389120404	0.0610465735357476	0.14250179264808138	8.667356473521906e-29	0.003447973144859514	3.7119852036341446e-17	2.225779757185376e-07	0.0004337799732887679	2.6097962965513944e-19	0.001184975551478734	1.5995151502129291e-27	8.970288251561239e-29	1.8663682613261556e-11	3.0038671160136146e-11	8.499325666729112e-24	1.6962165962475437e-30	0.00046106358041121437	0.001921631929861421	0.00039082266190271925	0.002589506991596343	1.3375434027213305e-21	3.0053845384976556e-30	1.5111213893749853e-19	1.7697744618061898e-31	2.33960599103189e-26	2.753871738413049e-32	8.518400327352202e-25	0.0012956874706118652	5.020264271725102e-23	4.380272610099303e-31	8.537799524927754e-09	6.953004772275451e-26	0.001805698670918046	4.660882627084922e-21	0.0019475860855248427	0.00042245212872062766	1.2099081597964403e-24
Mixture06	0.005949230983705374	0.05016089416071735	0.014894710426773755	0.034837192081928245	0.052307977586750036	0.08382779270361235	0.011474035926295206	0.07035772027347446	0.1440355955541774	0.016267667956855754	0.036489239871618735	0.01708045534716698	0.16260730156212708	0.40035779577755504	0.020559544840479692	0.006676520951501451	0.1467701120398867	0.007082594344018039	0.009047125560442765	0.030103718371470967	0.014643752716082354	0.00840936252029358	0.0065451422379889735	0.018144902178572637	0.011196544776572804	0.07794785670401055	0.01540268895843008	0.07553729330966569	0.007019782582869286	0.008859684709068226	0.006806102763514684	0.20894820213378285	0.2680305392931232	0.0801129407055595	0.0025631271145212823	0.016489952049942667	0.005890690563718505	0.010279218107398038	0.037244775863968425	0.026774659138365173	0.006271559012239045	0.009452315880637914	0.11890912479099437	0.009177210935547395	0.01156404323514721	0.0059153452416888805	0.13142589819094846	0.33099119599714394	0.007447058483894332	0.0024235158554677325	0.03436510006306967	0.0014545914664870934	0.0021676507163489868	0.007330635675530315	0.0026038557581438914	0.002591259094981419	0.001427117305134859	0.00860726759062486	0.005158745728988211	0.06463253675494919	0.004115462346615188	0.01294613629421201	0.0031463372605524194	0.004257050745638958	0.003252264665792642	0.028127565293869793	0.03884531555220788	0.004906641361260829	1.392805541981906e-22	0.004085781550224197	8.245657416304482e-22	0.0010589812256631057	0.03010507145892101	0.007721972937887289	0.0019053350204151249	1.3144449397242265e-29	0.0526932013044526	0.002122666582571782	9.363771517085747e-14	1.188592025050695e-15	0.03335830893240498	0.09005869283637033	3.2090427538159503e-07	1.1276934690100252e-21	0.001166244698527206	2.7044523812534973e-27	9.007874318126723e-27	4.7779004665893e-19	2.3953872717768476e-25	1.3182253505712146e-21	1.447699510070612e-26	2.1656201364175473e-21	3.636780030240204e-17	0.05754466691964941	1.8571163194541344e-25	0.00039330442644523516	1.1577776851107236e-18	5.444761061434869e-19	1.8445473338285763e-25	0.0021018624989879715	1.2193162502923929e-11	3.434459008780699e-28
Mixture07	0.004231246795903848	0.025439606644802087	0.01530598411164859	0.02654372495250752	0.08596464431690934	0.15549325455259813	0.01183845863128537	0.009462488248464507	0.002836996302900164	0.007537254061969097	0.017112173720144067	0.010912396317176835	0.007004849767183365	0.3862965766980475	0.020027768110007872	0.007142024081045461	0.14522407915646365	0.289420564845988	0.012027271352422118	0.20743821445884542	0.006698282733108045	0.002895425018233275	0.004207134870331805	0.007728091962491876	0.010024531871883817	0.0979056917018863	0.011389841898230023	0.01593107052823123	0.0052638117340570705	0.009678743294063858	0.03260407940689339	0.02544004413903133	0.34931889340296646	0.1440525215632797	0.00154764416195079	0.010912452047595327	0.004301653990261638	0.007104655432037282	0.06887009085684906	0.03353370275284905	0.0055708712276010975	0.0023366081396858133	0.000350972395565158	0.0038574047378056114	0.008094638127773852	0.003973054509577102	0.0014782977408434466	0.2335330500834458	0.008108133270776743	0.0022742588247127936	0.018263895148813433	0.1724765774160162	0.00123454869705513	0.12059385234648953	0.0012051816853570112	0.0006291705174474697	0.0009009719896147404	0.0016414635905684463	0.003767489444065606	0.08751430269295357	0.00383775777895005	0.007957774812829914	0.0017598122052415765	0.0044603362702118204	0.003033796805409597	0.010296258588632883	0.08400446996207858	0.011704760892084816	1.6101778428946493e-24	0.003692629706802613	1.2770570787553195e-25	0.0011064941966198783	0.05601412168731222	0.003068737559543876	0.0010039401531893783	1.2394793965428499e-25	3.8202746440160804e-30	0.0002262253592154048	0.0007868404797833704	2.736694402068331e-21	6.522392133656389e-27	2.2321199811398214e-21	0.0006797030537231244	1.2825312618011702e-25	1.6319799730117428e-21	1.74738760082181e-27	1.3465486610246398e-28	6.56343393616463e-21	1.7898504562382332e-29	6.518907107252726e-27	6.587120778789616e-32	5.4755042686155004e-24	8.361936317355941e-23	0.08038790435642079	2.1114086841585367e-22	0.001712693594717905	2.0230752910553218e-26	3.209502559834488e-24	1.0013055897756643e-27	0.0007964571728418531	0.0007589453307960506	2.2054591072498205e-28
Mixture08	0.0038627608102516564	0.014707580023641087	0.012084475676557571	0.011841142264279183	0.009549730498906521	0.01793428206289521	0.013827296974217211	0.012246808996751384	0.011364863530128423	0.008671720837553378	0.012670925580986944	0.011908354866638665	0.17554616557548092	0.6899768565175897	0.0147122241139977	0.0151520101977334	0.1199447073782346	0.19867026936982163	0.008808582650102736	0.31894340700319185	0.003836414645265018	0.002595098258443299	0.0018332412682905588	0.014672420485897975	0.01481028376256127	0.00798186670383156	0.0031671396756135315	0.012691738024869439	0.005948091480553867	0.006733510635165874	0.005657807476701792	0.3277483799660436	0.4162346986826112	0.1458337610377579	0.0008321552835673215	0.007385820930005929	0.0028214002927810927	0.003818919294180008	0.003681566795385198	0.006310158979315485	0.0055942157228936525	0.0034265454536769324	0.0038803318923642414	0.003014967889126044	0.004117480454974744	0.004385265285118657	0.1538399312532378	0.4125773686673461	0.00714522655120435	0.002652555447172175	0.026656130618942148	0.11122097044253831	0.0015799625771346138	0.13785409117592531	0.0003797225955686965	0.00043904403109736425	0.00019189535492006494	0.0015951885548530019	0.004347964163778131	0.0021141304111745693	0.00039767386937609187	0.003547222173568969	0.0008056372545452876	0.002543003076588813	0.0009403024854377439	0.03254522943607196	0.0329389759892246	0.010737378801519381	7.899693071688732e-29	0.0017973652902024515	4.778922816958989e-24	4.1479326301027694e-19	0.0002798860831859709	1.4154842029458435e-19	4.7682574440455177e-17	1.3817128968611563e-23	2.327191986999517e-27	9.132356336677242e-23	1.489943791066575e-21	3.689710987662324e-22	0.12968093201328923	0.011430529357803226	0.0007210800139252858	3.0025035594380705e-27	1.4344762807962208e-20	6.409066615708564e-23	8.603339901162554e-28	1.4543163039972878e-07	1.8159383102319448e-29	1.1553071447382237e-30	1.883364061673196e-29	8.605062790427854e-28	1.0362569041225202e-21	1.4365265213532683e-23	3.84163995449188e-31	6.1609607452793404e-24	3.8243870438195403e-26	1.699060820109307e-24	1.9050509715113705e-28	0.0008366604822509574	2.3248688128101072e-26	3.0337177903309327e-28
Mixture09	0.0042905281479250395	0.011762522330579547	0.43992869548276003	0.004681846936601338	0.0054079556734986526	0.0113370774841271	0.012701477297587674	0.011107109606357376	0.004498588634841881	0.010310743754971827	0.006702287551337843	0.007949758050485346	0.009422142401589588	0.003553326252023262	0.009758548563987612	0.007980132629896355	0.008569280638619092	0.009737653576579854	0.009201258381201149	0.050410446258646824	0.350184136507449	0.0045714487002623625	0.003666999652560497	0.011589084703083829	0.011631797632191857	0.007689179217607146	0.006942269081765772	0.011516295163797883	0.005707361316275588	0.008618448053608764	0.4512174583265541	0.011924013724597898	0.0075935423515828306	0.9099837469347539	0.002195424367484002	0.005510198568442106	0.04185858917008423	0.0018866215196362073	0.00211427488821781	0.005364525223002755	0.0075209330287358475	0.0033740787047365794	0.0005673248905861696	0.004195324915142408	0.0027233780854988144	0.003314043442994169	0.0045211457840995525	0.0006349398872155279	0.0050623271914649205	0.0036270118165799645	0.004095211031388079	0.006760657231378859	0.0047643069092381425	0.009750052101577675	0.018455407904535058	0.001667023811209482	0.004244108024840983	0.005759276007105246	0.005887141582343737	0.0027696571574675594	0.0017845801340374697	0.0042968540281379105	0.0020649356098222864	0.005237694036309823	0.07527207947758571	0.004859874294301575	0.0033730932883993415	0.7423736309981821	9.158175975006522e-18	0.000946645790156138	0.007292605519020467	9.303987724713812e-29	1.4526649271605969e-21	1.4134170349427601e-11	0.00368343821369481	1.2896045085179394e-25	2.563415191579711e-35	0.0005177037078063878	1.0673908173126808e-23	2.0878933831450757e-18	8.223760300020684e-09	6.65593719206654e-35	0.0018269515834962514	0.00023941930910919732	0.00027308521313605574	6.950211944373521e-27	6.628027241926382e-05	2.074402624594011e-20	9.12267075400488e-25	1.7128071523290615e-19	4.69815154215096e-21	9.051580843152345e-22	0.0009242939024115573	6.240635385384095e-23	8.2398786656570965e-25	4.807574803770754e-19	3.3550565447768297e-18	0.0020661309526014506	0.000648190972670962	0.0006830303835214488	7.240014653356265e-09	0.34971802604606345
Mixture10	0.0038381669665460104	0.019059777091595908	0.015194158105811333	0.011248264082285308	0.006557744599204648	0.01214259004840384	0.00980142659751403	0.011133558562356646	0.04574761447999416	0.006937425763333773	0.011124807690887119	0.00992811718029395	0.2735960235226085	0.6686188908658482	0.01716419550522498	0.009701000064489686	0.14715406916375093	0.007209174494092254	0.010976804504009322	0.02926771012143317	0.005617902201064189	0.00309130329824801	0.005380971563653679	0.01489512395986088	0.01801320478052192	0.005078324625507748	0.0034661880182377588	0.01233822806715041	0.006234628031986787	0.012226018336049	0.00873019283139906	0.1183073695628568	0.3578618923266391	0.042046534010228696	0.001351457555316645	0.007580463736207762	0.006426141952163054	0.00411751902224608	0.0029326776041997903	0.005626202303584061	0.005213866586460245	0.0037262874389826068	0.004864583247344275	0.002882900540442015	0.004776365175513566	0.0049407249956385756	0.24284476144110273	0.5600766372477871	0.007567137886475761	0.002658161607273109	0.03216880819793684	0.001134562235394871	0.003528066855527972	0.006636104428667767	0.0016506335353691547	0.00037440361703289455	0.0010917822786431141	0.002280514628244811	0.0046817877120943355	0.001945244249965449	0.0010698103602113584	0.005915630283013673	0.0015524540719408014	0.005807374078068089	0.0013035504606889868	0.01885198334762757	0.03507011755513014	0.004418606159505082	1.820628949602813e-25	0.0017373802320506749	7.525880343889485e-21	1.067109390980548e-20	0.0005517441408845212	1.2170160910394168e-14	0.000568463386025936	1.6962724966176854e-18	1.2819486310179661e-24	4.10201051870123e-21	3.578052739708648e-19	1.6054661417235986e-19	0.22397159224470733	0.019344824236385554	8.327109684880886e-05	1.1185277894828816e-24	7.091916568073815e-10	1.9800889121264852e-27	4.6114096513123924e-23	1.961564790837482e-20	8.811079072075578e-24	1.4167743520659803e-29	1.4370582382712916e-31	2.429255906021092e-24	9.004887814633475e-22	1.7271774193316713e-24	3.5938481159130656e-30	5.111026149574566e-07	4.563760014758388e-30	2.3110777511684555e-17	7.852375608684094e-26	0.0014262295939298554	2.2041001297069724e-21	5.678284854349469e-26
