	summarized	lineages	abundances	resid	coverage
Mixture01	[('Omicron', 0.7750000000000001), ('Other', 0.059000000000000004), ('Delta', 0.0528), ('Gamma', 0.0345), ('Alpha', 0.024), ('Beta', 0.0195), ('Kappa', 0.0094), ('Theta', 0.0082), ('Mu', 0.0061), ('Eta', 0.0053), ('A', 0.0026), ('Lambda', 0.0019), ('Zeta', 0.0016)]	BA.2 BA.4 BA.5 B.1.617.2 P.1 BA.1 XE B.1.1.7 B.1.351 XBB BA.3 B.1.617.1 XD AV.1 P.3 EG.5.1 B.1.617.3 B.1.621 BA.2.75 CH.1.1 XBB.1.5 B.1.1.318 B.1.525 AY.4.2 B.1.623 A.23.1 BA.2.86 C.37 P.2 C.36.3 BA.4.6 XBB.1.16 BQ.1 Other	0.4289 0.1532 0.0737 0.0482 0.0345 0.0321 0.0254 0.024 0.0195 0.0171 0.0157 0.0094 0.0085 0.0083 0.0082 0.0076 0.0069 0.0061 0.0058 0.0057 0.0055 0.0053 0.0053 0.0046 0.0045 0.0026 0.0023 0.0019 0.0016 0.0015 0.0011 0.0007 0.0002 0.024		
Mixture02	[('Other', 0.3594), ('Omicron', 0.25550000000000006), ('Delta', 0.1589), ('Alpha', 0.0868), ('Beta', 0.0447), ('Gamma', 0.0356), ('Kappa', 0.0132), ('Mu', 0.0119), ('Theta', 0.011), ('Zeta', 0.0095), ('Eta', 0.0075), ('A', 0.0037), ('Lambda', 0.0024)]	B.1.617.2 BA.1 B.1.1.7 B.1.351 P.1 CH.1.1 XBB.1.5 BA.3 XD AY.4.2 B.1.617.1 B.1.621 B.1.617.3 BQ.1 BA.5 P.3 AV.1 BA.2.75 B.1.1.318 B.1.623 P.2 BA.4.6 BA.4 B.1.525 BA.2 XBB.1.16 EG.5.1 BA.2.86 XBB C.36.3 A.23.1 XE C.37 Other	0.1451 0.0961 0.0868 0.0447 0.0356 0.0308 0.0289 0.0184 0.0163 0.0138 0.0132 0.0119 0.0113 0.0111 0.011 0.011 0.0104 0.01 0.0098 0.0097 0.0095 0.0082 0.0076 0.0075 0.0067 0.0066 0.006 0.0052 0.0052 0.0051 0.0037 0.0037 0.0024 0.2968		
Mixture03	[('Omicron', 0.9547), ('Other', 0.021900000000000003), ('Kappa', 0.0032), ('Beta', 0.0031), ('Mu', 0.0029), ('Theta', 0.0028), ('Lambda', 0.0025), ('Alpha', 0.0025), ('Eta', 0.0024), ('Gamma', 0.0021), ('Delta', 0.0012000000000000001), ('A', 0.0005), ('Zeta', 0.0003)]	BA.2 BA.4 BA.5 XE BA.2.75 AV.1 BA.3 B.1.617.3 XD CH.1.1 B.1.617.1 B.1.351 B.1.621 P.3 C.37 B.1.1.7 B.1.525 P.1 XBB XBB.1.16 B.1.623 BA.2.86 B.1.1.318 AY.4.2 BA.1 BQ.1 A.23.1 EG.5.1 C.36.3 B.1.617.2 P.2 BA.4.6 Other	0.5246 0.2434 0.0866 0.0793 0.007 0.0052 0.0046 0.0044 0.004 0.0034 0.0032 0.0031 0.0029 0.0028 0.0025 0.0025 0.0024 0.0021 0.0016 0.0013 0.0011 0.001 0.0008 0.0008 0.0007 0.0005 0.0005 0.0004 0.0004 0.0004 0.0003 0.0003 0.006		
Mixture04	[('Omicron', 0.6094000000000002), ('Other', 0.1288), ('Gamma', 0.1143), ('Beta', 0.0627), ('Alpha', 0.0243), ('Delta', 0.0173), ('Theta', 0.013), ('Zeta', 0.008), ('Mu', 0.0071), ('Eta', 0.0069), ('A', 0.0037), ('Kappa', 0.0034), ('Lambda', 0.0011)]	BA.2 P.1 BA.1 B.1.351 BA.3 XD B.1.1.7 XE AV.1 P.3 XBB.1.5 AY.4.2 BA.2.75 BA.5 B.1.623 P.2 BA.2.86 B.1.621 B.1.525 XBB.1.16 B.1.617.2 B.1.1.318 EG.5.1 B.1.617.3 BQ.1 CH.1.1 BA.4 XBB BA.4.6 A.23.1 B.1.617.1 C.36.3 C.37 Other	0.3608 0.1143 0.1138 0.0627 0.0446 0.0254 0.0243 0.0209 0.019 0.013 0.0109 0.0109 0.0088 0.0082 0.008 0.008 0.0076 0.0071 0.0069 0.0065 0.0064 0.0057 0.0056 0.0054 0.0053 0.0048 0.004 0.0038 0.0038 0.0037 0.0034 0.0015 0.0011 0.0638		
Mixture05	[('Omicron', 0.8591), ('Other', 0.0823), ('Delta', 0.0116), ('Kappa', 0.0079), ('Beta', 0.0061), ('Alpha', 0.0059), ('Theta', 0.0059), ('Mu', 0.0054), ('Eta', 0.0048), ('Lambda', 0.0046), ('Gamma', 0.0037), ('Zeta', 0.0013), ('A', 0.0013)]	BA.2 BA.4 BA.5 XE XD CH.1.1 BA.3 B.1.617.1 BA.2.75 AV.1 AY.4.2 B.1.351 B.1.617.3 B.1.1.7 P.3 EG.5.1 B.1.621 XBB.1.16 B.1.617.2 B.1.525 C.37 BA.2.86 P.1 B.1.623 XBB.1.5 B.1.1.318 C.36.3 XBB BA.4.6 BA.1 P.2 A.23.1 BQ.1 Other	0.3244 0.3156 0.1154 0.0477 0.0183 0.0132 0.0115 0.0079 0.0078 0.0071 0.0068 0.0061 0.0061 0.0059 0.0059 0.0057 0.0054 0.0052 0.0048 0.0048 0.0046 0.0041 0.0037 0.0036 0.0032 0.0029 0.0025 0.0019 0.0018 0.0014 0.0013 0.0013 0.0002 0.0418		
Mixture06	[('Omicron', 0.5761), ('Delta', 0.1864), ('Other', 0.09040000000000001), ('Beta', 0.0414), ('Gamma', 0.0339), ('Alpha', 0.0255), ('Theta', 0.013), ('Eta', 0.008), ('Mu', 0.0079), ('Kappa', 0.0078), ('A', 0.0042), ('Lambda', 0.0029), ('Zeta', 0.0025)]	BA.2 B.1.617.2 BA.1 B.1.351 P.1 BA.3 B.1.1.7 XE XD B.1.617.3 P.3 AY.4.2 AV.1 BA.2.75 CH.1.1 B.1.1.318 B.1.525 B.1.621 BA.5 B.1.617.1 B.1.623 EG.5.1 XBB.1.16 A.23.1 C.36.3 XBB.1.5 BA.4.6 BA.2.86 C.37 P.2 XBB BA.4 BQ.1 Other	0.3361 0.1746 0.132 0.0414 0.0339 0.0338 0.0255 0.0195 0.0155 0.0154 0.013 0.0118 0.0111 0.0109 0.0102 0.0083 0.008 0.0079 0.0079 0.0078 0.0063 0.0051 0.0043 0.0042 0.0041 0.004 0.0033 0.003 0.0029 0.0025 0.0021 0.0021 0.0018 0.0297		
Mixture07	[('Omicron', 0.6855999999999999), ('Other', 0.10139999999999999), ('Gamma', 0.0623), ('Alpha', 0.0621), ('Beta', 0.0513), ('Theta', 0.0108), ('Mu', 0.0079), ('Eta', 0.0059), ('Delta', 0.0043), ('Kappa', 0.0037), ('A', 0.0017), ('Lambda', 0.0015), ('Zeta', 0.0011)]	BA.2 BA.4 P.1 B.1.1.7 BA.5 B.1.351 XE XD P.3 AV.1 BA.2.75 B.1.621 B.1.525 CH.1.1 B.1.1.318 BA.3 B.1.617.3 AY.4.2 B.1.623 B.1.617.1 EG.5.1 XBB.1.16 BA.2.86 A.23.1 C.37 BQ.1 BA.4.6 P.2 XBB.1.5 XBB C.36.3 B.1.617.2 BA.1 Other	0.3013 0.2557 0.0623 0.0621 0.0562 0.0513 0.0395 0.0114 0.0108 0.0103 0.0086 0.0079 0.0059 0.0059 0.0054 0.0044 0.0039 0.0038 0.0037 0.0037 0.0031 0.0031 0.0028 0.0017 0.0015 0.0013 0.0011 0.0011 0.0011 0.001 0.0009 0.0005 0.0005 0.0658		
Mixture08	[('Omicron', 0.9444), ('Other', 0.0321), ('Delta', 0.0057), ('Theta', 0.0042), ('Mu', 0.0034), ('Kappa', 0.0031), ('Eta', 0.0019), ('Beta', 0.0018), ('Gamma', 0.0013), ('Alpha', 0.0013), ('A', 0.0005), ('Lambda', 0.0001)]	BA.2 BA.4 BA.1 BA.5 XE XD BA.3 AV.1 CH.1.1 B.1.617.2 B.1.617.3 P.3 BA.2.75 B.1.621 B.1.617.1 B.1.525 B.1.351 B.1.1.318 XBB.1.16 P.1 B.1.1.7 XBB B.1.623 AY.4.2 BA.2.86 BA.4.6 A.23.1 C.36.3 C.37 BQ.1 EG.5.1 Other	0.513 0.1943 0.1236 0.0565 0.0366 0.0157 0.0081 0.0076 0.0049 0.0049 0.0046 0.0042 0.0038 0.0034 0.0031 0.0019 0.0018 0.0016 0.0014 0.0013 0.0013 0.0009 0.0008 0.0008 0.0006 0.0005 0.0005 0.0005 0.0001 0.0001 0.0001 0.0013		
Mixture09	[('Other', 0.7192000000000001), ('Omicron', 0.2122), ('Delta', 0.0228), ('Lambda', 0.0186), ('Eta', 0.0059), ('Beta', 0.0045), ('Gamma', 0.0044), ('Kappa', 0.003), ('Mu', 0.0027), ('Zeta', 0.0022), ('Alpha', 0.0018), ('A', 0.0015), ('Theta', 0.0014)]	XBB.1.5 BA.2 AY.4.2 BQ.1 C.37 BA.4 BA.2.86 BA.4.6 BA.5 BA.3 EG.5.1 BA.2.75 CH.1.1 B.1.525 XD B.1.623 B.1.351 P.1 BA.1 B.1.617.3 XBB.1.16 AV.1 B.1.617.1 B.1.621 XBB XE P.2 B.1.1.7 C.36.3 A.23.1 P.3 B.1.1.318 B.1.617.2 Other	0.0577 0.0389 0.0218 0.0217 0.0186 0.0151 0.0125 0.0118 0.0106 0.0093 0.0084 0.0068 0.0059 0.0059 0.0057 0.0048 0.0045 0.0044 0.0043 0.0041 0.0041 0.0036 0.003 0.0027 0.0027 0.0024 0.0022 0.0018 0.0016 0.0015 0.0014 0.0013 0.001 0.6981		
Mixture10	[('Omicron', 0.9084), ('Other', 0.0567), ('Delta', 0.0066), ('Theta', 0.0046), ('Mu', 0.0043), ('Eta', 0.0038), ('Beta', 0.0036), ('Alpha', 0.0028), ('Kappa', 0.0024), ('Lambda', 0.0021), ('Gamma', 0.0018), ('A', 0.0014), ('Zeta', 0.0013)]	BA.2 BA.1 XD XE BA.3 AV.1 AY.4.2 BA.2.75 P.3 B.1.621 B.1.1.318 BA.5 B.1.617.3 B.1.525 B.1.623 B.1.351 B.1.1.7 XBB.1.16 BA.2.86 B.1.617.1 XBB C.37 BA.4.6 P.1 A.23.1 BA.4 P.2 CH.1.1 B.1.617.2 BQ.1 EG.5.1 C.36.3 Other	0.6333 0.2114 0.032 0.022 0.0191 0.0069 0.0056 0.0052 0.0046 0.0043 0.0042 0.0042 0.0041 0.0038 0.0036 0.0036 0.0028 0.0028 0.0024 0.0024 0.0021 0.0021 0.0019 0.0018 0.0014 0.0013 0.0013 0.0012 0.001 0.0008 0.0007 0.0004 0.0055		
