location	A.23.1_Lower	AV.1_Lower	AY.4.2_Lower	B.1.1.318_Lower	B.1.1.7_Lower	B.1.351_Lower	B.1.525_Lower	B.1.617.1_Lower	B.1.617.2_Lower	B.1.617.3_Lower	B.1.621_Lower	B.1.623_Lower	BA.1_Lower	BA.2_Lower	BA.2.75_Lower	BA.2.86_Lower	BA.3_Lower	BA.4_Lower	BA.4.6_Lower	BA.5_Lower	BQ.1_Lower	C.36.3_Lower	C.37_Lower	CH.1.1_Lower	EG.5.1_Lower	P.1_Lower	P.2_Lower	P.3_Lower	XBB_Lower	XBB.1.16_Lower	XBB.1.5_Lower	XD_Lower	XE_Lower	undetermined_Lower	A.23.1_Upper	AV.1_Upper	AY.4.2_Upper	B.1.1.318_Upper	B.1.1.7_Upper	B.1.351_Upper	B.1.525_Upper	B.1.617.1_Upper	B.1.617.2_Upper	B.1.617.3_Upper	B.1.621_Upper	B.1.623_Upper	BA.1_Upper	BA.2_Upper	BA.2.75_Upper	BA.2.86_Upper	BA.3_Upper	BA.4_Upper	BA.4.6_Upper	BA.5_Upper	BQ.1_Upper	C.36.3_Upper	C.37_Upper	CH.1.1_Upper	EG.5.1_Upper	P.1_Upper	P.2_Upper	P.3_Upper	XBB_Upper	XBB.1.16_Upper	XBB.1.5_Upper	XD_Upper	XE_Upper	undetermined_Upper	A.23.1	AV.1	AY.4.2	B.1.1.318	B.1.1.7	B.1.351	B.1.525	B.1.617.1	B.1.617.2	B.1.617.3	B.1.621	B.1.623	BA.1	BA.2	BA.2.75	BA.2.86	BA.3	BA.4	BA.4.6	BA.5	BQ.1	C.36.3	C.37	CH.1.1	EG.5.1	P.1	P.2	P.3	XBB	XBB.1.16	XBB.1.5	XD	XE	undetermined
Mixture01	9.885492916500258e-21	0.0035856149696577174	2.5808983839057617e-20	0.0005738839208478347	0.019074414369455554	0.002665066672153052	0.0020437603859604133	1.535476162808981e-27	0.011756821780348672	3.5948984624522694e-08	0.00014275411264396006	4.1538769981615567e-16	0.016489749172824943	0.29764432407738933	7.88427002863073e-05	1.0750909416098456e-18	6.135325714348084e-19	0.012292234692160552	3.546183996272419e-26	0.0039337091009394665	3.0198733291159427e-25	3.4733924986629714e-22	1.0510701185817497e-27	9.466379384275212e-20	1.9294681342245246e-22	0.023987779881554795	1.2035205780969386e-20	0.0020892320368332226	0.005202497371293378	4.85479400188521e-28	3.79814301944325e-26	1.967210211757091e-15	2.692517976833821e-05	1.833796403108371e-28	0.006686537809790948	0.016524758118470557	0.01394432846898016	0.014708968830023162	0.028758324583519963	0.09289483696207021	0.009943813607585035	0.03198196111341242	0.10989809534557357	0.014888053298283915	0.01461338580010954	0.014862619071551522	0.048155403633769134	0.5091534480275388	0.012965922804686733	0.006097188055640278	0.04866420323911342	0.197670189627854	0.008298481842413774	0.09663589873154495	0.001617415396715328	0.006633669948088029	0.008532683948874794	0.013015764136806553	0.02012774743545779	0.04554996401054987	0.006140123645690159	0.015927992937972153	0.02643306937603869	0.00339048419017694	0.02375451606873826	0.030325178518475274	0.15593827606794577	1.319170708035447e-13	0.0025958292299340597	0.008319100931189127	0.004598828499501057	0.005300632721852224	0.023991589792628144	0.019473524185210825	0.005290728826550482	0.009357382904428155	0.04823374371394617	0.00692381730381991	0.006059289298971483	0.004494839539175615	0.032148353658475105	0.42888530612538484	0.0058224679205900265	0.002302123649025454	0.015682698899359738	0.1532297404817738	0.0011338284825173175	0.073701993892091	0.0002139011312132434	0.0014959221958045906	0.0018957300204625624	0.005728196729713121	0.007640070191498312	0.03452269911336056	0.0016484424186450504	0.008161743790256087	0.017124003108450928	0.0007271968221467559	0.005480184773305748	0.00846367361459453	0.025360826241124332	3.7157688286909193e-13
Mixture02	0.0008255826015902883	0.0038105991658492107	0.01003454286824608	0.003057802790877571	0.07407246162288593	0.004498219083317914	0.003835567275862122	2.0131816472524562e-23	0.10787851768390308	0.0023708211360801506	0.0061343276343275716	0.002414755583634171	0.06454839269083146	3.341262776437886e-27	0.002847333996600989	0.002618086170044845	0.005040372925616225	8.352102841469904e-24	0.0023323586991390857	4.311538156910331e-22	6.506752793986109e-23	0.001271819340767382	1.2141512302400998e-21	0.0003294107404075252	0.0014411137282704907	0.025044649669899822	0.00240668627357324	0.0035606980843314435	6.793322687697714e-08	0.0031479785877923587	0.005089884418461787	0.002144770733089338	8.178653958723607e-21	0.017043818571468725	0.008848522370804694	0.02156926893207139	0.017085036110583828	0.04731494204233192	0.09906786465434177	0.18036250652650881	0.013766255991468414	0.03030292541630426	0.24472017081665473	0.02982668277937792	0.01927902614236847	0.04168080288932949	0.1371341944069902	0.07779388155828827	0.033092363462446026	0.00949942844156594	0.09448949737980873	0.012275480017275055	0.0114064620683162	0.03553390280967267	0.11109135294070954	0.013417342599703161	0.006512994878937145	0.17929046708842986	0.015964935590331752	0.04775848347616211	0.06450942953858638	0.02006644861519392	0.009672162963520659	0.01008853193825849	0.18509748714556343	0.07083229585547995	0.010242557935380932	0.3631449326248025	0.0036734550008751332	0.010406375489853426	0.013760090308609524	0.00980418645656886	0.08677576794170246	0.044686475421415545	0.007476690020848703	0.013200663076385651	0.14513096427464586	0.011273880472874514	0.011875907217628729	0.009749727980989015	0.0961466484134816	0.006743271196268251	0.010019587299728395	0.00521023268715202	0.01841105941036087	0.0075504005948137266	0.008240127614431533	0.010999202628378708	0.011083161589612709	0.005138165874793921	0.0023991190491656684	0.03075958952146761	0.006023116799776355	0.035558575851025946	0.009527444730011264	0.01096631880391054	0.005166572303136614	0.006597980174645687	0.028868162936413037	0.01634655485015577	0.0036664672459132673	0.20998828882125659
Mixture03	5.714089683046879e-32	1.3809360417373154e-16	3.595154977201481e-31	1.5877349208933786e-27	2.9227663940498287e-28	6.514838896979593e-23	7.144727905750168e-25	9.977918457273276e-29	1.1760840977909385e-30	0.00017550877895189916	1.8810571782681507e-29	1.7392331375830045e-29	4.784142639420629e-33	1.1460801267571923e-16	8.781685674541045e-20	8.270025013339088e-30	9.547634312315086e-30	0.025740419896871855	4.750544992010129e-32	5.771297694305646e-20	1.6882279178559626e-31	5.4540792187757625e-31	5.087439561237451e-32	3.0556538217210783e-31	3.475950787114013e-33	8.842081626470706e-29	2.3414562138195416e-32	3.6668633641133286e-27	3.447397783930919e-29	6.806739260174152e-32	7.280151866308148e-32	2.4038249750542632e-31	5.789355237982876e-14	9.851169473775776e-33	0.003378346639568161	0.013399795843891463	0.006491587882668912	0.003373623233710163	0.007743077509652751	0.00917811247806847	0.007133568315703766	0.017402936282137106	0.00477433617125069	0.009912360960054887	0.009588859746047881	0.006287625332146587	0.004168823039299102	0.7812363953113328	0.01658822812925414	0.0051167315448818135	0.013562733120659105	0.3529872621861508	0.0021359202568173212	0.14800700607778516	0.005249812441307665	0.0028810900756043984	0.0035212900165221277	0.015870839626758636	0.0034841971405844586	0.006126238999927725	0.002340492023851518	0.008940155808956239	0.00616430628027086	0.006034845873203218	0.0014384755388963956	0.013381445901160348	0.7595451934380573	1.1354262209002747e-07	0.00047815189046242505	0.005161743229378604	0.0007818587752298495	0.0008205712667505023	0.0024561702380718285	0.0030642611837208376	0.0023849990145970966	0.00319902965351699	0.00037559944005892686	0.004354798085314023	0.002861951361955954	0.0010630401316616975	0.0007499583503656592	0.5246011573324174	0.007049290414898006	0.001011665988231362	0.004610221518642384	0.24340849772271006	0.0002559760908759972	0.08664006636362652	0.0005085351439771397	0.00039580979908487043	0.0024754835324884575	0.0034434780867461474	0.00042523856413539203	0.002087732655241831	0.0002636839841600783	0.0027948385255478943	0.0016453819334351272	0.0012810841070784275	8.591503092842297e-05	0.003966240682482983	0.07934113930757106	0.0035002603565642437
Mixture04	0.0002530754725053917	0.0042394748579636515	3.280072590451023e-20	0.0014842765488576038	0.0196123660648189	0.004664439098815444	0.0032374280267978535	5.993969361475672e-22	7.283055747040476e-24	8.037305339427867e-05	0.0010831898070700805	0.001839941357750844	0.07723364710139773	0.2758927393410143	0.001744592178041955	0.0012645870284880745	0.0020569306204809754	6.372805331472857e-23	4.794208516002062e-23	9.189636087349534e-22	2.689068244745278e-22	2.2771392057183977e-26	2.742305969709108e-28	9.42555283813303e-22	1.6500108593840805e-16	0.10111499267692288	0.0006276649571705029	0.003624143794106689	2.3249612345961497e-19	0.00047052766013154436	1.6193083222159237e-21	0.0027716473369571006	9.198404364529279e-14	1.2514757379668463e-26	0.007094872205604468	0.15627065256363512	0.03122558853906083	0.012234789242235184	0.031808274981721535	0.14796228135392978	0.011984328515692245	0.010803966570618863	0.0218996923019681	0.01130481249787106	0.014902873467900608	0.030063122475825068	0.13997414853482418	0.5424435195585047	0.019193971493519403	0.011460337676216249	0.1360291537086125	0.017223008278724253	0.014019802795226239	0.03962422846207335	0.04102962711048475	0.005704797275779688	0.004132682450337641	0.02056516306958035	0.012642373872199724	0.13766882402839348	0.01677043449117963	0.0345865677188089	0.008450578493909249	0.01187311299223595	0.07296488934335807	0.12443978102330083	0.09827232995003993	0.2013853660350839	0.0036778247185074364	0.01902662880561075	0.010859078023432027	0.00571114290999074	0.02425970024687809	0.06266033049570398	0.006850907443227358	0.003411524703581659	0.006405170486465216	0.005430707528297552	0.007057150189806148	0.007970863570294551	0.11376015973409945	0.36084723432524074	0.0087699457191181	0.007571980292985769	0.044619200471537175	0.004008745629037478	0.003828833064745689	0.008154016122224009	0.00534780625551483	0.0015298228292117536	0.0011128111718560106	0.004797497072973923	0.005629886982761499	0.11432881884829028	0.007951094441130065	0.013015553858049	0.003831111012946044	0.006525563804157016	0.010900372101654305	0.0253840759336367	0.020942044876755633	0.039562696083400954
Mixture05	1.3724723580204534e-21	0.0017839311980760544	1.3785031649156646e-24	3.550703115190286e-19	0.0006477230245623751	0.0005304936768206127	0.0006827435694033531	1.2122515191045463e-25	5.525700644289848e-28	0.0010071243909591516	7.834728942054214e-05	1.113351236369159e-19	2.8368191644055005e-28	0.08622299352887443	0.0007812584603820743	0.0002996298195227748	1.2538195697318758e-18	0.20644863486271256	9.560361277647544e-26	0.06063287536608396	1.7667372377444704e-28	7.194744636019371e-05	5.593926219862212e-22	0.00032352919428713214	0.001543377528220071	2.4975447359835263e-16	1.8847349342272297e-23	0.0010710696196722523	4.258184300932635e-23	0.0002442423319007497	2.581344142257725e-23	0.003326124725960372	0.0017709812458329322	2.648924378716171e-24	0.0037613669330060326	0.01870849969207367	0.02316610549625396	0.0059119816608242835	0.010932813112536023	0.013716835144912173	0.009691456329445907	0.0310840554374213	0.009576415925413638	0.010208718025347431	0.011186930806701063	0.012982344673661902	0.005862990050583884	0.42679373250007	0.016317684865958613	0.00973965019836984	0.0645045929951647	0.36599627870332024	0.006856873869406534	0.1553249679414653	0.001139768332422824	0.006381529524119527	0.03692889807344789	0.1402650747234251	0.010414497137186264	0.007372124948056467	0.0036125008212949798	0.011110032745527706	0.006449910234626968	0.00962027070890606	0.026263769950030387	0.03416587203944941	0.28140910487425697	0.26015337578259967	0.001318460722175994	0.007117122868346233	0.006778999046964857	0.0028777641874178405	0.005913895349153785	0.006130914058778089	0.004774357217850528	0.007851863375585948	0.0048158004538616205	0.006103089206171997	0.00539288606193666	0.0035756509150384197	0.0013825208771815556	0.32435778623613665	0.007839933054495471	0.004094338214766157	0.011503486299006922	0.3156055943466353	0.0017908141584108584	0.1154219733488462	0.0002446289918469539	0.002541361510672262	0.004616212553272713	0.013211055060977053	0.005660111808042869	0.0037410296532236326	0.0013345222206006685	0.0058696343280217845	0.001922116889682149	0.0052269246565752004	0.003207006007566487	0.018297944660147978	0.04765843799712845	0.035907868314326914
Mixture06	0.0006294259165318021	0.0033830764955874175	3.4938055617440196e-24	0.001492985572389306	0.022062259382807318	0.0032892731382479726	0.002620779342645526	3.863591959943516e-22	0.09131617896276882	0.00215525597459641	0.0002762613906736218	3.53315767609548e-14	0.0835124608805418	0.2007569833338719	0.00344460695641314	1.3585929701829122e-17	7.544224532664958e-08	1.6221303923082748e-25	1.5498684712796075e-24	1.2942068261713181e-20	5.866900735211886e-28	0.00041240956481676625	3.345019111221772e-25	5.1472151721721166e-17	1.3752644161913228e-22	0.02357720534889622	6.401231512972358e-21	0.003470754826924357	5.533660843850834e-21	2.3742566788953106e-17	1.3465449106430509e-25	0.004237696795364926	3.98867057176345e-26	1.9197588797698142e-29	0.007644017866786175	0.0455924596935421	0.025887519482881188	0.04208581647961735	0.031128576984672092	0.11538187713037042	0.014757040987929824	0.02260439042769998	0.2553111900062227	0.09263137747057394	0.014725185524147488	0.029482713772785312	0.15027759865481258	0.44432401723165965	0.021322463468031766	0.006837165311926995	0.1454923802627548	0.00886577099874961	0.01358104734839249	0.031894441737940066	0.009059753395124779	0.00997940251317683	0.007942145482131308	0.056783008549528786	0.013383525402524807	0.04663722307497047	0.006628408026310764	0.035474602908217044	0.006498530862489323	0.008539435442484936	0.00924383808408057	0.06611759908180634	0.13599022283158368	0.048247595229619696	0.004196895013344697	0.011147994853816588	0.01178736589948547	0.008328210355335848	0.0254716030000798	0.041420076999790105	0.008009141616825118	0.007779623388199719	0.1746046516016235	0.015356282660352742	0.00787312932097154	0.006274340635285378	0.13197013256925644	0.3361038706331038	0.010910007482150876	0.0030328153407338993	0.03378293090140952	0.002141391956136094	0.003252188860791056	0.007851660577974741	0.001836710861055643	0.004096795529060184	0.0028601256075427243	0.010211257156703941	0.00505699731159754	0.03394906427952677	0.0024584553796322393	0.013036374032803756	0.0021417969807544014	0.004273867487821999	0.004038491872367006	0.015489192468055288	0.019509834640155464	0.004275119726176314
Mixture07	3.1735259969764633e-22	0.0038316621614486574	3.5884332083696686e-22	6.009688575052682e-20	0.05142340754907822	0.0028289636489527968	0.002063149427637438	1.6906107530447685e-23	5.198475852988367e-26	7.438532628516598e-21	4.624482944066741e-16	7.649645520337052e-23	5.049331691815944e-31	0.07116638397980198	0.0007685107630613508	1.3636181862438724e-24	5.73974475085575e-22	0.009610031621739587	5.231109105252495e-28	1.7630180069255842e-22	7.461914725601452e-27	3.732740055553964e-30	1.8792092708864026e-25	8.579827964064296e-23	2.6490312382240797e-24	0.05042655268841832	1.1693977398247848e-23	0.0010376614137743493	1.536535908869096e-25	1.5153001756686936e-23	1.863495161595255e-28	1.0474755513229691e-08	0.005846594518006359	3.5625570056645054e-26	0.004557689465616175	0.024782472882988824	0.012243186259532253	0.010339102315442139	0.07679410406340983	0.24117620272795817	0.01384716704742637	0.010458355158794022	0.006071575172530446	0.010925126689010425	0.017347644401653265	0.010066308344776353	0.004601763578914963	0.40671130029016395	0.017088138152073457	0.014973137723784384	0.01703784076475792	0.33910803432168385	0.011993459447536254	0.09891200542498448	0.005924383714042398	0.00394159870211701	0.008748786690020953	0.027033766444888765	0.015007556491590836	0.06974925776106482	0.005495516395373693	0.026333914809513893	0.0044984557346582086	0.009280287727200775	0.00671954271785396	0.02023420250960379	0.2891675928140093	0.030601477774790633	0.0017093338229390517	0.010287388503799344	0.0038378106577005512	0.0054360275793729216	0.06213421695983568	0.05126572578871968	0.005941219367056328	0.003672948550771257	0.0005144601365795045	0.003908858444647323	0.007948619478848853	0.003728095320851639	0.000514353933023789	0.3013226046962281	0.008615920572106195	0.002849098370178686	0.004350580017589653	0.2556863743223591	0.00113743601911352	0.05622091204012691	0.0013492541573089031	0.0008730183079784708	0.001486866684834495	0.005929218817475763	0.003110039177211526	0.062340746056785995	0.0011174669596002767	0.010802671927667502	0.0009959127312582534	0.0030996183641022485	0.001073772854940814	0.011439082738672859	0.039549020390822684	0.003617109289656499
Mixture08	1.9347851474384752e-28	1.2991351410263066e-05	1.6495464653638639e-31	4.681172183568247e-24	1.217542676356528e-21	1.6325396098617137e-24	4.251804788693887e-22	2.2659943820077e-25	4.764476872835156e-28	2.788209915381286e-16	1.0224711553065875e-20	1.287616672620817e-25	0.013393022827050825	0.002166436501080555	1.035632769607267e-26	4.51604664350071e-30	4.336474935228018e-25	5.0130967542238626e-17	5.594213842586086e-29	1.1673435073501535e-22	2.9833959886655937e-28	1.3661666357692655e-32	1.0155529841673962e-29	6.520823095249465e-27	5.678017718942955e-29	9.416941569724964e-27	2.458963827218681e-32	3.430855763590409e-22	9.935954491966595e-31	6.770714096631269e-29	1.583891159650246e-29	3.878066423650246e-23	0.004103171195101833	1.772621211329392e-30	0.00313408367075273	0.018629756808144955	0.006706512999930591	0.006446898863543779	0.0045037371595111645	0.009133906568082844	0.005739230199540575	0.010634768680568138	0.004297328053672721	0.011418100479391353	0.01010612841910724	0.00663815238185822	0.14206436592552554	0.6257334987978609	0.015562286004588791	0.005481803835240777	0.08278050795189372	0.3026531255839957	0.0055238055261291686	0.14162607994304977	0.002568321508901274	0.004264034987674378	0.001330682117695002	0.015574667272608986	0.0015107599502206274	0.00552291767500312	0.00015578267233649494	0.012701203989878227	0.004599276297580377	0.005938414681598725	2.609476896335967e-12	0.13156988336167202	0.4211660270469534	1.7615591506510712e-14	0.00047372578942430125	0.0075532407597406	0.0008124730297950081	0.0015699271549769426	0.0012711433236715693	0.0018345975642665394	0.0019417662381138892	0.0031015165275302277	0.004917902741521868	0.004596116051931083	0.0034296499797957943	0.000836571179993965	0.12361091724620366	0.5130022009354659	0.003765990056883029	0.0006137186265531071	0.008067039899195579	0.19428587591237384	0.0005231184379336433	0.05653461408404383	0.00012932215073330753	0.000454163761109015	0.00013486594221171855	0.004938371597341484	0.00012428611288178902	0.0012816490840469683	2.530442043300133e-05	0.004239441302100712	0.0008513947796205742	0.001443002815284525	4.9789652101392335e-06	0.015749379718138043	0.03661059048776823	3.4529787030052514e-14
Mixture09	2.076713601867489e-28	7.135445064461851e-05	0.0016236862143292105	3.6124096077634485e-32	3.240638736916919e-05	1.2820588564806772e-16	0.0023286001450688637	2.5630581253374567e-29	3.108463348746193e-28	0.0012391248678485364	4.63725304657804e-16	5.788784056820838e-17	0.0011719915800026473	4.147347017459196e-30	0.002040343643980017	0.00035522629702516764	0.0036046044823078455	2.6876182550933527e-27	3.730155081158681e-25	3.1040695433226804e-27	2.372503753083367e-24	1.2343201297890837e-20	3.9275465041162487e-19	5.081000502581089e-25	0.0009690241746439275	8.361014340532955e-17	5.618084203326557e-23	6.603699203530305e-28	2.626537014649322e-15	0.00042890035651930254	2.5585559343120452e-30	0.001830722652645571	1.9546579055013665e-25	0.08724174929187588	0.004419086924021531	0.008254004140356042	0.28305293754355554	0.0034756400041724865	0.005280137243257396	0.01288994536473096	0.01099828474899324	0.010544746845807551	0.004871781222210314	0.008741575605577331	0.0072638656523867995	0.013606540031534026	0.011961302749542631	0.66713057779579	0.012624627667036106	0.01566706811725431	0.009368553252070484	0.15139480388378848	0.010768169440079224	0.06321347913826339	0.36992101359924917	0.004715466677191054	0.011891309117388367	0.012376077794559433	0.012274017145954953	0.00955854198241661	0.005136260835286783	0.005902141777123126	0.006283879201650026	0.008747959787142457	0.4428972861257924	0.01206412168469627	0.006948066992723119	0.9021944270606044	0.001469872652965039	0.003597909756859346	0.02179730978060479	0.0013137299465388844	0.0017710177739538987	0.004526163098026001	0.00585413376658934	0.0029657783529890834	0.0010030398177839064	0.004101765980415275	0.0027335923382913576	0.004761140274137161	0.004258793893242701	0.038937922226142625	0.006782641105747884	0.012498700604837588	0.009267371802612228	0.015077417379385045	0.011771215792403804	0.010624293445075489	0.021743256101918268	0.0015656403985227407	0.018578985553459732	0.0059472719508748655	0.008373649875539806	0.004431700447335077	0.002215586415714664	0.0014406033199384526	0.002685417437420594	0.004052132214073064	0.05770838645022005	0.00567180140835381	0.0023651168358964727	0.6963356240281771
Mixture10	1.0270343730594635e-25	0.0009405953449726507	8.87344177617554e-24	1.423184000594247e-15	0.0005331858470671334	7.2061261868556e-17	0.0002950314617631256	1.950301998354954e-21	3.849939709608049e-26	3.3549342425869425e-05	5.864726847552755e-12	1.2375235324768686e-19	0.18502968157403485	0.23153034635008457	3.5763747322569197e-16	1.558318135476882e-29	3.787115664769073e-21	2.3710641763286565e-25	7.783980126524068e-28	8.272818321741978e-24	3.145805101209743e-26	5.885880952959691e-29	6.608232780025595e-28	7.652213139302013e-26	3.172195133495033e-26	1.6543251981106313e-20	2.822399374621187e-24	7.178285795804731e-17	4.32193076196299e-21	5.5099556772632846e-24	6.342512941253616e-27	0.0013099980335118844	6.16791293009407e-27	2.8807456102043864e-27	0.0034793929485523087	0.013293301007409244	0.01248036838507006	0.010188030325823482	0.005784185621670756	0.009194218181677085	0.007292210401828925	0.009469136983372428	0.006140222404711833	0.008932951031733112	0.010051783133303484	0.007893441364372405	0.254329831651193	0.7033302381937404	0.013572176832691926	0.01008046428291416	0.10213590282127866	0.007100876399970058	0.014116065740509349	0.012069795994628553	0.002778338984635676	0.0030341222922614	0.0015444809342765654	0.0060618232215371454	0.00617357688174524	0.0050080916639162875	0.0063294389958074675	0.011766631957981584	0.010069280708801896	0.00787167740480998	7.61715571212129e-12	0.11914703754351708	0.26036945720887095	0.014085337021132125	0.0014081231512607544	0.0069253476258101946	0.005616692418520159	0.0041810745481770314	0.0028210936422701314	0.003590278080320273	0.00378188266578208	0.00236288219868907	0.0009587583144378656	0.004095113588070493	0.004282560963016326	0.0036383017243845693	0.2114474825998319	0.6333426553035727	0.0051503974920202875	0.002388585976890386	0.019109781697021634	0.0013498987427533965	0.001887505021107268	0.004152593972881982	0.0008497036268229866	0.0004389626467578822	0.002111909411742502	0.0011997360257218087	0.000716436061037662	0.0017833483453101985	0.0012676427336005159	0.004629409500993675	0.0021490105927952745	0.00276688079893897	2.2377959316996015e-06	0.03202522032134429	0.022034623975785723	0.0027127747941281823
