chrom	start	end	gene	mean_coverage	plate	batch	mixture	read_counts	normalized_mean_coverage	normalized_read_counts
MN908947.3	1	265	5'UTR	11450.99	05-05-23-A41	WB: artic	0adgio1o2o3o4o5	769584.0	14879.454354560385	7773.575757575758
MN908947.3	1	29903	whole genome	10277.24	05-05-23-A41	WB: artic	0adgio1o2o3o4o5	769584.0	13354.279714754985	7773.575757575758
MN908947.3	266	13468	ORF1a	9907.51	05-05-23-A41	WB: artic	0adgio1o2o3o4o5	769584.0	12873.851327470426	7773.575757575758
MN908947.3	13468	21555	ORF1b	11301.66	05-05-23-A41	WB: artic	0adgio1o2o3o4o5	769584.0	14685.414457681032	7773.575757575758
MN908947.3	21563	25384	S	8537.23	05-05-23-A41	WB: artic	0adgio1o2o3o4o5	769584.0	11093.304954364956	7773.575757575758
MN908947.3	25393	26220	ORF3a	10165.79	05-05-23-A41	WB: artic	0adgio1o2o3o4o5	769584.0	13209.461215409885	7773.575757575758
MN908947.3	26245	26472	E	12942.7	05-05-23-A41	WB: artic	0adgio1o2o3o4o5	769584.0	16817.78727208466	7773.575757575758
MN908947.3	26523	27191	M	13033.62	05-05-23-A41	WB: artic	0adgio1o2o3o4o5	769584.0	16935.929021393375	7773.575757575758
MN908947.3	27202	27387	ORF6	16451.16	05-05-23-A41	WB: artic	0adgio1o2o3o4o5	769584.0	21376.691823114827	7773.575757575758
MN908947.3	27394	27759	ORF7a	9562.73	05-05-23-A41	WB: artic	0adgio1o2o3o4o5	769584.0	12425.843052870123	7773.575757575758
MN908947.3	27894	28259	ORF8	9155.77	05-05-23-A41	WB: artic	0adgio1o2o3o4o5	769584.0	11897.03788020541	7773.575757575758
MN908947.3	28274	29533	N	13117.39	05-05-23-A41	WB: artic	0adgio1o2o3o4o5	769584.0	17044.780037007004	7773.575757575758
MN908947.3	29558	29674	ORF10	1917.14	05-05-23-A41	WB: artic	0adgio1o2o3o4o5	769584.0	2491.1380693985325	7773.575757575758
MN908947.3	29675	29903	3'UTR	1468.2	05-05-23-A41	WB: artic	0adgio1o2o3o4o5	769584.0	1907.7839456121749	7773.575757575758
MN908947.3	1	265	5'UTR	11343.75	05-05-23-A41	WB: artic	0adgio1	728720.0	15566.678559666263	7360.80808080808
MN908947.3	1	29903	whole genome	9727.73	05-05-23-A41	WB: artic	0adgio1	728720.0	13349.06411241629	7360.80808080808
MN908947.3	266	13468	ORF1a	9247.38	05-05-23-A41	WB: artic	0adgio1	728720.0	12689.894609726643	7360.80808080808
MN908947.3	13468	21555	ORF1b	10726.77	05-05-23-A41	WB: artic	0adgio1	728720.0	14720.015918322539	7360.80808080808
MN908947.3	21563	25384	S	8198.01	05-05-23-A41	WB: artic	0adgio1	728720.0	11249.876495773411	7360.80808080808
MN908947.3	25393	26220	ORF3a	9397.5	05-05-23-A41	WB: artic	0adgio1	728720.0	12895.899659677243	7360.80808080808
MN908947.3	26245	26472	E	12739.0	05-05-23-A41	WB: artic	0adgio1	728720.0	17481.337139093204	7360.80808080808
MN908947.3	26523	27191	M	13256.17	05-05-23-A41	WB: artic	0adgio1	728720.0	18191.033593149634	7360.80808080808
MN908947.3	27202	27387	ORF6	15660.79	05-05-23-A41	WB: artic	0adgio1	728720.0	21490.819519156878	7360.80808080808
