chrom,start,end,gene,mean_coverage,plate,batch,mixture,read_counts,normalized_mean_coverage,normalized_read_counts
MN908947.3,21563,25384,S,8537.23,05-05-23-A41,WB: artic,0adgio1o2o3o4o5,769584.0,11093.304954364956,7773.575757575758
MN908947.3,21563,25384,S,8198.01,05-05-23-A41,WB: artic,0adgio1,728720.0,11249.876495773411,7360.80808080808
MN908947.3,21563,25384,S,7887.96,05-05-23-A41,WB: artic,o2o3o4o5,754486.0,10454.74667521995,7621.070707070707
MN908947.3,21563,25384,S,8681.83,05-05-23-A41,WB: artic,0agio1o2,797075.0,10892.111783709188,8051.262626262626
MN908947.3,21563,25384,S,11412.52,05-05-23-A41,WB: artic,0o5o3o4,1028126.0,11100.31260759868,10385.111111111111
MN908947.3,21563,25384,S,10214.94,05-05-23-A41,WB: artic,adgio1o2o3,922213.0,11076.551729372715,9315.282828282829
MN908947.3,21563,25384,S,9867.09,05-05-23-A41,WB: artic,agio3o4o5,887443.0,11118.561980882152,8964.070707070707
MN908947.3,21563,25384,S,9579.34,05-05-23-A41,WB: artic,o1o2o3o4o5,873485.0,10966.805383034627,8823.080808080807
MN908947.3,21563,25384,S,9946.71,05-05-23-A41,WB: artic,0,867937.0,11460.175104875121,8767.040404040405
MN908947.3,21563,25384,S,7652.91,05-05-23-A41,WB: artic,o1o2,695130.0,11009.321997324241,7021.515151515152
MN908947.3,21563,25384,S,7152.71,05-05-23-A41,WB: artic,o3,689510.0,10373.613145567142,6964.747474747474
MN908947.3,21563,25384,S,6196.84,05-05-23-A41,WB: artic,o5,585836.0,10577.772618958206,5917.535353535353
MN908947.3,21563,25384,S,8295.1,05-05-23-A41,WB: artic,o4,796961.0,10408.4139625402,8050.111111111111
MN908947.3,21563,25384,S,11622.98,05-05-23-A41,WB: artic,0-2,1026932.0,11318.159332847743,10373.050505050505
MN908947.3,21563,25384,S,8694.75,05-05-23-A41,WB: artic,a,760242.0,11436.818802433963,7679.212121212121
MN908947.3,21563,25384,S,10170.41,05-05-23-A41,WB: artic,g,896553.0,11343.902702907691,9056.09090909091
MN908947.3,21563,25384,S,10058.43,05-05-23-A41,WB: artic,i,840492.0,11967.31200296969,8489.818181818182
MN908947.3,21563,25384,S,10402.01,05-05-23-A41,WB: artic,d,922326.0,11278.01883498893,9316.424242424242
MN908947.3,21563,25384,S,12380.79,05-05-23-A41,WB: artic,0-3,1061646.0,11661.881644163874,10723.69696969697
MN908947.3,21563,25384,S,9954.24,05-05-23-A41,WB: artic,o3-2,924908.0,10762.410964117511,9342.505050505051
MN908947.3,21563,25384,S,7721.26,05-05-23-A41,WB: artic,o3-3,781520.0,9879.798341693111,7894.141414141414
MN908947.3,21563,25384,S,9621.33,05-05-23-A41,WB: artic,o5-2,886426.0,10854.070164909423,8953.79797979798
MN908947.3,21563,25384,S,7754.34,05-05-23-A41,WB: artic,o5-3,706648.0,10973.412505235987,7137.858585858586
MN908947.3,21563,25384,S,7793.38,05-05-23-A41,WB: artic,o4-2,734534.0,10609.964957374335,7419.535353535353
MN908947.3,21563,25384,S,9770.16,05-05-23-A41,WB: artic,o4-3,921579.0,10601.543654966097,9308.878787878788
MN908947.3,21563,25384,S,12194.52,05-05-23-A41,WB: artic,o2-2,1131313.0,10779.085894001042,11427.40404040404
MN908947.3,21563,25384,S,7412.81,05-05-23-A41,WB: artic,o2o3o4o5-2,706062.0,10498.808886471727,7131.939393939394
MN908947.3,21563,25384,S,10077.57,05-05-23-A41,WB: artic,o2o3o4o5-3,963614.0,10458.098367188522,9733.474747474747
MN908947.3,21563,25384,S,7998.28,05-05-23-A41,WB: artic,0adgio1-2,699547.0,11433.513402244595,7066.131313131313
MN908947.3,21563,25384,S,10864.22,05-05-23-A41,WB: artic,0aio1o2o3o4o5,986990.0,11007.4266203305,9969.59595959596
MN908947.3,21563,25384,S,10233.8,05-05-23-A41,WB: artic,0-4,883708.0,11580.522072901907,8926.343434343435
MN908947.3,21563,25384,S,7514.37,05-05-23-A41,WB: artic,a-2,672294.0,11177.208185704469,6790.848484848485
MN908947.3,21563,25384,S,8480.47,05-05-23-A41,WB: artic,g-2,763618.0,11105.644445259279,7713.313131313132
MN908947.3,21563,25384,S,10758.98,05-05-23-A41,WB: artic,i-2,915900.0,11746.893765694944,9251.515151515152
MN908947.3,21563,25384,S,8497.52,05-05-23-A41,WB: artic,d-2,764377.0,11116.922670357691,7720.979797979798
MN908947.3,21563,25384,S,8846.2,05-05-23-A41,WB: artic,o1-2,781035.0,11326.252984821424,7889.242424242424
MN908947.3,21563,25384,S,7120.61,05-05-23-A41,WB: artic,o2-3,654682.0,10876.440775827043,6612.949494949495
MN908947.3,21563,25384,S,7505.27,05-05-23-A41,WB: artic,o3-4,761874.0,9851.0646117337,7695.69696969697
MN908947.3,21563,25384,S,10106.8,05-05-23-V2,WB: varskip,0adgio1o2o3o4o5,629867.0,16045.927156050404,8511.716216216217
MN908947.3,21563,25384,S,11207.94,05-05-23-V2,WB: varskip,0adgio1,652920.0,17165.87024444036,8823.243243243243
MN908947.3,21563,25384,S,7636.08,05-05-23-V2,WB: varskip,o2o3o4o5,486295.0,15702.567371657122,6571.554054054054
MN908947.3,21563,25384,S,9530.05,05-05-23-V2,WB: varskip,0agio1o2,610326.0,15614.687888112254,8247.648648648648
MN908947.3,21563,25384,S,12384.08,05-05-23-V2,WB: varskip,0o5o3o4,750507.0,16500.952023099053,10141.986486486487
MN908947.3,21563,25384,S,10299.7,05-05-23-V2,WB: varskip,adgio1o2o3,673110.0,15301.659461306474,9096.081081081082
MN908947.3,21563,25384,S,8968.95,05-05-23-V2,WB: varskip,agio3o4o5,536038.0,16731.929452762677,7243.756756756757
MN908947.3,21563,25384,S,9375.73,05-05-23-V2,WB: varskip,o1o2o3o4o5,653245.0,14352.547665883398,8827.635135135135
MN908947.3,21563,25384,S,9030.94,05-05-23-V2,WB: varskip,0,523570.0,17248.772847947745,7075.27027027027
MN908947.3,21563,25384,S,9596.64,05-05-23-V2,WB: varskip,o1o2,656812.0,14610.938898802093,8875.837837837838
MN908947.3,21563,25384,S,13838.47,05-05-23-V2,WB: varskip,o3,746901.0,18527.850411232546,10093.256756756757
MN908947.3,21563,25384,S,7839.01,05-05-23-V2,WB: varskip,o5,536828.0,14602.461123488343,7254.4324324324325
MN908947.3,21563,25384,S,7563.55,05-05-23-V2,WB: varskip,o4,543873.0,13906.831190369812,7349.635135135135
MN908947.3,21563,25384,S,10528.51,05-05-23-V2,WB: varskip,0-2,654420.0,16088.307203325083,8843.513513513513
